"Sex"	"Cancer Type"	"Year"	"ASR (Europe)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
All	Bladder Cancer (C67)	1994	28.95	29.00	NA	-2.4752*	3	3
All	Bladder Cancer (C67)	1995	28.40	28.29	NA	-2.4752*	3	3
All	Bladder Cancer (C67)	1996	27.63	27.59	NA	-2.4752*	3	3
All	Bladder Cancer (C67)	1997	26.70	26.90	NA	-2.4752*	3	3
All	Bladder Cancer (C67)	1998	26.18	26.24	Joinpoint 1	NA	3	3
All	Bladder Cancer (C67)	1999	24.61	24.56	NA	-6.4061*	3	3
All	Bladder Cancer (C67)	2000	23.32	22.98	NA	-6.4061*	3	3
All	Bladder Cancer (C67)	2001	21.64	21.51	Joinpoint 2	NA	3	3
All	Bladder Cancer (C67)	2002	21.28	21.25	NA	-1.2318*	3	3
All	Bladder Cancer (C67)	2003	20.68	20.98	NA	-1.2318*	3	3
All	Bladder Cancer (C67)	2004	20.58	20.73	NA	-1.2318*	3	3
All	Bladder Cancer (C67)	2005	20.39	20.47	NA	-1.2318*	3	3
All	Bladder Cancer (C67)	2006	20.23	20.22	NA	-1.2318*	3	3
All	Bladder Cancer (C67)	2007	20.02	19.97	NA	-1.2318*	3	3
All	Bladder Cancer (C67)	2008	19.76	19.72	NA	-1.2318*	3	3
All	Bladder Cancer (C67)	2009	19.46	19.48	NA	-1.2318*	3	3
All	Bladder Cancer (C67)	2010	19.21	19.24	NA	-1.2318*	3	3
All	Bladder Cancer (C67)	2011	19.02	19.00	NA	-1.2318*	3	3
All	Bladder Cancer (C67)	2012	18.90	18.77	Joinpoint 3	NA	3	3
All	Bladder Cancer (C67)	2013	18.39	18.33	NA	-2.3241*	3	3
All	Bladder Cancer (C67)	2014	17.87	17.91	NA	-2.3241*	3	3
All	Bladder Cancer (C67)	2015	17.34	17.49	NA	-2.3241*	3	3
All	Bladder Cancer (C67)	2016	17.07	17.08	NA	-2.3241*	3	3
All	Bladder Cancer (C67)	2017	16.79	16.69	NA	-2.3241*	3	3
All	Brain	1994	13.97	13.90	NA	1.9320*	1	1
All	Brain	1995	14.14	14.17	NA	1.9320*	1	1
All	Brain	1996	14.42	14.44	NA	1.9320*	1	1
All	Brain	1997	14.59	14.72	NA	1.9320*	1	1
All	Brain	1998	14.79	15.00	NA	1.9320*	1	1
All	Brain	1999	15.17	15.29	NA	1.9320*	1	1
All	Brain	2000	15.77	15.59	NA	1.9320*	1	1
All	Brain	2001	16.26	15.89	NA	1.9320*	1	1
All	Brain	2002	16.25	16.20	NA	1.9320*	1	1
All	Brain	2003	16.35	16.51	NA	1.9320*	1	1
All	Brain	2004	16.64	16.83	NA	1.9320*	1	1
All	Brain	2005	17.04	17.16	NA	1.9320*	1	1
All	Brain	2006	17.50	17.49	NA	1.9320*	1	1
All	Brain	2007	18.13	17.82	NA	1.9320*	1	1
All	Brain	2008	18.64	18.17	NA	1.9320*	1	1
All	Brain	2009	18.90	18.52	NA	1.9320*	1	1
All	Brain	2010	18.67	18.88	NA	1.9320*	1	1
All	Brain	2011	18.80	19.24	NA	1.9320*	1	1
All	Brain	2012	19.40	19.61	NA	1.9320*	1	1
All	Brain	2013	20.05	19.99	NA	1.9320*	1	1
All	Brain	2014	20.58	20.38	NA	1.9320*	1	1
All	Brain	2015	20.52	20.77	Joinpoint 1	NA	1	1
All	Brain	2016	20.52	20.46	NA	-1.5177	1	1
All	Brain	2017	20.11	20.15	NA	-1.5177	1	1
All	Liver Cancer (C22)	1994	3.76	3.76	NA	5.0678*	3	3
All	Liver Cancer (C22)	1995	3.93	3.95	NA	5.0678*	3	3
All	Liver Cancer (C22)	1996	4.13	4.15	NA	5.0678*	3	3
All	Liver Cancer (C22)	1997	4.42	4.36	NA	5.0678*	3	3
All	Liver Cancer (C22)	1998	4.57	4.58	NA	5.0678*	3	3
All	Liver Cancer (C22)	1999	4.82	4.81	NA	5.0678*	3	3
