"Year","Cancer Type","Geography","Sex","ASR (Europe)"
1976,"Bladder Cancer (C67)","UK","All",11.7250801472852
1977,"Bladder Cancer (C67)","UK","All",11.7569832943512
1978,"Bladder Cancer (C67)","UK","All",11.7117541937923
1979,"Bladder Cancer (C67)","UK","All",11.6893449071428
1980,"Bladder Cancer (C67)","UK","All",11.67289170953
1981,"Bladder Cancer (C67)","UK","All",11.5994503529088
1982,"Bladder Cancer (C67)","UK","All",11.6076533736058
1983,"Bladder Cancer (C67)","UK","All",11.7480071238435
1984,"Bladder Cancer (C67)","UK","All",11.9247305295503
1985,"Bladder Cancer (C67)","UK","All",12.0354635127228
1986,"Bladder Cancer (C67)","UK","All",11.9331710336651
1987,"Bladder Cancer (C67)","UK","All",11.9885799046865
1988,"Bladder Cancer (C67)","UK","All",11.9942383795445
1989,"Bladder Cancer (C67)","UK","All",12.1861919115232
1990,"Bladder Cancer (C67)","UK","All",12.1881978545044
1991,"Bladder Cancer (C67)","UK","All",12.3220147779876
1992,"Bladder Cancer (C67)","UK","All",12.1244456368144
1993,"Bladder Cancer (C67)","UK","All",11.9313661211506
1994,"Bladder Cancer (C67)","UK","All",11.6844700151913
1995,"Bladder Cancer (C67)","UK","All",11.4924828502089
1996,"Bladder Cancer (C67)","UK","All",11.2725188040382
1997,"Bladder Cancer (C67)","UK","All",10.9087356330821
1998,"Bladder Cancer (C67)","UK","All",10.5878007116434
1999,"Bladder Cancer (C67)","UK","All",10.3865646906569
2000,"Bladder Cancer (C67)","UK","All",10.2869934128789
2001,"Bladder Cancer (C67)","UK","All",10.2339321976003
2002,"Bladder Cancer (C67)","UK","All",10.1549738691287
2003,"Bladder Cancer (C67)","UK","All",9.96757733448754
2004,"Bladder Cancer (C67)","UK","All",9.74731338489606
2005,"Bladder Cancer (C67)","UK","All",9.53968519214533
2006,"Bladder Cancer (C67)","UK","All",9.46566838391197
2007,"Bladder Cancer (C67)","UK","All",9.50830324327639
2008,"Bladder Cancer (C67)","UK","All",9.48537049229224
2009,"Bladder Cancer (C67)","UK","All",9.3350233601143
2010,"Bladder Cancer (C67)","UK","All",9.21887609243782
2011,"Bladder Cancer (C67)","UK","All",9.18799570722488
2012,"Bladder Cancer (C67)","UK","All",9.18137463423172
2013,"Bladder Cancer (C67)","UK","All",9.1723172265294
2014,"Bladder Cancer (C67)","UK","All",8.99033381115167
2015,"Bladder Cancer (C67)","UK","All",8.93906880245664
2016,"Bladder Cancer (C67)","UK","All",8.91446336488024
2017,"Bladder Cancer (C67)","UK","All",8.87735125831136
1976,"Brain","UK","All",6.54287913561399
1977,"Brain","UK","All",6.75017349842236
1978,"Brain","UK","All",6.8615599589
1979,"Brain","UK","All",6.92010904137038
1980,"Brain","UK","All",6.88967192329218
1981,"Brain","UK","All",6.99384774650844
1982,"Brain","UK","All",7.03442480205823
1983,"Brain","UK","All",7.37184081020844
1984,"Brain","UK","All",7.62249934121925
1985,"Brain","UK","All",7.77453858416564
1986,"Brain","UK","All",7.74342701865234
1987,"Brain","UK","All",7.71802741134401
1988,"Brain","UK","All",7.91692825430549
1989,"Brain","UK","All",8.02778995107547
1990,"Brain","UK","All",8.08302885741765
1991,"Brain","UK","All",8.23277191883
1992,"Brain","UK","All",8.28333325305219
1993,"Brain","UK","All",8.36256405495018
1994,"Brain","UK","All",8.34032251638036
1995,"Brain","UK","All",8.40590215944923
1996,"Brain","UK","All",8.50989386747782
1997,"Brain","UK","All",8.5208722950839
1998,"Brain","UK","All",8.51982317270785
1999,"Brain","UK","All",8.56594361662404
2000,"Brain","UK","All",8.76210960406096
2001,"Brain","UK","All",8.88955036930962
2002,"Brain","UK","All",8.95950469767142
2003,"Brain","UK","All",8.85577136622973
2004,"Brain","UK","All",8.80435367023281
2005,"Brain","UK","All",8.74240464410668
2006,"Brain","UK","All",8.75036265683322
2007,"Brain","UK","All",8.73211724817284
2008,"Brain","UK","All",8.72381821748247
2009,"Brain","UK","All",8.69627170313743
2010,"Brain","UK","All",8.71145506063753
2011,"Brain","UK","All",8.80692393705
2012,"Brain","UK","All",8.84282940933461
2013,"Brain","UK","All",8.84503656330786
2014,"Brain","UK","All",8.69408633603143
2015,"Brain","UK","All",8.60574987511884
2016,"Brain","UK","All",8.54973081096705
2017,"Brain","UK","All",8.63446873183715
1976,"Liver Cancer (C22)","UK","All",2.76084612592151
1977,"Liver Cancer (C22)","UK","All",2.74500746251291
1978,"Liver Cancer (C22)","UK","All",2.60242019756534
1979,"Liver Cancer (C22)","UK","All",2.41886947536939
1980,"Liver Cancer (C22)","UK","All",2.4627545717341
1981,"Liver Cancer (C22)","UK","All",2.59207220133083
1982,"Liver Cancer (C22)","UK","All",2.69188595684098
1983,"Liver Cancer (C22)","UK","All",2.76658202402525
1984,"Liver Cancer (C22)","UK","All",2.84416179065756
1985,"Liver Cancer (C22)","UK","All",3.02306018109442
1986,"Liver Cancer (C22)","UK","All",3.12089273165162
1987,"Liver Cancer (C22)","UK","All",3.2898064644537
1988,"Liver Cancer (C22)","UK","All",3.37900871911908
1989,"Liver Cancer (C22)","UK","All",3.44799204544773
1990,"Liver Cancer (C22)","UK","All",3.54601843483172
1991,"Liver Cancer (C22)","UK","All",3.72343550619412
1992,"Liver Cancer (C22)","UK","All",3.95780566624048
1993,"Liver Cancer (C22)","UK","All",4.11693522995853
1994,"Liver Cancer (C22)","UK","All",4.22462660266558
1995,"Liver Cancer (C22)","UK","All",4.30688096634972
1996,"Liver Cancer (C22)","UK","All",4.46556445989456
1997,"Liver Cancer (C22)","UK","All",4.58882615970015
1998,"Liver Cancer (C22)","UK","All",4.65827221832244
1999,"Liver Cancer (C22)","UK","All",4.72122285112262
2000,"Liver Cancer (C22)","UK","All",4.76956662464849
2001,"Liver Cancer (C22)","UK","All",4.90420612239341
2002,"Liver Cancer (C22)","UK","All",4.97140313384793
2003,"Liver Cancer (C22)","UK","All",5.15935701619619
2004,"Liver Cancer (C22)","UK","All",5.3447850176387
2005,"Liver Cancer (C22)","UK","All",5.63606771029776
