"Sex"	"Cancer Type"	"Year"	"ASR (Europe)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
All	Bladder Cancer (C67)	1976	11.73	11.76	NA	-0.2155	6	6
All	Bladder Cancer (C67)	1977	11.76	11.73	NA	-0.2155	6	6
All	Bladder Cancer (C67)	1978	11.71	11.71	NA	-0.2155	6	6
All	Bladder Cancer (C67)	1979	11.69	11.68	NA	-0.2155	6	6
All	Bladder Cancer (C67)	1980	11.67	11.66	NA	-0.2155	6	6
All	Bladder Cancer (C67)	1981	11.60	11.63	Joinpoint 1	NA	6	6
All	Bladder Cancer (C67)	1982	11.61	11.70	NA	0.5606*	6	6
All	Bladder Cancer (C67)	1983	11.75	11.76	NA	0.5606*	6	6
All	Bladder Cancer (C67)	1984	11.92	11.83	NA	0.5606*	6	6
All	Bladder Cancer (C67)	1985	12.04	11.89	NA	0.5606*	6	6
All	Bladder Cancer (C67)	1986	11.93	11.96	NA	0.5606*	6	6
All	Bladder Cancer (C67)	1987	11.99	12.03	NA	0.5606*	6	6
All	Bladder Cancer (C67)	1988	11.99	12.09	NA	0.5606*	6	6
All	Bladder Cancer (C67)	1989	12.19	12.16	NA	0.5606*	6	6
All	Bladder Cancer (C67)	1990	12.19	12.23	NA	0.5606*	6	6
All	Bladder Cancer (C67)	1991	12.32	12.30	Joinpoint 2	NA	6	6
All	Bladder Cancer (C67)	1992	12.12	12.10	NA	-1.6272*	6	6
All	Bladder Cancer (C67)	1993	11.93	11.90	NA	-1.6272*	6	6
All	Bladder Cancer (C67)	1994	11.68	11.71	NA	-1.6272*	6	6
All	Bladder Cancer (C67)	1995	11.49	11.52	Joinpoint 3	NA	6	6
All	Bladder Cancer (C67)	1996	11.27	11.22	NA	-2.6188*	6	6
All	Bladder Cancer (C67)	1997	10.91	10.92	NA	-2.6188*	6	6
All	Bladder Cancer (C67)	1998	10.59	10.64	NA	-2.6188*	6	6
All	Bladder Cancer (C67)	1999	10.39	10.36	Joinpoint 4	NA	6	6
All	Bladder Cancer (C67)	2000	10.29	10.29	NA	-0.6466	6	6
All	Bladder Cancer (C67)	2001	10.23	10.22	NA	-0.6466	6	6
All	Bladder Cancer (C67)	2002	10.15	10.16	Joinpoint 5	NA	6	6
All	Bladder Cancer (C67)	2003	9.97	9.96	NA	-1.9482*	6	6
All	Bladder Cancer (C67)	2004	9.75	9.77	NA	-1.9482*	6	6
All	Bladder Cancer (C67)	2005	9.54	9.58	Joinpoint 6	NA	6	6
All	Bladder Cancer (C67)	2006	9.47	9.51	NA	-0.6421*	6	6
All	Bladder Cancer (C67)	2007	9.51	9.45	NA	-0.6421*	6	6
All	Bladder Cancer (C67)	2008	9.49	9.39	NA	-0.6421*	6	6
All	Bladder Cancer (C67)	2009	9.34	9.33	NA	-0.6421*	6	6
All	Bladder Cancer (C67)	2010	9.22	9.27	NA	-0.6421*	6	6
All	Bladder Cancer (C67)	2011	9.19	9.21	NA	-0.6421*	6	6
All	Bladder Cancer (C67)	2012	9.18	9.15	NA	-0.6421*	6	6
All	Bladder Cancer (C67)	2013	9.17	9.10	NA	-0.6421*	6	6
All	Bladder Cancer (C67)	2014	8.99	9.04	NA	-0.6421*	6	6
All	Bladder Cancer (C67)	2015	8.94	8.98	NA	-0.6421*	6	6
All	Bladder Cancer (C67)	2016	8.91	8.92	NA	-0.6421*	6	6
All	Bladder Cancer (C67)	2017	8.88	8.86	NA	-0.6421*	6	6
All	Brain	1976	6.54	6.63	NA	1.1460*	3	3
All	Brain	1977	6.75	6.71	NA	1.1460*	3	3
All	Brain	1978	6.86	6.79	NA	1.1460*	3	3
All	Brain	1979	6.92	6.86	NA	1.1460*	3	3
