"Year","Cancer Type","Geography","Sex","ASR (Europe)"
1994,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",538.238648709911
1995,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",539.500245058277
1996,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",540.539002768878
1997,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",543.661712218847
1998,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",548.110991604338
1999,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",550.739502589626
2000,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",556.695905992575
2001,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",557.657661042483
2002,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",559.218814950105
2003,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",561.762817712838
2004,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",566.752751912803
2005,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",573.93882401304
2006,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",578.238787599817
2007,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",587.089806975523
2008,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",593.2702805853
2009,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",598.973265157186
2010,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",601.899870102247
2011,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",605.66676972873
2012,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",614.377626048276
2013,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",617.88508028801
2014,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",618.071886481129
2015,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",612.724931731576
2016,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",607.61138061379
2017,"All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))","UK","All",608.920797947227
1994,"Bowel Cancer (C18-C20)","UK","All",69.7676382518203
1995,"Bowel Cancer (C18-C20)","UK","All",70.1858946487836
1996,"Bowel Cancer (C18-C20)","UK","All",70.6157783935479
1997,"Bowel Cancer (C18-C20)","UK","All",71.7811841676322
1998,"Bowel Cancer (C18-C20)","UK","All",71.8702951179268
1999,"Bowel Cancer (C18-C20)","UK","All",72.0282088541142
2000,"Bowel Cancer (C18-C20)","UK","All",71.3538771186182
2001,"Bowel Cancer (C18-C20)","UK","All",70.4171602294949
2002,"Bowel Cancer (C18-C20)","UK","All",69.6441040572099
2003,"Bowel Cancer (C18-C20)","UK","All",69.9639469168506
2004,"Bowel Cancer (C18-C20)","UK","All",70.7592511589395
2005,"Bowel Cancer (C18-C20)","UK","All",71.6893293533845
