"Year","Cancer Type","Geography","Sex","ASR (Europe)"
1976,"All Cancers Combined (C00-C97)","UK","All",332.241591842945
1977,"All Cancers Combined (C00-C97)","UK","All",333.788638997709
1978,"All Cancers Combined (C00-C97)","UK","All",334.798970859439
1979,"All Cancers Combined (C00-C97)","UK","All",336.559294514001
1980,"All Cancers Combined (C00-C97)","UK","All",337.508706336036
1981,"All Cancers Combined (C00-C97)","UK","All",337.174166084762
1982,"All Cancers Combined (C00-C97)","UK","All",338.560162899988
1983,"All Cancers Combined (C00-C97)","UK","All",343.985417193366
1984,"All Cancers Combined (C00-C97)","UK","All",349.754222070396
1985,"All Cancers Combined (C00-C97)","UK","All",352.66484250308
1986,"All Cancers Combined (C00-C97)","UK","All",352.487599807515
1987,"All Cancers Combined (C00-C97)","UK","All",352.757717021376
1988,"All Cancers Combined (C00-C97)","UK","All",354.554972286379
1989,"All Cancers Combined (C00-C97)","UK","All",354.11835045536
1990,"All Cancers Combined (C00-C97)","UK","All",352.960568842715
1991,"All Cancers Combined (C00-C97)","UK","All",351.267760328299
1992,"All Cancers Combined (C00-C97)","UK","All",347.880450644618
1993,"All Cancers Combined (C00-C97)","UK","All",343.20269438422
1994,"All Cancers Combined (C00-C97)","UK","All",337.35907215533
1995,"All Cancers Combined (C00-C97)","UK","All",333.37843739674
1996,"All Cancers Combined (C00-C97)","UK","All",328.433535764253
1997,"All Cancers Combined (C00-C97)","UK","All",324.573692752083
1998,"All Cancers Combined (C00-C97)","UK","All",319.38932700621
1999,"All Cancers Combined (C00-C97)","UK","All",314.86872164203
2000,"All Cancers Combined (C00-C97)","UK","All",312.691848193832
2001,"All Cancers Combined (C00-C97)","UK","All",312.337476872042
2002,"All Cancers Combined (C00-C97)","UK","All",312.303817940179
2003,"All Cancers Combined (C00-C97)","UK","All",308.76790648593
2004,"All Cancers Combined (C00-C97)","UK","All",304.619716521352
2005,"All Cancers Combined (C00-C97)","UK","All",301.220443162572
2006,"All Cancers Combined (C00-C97)","UK","All",298.974437297451
2007,"All Cancers Combined (C00-C97)","UK","All",297.135751366313
2008,"All Cancers Combined (C00-C97)","UK","All",294.116665721458
2009,"All Cancers Combined (C00-C97)","UK","All",290.793107840383
2010,"All Cancers Combined (C00-C97)","UK","All",287.884920570251
2011,"All Cancers Combined (C00-C97)","UK","All",286.48574391687
2012,"All Cancers Combined (C00-C97)","UK","All",284.222413411157
2013,"All Cancers Combined (C00-C97)","UK","All",281.468051247184
2014,"All Cancers Combined (C00-C97)","UK","All",276.59774175768
2015,"All Cancers Combined (C00-C97)","UK","All",274.390519454239
2016,"All Cancers Combined (C00-C97)","UK","All",271.584474991772
2017,"All Cancers Combined (C00-C97)","UK","All",269.604107778349
1976,"Bowel Cancer (C18-C20)","UK","All",47.9199986636954
1977,"Bowel Cancer (C18-C20)","UK","All",47.2152265901498
1978,"Bowel Cancer (C18-C20)","UK","All",46.2269533251548
1979,"Bowel Cancer (C18-C20)","UK","All",45.8440743835569
1980,"Bowel Cancer (C18-C20)","UK","All",45.3313564017463
1981,"Bowel Cancer (C18-C20)","UK","All",44.3904396013981
1982,"Bowel Cancer (C18-C20)","UK","All",43.9896875374932
1983,"Bowel Cancer (C18-C20)","UK","All",44.3478306676338
1984,"Bowel Cancer (C18-C20)","UK","All",45.0353708452819
1985,"Bowel Cancer (C18-C20)","UK","All",44.9083207659169
