"Sex"	"Cancer Type"	"Year"	"ASR (Europe)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
All	All Cancers Combined (C00-C97)	1976	332.24	332.68	NA	0.3181*	5	5
All	All Cancers Combined (C00-C97)	1977	333.79	333.74	NA	0.3181*	5	5
All	All Cancers Combined (C00-C97)	1978	334.80	334.80	NA	0.3181*	5	5
All	All Cancers Combined (C00-C97)	1979	336.56	335.86	NA	0.3181*	5	5
All	All Cancers Combined (C00-C97)	1980	337.51	336.93	NA	0.3181*	5	5
All	All Cancers Combined (C00-C97)	1981	337.17	338.00	NA	0.3181*	5	5
All	All Cancers Combined (C00-C97)	1982	338.56	339.08	Joinpoint 1	NA	5	5
All	All Cancers Combined (C00-C97)	1983	343.99	343.82	NA	1.3987*	5	5
All	All Cancers Combined (C00-C97)	1984	349.75	348.63	NA	1.3987*	5	5
All	All Cancers Combined (C00-C97)	1985	352.66	353.51	Joinpoint 2	NA	5	5
All	All Cancers Combined (C00-C97)	1986	352.49	353.38	NA	-0.0362	5	5
All	All Cancers Combined (C00-C97)	1987	352.76	353.25	NA	-0.0362	5	5
All	All Cancers Combined (C00-C97)	1988	354.55	353.12	NA	-0.0362	5	5
All	All Cancers Combined (C00-C97)	1989	354.12	353.00	NA	-0.0362	5	5
All	All Cancers Combined (C00-C97)	1990	352.96	352.87	NA	-0.0362	5	5
All	All Cancers Combined (C00-C97)	1991	351.27	352.74	Joinpoint 3	NA	5	5
All	All Cancers Combined (C00-C97)	1992	347.88	347.75	NA	-1.4137*	5	5
All	All Cancers Combined (C00-C97)	1993	343.20	342.84	NA	-1.4137*	5	5
All	All Cancers Combined (C00-C97)	1994	337.36	337.99	NA	-1.4137*	5	5
All	All Cancers Combined (C00-C97)	1995	333.38	333.21	NA	-1.4137*	5	5
All	All Cancers Combined (C00-C97)	1996	328.43	328.50	NA	-1.4137*	5	5
All	All Cancers Combined (C00-C97)	1997	324.57	323.86	NA	-1.4137*	5	5
All	All Cancers Combined (C00-C97)	1998	319.39	319.28	NA	-1.4137*	5	5
All	All Cancers Combined (C00-C97)	1999	314.87	314.77	Joinpoint 4	NA	5	5
All	All Cancers Combined (C00-C97)	2000	312.69	313.59	NA	-0.3726	5	5
All	All Cancers Combined (C00-C97)	2001	312.34	312.42	NA	-0.3726	5	5
All	All Cancers Combined (C00-C97)	2002	312.30	311.26	Joinpoint 5	NA	5	5
All	All Cancers Combined (C00-C97)	2003	308.77	308.30	NA	-0.9523*	5	5
All	All Cancers Combined (C00-C97)	2004	304.62	305.36	NA	-0.9523*	5	5
All	All Cancers Combined (C00-C97)	2005	301.22	302.45	NA	-0.9523*	5	5
All	All Cancers Combined (C00-C97)	2006	298.97	299.57	NA	-0.9523*	5	5
All	All Cancers Combined (C00-C97)	2007	297.14	296.72	NA	-0.9523*	5	5
All	All Cancers Combined (C00-C97)	2008	294.12	293.89	NA	-0.9523*	5	5
All	All Cancers Combined (C00-C97)	2009	290.79	291.09	NA	-0.9523*	5	5
All	All Cancers Combined (C00-C97)	2010	287.88	288.32	NA	-0.9523*	5	5
All	All Cancers Combined (C00-C97)	2011	286.49	285.58	NA	-0.9523*	5	5
