"Sex"	"Year"	"ASR (World)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
1	1993	270.98	269.92	NA	0.2453*	1	1
1	1994	273.14	270.58	NA	0.2453*	1	1
1	1995	269.71	271.24	NA	0.2453*	1	1
1	1996	270.23	271.91	NA	0.2453*	1	1
1	1997	272.40	272.57	NA	0.2453*	1	1
1	1998	270.24	273.24	NA	0.2453*	1	1
1	1999	271.99	273.91	NA	0.2453*	1	1
1	2000	276.84	274.58	NA	0.2453*	1	1
1	2001	279.24	275.26	NA	0.2453*	1	1
1	2002	275.48	275.93	NA	0.2453*	1	1
1	2003	273.24	276.61	Joinpoint 1	NA	1	1
1	2004	281.23	278.90	NA	0.8274*	1	1
1	2005	279.44	281.21	NA	0.8274*	1	1
1	2006	285.03	283.53	NA	0.8274*	1	1
1	2007	284.31	285.88	NA	0.8274*	1	1
1	2008	287.23	288.24	NA	0.8274*	1	1
1	2009	296.44	290.63	NA	0.8274*	1	1
1	2010	293.78	293.03	NA	0.8274*	1	1
1	2011	294.62	295.46	NA	0.8274*	1	1
1	2012	296.14	297.90	NA	0.8274*	1	1
1	2013	299.40	300.37	NA	0.8274*	1	1
2	1993	233.68	234.23	NA	-0.3706	3	3
2	1994	234.47	233.36	NA	-0.3706	3	3
2	1995	231.72	232.50	Joinpoint 1	NA	3	3
2	1996	234.30	235.10	NA	1.1176*	3	3
2	1997	240.12	237.73	NA	1.1176*	3	3
2	1998	239.00	240.38	NA	1.1176*	3	3
2	1999	242.93	243.07	Joinpoint 2	NA	3	3
2	2000	242.11	242.20	NA	-0.3582	3	3
2	2001	242.06	241.33	NA	-0.3582	3	3
2	2002	238.75	240.47	Joinpoint 3	NA	3	3
2	2003	243.99	243.05	NA	1.0734*	3	3
2	2004	245.30	245.66	NA	1.0734*	3	3
2	2005	248.28	248.29	NA	1.0734*	3	3
2	2006	251.02	250.96	NA	1.0734*	3	3
2	2007	252.72	253.65	NA	1.0734*	3	3
2	2008	257.15	256.37	NA	1.0734*	3	3
2	2009	261.75	259.13	NA	1.0734*	3	3
2	2010	262.31	261.91	NA	1.0734*	3	3
2	2011	264.27	264.72	NA	1.0734*	3	3
2	2012	266.70	267.56	NA	1.0734*	3	3
2	2013	269.54	270.43	NA	1.0734*	3	3
