"Sex"	"Year"	"ASR (World)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
1	1950	162.00	164.51	NA	0.8234*	3	3
1	1951	165.69	165.86	NA	0.8234*	3	3
1	1952	167.17	167.23	NA	0.8234*	3	3
1	1953	168.18	168.60	NA	0.8234*	3	3
1	1954	171.18	169.99	NA	0.8234*	3	3
1	1955	171.98	171.39	NA	0.8234*	3	3
1	1956	173.61	172.80	NA	0.8234*	3	3
1	1957	175.03	174.23	NA	0.8234*	3	3
1	1958	176.35	175.66	NA	0.8234*	3	3
1	1959	178.41	177.11	NA	0.8234*	3	3
1	1960	179.02	178.57	NA	0.8234*	3	3
1	1961	179.74	180.04	NA	0.8234*	3	3
1	1962	181.94	181.52	NA	0.8234*	3	3
1	1963	183.11	183.01	NA	0.8234*	3	3
1	1964	183.53	184.52	NA	0.8234*	3	3
1	1965	185.36	186.04	NA	0.8234*	3	3
1	1966	187.25	187.57	NA	0.8234*	3	3
1	1967	188.11	189.12	NA	0.8234*	3	3
1	1968	190.54	190.67	NA	0.8234*	3	3
1	1969	191.56	192.24	Joinpoint 1	NA	3	3
1	1970	191.12	191.71	NA	-0.2747*	3	3
1	1971	188.67	191.19	NA	-0.2747*	3	3
1	1972	190.24	190.66	NA	-0.2747*	3	3
1	1973	190.08	190.14	NA	-0.2747*	3	3
1	1974	190.69	189.62	NA	-0.2747*	3	3
1	1975	188.37	189.10	NA	-0.2747*	3	3
1	1976	191.31	188.58	NA	-0.2747*	3	3
1	1977	188.39	188.06	NA	-0.2747*	3	3
1	1978	189.75	187.54	NA	-0.2747*	3	3
1	1979	189.53	187.03	NA	-0.2747*	3	3
1	1980	187.41	186.51	NA	-0.2747*	3	3
1	1981	182.85	186.00	NA	-0.2747*	3	3
1	1982	181.75	185.49	NA	-0.2747*	3	3
1	1983	184.73	184.98	NA	-0.2747*	3	3
1	1984	188.14	184.47	NA	-0.2747*	3	3
1	1985	186.46	183.96	NA	-0.2747*	3	3
1	1986	183.43	183.46	NA	-0.2747*	3	3
1	1987	182.60	182.95	NA	-0.2747*	3	3
1	1988	183.36	182.45	NA	-0.2747*	3	3
1	1989	181.39	181.95	NA	-0.2747*	3	3
1	1990	179.69	181.45	NA	-0.2747*	3	3
1	1991	179.20	180.95	Joinpoint 2	NA	3	3
