"Year","Sex","ASR (World)","Cancer label","incmort"
1997,1,267.6388561,"All sites excl. non-melanoma skin cancer","Incidence"
1998,1,265.1147573,"All sites excl. non-melanoma skin cancer","Incidence"
1999,1,267.8364693,"All sites excl. non-melanoma skin cancer","Incidence"
2000,1,273.1007918,"All sites excl. non-melanoma skin cancer","Incidence"
2001,1,275.2355632,"All sites excl. non-melanoma skin cancer","Incidence"
2002,1,270.4688505,"All sites excl. non-melanoma skin cancer","Incidence"
2003,1,268.0099715,"All sites excl. non-melanoma skin cancer","Incidence"
2004,1,276.7594567,"All sites excl. non-melanoma skin cancer","Incidence"
2005,1,275.6140607,"All sites excl. non-melanoma skin cancer","Incidence"
2006,1,281.6373192,"All sites excl. non-melanoma skin cancer","Incidence"
2007,1,280.3021956,"All sites excl. non-melanoma skin cancer","Incidence"
2008,1,282.9080392,"All sites excl. non-melanoma skin cancer","Incidence"
2009,1,293.2939359,"All sites excl. non-melanoma skin cancer","Incidence"
2010,1,291.7459393,"All sites excl. non-melanoma skin cancer","Incidence"
2011,1,291.700623,"All sites excl. non-melanoma skin cancer","Incidence"
2012,1,294.0824777,"All sites excl. non-melanoma skin cancer","Incidence"
2013,1,298.1178034,"All sites excl. non-melanoma skin cancer","Incidence"
2014,1,293.923103,"All sites excl. non-melanoma skin cancer","Incidence"
2015,1,293.5121441,"All sites excl. non-melanoma skin cancer","Incidence"
2016,1,291.001534,"All sites excl. non-melanoma skin cancer","Incidence"
2017,1,288.9623613,"All sites excl. non-melanoma skin cancer","Incidence"
1996,1,160.3292205,"All sites excl. non-melanoma skin cancer","Mortality"
1997,1,155.0537043,"All sites excl. non-melanoma skin cancer","Mortality"
1998,1,154.9440503,"All sites excl. non-melanoma skin cancer","Mortality"
1999,1,149.6808711,"All sites excl. non-melanoma skin cancer","Mortality"
2000,1,145.7931004,"All sites excl. non-melanoma skin cancer","Mortality"
2001,1,147.5068694,"All sites excl. non-melanoma skin cancer","Mortality"
2002,1,146.6209573,"All sites excl. non-melanoma skin cancer","Mortality"
2003,1,143.127011,"All sites excl. non-melanoma skin cancer","Mortality"
2004,1,139.8602436,"All sites excl. non-melanoma skin cancer","Mortality"
2005,1,136.5808467,"All sites excl. non-melanoma skin cancer","Mortality"
2006,1,135.9911922,"All sites excl. non-melanoma skin cancer","Mortality"
2007,1,133.5450521,"All sites excl. non-melanoma skin cancer","Mortality"
2008,1,131.5452602,"All sites excl. non-melanoma skin cancer","Mortality"
2009,1,129.510666,"All sites excl. non-melanoma skin cancer","Mortality"
2010,1,126.9480679,"All sites excl. non-melanoma skin cancer","Mortality"
2011,1,125.7067971,"All sites excl. non-melanoma skin cancer","Mortality"
2012,1,124.5885018,"All sites excl. non-melanoma skin cancer","Mortality"
2013,1,122.3840143,"All sites excl. non-melanoma skin cancer","Mortality"
2014,1,120.7464719,"All sites excl. non-melanoma skin cancer","Mortality"
2015,1,118.8940334,"All sites excl. non-melanoma skin cancer","Mortality"
2016,1,117.7584842,"All sites excl. non-melanoma skin cancer","Mortality"
1997,1,36.42326282,"Colorectum","Incidence"
1998,1,36.85655695,"Colorectum","Incidence"
1999,1,36.31551546,"Colorectum","Incidence"
2000,1,36.72700735,"Colorectum","Incidence"
2001,1,35.24080545,"Colorectum","Incidence"
2002,1,34.92483871,"Colorectum","Incidence"
2003,1,35.25129958,"Colorectum","Incidence"
2004,1,35.93420413,"Colorectum","Incidence"
2005,1,35.95297157,"Colorectum","Incidence"
2006,1,36.50617282,"Colorectum","Incidence"
2007,1,36.41007179,"Colorectum","Incidence"
2008,1,37.94809308,"Colorectum","Incidence"
2009,1,38.10914173,"Colorectum","Incidence"
2010,1,38.35816023,"Colorectum","Incidence"
2011,1,38.58039324,"Colorectum","Incidence"
2012,1,38.50504984,"Colorectum","Incidence"
2013,1,36.46765078,"Colorectum","Incidence"
2014,1,35.7300228,"Colorectum","Incidence"
2015,1,35.8300963,"Colorectum","Incidence"
2016,1,36.30208491,"Colorectum","Incidence"
2017,1,35.13240972,"Colorectum","Incidence"
1996,1,17.51424376,"Colorectum","Mortality"
1997,1,17.15009158,"Colorectum","Mortality"
1998,1,16.76588846,"Colorectum","Mortality"
1999,1,15.97375355,"Colorectum","Mortality"
2000,1,15.69936836,"Colorectum","Mortality"
2001,1,15.56516221,"Colorectum","Mortality"
2002,1,15.39886261,"Colorectum","Mortality"
2003,1,14.99580668,"Colorectum","Mortality"
2004,1,14.86412264,"Colorectum","Mortality"
2005,1,14.47848956,"Colorectum","Mortality"
2006,1,14.06126489,"Colorectum","Mortality"
2007,1,13.8093237,"Colorectum","Mortality"
2008,1,13.91160317,"Colorectum","Mortality"
2009,1,13.33889198,"Colorectum","Mortality"
2010,1,13.38556996,"Colorectum","Mortality"
2011,1,12.70150242,"Colorectum","Mortality"
2012,1,12.88964218,"Colorectum","Mortality"
2013,1,12.30574613,"Colorectum","Mortality"
2014,1,12.04138728,"Colorectum","Mortality"
2015,1,12.03768322,"Colorectum","Mortality"
2016,1,11.95987295,"Colorectum","Mortality"
1997,1,48.00633954,"Lung","Incidence"
1998,1,45.7820006,"Lung","Incidence"
1999,1,44.51937518,"Lung","Incidence"
2000,1,44.12452293,"Lung","Incidence"
2001,1,42.60789618,"Lung","Incidence"
2002,1,40.53011548,"Lung","Incidence"
2003,1,39.08138432,"Lung","Incidence"
2004,1,39.73725686,"Lung","Incidence"
2005,1,38.69100243,"Lung","Incidence"
2006,1,39.45221305,"Lung","Incidence"
2007,1,38.19670585,"Lung","Incidence"
2008,1,37.9528595,"Lung","Incidence"
2009,1,37.20136222,"Lung","Incidence"
2010,1,37.07564708,"Lung","Incidence"
2011,1,36.96561332,"Lung","Incidence"
2012,1,37.1182965,"Lung","Incidence"
2013,1,35.95706826,"Lung","Incidence"
2014,1,35.38344648,"Lung","Incidence"
2015,1,34.41373302,"Lung","Incidence"
2016,1,34.76091746,"Lung","Incidence"
2017,1,33.61650831,"Lung","Incidence"
1996,1,44.22003628,"Lung","Mortality"
1997,1,41.90329296,"Lung","Mortality"
1998,1,41.48815175,"Lung","Mortality"
1999,1,39.27263867,"Lung","Mortality"
2000,1,38.04344882,"Lung","Mortality"
2001,1,36.83917121,"Lung","Mortality"
2002,1,36.17521561,"Lung","Mortality"
2003,1,34.52118502,"Lung","Mortality"
2004,1,33.49604236,"Lung","Mortality"
2005,1,32.92659698,"Lung","Mortality"
2006,1,32.68034102,"Lung","Mortality"
2007,1,31.93154321,"Lung","Mortality"
2008,1,31.65146306,"Lung","Mortality"
2009,1,30.74295109,"Lung","Mortality"
2010,1,29.82069021,"Lung","Mortality"
2011,1,29.17857293,"Lung","Mortality"
2012,1,28.19131556,"Lung","Mortality"
2013,1,27.74068321,"Lung","Mortality"
2014,1,27.19310956,"Lung","Mortality"
2015,1,25.96714662,"Lung","Mortality"
2016,1,25.60846566,"Lung","Mortality"
1997,1,8.52087974,"Oesophagus","Incidence"
1998,1,8.300638857,"Oesophagus","Incidence"
1999,1,8.433634184,"Oesophagus","Incidence"
2000,1,8.754399554,"Oesophagus","Incidence"
2001,1,9.039466122,"Oesophagus","Incidence"
2002,1,9.101323365,"Oesophagus","Incidence"
2003,1,9.053197187,"Oesophagus","Incidence"
2004,1,9.084501862,"Oesophagus","Incidence"
2005,1,9.178678024,"Oesophagus","Incidence"
2006,1,9.215003084,"Oesophagus","Incidence"
2007,1,9.470073081,"Oesophagus","Incidence"
2008,1,9.764084149,"Oesophagus","Incidence"
2009,1,9.554587044,"Oesophagus","Incidence"
2010,1,9.70882846,"Oesophagus","Incidence"
2011,1,9.543194829,"Oesophagus","Incidence"
2012,1,9.818125994,"Oesophagus","Incidence"
2013,1,9.551798589,"Oesophagus","Incidence"
2014,1,9.491735803,"Oesophagus","Incidence"
2015,1,9.704417132,"Oesophagus","Incidence"
2016,1,9.563573806,"Oesophagus","Incidence"
2017,1,9.442346863,"Oesophagus","Incidence"
1996,1,8.309418152,"Oesophagus","Mortality"
1997,1,8.229987383,"Oesophagus","Mortality"
1998,1,8.430160102,"Oesophagus","Mortality"
1999,1,8.319719673,"Oesophagus","Mortality"
2000,1,8.298496289,"Oesophagus","Mortality"
2001,1,8.465178312,"Oesophagus","Mortality"
2002,1,8.596518806,"Oesophagus","Mortality"
2003,1,8.833894757,"Oesophagus","Mortality"
2004,1,8.439233214,"Oesophagus","Mortality"
2005,1,8.621457642,"Oesophagus","Mortality"
2006,1,8.526740367,"Oesophagus","Mortality"
2007,1,8.427352514,"Oesophagus","Mortality"
2008,1,8.616829168,"Oesophagus","Mortality"
2009,1,8.5173803,"Oesophagus","Mortality"
2010,1,8.329822363,"Oesophagus","Mortality"
2011,1,8.281357526,"Oesophagus","Mortality"
2012,1,8.238108022,"Oesophagus","Mortality"
2013,1,8.063781722,"Oesophagus","Mortality"
2014,1,7.741788365,"Oesophagus","Mortality"
2015,1,8.039945789,"Oesophagus","Mortality"
2016,1,7.815791091,"Oesophagus","Mortality"
1997,1,6.833138895,"Pancreas","Incidence"
1998,1,6.595714059,"Pancreas","Incidence"
1999,1,6.774817901,"Pancreas","Incidence"
2000,1,6.882450319,"Pancreas","Incidence"
2001,1,6.690733711,"Pancreas","Incidence"
2002,1,6.672432558,"Pancreas","Incidence"
2003,1,6.669673689,"Pancreas","Incidence"
2004,1,6.822151316,"Pancreas","Incidence"
2005,1,6.861350342,"Pancreas","Incidence"
2006,1,7.049844366,"Pancreas","Incidence"
2007,1,6.874073412,"Pancreas","Incidence"
2008,1,7.220023381,"Pancreas","Incidence"
2009,1,7.281947944,"Pancreas","Incidence"
2010,1,7.215017324,"Pancreas","Incidence"
2011,1,7.184146395,"Pancreas","Incidence"
2012,1,7.404599275,"Pancreas","Incidence"
2013,1,7.610770299,"Pancreas","Incidence"
2014,1,7.440583628,"Pancreas","Incidence"
2015,1,7.467157179,"Pancreas","Incidence"
2016,1,7.604763111,"Pancreas","Incidence"
2017,1,7.778295932,"Pancreas","Incidence"
1996,1,6.515087099,"Pancreas","Mortality"
1997,1,6.350247066,"Pancreas","Mortality"
1998,1,6.262730665,"Pancreas","Mortality"
1999,1,6.266942481,"Pancreas","Mortality"
2000,1,6.538516264,"Pancreas","Mortality"
2001,1,6.197587591,"Pancreas","Mortality"
