"Cancer label"	"incmort"	"Sex"	"Year"	"ASR (World)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
All sites excl. non-melanoma skin cancer	"Incidence"	1	1997	267.64	263.83	NA	0.7212*	1	1
All sites excl. non-melanoma skin cancer	"Incidence"	1	1998	265.11	265.73	NA	0.7212*	1	1
All sites excl. non-melanoma skin cancer	"Incidence"	1	1999	267.84	267.65	NA	0.7212*	1	1
All sites excl. non-melanoma skin cancer	"Incidence"	1	2000	273.10	269.58	NA	0.7212*	1	1
All sites excl. non-melanoma skin cancer	"Incidence"	1	2001	275.24	271.52	NA	0.7212*	1	1
All sites excl. non-melanoma skin cancer	"Incidence"	1	2002	270.47	273.48	NA	0.7212*	1	1
All sites excl. non-melanoma skin cancer	"Incidence"	1	2003	268.01	275.45	NA	0.7212*	1	1
All sites excl. non-melanoma skin cancer	"Incidence"	1	2004	276.76	277.44	NA	0.7212*	1	1
All sites excl. non-melanoma skin cancer	"Incidence"	1	2005	275.61	279.44	NA	0.7212*	1	1
All sites excl. non-melanoma skin cancer	"Incidence"	1	2006	281.64	281.45	NA	0.7212*	1	1
All sites excl. non-melanoma skin cancer	"Incidence"	1	2007	280.30	283.48	NA	0.7212*	1	1
All sites excl. non-melanoma skin cancer	"Incidence"	1	2008	282.91	285.53	NA	0.7212*	1	1
All sites excl. non-melanoma skin cancer	"Incidence"	1	2009	293.29	287.59	NA	0.7212*	1	1
All sites excl. non-melanoma skin cancer	"Incidence"	1	2010	291.75	289.66	NA	0.7212*	1	1
All sites excl. non-melanoma skin cancer	"Incidence"	1	2011	291.70	291.75	NA	0.7212*	1	1
All sites excl. non-melanoma skin cancer	"Incidence"	1	2012	294.08	293.85	NA	0.7212*	1	1
All sites excl. non-melanoma skin cancer	"Incidence"	1	2013	298.12	295.97	Joinpoint 1	NA	1	1
All sites excl. non-melanoma skin cancer	"Incidence"	1	2014	293.92	294.30	NA	-0.5663	1	1
All sites excl. non-melanoma skin cancer	"Incidence"	1	2015	293.51	292.63	NA	-0.5663	1	1
All sites excl. non-melanoma skin cancer	"Incidence"	1	2016	291.00	290.97	NA	-0.5663	1	1
All sites excl. non-melanoma skin cancer	"Incidence"	1	2017	288.96	289.33	NA	-0.5663	1	1
All sites excl. non-melanoma skin cancer	"Mortality"	1	1996	160.33	158.15	NA	-1.5008*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	1	1997	155.05	155.77	NA	-1.5008*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	1	1998	154.94	153.44	NA	-1.5008*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	1	1999	149.68	151.13	NA	-1.5008*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	1	2000	145.79	148.86	NA	-1.5008*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	1	2001	147.51	146.63	NA	-1.5008*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	1	2002	146.62	144.43	NA	-1.5008*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	1	2003	143.13	142.26	NA	-1.5008*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	1	2004	139.86	140.13	NA	-1.5008*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	1	2005	136.58	138.02	NA	-1.5008*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	1	2006	135.99	135.95	NA	-1.5008*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	1	2007	133.55	133.91	NA	-1.5008*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	1	2008	131.55	131.90	NA	-1.5008*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	1	2009	129.51	129.92	NA	-1.5008*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	1	2010	126.95	127.97	NA	-1.5008*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	1	2011	125.71	126.05	NA	-1.5008*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	1	2012	124.59	124.16	NA	-1.5008*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	1	2013	122.38	122.30	NA	-1.5008*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	1	2014	120.75	120.46	NA	-1.5008*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	1	2015	118.89	118.65	NA	-1.5008*	0	0
All sites excl. non-melanoma skin cancer	"Mortality"	1	2016	117.76	116.87	NA	-1.5008*	0	0
Colorectum	"Incidence"	1	1997	36.42	36.87	NA	-0.8241	2	2
Colorectum	"Incidence"	1	1998	36.86	36.56	NA	-0.8241	2	2
Colorectum	"Incidence"	1	1999	36.32	36.26	NA	-0.8241	2	2
Colorectum	"Incidence"	1	2000	36.73	35.96	NA	-0.8241	2	2
Colorectum	"Incidence"	1	2001	35.24	35.67	NA	-0.8241	2	2
Colorectum	"Incidence"	1	2002	34.92	35.37	NA	-0.8241	2	2
Colorectum	"Incidence"	1	2003	35.25	35.08	Joinpoint 1	NA	2	2
Colorectum	"Incidence"	1	2004	35.93	35.57	NA	1.3817*	2	2
Colorectum	"Incidence"	1	2005	35.95	36.06	NA	1.3817*	2	2
Colorectum	"Incidence"	1	2006	36.51	36.55	NA	1.3817*	2	2
Colorectum	"Incidence"	1	2007	36.41	37.06	NA	1.3817*	2	2
Colorectum	"Incidence"	1	2008	37.95	37.57	NA	1.3817*	2	2
Colorectum	"Incidence"	1	2009	38.11	38.09	NA	1.3817*	2	2
Colorectum	"Incidence"	1	2010	38.36	38.62	Joinpoint 2	NA	2	2
Colorectum	"Incidence"	1	2011	38.58	38.10	NA	-1.3459*	2	2
Colorectum	"Incidence"	1	2012	38.51	37.58	NA	-1.3459*	2	2
Colorectum	"Incidence"	1	2013	36.47	37.08	NA	-1.3459*	2	2
Colorectum	"Incidence"	1	2014	35.73	36.58	NA	-1.3459*	2	2
Colorectum	"Incidence"	1	2015	35.83	36.09	NA	-1.3459*	2	2
Colorectum	"Incidence"	1	2016	36.30	35.60	NA	-1.3459*	2	2
Colorectum	"Incidence"	1	2017	35.13	35.12	NA	-1.3459*	2	2
Colorectum	"Mortality"	1	1996	17.51	17.24	NA	-1.8993*	0	0
Colorectum	"Mortality"	1	1997	17.15	16.91	NA	-1.8993*	0	0
Colorectum	"Mortality"	1	1998	16.77	16.59	NA	-1.8993*	0	0
Colorectum	"Mortality"	1	1999	15.97	16.27	NA	-1.8993*	0	0
Colorectum	"Mortality"	1	2000	15.70	15.96	NA	-1.8993*	0	0
Colorectum	"Mortality"	1	2001	15.57	15.66	NA	-1.8993*	0	0
Colorectum	"Mortality"	1	2002	15.40	15.36	NA	-1.8993*	0	0
Colorectum	"Mortality"	1	2003	15.00	15.07	NA	-1.8993*	0	0
Colorectum	"Mortality"	1	2004	14.86	14.78	NA	-1.8993*	0	0
Colorectum	"Mortality"	1	2005	14.48	14.50	NA	-1.8993*	0	0
Colorectum	"Mortality"	1	2006	14.06	14.23	NA	-1.8993*	0	0
Colorectum	"Mortality"	1	2007	13.81	13.96	NA	-1.8993*	0	0
Colorectum	"Mortality"	1	2008	13.91	13.69	NA	-1.8993*	0	0
Colorectum	"Mortality"	1	2009	13.34	13.43	NA	-1.8993*	0	0
Colorectum	"Mortality"	1	2010	13.39	13.18	NA	-1.8993*	0	0
Colorectum	"Mortality"	1	2011	12.70	12.93	NA	-1.8993*	0	0
Colorectum	"Mortality"	1	2012	12.89	12.68	NA	-1.8993*	0	0
Colorectum	"Mortality"	1	2013	12.31	12.44	NA	-1.8993*	0	0
Colorectum	"Mortality"	1	2014	12.04	12.20	NA	-1.8993*	0	0
Colorectum	"Mortality"	1	2015	12.04	11.97	NA	-1.8993*	0	0
Colorectum	"Mortality"	1	2016	11.96	11.75	NA	-1.8993*	0	0
Lung	"Incidence"	1	1997	48.01	47.61	NA	-2.8922*	1	1
Lung	"Incidence"	1	1998	45.78	46.24	NA	-2.8922*	1	1
Lung	"Incidence"	1	1999	44.52	44.90	NA	-2.8922*	1	1
Lung	"Incidence"	1	2000	44.12	43.60	NA	-2.8922*	1	1
Lung	"Incidence"	1	2001	42.61	42.34	NA	-2.8922*	1	1
Lung	"Incidence"	1	2002	40.53	41.12	NA	-2.8922*	1	1
Lung	"Incidence"	1	2003	39.08	39.93	Joinpoint 1	NA	1	1
Lung	"Incidence"	1	2004	39.74	39.49	NA	-1.0893*	1	1
Lung	"Incidence"	1	2005	38.69	39.06	NA	-1.0893*	1	1
Lung	"Incidence"	1	2006	39.45	38.64	NA	-1.0893*	1	1
Lung	"Incidence"	1	2007	38.20	38.21	NA	-1.0893*	1	1
Lung	"Incidence"	1	2008	37.95	37.80	NA	-1.0893*	1	1
Lung	"Incidence"	1	2009	37.20	37.39	NA	-1.0893*	1	1
Lung	"Incidence"	1	2010	37.08	36.98	NA	-1.0893*	1	1
Lung	"Incidence"	1	2011	36.97	36.58	NA	-1.0893*	1	1
Lung	"Incidence"	1	2012	37.12	36.18	NA	-1.0893*	1	1
Lung	"Incidence"	1	2013	35.96	35.78	NA	-1.0893*	1	1
