"Year","Sex","ASR (World)","Cancer label","incmort"
1993,1,306.8727661,"All sites excl. non-melanoma skin cancer","Incidence"
1994,1,297.455598,"All sites excl. non-melanoma skin cancer","Incidence"
1995,1,284.5677918,"All sites excl. non-melanoma skin cancer","Incidence"
1996,1,285.9097433,"All sites excl. non-melanoma skin cancer","Incidence"
1997,1,272.792174,"All sites excl. non-melanoma skin cancer","Incidence"
1998,1,276.7491844,"All sites excl. non-melanoma skin cancer","Incidence"
1999,1,265.938236,"All sites excl. non-melanoma skin cancer","Incidence"
2000,1,273.5444275,"All sites excl. non-melanoma skin cancer","Incidence"
2001,1,283.6248527,"All sites excl. non-melanoma skin cancer","Incidence"
2002,1,281.2751809,"All sites excl. non-melanoma skin cancer","Incidence"
2003,1,286.0076561,"All sites excl. non-melanoma skin cancer","Incidence"
2004,1,289.5827744,"All sites excl. non-melanoma skin cancer","Incidence"
2005,1,290.4378524,"All sites excl. non-melanoma skin cancer","Incidence"
2006,1,296.5901384,"All sites excl. non-melanoma skin cancer","Incidence"
2007,1,312.7693963,"All sites excl. non-melanoma skin cancer","Incidence"
2008,1,313.1721194,"All sites excl. non-melanoma skin cancer","Incidence"
2009,1,307.0504457,"All sites excl. non-melanoma skin cancer","Incidence"
2010,1,294.6490237,"All sites excl. non-melanoma skin cancer","Incidence"
2011,1,311.5121823,"All sites excl. non-melanoma skin cancer","Incidence"
2012,1,307.6834724,"All sites excl. non-melanoma skin cancer","Incidence"
2013,1,300.8913305,"All sites excl. non-melanoma skin cancer","Incidence"
1996,1,164.7596282,"All sites excl. non-melanoma skin cancer","Mortality"
1997,1,156.7881158,"All sites excl. non-melanoma skin cancer","Mortality"
1998,1,160.6252548,"All sites excl. non-melanoma skin cancer","Mortality"
1999,1,150.0720638,"All sites excl. non-melanoma skin cancer","Mortality"
2000,1,143.2333897,"All sites excl. non-melanoma skin cancer","Mortality"
2001,1,153.5744624,"All sites excl. non-melanoma skin cancer","Mortality"
2002,1,150.6014061,"All sites excl. non-melanoma skin cancer","Mortality"
2003,1,144.7131955,"All sites excl. non-melanoma skin cancer","Mortality"
2004,1,143.1345196,"All sites excl. non-melanoma skin cancer","Mortality"
2005,1,136.6076778,"All sites excl. non-melanoma skin cancer","Mortality"
2006,1,142.657542,"All sites excl. non-melanoma skin cancer","Mortality"
2007,1,142.4937591,"All sites excl. non-melanoma skin cancer","Mortality"
2008,1,140.5765977,"All sites excl. non-melanoma skin cancer","Mortality"
2009,1,132.4690501,"All sites excl. non-melanoma skin cancer","Mortality"
2010,1,136.0769423,"All sites excl. non-melanoma skin cancer","Mortality"
2011,1,132.809421,"All sites excl. non-melanoma skin cancer","Mortality"
2012,1,131.6473362,"All sites excl. non-melanoma skin cancer","Mortality"
2013,1,132.2515524,"All sites excl. non-melanoma skin cancer","Mortality"
2014,1,126.6403455,"All sites excl. non-melanoma skin cancer","Mortality"
2015,1,130.8548772,"All sites excl. non-melanoma skin cancer","Mortality"
2016,1,128.5791685,"All sites excl. non-melanoma skin cancer","Mortality"
1993,1,44.16166533,"Colorectum","Incidence"
1994,1,43.84777777,"Colorectum","Incidence"
1995,1,43.43421099,"Colorectum","Incidence"
1996,1,44.97239986,"Colorectum","Incidence"
1997,1,38.79030063,"Colorectum","Incidence"
1998,1,42.00876742,"Colorectum","Incidence"
1999,1,38.01592192,"Colorectum","Incidence"
2000,1,38.5204239,"Colorectum","Incidence"
2001,1,43.82434723,"Colorectum","Incidence"
2002,1,37.14094181,"Colorectum","Incidence"
2003,1,43.62674756,"Colorectum","Incidence"
2004,1,40.99418167,"Colorectum","Incidence"
2005,1,43.96046896,"Colorectum","Incidence"
2006,1,41.87584535,"Colorectum","Incidence"
2007,1,47.61279973,"Colorectum","Incidence"
2008,1,43.34448497,"Colorectum","Incidence"
2009,1,41.66257262,"Colorectum","Incidence"
2010,1,44.08807872,"Colorectum","Incidence"
2011,1,45.3409011,"Colorectum","Incidence"
2012,1,48.30803779,"Colorectum","Incidence"
2013,1,43.41603777,"Colorectum","Incidence"
1996,1,18.7888931,"Colorectum","Mortality"
1997,1,15.70048107,"Colorectum","Mortality"
1998,1,20.09510307,"Colorectum","Mortality"
1999,1,16.47999944,"Colorectum","Mortality"
2000,1,16.24628402,"Colorectum","Mortality"
2001,1,16.84039024,"Colorectum","Mortality"
2002,1,15.91414479,"Colorectum","Mortality"
2003,1,19.86165086,"Colorectum","Mortality"
2004,1,17.60922054,"Colorectum","Mortality"
2005,1,16.18154902,"Colorectum","Mortality"
2006,1,15.93567672,"Colorectum","Mortality"
2007,1,18.34450505,"Colorectum","Mortality"
2008,1,16.13115979,"Colorectum","Mortality"
2009,1,14.98307003,"Colorectum","Mortality"
2010,1,15.37268822,"Colorectum","Mortality"
2011,1,14.03837079,"Colorectum","Mortality"
2012,1,14.15227701,"Colorectum","Mortality"
2013,1,13.97067523,"Colorectum","Mortality"
2014,1,11.86664142,"Colorectum","Mortality"
