"incmort"	"Cancer label"	"Sex"	"Year"	"ASR (World)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
"Incidence"	All sites excl. non-melanoma skin cancer	1	1993	306.87	302.50	NA	-2.0010*	2	2
"Incidence"	All sites excl. non-melanoma skin cancer	1	1994	297.46	296.45	NA	-2.0010*	2	2
"Incidence"	All sites excl. non-melanoma skin cancer	1	1995	284.57	290.52	NA	-2.0010*	2	2
"Incidence"	All sites excl. non-melanoma skin cancer	1	1996	285.91	284.70	NA	-2.0010*	2	2
"Incidence"	All sites excl. non-melanoma skin cancer	1	1997	272.79	279.01	NA	-2.0010*	2	2
"Incidence"	All sites excl. non-melanoma skin cancer	1	1998	276.75	273.42	NA	-2.0010*	2	2
"Incidence"	All sites excl. non-melanoma skin cancer	1	1999	265.94	267.95	Joinpoint 1	NA	2	2
"Incidence"	All sites excl. non-melanoma skin cancer	1	2000	273.54	272.32	NA	1.6298*	2	2
"Incidence"	All sites excl. non-melanoma skin cancer	1	2001	283.62	276.76	NA	1.6298*	2	2
"Incidence"	All sites excl. non-melanoma skin cancer	1	2002	281.28	281.27	NA	1.6298*	2	2
"Incidence"	All sites excl. non-melanoma skin cancer	1	2003	286.01	285.85	NA	1.6298*	2	2
"Incidence"	All sites excl. non-melanoma skin cancer	1	2004	289.58	290.51	NA	1.6298*	2	2
"Incidence"	All sites excl. non-melanoma skin cancer	1	2005	290.44	295.25	NA	1.6298*	2	2
"Incidence"	All sites excl. non-melanoma skin cancer	1	2006	296.59	300.06	NA	1.6298*	2	2
"Incidence"	All sites excl. non-melanoma skin cancer	1	2007	312.77	304.95	NA	1.6298*	2	2
"Incidence"	All sites excl. non-melanoma skin cancer	1	2008	313.17	309.92	Joinpoint 2	NA	2	2
"Incidence"	All sites excl. non-melanoma skin cancer	1	2009	307.05	308.39	NA	-0.4928	2	2
"Incidence"	All sites excl. non-melanoma skin cancer	1	2010	294.65	306.87	NA	-0.4928	2	2
"Incidence"	All sites excl. non-melanoma skin cancer	1	2011	311.51	305.36	NA	-0.4928	2	2
"Incidence"	All sites excl. non-melanoma skin cancer	1	2012	307.68	303.85	NA	-0.4928	2	2
"Incidence"	All sites excl. non-melanoma skin cancer	1	2013	300.89	302.36	NA	-0.4928	2	2
"Mortality"	All sites excl. non-melanoma skin cancer	1	1996	164.76	158.70	NA	-1.1351*	0	0
"Mortality"	All sites excl. non-melanoma skin cancer	1	1997	156.79	156.89	NA	-1.1351*	0	0
"Mortality"	All sites excl. non-melanoma skin cancer	1	1998	160.63	155.11	NA	-1.1351*	0	0
"Mortality"	All sites excl. non-melanoma skin cancer	1	1999	150.07	153.35	NA	-1.1351*	0	0
"Mortality"	All sites excl. non-melanoma skin cancer	1	2000	143.23	151.61	NA	-1.1351*	0	0
"Mortality"	All sites excl. non-melanoma skin cancer	1	2001	153.57	149.89	NA	-1.1351*	0	0
"Mortality"	All sites excl. non-melanoma skin cancer	1	2002	150.60	148.19	NA	-1.1351*	0	0
"Mortality"	All sites excl. non-melanoma skin cancer	1	2003	144.71	146.51	NA	-1.1351*	0	0
"Mortality"	All sites excl. non-melanoma skin cancer	1	2004	143.13	144.84	NA	-1.1351*	0	0
"Mortality"	All sites excl. non-melanoma skin cancer	1	2005	136.61	143.20	NA	-1.1351*	0	0
"Mortality"	All sites excl. non-melanoma skin cancer	1	2006	142.66	141.57	NA	-1.1351*	0	0
"Mortality"	All sites excl. non-melanoma skin cancer	1	2007	142.49	139.97	NA	-1.1351*	0	0
"Mortality"	All sites excl. non-melanoma skin cancer	1	2008	140.58	138.38	NA	-1.1351*	0	0
"Mortality"	All sites excl. non-melanoma skin cancer	1	2009	132.47	136.81	NA	-1.1351*	0	0
"Mortality"	All sites excl. non-melanoma skin cancer	1	2010	136.08	135.25	NA	-1.1351*	0	0
"Mortality"	All sites excl. non-melanoma skin cancer	1	2011	132.81	133.72	NA	-1.1351*	0	0
"Mortality"	All sites excl. non-melanoma skin cancer	1	2012	131.65	132.20	NA	-1.1351*	0	0
"Mortality"	All sites excl. non-melanoma skin cancer	1	2013	132.25	130.70	NA	-1.1351*	0	0
"Mortality"	All sites excl. non-melanoma skin cancer	1	2014	126.64	129.22	NA	-1.1351*	0	0
"Mortality"	All sites excl. non-melanoma skin cancer	1	2015	130.85	127.75	NA	-1.1351*	0	0
"Mortality"	All sites excl. non-melanoma skin cancer	1	2016	128.58	126.30	NA	-1.1351*	0	0
"Incidence"	Colorectum	1	1993	44.16	44.98	NA	-2.0972	1	1
"Incidence"	Colorectum	1	1994	43.85	44.04	NA	-2.0972	1	1
"Incidence"	Colorectum	1	1995	43.43	43.11	NA	-2.0972	1	1
"Incidence"	Colorectum	1	1996	44.97	42.21	NA	-2.0972	1	1
"Incidence"	Colorectum	1	1997	38.79	41.32	NA	-2.0972	1	1
"Incidence"	Colorectum	1	1998	42.01	40.46	NA	-2.0972	1	1
"Incidence"	Colorectum	1	1999	38.02	39.61	Joinpoint 1	NA	1	1
"Incidence"	Colorectum	1	2000	38.52	40.04	NA	1.0910*	1	1
"Incidence"	Colorectum	1	2001	43.82	40.48	NA	1.0910*	1	1
"Incidence"	Colorectum	1	2002	37.14	40.92	NA	1.0910*	1	1
"Incidence"	Colorectum	1	2003	43.63	41.36	NA	1.0910*	1	1
"Incidence"	Colorectum	1	2004	40.99	41.82	NA	1.0910*	1	1
"Incidence"	Colorectum	1	2005	43.96	42.27	NA	1.0910*	1	1
"Incidence"	Colorectum	1	2006	41.88	42.73	NA	1.0910*	1	1
"Incidence"	Colorectum	1	2007	47.61	43.20	NA	1.0910*	1	1
"Incidence"	Colorectum	1	2008	43.34	43.67	NA	1.0910*	1	1
"Incidence"	Colorectum	1	2009	41.66	44.15	NA	1.0910*	1	1
"Incidence"	Colorectum	1	2010	44.09	44.63	NA	1.0910*	1	1
"Incidence"	Colorectum	1	2011	45.34	45.12	NA	1.0910*	1	1
"Incidence"	Colorectum	1	2012	48.31	45.61	NA	1.0910*	1	1
"Incidence"	Colorectum	1	2013	43.42	46.11	NA	1.0910*	1	1
"Mortality"	Colorectum	1	1996	18.79	17.61	NA	-0.4136	1	1
"Mortality"	Colorectum	1	1997	15.70	17.54	NA	-0.4136	1	1
"Mortality"	Colorectum	1	1998	20.10	17.47	NA	-0.4136	1	1
"Mortality"	Colorectum	1	1999	16.48	17.39	NA	-0.4136	1	1
"Mortality"	Colorectum	1	2000	16.25	17.32	NA	-0.4136	1	1
"Mortality"	Colorectum	1	2001	16.84	17.25	NA	-0.4136	1	1
"Mortality"	Colorectum	1	2002	15.91	17.18	NA	-0.4136	1	1
"Mortality"	Colorectum	1	2003	19.86	17.11	NA	-0.4136	1	1
"Mortality"	Colorectum	1	2004	17.61	17.04	NA	-0.4136	1	1
"Mortality"	Colorectum	1	2005	16.18	16.97	NA	-0.4136	1	1
"Mortality"	Colorectum	1	2006	15.94	16.90	NA	-0.4136	1	1
"Mortality"	Colorectum	1	2007	18.34	16.83	Joinpoint 1	NA	1	1
"Mortality"	Colorectum	1	2008	16.13	16.21	NA	-3.6752*	1	1
"Mortality"	Colorectum	1	2009	14.98	15.61	NA	-3.6752*	1	1
"Mortality"	Colorectum	1	2010	15.37	15.04	NA	-3.6752*	1	1
"Mortality"	Colorectum	1	2011	14.04	14.49	NA	-3.6752*	1	1
"Mortality"	Colorectum	1	2012	14.15	13.95	NA	-3.6752*	1	1
"Mortality"	Colorectum	1	2013	13.97	13.44	NA	-3.6752*	1	1
"Mortality"	Colorectum	1	2014	11.87	12.95	NA	-3.6752*	1	1
"Mortality"	Colorectum	1	2015	12.63	12.47	NA	-3.6752*	1	1
"Mortality"	Colorectum	1	2016	12.49	12.01	NA	-3.6752*	1	1
"Incidence"	Lung	1	1993	52.03	55.23	NA	-3.7178*	1	1
"Incidence"	Lung	1	1994	59.02	53.18	NA	-3.7178*	1	1
"Incidence"	Lung	1	1995	48.63	51.20	NA	-3.7178*	1	1
"Incidence"	Lung	1	1996	48.42	49.30	NA	-3.7178*	1	1
"Incidence"	Lung	1	1997	48.74	47.46	NA	-3.7178*	1	1
"Incidence"	Lung	1	1998	47.75	45.70	NA	-3.7178*	1	1
"Incidence"	Lung	1	1999	42.45	44.00	Joinpoint 1	NA	1	1
"Incidence"	Lung	1	2000	43.78	43.83	NA	-0.3940	1	1
"Incidence"	Lung	1	2001	46.43	43.65	NA	-0.3940	1	1
"Incidence"	Lung	1	2002	40.72	43.48	NA	-0.3940	1	1
"Incidence"	Lung	1	2003	41.64	43.31	NA	-0.3940	1	1
"Incidence"	Lung	1	2004	44.25	43.14	NA	-0.3940	1	1
"Incidence"	Lung	1	2005	42.08	42.97	NA	-0.3940	1	1
"Incidence"	Lung	1	2006	42.16	42.80	NA	-0.3940	1	1
"Incidence"	Lung	1	2007	43.01	42.63	NA	-0.3940	1	1
"Incidence"	Lung	1	2008	44.75	42.46	NA	-0.3940	1	1
"Incidence"	Lung	1	2009	42.23	42.30	NA	-0.3940	1	1
"Incidence"	Lung	1	2010	42.06	42.13	NA	-0.3940	1	1
"Incidence"	Lung	1	2011	42.53	41.96	NA	-0.3940	1	1
"Incidence"	Lung	1	2012	40.63	41.80	NA	-0.3940	1	1
"Incidence"	Lung	1	2013	41.75	41.63	NA	-0.3940	1	1
"Mortality"	Lung	1	1996	46.00	42.72	NA	-1.5716*	0	0
"Mortality"	Lung	1	1997	42.70	42.05	NA	-1.5716*	0	0
"Mortality"	Lung	1	1998	39.48	41.39	NA	-1.5716*	0	0
"Mortality"	Lung	1	1999	39.89	40.74	NA	-1.5716*	0	0
"Mortality"	Lung	1	2000	38.10	40.10	NA	-1.5716*	0	0
"Mortality"	Lung	1	2001	40.60	39.46	NA	-1.5716*	0	0
"Mortality"	Lung	1	2002	38.75	38.84	NA	-1.5716*	0	0
"Mortality"	Lung	1	2003	36.56	38.23	NA	-1.5716*	0	0
"Mortality"	Lung	1	2004	36.45	37.63	NA	-1.5716*	0	0
"Mortality"	Lung	1	2005	36.61	37.04	NA	-1.5716*	0	0
"Mortality"	Lung	1	2006	37.77	36.46	NA	-1.5716*	0	0
"Mortality"	Lung	1	2007	35.15	35.89	NA	-1.5716*	0	0
"Mortality"	Lung	1	2008	38.36	35.32	NA	-1.5716*	0	0
"Mortality"	Lung	1	2009	34.03	34.77	NA	-1.5716*	0	0
"Mortality"	Lung	1	2010	35.08	34.22	NA	-1.5716*	0	0
"Mortality"	Lung	1	2011	34.77	33.68	NA	-1.5716*	0	0
"Mortality"	Lung	1	2012	32.78	33.15	NA	-1.5716*	0	0
"Mortality"	Lung	1	2013	34.44	32.63	NA	-1.5716*	0	0
"Mortality"	Lung	1	2014	30.37	32.12	NA	-1.5716*	0	0
"Mortality"	Lung	1	2015	30.64	31.62	NA	-1.5716*	0	0
"Mortality"	Lung	1	2016	31.29	31.12	NA	-1.5716*	0	0
"Incidence"	Oesophagus	1	1993	8.35	8.17	NA	0.3434	0	0
"Incidence"	Oesophagus	1	1994	9.36	8.20	NA	0.3434	0	0
"Incidence"	Oesophagus	1	1995	9.61	8.23	NA	0.3434	0	0
"Incidence"	Oesophagus	1	1996	6.84	8.26	NA	0.3434	0	0
"Incidence"	Oesophagus	1	1997	9.19	8.29	NA	0.3434	0	0
"Incidence"	Oesophagus	1	1998	9.21	8.32	NA	0.3434	0	0
"Incidence"	Oesophagus	1	1999	8.17	8.34	NA	0.3434	0	0
"Incidence"	Oesophagus	1	2000	6.04	8.37	NA	0.3434	0	0
"Incidence"	Oesophagus	1	2001	8.54	8.40	NA	0.3434	0	0
"Incidence"	Oesophagus	1	2002	6.90	8.43	NA	0.3434	0	0
"Incidence"	Oesophagus	1	2003	7.60	8.46	NA	0.3434	0	0
"Incidence"	Oesophagus	1	2004	8.62	8.49	NA	0.3434	0	0
"Incidence"	Oesophagus	1	2005	8.91	8.52	NA	0.3434	0	0
"Incidence"	Oesophagus	1	2006	9.03	8.55	NA	0.3434	0	0
"Incidence"	Oesophagus	1	2007	9.52	8.58	NA	0.3434	0	0
"Incidence"	Oesophagus	1	2008	9.74	8.61	NA	0.3434	0	0
"Incidence"	Oesophagus	1	2009	8.51	8.63	NA	0.3434	0	0
"Incidence"	Oesophagus	1	2010	8.46	8.66	NA	0.3434	0	0
"Incidence"	Oesophagus	1	2011	8.16	8.69	NA	0.3434	0	0
"Incidence"	Oesophagus	1	2012	9.05	8.72	NA	0.3434	0	0
"Incidence"	Oesophagus	1	2013	9.07	8.75	NA	0.3434	0	0
"Mortality"	Oesophagus	1	1996	8.34	8.15	NA	-0.3725	0	0
"Mortality"	Oesophagus	1	1997	8.12	8.12	NA	-0.3725	0	0
"Mortality"	Oesophagus	1	1998	8.26	8.09	NA	-0.3725	0	0
"Mortality"	Oesophagus	1	1999	8.61	8.06	NA	-0.3725	0	0
"Mortality"	Oesophagus	1	2000	7.26	8.03	NA	-0.3725	0	0
"Mortality"	Oesophagus	1	2001	7.65	8.00	NA	-0.3725	0	0
"Mortality"	Oesophagus	1	2002	9.03	7.97	NA	-0.3725	0	0
"Mortality"	Oesophagus	1	2003	8.08	7.94	NA	-0.3725	0	0
"Mortality"	Oesophagus	1	2004	6.96	7.91	NA	-0.3725	0	0
"Mortality"	Oesophagus	1	2005	8.38	7.88	NA	-0.3725	0	0
"Mortality"	Oesophagus	1	2006	8.29	7.85	NA	-0.3725	0	0
"Mortality"	Oesophagus	1	2007	7.42	7.82	NA	-0.3725	0	0
"Mortality"	Oesophagus	1	2008	8.28	7.79	NA	-0.3725	0	0
"Mortality"	Oesophagus	1	2009	9.00	7.76	NA	-0.3725	0	0
"Mortality"	Oesophagus	1	2010	6.79	7.73	NA	-0.3725	0	0
"Mortality"	Oesophagus	1	2011	6.20	7.71	NA	-0.3725	0	0
"Mortality"	Oesophagus	1	2012	6.83	7.68	NA	-0.3725	0	0
"Mortality"	Oesophagus	1	2013	7.53	7.65	NA	-0.3725	0	0
"Mortality"	Oesophagus	1	2014	7.68	7.62	NA	-0.3725	0	0
"Mortality"	Oesophagus	1	2015	7.46	7.59	NA	-0.3725	0	0
"Mortality"	Oesophagus	1	2016	9.62	7.56	NA	-0.3725	0	0
"Incidence"	Pancreas	1	1993	8.06	6.15	NA	0.7430	0	0
"Incidence"	Pancreas	1	1994	5.75	6.19	NA	0.7430	0	0
"Incidence"	Pancreas	1	1995	4.76	6.24	NA	0.7430	0	0
"Incidence"	Pancreas	1	1996	7.75	6.29	NA	0.7430	0	0
"Incidence"	Pancreas	1	1997	6.86	6.33	NA	0.7430	0	0
"Incidence"	Pancreas	1	1998	6.30	6.38	NA	0.7430	0	0
"Incidence"	Pancreas	1	1999	5.44	6.43	NA	0.7430	0	0
"Incidence"	Pancreas	1	2000	5.16	6.48	NA	0.7430	0	0
"Incidence"	Pancreas	1	2001	8.02	6.52	NA	0.7430	0	0
"Incidence"	Pancreas	1	2002	6.37	6.57	NA	0.7430	0	0
"Incidence"	Pancreas	1	2003	4.63	6.62	NA	0.7430	0	0
"Incidence"	Pancreas	1	2004	6.18	6.67	NA	0.7430	0	0
"Incidence"	Pancreas	1	2005	7.91	6.72	NA	0.7430	0	0
"Incidence"	Pancreas	1	2006	8.03	6.77	NA	0.7430	0	0
"Incidence"	Pancreas	1	2007	8.01	6.82	NA	0.7430	0	0
"Incidence"	Pancreas	1	2008	7.53	6.87	NA	0.7430	0	0
"Incidence"	Pancreas	1	2009	7.58	6.92	NA	0.7430	0	0
"Incidence"	Pancreas	1	2010	5.96	6.97	NA	0.7430	0	0
"Incidence"	Pancreas	1	2011	6.22	7.03	NA	0.7430	0	0
"Incidence"	Pancreas	1	2012	7.76	7.08	NA	0.7430	0	0
"Incidence"	Pancreas	1	2013	6.87	7.13	NA	0.7430	0	0
"Mortality"	Pancreas	1	1996	6.75	6.82	NA	-0.1315	0	0
"Mortality"	Pancreas	1	1997	6.77	6.81	NA	-0.1315	0	0
"Mortality"	Pancreas	1	1998	7.71	6.81	NA	-0.1315	0	0
"Mortality"	Pancreas	1	1999	6.49	6.80	NA	-0.1315	0	0
"Mortality"	Pancreas	1	2000	6.27	6.79	NA	-0.1315	0	0
"Mortality"	Pancreas	1	2001	6.87	6.78	NA	-0.1315	0	0
"Mortality"	Pancreas	1	2002	8.30	6.77	NA	-0.1315	0	0
"Mortality"	Pancreas	1	2003	5.40	6.76	NA	-0.1315	0	0
"Mortality"	Pancreas	1	2004	5.44	6.75	NA	-0.1315	0	0
"Mortality"	Pancreas	1	2005	6.72	6.74	NA	-0.1315	0	0
"Mortality"	Pancreas	1	2006	6.96	6.73	NA	-0.1315	0	0
"Mortality"	Pancreas	1	2007	8.26	6.73	NA	-0.1315	0	0
"Mortality"	Pancreas	1	2008	8.26	6.72	NA	-0.1315	0	0
"Mortality"	Pancreas	1	2009	7.50	6.71	NA	-0.1315	0	0
"Mortality"	Pancreas	1	2010	5.83	6.70	NA	-0.1315	0	0
"Mortality"	Pancreas	1	2011	5.76	6.69	NA	-0.1315	0	0
"Mortality"	Pancreas	1	2012	6.22	6.68	NA	-0.1315	0	0
"Mortality"	Pancreas	1	2013	7.08	6.67	NA	-0.1315	0	0
"Mortality"	Pancreas	1	2014	5.91	6.66	NA	-0.1315	0	0
"Mortality"	Pancreas	1	2015	6.43	6.66	NA	-0.1315	0	0
"Mortality"	Pancreas	1	2016	7.67	6.65	NA	-0.1315	0	0
"Incidence"	Prostate	1	1993	38.78	39.02	NA	-0.1775	2	2
"Incidence"	Prostate	1	1994	39.45	38.95	NA	-0.1775	2	2
"Incidence"	Prostate	1	1995	40.02	38.88	NA	-0.1775	2	2
"Incidence"	Prostate	1	1996	37.17	38.81	NA	-0.1775	2	2
"Incidence"	Prostate	1	1997	37.92	38.74	NA	-0.1775	2	2
"Incidence"	Prostate	1	1998	39.09	38.67	Joinpoint 1	NA	2	2
"Incidence"	Prostate	1	1999	39.70	41.59	NA	7.5558*	2	2
"Incidence"	Prostate	1	2000	46.44	44.74	NA	7.5558*	2	2
"Incidence"	Prostate	1	2001	45.33	48.12	NA	7.5558*	2	2
"Incidence"	Prostate	1	2002	53.34	51.75	NA	7.5558*	2	2
"Incidence"	Prostate	1	2003	61.39	55.66	NA	7.5558*	2	2
"Incidence"	Prostate	1	2004	64.14	59.87	NA	7.5558*	2	2
"Incidence"	Prostate	1	2005	62.54	64.39	NA	7.5558*	2	2
"Incidence"	Prostate	1	2006	65.40	69.26	NA	7.5558*	2	2
"Incidence"	Prostate	1	2007	71.13	74.49	Joinpoint 2	NA	2	2
"Incidence"	Prostate	1	2008	72.88	73.11	NA	-1.8510	2	2
"Incidence"	Prostate	1	2009	78.16	71.76	NA	-1.8510	2	2
"Incidence"	Prostate	1	2010	64.77	70.43	NA	-1.8510	2	2
"Incidence"	Prostate	1	2011	70.19	69.13	NA	-1.8510	2	2
"Incidence"	Prostate	1	2012	70.12	67.85	NA	-1.8510	2	2
"Incidence"	Prostate	1	2013	65.04	66.59	NA	-1.8510	2	2
"Mortality"	Prostate	1	1996	16.23	15.49	NA	-1.0716*	0	0
"Mortality"	Prostate	1	1997	15.51	15.33	NA	-1.0716*	0	0
