"Year","Sex","ASR (World)","Cancer label","incmort"
1993,1,321.0650269,"All sites excl. non-melanoma skin cancer","Incidence"
1994,1,324.5456368,"All sites excl. non-melanoma skin cancer","Incidence"
1995,1,318.2464343,"All sites excl. non-melanoma skin cancer","Incidence"
1996,1,339.1156387,"All sites excl. non-melanoma skin cancer","Incidence"
1997,1,319.1952751,"All sites excl. non-melanoma skin cancer","Incidence"
1998,1,318.1655777,"All sites excl. non-melanoma skin cancer","Incidence"
1999,1,314.2483593,"All sites excl. non-melanoma skin cancer","Incidence"
2000,1,314.2295889,"All sites excl. non-melanoma skin cancer","Incidence"
2001,1,316.8704805,"All sites excl. non-melanoma skin cancer","Incidence"
2002,1,322.8446,"All sites excl. non-melanoma skin cancer","Incidence"
2003,1,321.2542844,"All sites excl. non-melanoma skin cancer","Incidence"
2004,1,322.4033807,"All sites excl. non-melanoma skin cancer","Incidence"
2005,1,313.3746896,"All sites excl. non-melanoma skin cancer","Incidence"
2006,1,314.8262648,"All sites excl. non-melanoma skin cancer","Incidence"
2007,1,314.540767,"All sites excl. non-melanoma skin cancer","Incidence"
2008,1,321.7767521,"All sites excl. non-melanoma skin cancer","Incidence"
2009,1,323.8310878,"All sites excl. non-melanoma skin cancer","Incidence"
2010,1,313.1687563,"All sites excl. non-melanoma skin cancer","Incidence"
2011,1,318.0000969,"All sites excl. non-melanoma skin cancer","Incidence"
2012,1,312.2835179,"All sites excl. non-melanoma skin cancer","Incidence"
2013,1,311.3811761,"All sites excl. non-melanoma skin cancer","Incidence"
1998,1,178.6950101,"All sites excl. non-melanoma skin cancer","Mortality"
1999,1,176.0234282,"All sites excl. non-melanoma skin cancer","Mortality"
2000,1,173.6135393,"All sites excl. non-melanoma skin cancer","Mortality"
2001,1,177.6442884,"All sites excl. non-melanoma skin cancer","Mortality"
2002,1,175.5396286,"All sites excl. non-melanoma skin cancer","Mortality"
2003,1,168.3851338,"All sites excl. non-melanoma skin cancer","Mortality"
2004,1,166.7562731,"All sites excl. non-melanoma skin cancer","Mortality"
2005,1,162.560395,"All sites excl. non-melanoma skin cancer","Mortality"
2006,1,160.4511898,"All sites excl. non-melanoma skin cancer","Mortality"
2007,1,157.1551705,"All sites excl. non-melanoma skin cancer","Mortality"
2008,1,154.1235189,"All sites excl. non-melanoma skin cancer","Mortality"
2009,1,149.6724052,"All sites excl. non-melanoma skin cancer","Mortality"
2010,1,146.7768136,"All sites excl. non-melanoma skin cancer","Mortality"
2011,1,146.6937726,"All sites excl. non-melanoma skin cancer","Mortality"
2012,1,143.3753774,"All sites excl. non-melanoma skin cancer","Mortality"
2013,1,142.2832349,"All sites excl. non-melanoma skin cancer","Mortality"
2014,1,139.9661599,"All sites excl. non-melanoma skin cancer","Mortality"
2015,1,142.5678222,"All sites excl. non-melanoma skin cancer","Mortality"
2016,1,138.0455606,"All sites excl. non-melanoma skin cancer","Mortality"
2017,1,133.5048667,"All sites excl. non-melanoma skin cancer","Mortality"
2018,1,132.2409217,"All sites excl. non-melanoma skin cancer","Mortality"
1993,1,42.06613241,"Colorectum","Incidence"
1994,1,41.05172145,"Colorectum","Incidence"
1995,1,41.06911403,"Colorectum","Incidence"
1996,1,45.55495185,"Colorectum","Incidence"
1997,1,44.14149732,"Colorectum","Incidence"
1998,1,43.23267356,"Colorectum","Incidence"
1999,1,42.83877786,"Colorectum","Incidence"
2000,1,44.57480604,"Colorectum","Incidence"
2001,1,43.32706148,"Colorectum","Incidence"
2002,1,41.78541203,"Colorectum","Incidence"
2003,1,43.06305045,"Colorectum","Incidence"
2004,1,41.88248049,"Colorectum","Incidence"
2005,1,41.03847777,"Colorectum","Incidence"
2006,1,40.21992235,"Colorectum","Incidence"
2007,1,41.41230427,"Colorectum","Incidence"
2008,1,43.94336414,"Colorectum","Incidence"
2009,1,44.17368896,"Colorectum","Incidence"
2010,1,44.40241339,"Colorectum","Incidence"
2011,1,44.34494166,"Colorectum","Incidence"
2012,1,40.68979858,"Colorectum","Incidence"
2013,1,39.93411144,"Colorectum","Incidence"
1998,1,20.33548778,"Colorectum","Mortality"
1999,1,20.45364787,"Colorectum","Mortality"
2000,1,19.16704297,"Colorectum","Mortality"
2001,1,19.29569748,"Colorectum","Mortality"
2002,1,19.05931816,"Colorectum","Mortality"
2003,1,17.97674384,"Colorectum","Mortality"
2004,1,18.11262154,"Colorectum","Mortality"
2005,1,17.96067853,"Colorectum","Mortality"
2006,1,17.18902867,"Colorectum","Mortality"
2007,1,16.26797334,"Colorectum","Mortality"
2008,1,16.65884349,"Colorectum","Mortality"
2009,1,16.02225384,"Colorectum","Mortality"
2010,1,14.57730165,"Colorectum","Mortality"
2011,1,15.06502327,"Colorectum","Mortality"
2012,1,14.62759532,"Colorectum","Mortality"
2013,1,15.12947928,"Colorectum","Mortality"
2014,1,13.34858576,"Colorectum","Mortality"
2015,1,14.68806599,"Colorectum","Mortality"
2016,1,14.11752487,"Colorectum","Mortality"
2017,1,14.43748146,"Colorectum","Mortality"
2018,1,15.2203821,"Colorectum","Mortality"
1993,1,76.86325874,"Lung","Incidence"
1994,1,73.7509666,"Lung","Incidence"
1995,1,70.56931554,"Lung","Incidence"
1996,1,70.65459676,"Lung","Incidence"
1997,1,66.47558153,"Lung","Incidence"
1998,1,65.1002709,"Lung","Incidence"
1999,1,61.23903579,"Lung","Incidence"
2000,1,59.47995199,"Lung","Incidence"
2001,1,58.60830749,"Lung","Incidence"
2002,1,59.61762516,"Lung","Incidence"
2003,1,55.89968159,"Lung","Incidence"
2004,1,56.0141858,"Lung","Incidence"
2005,1,54.20909965,"Lung","Incidence"
2006,1,53.8445747,"Lung","Incidence"
2007,1,53.18634713,"Lung","Incidence"
2008,1,51.25662677,"Lung","Incidence"
2009,1,52.83785776,"Lung","Incidence"
2010,1,49.45413951,"Lung","Incidence"
2011,1,48.5331452,"Lung","Incidence"
2012,1,48.15602136,"Lung","Incidence"
2013,1,47.75648601,"Lung","Incidence"
1998,1,55.50389906,"Lung","Mortality"
1999,1,53.68317417,"Lung","Mortality"
2000,1,51.12565739,"Lung","Mortality"
2001,1,51.77767987,"Lung","Mortality"
2002,1,52.19995344,"Lung","Mortality"
2003,1,47.6398626,"Lung","Mortality"
2004,1,46.94722574,"Lung","Mortality"
2005,1,46.51658006,"Lung","Mortality"
2006,1,44.47246389,"Lung","Mortality"
2007,1,44.98824407,"Lung","Mortality"
2008,1,42.04611712,"Lung","Mortality"
2009,1,42.61796641,"Lung","Mortality"
2010,1,39.67601079,"Lung","Mortality"
2011,1,40.30805906,"Lung","Mortality"
2012,1,37.70136185,"Lung","Mortality"
2013,1,37.36477486,"Lung","Mortality"
2014,1,36.48354535,"Lung","Mortality"
2015,1,35.36792391,"Lung","Mortality"
2016,1,34.73132816,"Lung","Mortality"
2017,1,32.78940666,"Lung","Mortality"
2018,1,31.29054315,"Lung","Mortality"
1993,1,11.30754441,"Oesophagus","Incidence"
1994,1,11.44906973,"Oesophagus","Incidence"
1995,1,11.49117295,"Oesophagus","Incidence"
1996,1,12.49686069,"Oesophagus","Incidence"
1997,1,11.14099952,"Oesophagus","Incidence"
1998,1,11.7250926,"Oesophagus","Incidence"
1999,1,11.33459934,"Oesophagus","Incidence"
2000,1,11.19213629,"Oesophagus","Incidence"
2001,1,11.65929256,"Oesophagus","Incidence"
2002,1,12.232776,"Oesophagus","Incidence"
2003,1,11.85336832,"Oesophagus","Incidence"
2004,1,12.05689922,"Oesophagus","Incidence"
2005,1,11.73497432,"Oesophagus","Incidence"
2006,1,11.67079916,"Oesophagus","Incidence"
2007,1,11.7539195,"Oesophagus","Incidence"
2008,1,11.60518689,"Oesophagus","Incidence"
2009,1,11.64915957,"Oesophagus","Incidence"
2010,1,11.41540554,"Oesophagus","Incidence"
2011,1,11.0020045,"Oesophagus","Incidence"
2012,1,11.41437331,"Oesophagus","Incidence"
2013,1,11.14889025,"Oesophagus","Incidence"
1998,1,11.58204872,"Oesophagus","Mortality"
1999,1,10.77213775,"Oesophagus","Mortality"
2000,1,10.29961153,"Oesophagus","Mortality"
2001,1,11.24641491,"Oesophagus","Mortality"
2002,1,10.5330242,"Oesophagus","Mortality"
2003,1,11.31728419,"Oesophagus","Mortality"
2004,1,11.21408051,"Oesophagus","Mortality"
2005,1,10.84055302,"Oesophagus","Mortality"
2006,1,10.70605783,"Oesophagus","Mortality"
2007,1,10.07754524,"Oesophagus","Mortality"
2008,1,10.92506295,"Oesophagus","Mortality"
2009,1,10.37036719,"Oesophagus","Mortality"
2010,1,10.69167638,"Oesophagus","Mortality"
2011,1,10.52697494,"Oesophagus","Mortality"
2012,1,10.18631808,"Oesophagus","Mortality"
2013,1,9.970722774,"Oesophagus","Mortality"
2014,1,9.869175783,"Oesophagus","Mortality"
2015,1,9.896153676,"Oesophagus","Mortality"
2016,1,9.808707243,"Oesophagus","Mortality"
2017,1,9.505249386,"Oesophagus","Mortality"
2018,1,9.87222194,"Oesophagus","Mortality"
1993,1,7.044385645,"Pancreas","Incidence"
1994,1,6.865446639,"Pancreas","Incidence"
1995,1,6.548766046,"Pancreas","Incidence"
1996,1,8.199630947,"Pancreas","Incidence"
1997,1,7.321722288,"Pancreas","Incidence"
1998,1,6.956045941,"Pancreas","Incidence"
1999,1,6.585938585,"Pancreas","Incidence"
2000,1,7.557109945,"Pancreas","Incidence"
2001,1,6.403052096,"Pancreas","Incidence"
2002,1,6.639431576,"Pancreas","Incidence"
2003,1,7.074450031,"Pancreas","Incidence"
2004,1,6.44770903,"Pancreas","Incidence"
2005,1,6.401659667,"Pancreas","Incidence"
2006,1,6.450282372,"Pancreas","Incidence"
2007,1,6.931497231,"Pancreas","Incidence"
2008,1,7.245965358,"Pancreas","Incidence"
2009,1,7.443461729,"Pancreas","Incidence"
2010,1,6.8198282,"Pancreas","Incidence"
2011,1,7.403629054,"Pancreas","Incidence"
2012,1,7.433849126,"Pancreas","Incidence"
2013,1,7.240796438,"Pancreas","Incidence"
1998,1,6.883618151,"Pancreas","Mortality"
1999,1,6.085508778,"Pancreas","Mortality"
2000,1,7.020051568,"Pancreas","Mortality"
2001,1,6.646394155,"Pancreas","Mortality"
2002,1,6.638586622,"Pancreas","Mortality"
2003,1,6.784504392,"Pancreas","Mortality"
2004,1,6.482498302,"Pancreas","Mortality"
2005,1,6.198194844,"Pancreas","Mortality"
2006,1,5.743849632,"Pancreas","Mortality"
2007,1,7.007217268,"Pancreas","Mortality"
2008,1,6.475390171,"Pancreas","Mortality"
2009,1,6.018439452,"Pancreas","Mortality"
2010,1,6.650831239,"Pancreas","Mortality"
2011,1,6.804300492,"Pancreas","Mortality"
2012,1,6.856734049,"Pancreas","Mortality"
2013,1,6.476441174,"Pancreas","Mortality"
2014,1,6.748043575,"Pancreas","Mortality"
2015,1,6.46587226,"Pancreas","Mortality"
2016,1,6.099313553,"Pancreas","Mortality"
2017,1,6.72924806,"Pancreas","Mortality"
2018,1,6.796811501,"Pancreas","Mortality"
1993,1,41.41306912,"Prostate","Incidence"
1994,1,43.01163586,"Prostate","Incidence"
1995,1,45.4805082,"Prostate","Incidence"
1996,1,50.8886649,"Prostate","Incidence"
1997,1,44.35012511,"Prostate","Incidence"
1998,1,44.64567875,"Prostate","Incidence"
1999,1,46.45005274,"Prostate","Incidence"
2000,1,46.86898364,"Prostate","Incidence"
2001,1,49.99078389,"Prostate","Incidence"
2002,1,55.46378413,"Prostate","Incidence"
2003,1,55.9405146,"Prostate","Incidence"
2004,1,60.49590295,"Prostate","Incidence"
2005,1,55.56294542,"Prostate","Incidence"
2006,1,58.40051075,"Prostate","Incidence"
2007,1,57.90881071,"Prostate","Incidence"
2008,1,60.65775286,"Prostate","Incidence"
2009,1,61.99100619,"Prostate","Incidence"
2010,1,58.50702713,"Prostate","Incidence"
2011,1,61.88511579,"Prostate","Incidence"
2012,1,59.055914,"Prostate","Incidence"
2013,1,62.56959267,"Prostate","Incidence"
