"Sex"	"Cancer label"	"incmort"	"Year"	"ASR (World)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
1	All sites excl. non-melanoma skin cancer	"Incidence"	1993	321.07	323.31	NA	-0.1411*	0	0
1	All sites excl. non-melanoma skin cancer	"Incidence"	1994	324.55	322.85	NA	-0.1411*	0	0
1	All sites excl. non-melanoma skin cancer	"Incidence"	1995	318.25	322.39	NA	-0.1411*	0	0
1	All sites excl. non-melanoma skin cancer	"Incidence"	1996	339.12	321.94	NA	-0.1411*	0	0
1	All sites excl. non-melanoma skin cancer	"Incidence"	1997	319.20	321.48	NA	-0.1411*	0	0
1	All sites excl. non-melanoma skin cancer	"Incidence"	1998	318.17	321.03	NA	-0.1411*	0	0
1	All sites excl. non-melanoma skin cancer	"Incidence"	1999	314.25	320.58	NA	-0.1411*	0	0
1	All sites excl. non-melanoma skin cancer	"Incidence"	2000	314.23	320.12	NA	-0.1411*	0	0
1	All sites excl. non-melanoma skin cancer	"Incidence"	2001	316.87	319.67	NA	-0.1411*	0	0
1	All sites excl. non-melanoma skin cancer	"Incidence"	2002	322.84	319.22	NA	-0.1411*	0	0
1	All sites excl. non-melanoma skin cancer	"Incidence"	2003	321.25	318.77	NA	-0.1411*	0	0
1	All sites excl. non-melanoma skin cancer	"Incidence"	2004	322.40	318.32	NA	-0.1411*	0	0
1	All sites excl. non-melanoma skin cancer	"Incidence"	2005	313.37	317.87	NA	-0.1411*	0	0
1	All sites excl. non-melanoma skin cancer	"Incidence"	2006	314.83	317.42	NA	-0.1411*	0	0
1	All sites excl. non-melanoma skin cancer	"Incidence"	2007	314.54	316.98	NA	-0.1411*	0	0
1	All sites excl. non-melanoma skin cancer	"Incidence"	2008	321.78	316.53	NA	-0.1411*	0	0
1	All sites excl. non-melanoma skin cancer	"Incidence"	2009	323.83	316.08	NA	-0.1411*	0	0
1	All sites excl. non-melanoma skin cancer	"Incidence"	2010	313.17	315.64	NA	-0.1411*	0	0
1	All sites excl. non-melanoma skin cancer	"Incidence"	2011	318.00	315.19	NA	-0.1411*	0	0
1	All sites excl. non-melanoma skin cancer	"Incidence"	2012	312.28	314.75	NA	-0.1411*	0	0
1	All sites excl. non-melanoma skin cancer	"Incidence"	2013	311.38	314.30	NA	-0.1411*	0	0
1	All sites excl. non-melanoma skin cancer	"Mortality"	1998	178.70	177.63	NA	-0.4885	2	2
1	All sites excl. non-melanoma skin cancer	"Mortality"	1999	176.02	176.76	NA	-0.4885	2	2
1	All sites excl. non-melanoma skin cancer	"Mortality"	2000	173.61	175.90	NA	-0.4885	2	2
1	All sites excl. non-melanoma skin cancer	"Mortality"	2001	177.64	175.04	NA	-0.4885	2	2
