"Year","Sex","ASR (World)","Cancer label","Country label","incmort"
1971,1,228.3808584,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1972,1,228.5496665,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1973,1,234.4858169,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1974,1,238.4566286,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1975,1,236.973475,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1976,1,235.8019252,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1977,1,241.4927302,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1978,1,239.8060124,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1979,1,243.8463521,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1980,1,247.4167592,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1981,1,250.5973232,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1982,1,249.7576309,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1983,1,252.4559648,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1984,1,249.8603734,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1985,1,260.3171255,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1986,1,253.2129427,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1987,1,256.3472792,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1988,1,262.488721,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1989,1,256.3563925,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1990,1,259.2601907,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1991,1,259.6999225,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1992,1,265.1136899,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1993,1,264.8839508,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1994,1,267.2273753,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1995,1,264.3261441,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1996,1,262.7224848,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1997,1,267.6388561,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1998,1,265.1147573,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1999,1,267.8364693,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
2000,1,273.1007918,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
2001,1,275.2355632,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
2002,1,270.4688505,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
2003,1,268.0099715,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
2004,1,276.7594567,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
2005,1,275.6140607,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
2006,1,281.6373192,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
2007,1,280.3021956,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
2008,1,282.9080392,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
2009,1,293.2939359,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
2010,1,291.7459393,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
2011,1,291.700623,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
2012,1,294.0824777,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
2013,1,298.1178034,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
2014,1,293.923103,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
2015,1,293.5121441,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
2016,1,291.001534,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
2017,1,288.9623613,"All sites excl. non-melanoma skin cancer","England and Wales","Incidence"
1993,1,306.8727661,"All sites excl. non-melanoma skin cancer","Northern Ireland","Incidence"
1994,1,297.455598,"All sites excl. non-melanoma skin cancer","Northern Ireland","Incidence"
1995,1,284.5677918,"All sites excl. non-melanoma skin cancer","Northern Ireland","Incidence"
1996,1,285.9097433,"All sites excl. non-melanoma skin cancer","Northern Ireland","Incidence"
1997,1,272.792174,"All sites excl. non-melanoma skin cancer","Northern Ireland","Incidence"
1998,1,276.7491844,"All sites excl. non-melanoma skin cancer","Northern Ireland","Incidence"
1999,1,265.938236,"All sites excl. non-melanoma skin cancer","Northern Ireland","Incidence"
2000,1,273.5444275,"All sites excl. non-melanoma skin cancer","Northern Ireland","Incidence"
2001,1,283.6248527,"All sites excl. non-melanoma skin cancer","Northern Ireland","Incidence"
2002,1,281.2751809,"All sites excl. non-melanoma skin cancer","Northern Ireland","Incidence"
2003,1,286.0076561,"All sites excl. non-melanoma skin cancer","Northern Ireland","Incidence"
2004,1,289.5827744,"All sites excl. non-melanoma skin cancer","Northern Ireland","Incidence"
2005,1,290.4378524,"All sites excl. non-melanoma skin cancer","Northern Ireland","Incidence"
2006,1,296.5901384,"All sites excl. non-melanoma skin cancer","Northern Ireland","Incidence"
2007,1,312.7693963,"All sites excl. non-melanoma skin cancer","Northern Ireland","Incidence"
2008,1,313.1721194,"All sites excl. non-melanoma skin cancer","Northern Ireland","Incidence"
2009,1,307.0504457,"All sites excl. non-melanoma skin cancer","Northern Ireland","Incidence"
2010,1,294.6490237,"All sites excl. non-melanoma skin cancer","Northern Ireland","Incidence"
2011,1,311.5121823,"All sites excl. non-melanoma skin cancer","Northern Ireland","Incidence"
2012,1,307.6834724,"All sites excl. non-melanoma skin cancer","Northern Ireland","Incidence"
