"Year","Sex","ASR (World)","Cancer label","incmort"
1993,1,306.8727661,"All sites excl. non-melanoma skin cancer","Incidence"
1994,1,297.455598,"All sites excl. non-melanoma skin cancer","Incidence"
1995,1,284.5677918,"All sites excl. non-melanoma skin cancer","Incidence"
1996,1,285.9097433,"All sites excl. non-melanoma skin cancer","Incidence"
1997,1,272.792174,"All sites excl. non-melanoma skin cancer","Incidence"
1998,1,276.7491844,"All sites excl. non-melanoma skin cancer","Incidence"
1999,1,265.938236,"All sites excl. non-melanoma skin cancer","Incidence"
2000,1,273.5444275,"All sites excl. non-melanoma skin cancer","Incidence"
2001,1,283.6248527,"All sites excl. non-melanoma skin cancer","Incidence"
2002,1,281.2751809,"All sites excl. non-melanoma skin cancer","Incidence"
2003,1,286.0076561,"All sites excl. non-melanoma skin cancer","Incidence"
2004,1,289.5827744,"All sites excl. non-melanoma skin cancer","Incidence"
2005,1,290.4378524,"All sites excl. non-melanoma skin cancer","Incidence"
2006,1,296.5901384,"All sites excl. non-melanoma skin cancer","Incidence"
2007,1,312.7693963,"All sites excl. non-melanoma skin cancer","Incidence"
2008,1,313.1721194,"All sites excl. non-melanoma skin cancer","Incidence"
2009,1,307.0504457,"All sites excl. non-melanoma skin cancer","Incidence"
2010,1,294.6490237,"All sites excl. non-melanoma skin cancer","Incidence"
2011,1,311.5121823,"All sites excl. non-melanoma skin cancer","Incidence"
2012,1,307.6834724,"All sites excl. non-melanoma skin cancer","Incidence"
2013,1,300.8913305,"All sites excl. non-melanoma skin cancer","Incidence"
1950,1,148.6742759,"All sites excl. non-melanoma skin cancer","Mortality"
1951,1,136.7079197,"All sites excl. non-melanoma skin cancer","Mortality"
1952,1,134.2157664,"All sites excl. non-melanoma skin cancer","Mortality"
1953,1,138.8156569,"All sites excl. non-melanoma skin cancer","Mortality"
1954,1,138.3470559,"All sites excl. non-melanoma skin cancer","Mortality"
1955,1,136.9042043,"All sites excl. non-melanoma skin cancer","Mortality"
1956,1,146.0809678,"All sites excl. non-melanoma skin cancer","Mortality"
1957,1,157.8930393,"All sites excl. non-melanoma skin cancer","Mortality"
1958,1,147.5370528,"All sites excl. non-melanoma skin cancer","Mortality"
1959,1,156.0696522,"All sites excl. non-melanoma skin cancer","Mortality"
1960,1,158.5046061,"All sites excl. non-melanoma skin cancer","Mortality"
1961,1,144.4473066,"All sites excl. non-melanoma skin cancer","Mortality"
1962,1,147.1916102,"All sites excl. non-melanoma skin cancer","Mortality"
1963,1,148.1321513,"All sites excl. non-melanoma skin cancer","Mortality"
1964,1,149.8864148,"All sites excl. non-melanoma skin cancer","Mortality"
1965,1,152.7073095,"All sites excl. non-melanoma skin cancer","Mortality"
1966,1,158.3367056,"All sites excl. non-melanoma skin cancer","Mortality"
1967,1,149.8001996,"All sites excl. non-melanoma skin cancer","Mortality"
1968,1,163.3940704,"All sites excl. non-melanoma skin cancer","Mortality"
1969,1,167.6752522,"All sites excl. non-melanoma skin cancer","Mortality"
1970,1,164.2906637,"All sites excl. non-melanoma skin cancer","Mortality"
1971,1,168.6568113,"All sites excl. non-melanoma skin cancer","Mortality"
1972,1,157.4726958,"All sites excl. non-melanoma skin cancer","Mortality"
1973,1,167.6752345,"All sites excl. non-melanoma skin cancer","Mortality"
1974,1,173.1865738,"All sites excl. non-melanoma skin cancer","Mortality"
1975,1,168.0324396,"All sites excl. non-melanoma skin cancer","Mortality"
1976,1,173.7527934,"All sites excl. non-melanoma skin cancer","Mortality"
1977,1,180.313469,"All sites excl. non-melanoma skin cancer","Mortality"
1978,1,175.3330196,"All sites excl. non-melanoma skin cancer","Mortality"
1979,1,170.15689,"All sites excl. non-melanoma skin cancer","Mortality"
1980,1,169.5525397,"All sites excl. non-melanoma skin cancer","Mortality"
1981,1,159.1480691,"All sites excl. non-melanoma skin cancer","Mortality"
1982,1,158.4157777,"All sites excl. non-melanoma skin cancer","Mortality"
1983,1,169.4864384,"All sites excl. non-melanoma skin cancer","Mortality"
1984,1,175.5676761,"All sites excl. non-melanoma skin cancer","Mortality"
1985,1,170.4913421,"All sites excl. non-melanoma skin cancer","Mortality"
1986,1,164.7818038,"All sites excl. non-melanoma skin cancer","Mortality"
1987,1,168.8621738,"All sites excl. non-melanoma skin cancer","Mortality"
1988,1,165.8939973,"All sites excl. non-melanoma skin cancer","Mortality"
1989,1,174.8991409,"All sites excl. non-melanoma skin cancer","Mortality"
1990,1,167.2923777,"All sites excl. non-melanoma skin cancer","Mortality"
1991,1,168.358521,"All sites excl. non-melanoma skin cancer","Mortality"
1992,1,169.2592545,"All sites excl. non-melanoma skin cancer","Mortality"
1993,1,169.3358143,"All sites excl. non-melanoma skin cancer","Mortality"
1994,1,167.6851057,"All sites excl. non-melanoma skin cancer","Mortality"
1995,1,161.5630848,"All sites excl. non-melanoma skin cancer","Mortality"
1996,1,164.7596282,"All sites excl. non-melanoma skin cancer","Mortality"
