"Cancer label"	"incmort"	"Sex"	"Year"	"ASR (World)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
All sites excl. non-melanoma skin cancer	"Incidence"	1	1993	306.87	302.50	NA	-2.0010*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	1	1994	297.46	296.45	NA	-2.0010*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	1	1995	284.57	290.52	NA	-2.0010*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	1	1996	285.91	284.70	NA	-2.0010*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	1	1997	272.79	279.01	NA	-2.0010*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	1	1998	276.75	273.42	NA	-2.0010*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	1	1999	265.94	267.95	Joinpoint 1	NA	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	1	2000	273.54	272.32	NA	1.6298*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	1	2001	283.62	276.76	NA	1.6298*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	1	2002	281.28	281.27	NA	1.6298*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	1	2003	286.01	285.85	NA	1.6298*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	1	2004	289.58	290.51	NA	1.6298*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	1	2005	290.44	295.25	NA	1.6298*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	1	2006	296.59	300.06	NA	1.6298*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	1	2007	312.77	304.95	NA	1.6298*	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	1	2008	313.17	309.92	Joinpoint 2	NA	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	1	2009	307.05	308.39	NA	-0.4928	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	1	2010	294.65	306.87	NA	-0.4928	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	1	2011	311.51	305.36	NA	-0.4928	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	1	2012	307.68	303.85	NA	-0.4928	2	2
All sites excl. non-melanoma skin cancer	"Incidence"	1	2013	300.89	302.36	NA	-0.4928	2	2
All sites excl. non-melanoma skin cancer	"Mortality"	1	1950	148.67	137.66	NA	0.8372*	2	2
All sites excl. non-melanoma skin cancer	"Mortality"	1	1951	136.71	138.81	NA	0.8372*	2	2
All sites excl. non-melanoma skin cancer	"Mortality"	1	1952	134.22	139.98	NA	0.8372*	2	2
All sites excl. non-melanoma skin cancer	"Mortality"	1	1953	138.82	141.15	NA	0.8372*	2	2
