"Sex"	"Cancer label"	"incmort"	"Year"	"ASR (World)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
1	All sites excl. non-melanoma skin cancer	"Incidence"	1975	272.64	274.74	NA	0.7729*	1	1
1	All sites excl. non-melanoma skin cancer	"Incidence"	1976	273.92	276.86	NA	0.7729*	1	1
1	All sites excl. non-melanoma skin cancer	"Incidence"	1977	271.10	279.00	NA	0.7729*	1	1
1	All sites excl. non-melanoma skin cancer	"Incidence"	1978	286.09	281.16	NA	0.7729*	1	1
1	All sites excl. non-melanoma skin cancer	"Incidence"	1979	292.60	283.33	NA	0.7729*	1	1
1	All sites excl. non-melanoma skin cancer	"Incidence"	1980	291.98	285.52	NA	0.7729*	1	1
1	All sites excl. non-melanoma skin cancer	"Incidence"	1981	287.09	287.73	NA	0.7729*	1	1
1	All sites excl. non-melanoma skin cancer	"Incidence"	1982	287.29	289.95	NA	0.7729*	1	1
1	All sites excl. non-melanoma skin cancer	"Incidence"	1983	295.12	292.19	NA	0.7729*	1	1
1	All sites excl. non-melanoma skin cancer	"Incidence"	1984	297.12	294.45	NA	0.7729*	1	1
1	All sites excl. non-melanoma skin cancer	"Incidence"	1985	298.63	296.73	NA	0.7729*	1	1
1	All sites excl. non-melanoma skin cancer	"Incidence"	1986	295.27	299.02	NA	0.7729*	1	1
1	All sites excl. non-melanoma skin cancer	"Incidence"	1987	299.24	301.33	NA	0.7729*	1	1
1	All sites excl. non-melanoma skin cancer	"Incidence"	1988	299.59	303.66	NA	0.7729*	1	1
1	All sites excl. non-melanoma skin cancer	"Incidence"	1989	299.63	306.01	NA	0.7729*	1	1
1	All sites excl. non-melanoma skin cancer	"Incidence"	1990	308.12	308.37	NA	0.7729*	1	1
1	All sites excl. non-melanoma skin cancer	"Incidence"	1991	305.39	310.76	NA	0.7729*	1	1
1	All sites excl. non-melanoma skin cancer	"Incidence"	1992	313.66	313.16	NA	0.7729*	1	1
