"Year","Sex","ASR (World)","Cancer label"
1993,1,20.68019056,"Bladder"
1994,1,20.22259022,"Bladder"
1995,1,19.94365762,"Bladder"
1996,1,18.66165601,"Bladder"
1997,1,18.08816779,"Bladder"
1998,1,18.0658067,"Bladder"
1999,1,17.79977012,"Bladder"
2000,1,14.85577714,"Bladder"
2001,1,14.90641236,"Bladder"
2002,1,14.10817341,"Bladder"
2003,1,13.71867105,"Bladder"
2004,1,13.20439065,"Bladder"
2005,1,13.53717068,"Bladder"
2006,1,13.13370687,"Bladder"
2007,1,13.37802244,"Bladder"
2008,1,13.20605809,"Bladder"
2009,1,13.04007656,"Bladder"
2010,1,12.42951737,"Bladder"
2011,1,12.60690859,"Bladder"
2012,1,12.26347446,"Bladder"
2013,1,11.86768228,"Bladder"
1993,2,5.961527088,"Bladder"
1994,2,5.410466876,"Bladder"
1995,2,5.782857255,"Bladder"
1996,2,5.299172709,"Bladder"
1997,2,5.395316144,"Bladder"
1998,2,5.244228075,"Bladder"
1999,2,5.220831832,"Bladder"
2000,2,4.343332203,"Bladder"
2001,2,4.389735831,"Bladder"
2002,2,4.059300344,"Bladder"
2003,2,4.083271823,"Bladder"
2004,2,3.883150098,"Bladder"
2005,2,4.061298043,"Bladder"
2006,2,4.035749569,"Bladder"
2007,2,3.886136583,"Bladder"
2008,2,3.978206681,"Bladder"
2009,2,3.801699046,"Bladder"
2010,2,3.872723852,"Bladder"
2011,2,3.931285506,"Bladder"
2012,2,3.917142812,"Bladder"
2013,2,3.727596439,"Bladder"
1993,1,6.316777784,"Brain and central nervous system"
1994,1,6.249981448,"Brain and central nervous system"
1995,1,6.101725842,"Brain and central nervous system"
1996,1,6.151923998,"Brain and central nervous system"
1997,1,6.512567231,"Brain and central nervous system"
1998,1,6.163677503,"Brain and central nervous system"
1999,1,6.391105868,"Brain and central nervous system"
2000,1,6.578280326,"Brain and central nervous system"
2001,1,6.340983345,"Brain and central nervous system"
2002,1,6.350936423,"Brain and central nervous system"
2003,1,6.161225429,"Brain and central nervous system"
2004,1,6.014602524,"Brain and central nervous system"
2005,1,6.4610294,"Brain and central nervous system"
2006,1,6.39801613,"Brain and central nervous system"
2007,1,6.32073077,"Brain and central nervous system"
2008,1,6.260640758,"Brain and central nervous system"
2009,1,6.572565272,"Brain and central nervous system"
2010,1,6.390653624,"Brain and central nervous system"
2011,1,6.260614753,"Brain and central nervous system"
2012,1,6.335517879,"Brain and central nervous system"
2013,1,6.449431935,"Brain and central nervous system"
1993,2,4.667192123,"Brain and central nervous system"
1994,2,4.456615284,"Brain and central nervous system"
1995,2,4.258595882,"Brain and central nervous system"
1996,2,4.212264538,"Brain and central nervous system"
1997,2,4.264193611,"Brain and central nervous system"
1998,2,4.274904767,"Brain and central nervous system"
1999,2,4.101102289,"Brain and central nervous system"
2000,2,4.458946561,"Brain and central nervous system"
2001,2,4.156424775,"Brain and central nervous system"
2002,2,4.243232984,"Brain and central nervous system"
2003,2,4.071166598,"Brain and central nervous system"
2004,2,3.901369081,"Brain and central nervous system"
2005,2,3.862170411,"Brain and central nervous system"
2006,2,4.139815236,"Brain and central nervous system"
2007,2,4.463072007,"Brain and central nervous system"
2008,2,4.240363187,"Brain and central nervous system"
2009,2,4.465692178,"Brain and central nervous system"
2010,2,4.348875533,"Brain and central nervous system"
2011,2,4.340554081,"Brain and central nervous system"
2012,2,4.071874834,"Brain and central nervous system"
2013,2,4.424038329,"Brain and central nervous system"
1993,1,2.323235488,"Liver"
1994,1,2.398973735,"Liver"
1995,1,2.27225951,"Liver"
1996,1,2.541291821,"Liver"
1997,1,2.718240219,"Liver"
1998,1,2.745304491,"Liver"
1999,1,2.905813252,"Liver"
2000,1,3.252720544,"Liver"
2001,1,3.092963408,"Liver"
2002,1,3.287996697,"Liver"
2003,1,3.340290018,"Liver"
2004,1,3.413576298,"Liver"
2005,1,3.785919528,"Liver"
2006,1,4.045778988,"Liver"
2007,1,4.27650785,"Liver"
2008,1,4.361644419,"Liver"
2009,1,4.705748597,"Liver"
2010,1,4.980626679,"Liver"
2011,1,5.023117854,"Liver"
2012,1,5.473317159,"Liver"
2013,1,5.899067608,"Liver"
1993,2,1.078956171,"Liver"
1994,2,1.122530184,"Liver"
1995,2,1.011760675,"Liver"
1996,2,1.236191381,"Liver"
1997,2,1.278252936,"Liver"
1998,2,1.268033195,"Liver"
1999,2,1.338945356,"Liver"
2000,2,1.446950207,"Liver"
2001,2,1.454026718,"Liver"
2002,2,1.4657883,"Liver"
2003,2,1.44179532,"Liver"
2004,2,1.574796679,"Liver"
2005,2,1.644468689,"Liver"
2006,2,1.798534797,"Liver"
2007,2,1.913777853,"Liver"
2008,2,1.855984594,"Liver"
2009,2,2.103241857,"Liver"
2010,2,2.175604507,"Liver"
2011,2,2.287545847,"Liver"
2012,2,2.323958172,"Liver"
2013,2,2.564346387,"Liver"
