"Cancer label"	"Sex"	"Year"	"ASR (World)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
"Bladder"	1	1993	20.68	20.86	NA	-3.2247*	2	2
"Bladder"	1	1994	20.22	20.18	NA	-3.2247*	2	2
"Bladder"	1	1995	19.94	19.53	NA	-3.2247*	2	2
"Bladder"	1	1996	18.66	18.90	NA	-3.2247*	2	2
"Bladder"	1	1997	18.09	18.29	NA	-3.2247*	2	2
"Bladder"	1	1998	18.07	17.70	NA	-3.2247*	2	2
"Bladder"	1	1999	17.80	17.13	Joinpoint 1	NA	2	2
"Bladder"	1	2000	14.86	15.98	NA	-6.7596*	2	2
"Bladder"	1	2001	14.91	14.90	NA	-6.7596*	2	2
"Bladder"	1	2002	14.11	13.89	Joinpoint 2	NA	2	2
"Bladder"	1	2003	13.72	13.72	NA	-1.1941*	2	2
"Bladder"	1	2004	13.20	13.56	NA	-1.1941*	2	2
"Bladder"	1	2005	13.54	13.40	NA	-1.1941*	2	2
"Bladder"	1	2006	13.13	13.24	NA	-1.1941*	2	2
"Bladder"	1	2007	13.38	13.08	NA	-1.1941*	2	2
"Bladder"	1	2008	13.21	12.92	NA	-1.1941*	2	2
"Bladder"	1	2009	13.04	12.77	NA	-1.1941*	2	2
"Bladder"	1	2010	12.43	12.62	NA	-1.1941*	2	2
"Bladder"	1	2011	12.61	12.47	NA	-1.1941*	2	2
"Bladder"	1	2012	12.26	12.32	NA	-1.1941*	2	2
"Bladder"	1	2013	11.87	12.17	NA	-1.1941*	2	2
"Bladder"	2	1993	5.96	5.84	NA	-2.3761*	2	2
"Bladder"	2	1994	5.41	5.70	NA	-2.3761*	2	2
"Bladder"	2	1995	5.78	5.56	NA	-2.3761*	2	2
"Bladder"	2	1996	5.30	5.43	NA	-2.3761*	2	2
"Bladder"	2	1997	5.40	5.30	NA	-2.3761*	2	2
"Bladder"	2	1998	5.24	5.18	NA	-2.3761*	2	2
"Bladder"	2	1999	5.22	5.05	Joinpoint 1	NA	2	2
"Bladder"	2	2000	4.34	4.69	NA	-7.2089	2	2
"Bladder"	2	2001	4.39	4.35	NA	-7.2089	2	2
"Bladder"	2	2002	4.06	4.04	Joinpoint 2	NA	2	2
"Bladder"	2	2003	4.08	4.02	NA	-0.4903	2	2
"Bladder"	2	2004	3.88	4.00	NA	-0.4903	2	2
"Bladder"	2	2005	4.06	3.98	NA	-0.4903	2	2
"Bladder"	2	2006	4.04	3.96	NA	-0.4903	2	2
"Bladder"	2	2007	3.89	3.94	NA	-0.4903	2	2
"Bladder"	2	2008	3.98	3.92	NA	-0.4903	2	2
"Bladder"	2	2009	3.80	3.90	NA	-0.4903	2	2
"Bladder"	2	2010	3.87	3.88	NA	-0.4903	2	2
"Bladder"	2	2011	3.93	3.86	NA	-0.4903	2	2
"Bladder"	2	2012	3.92	3.84	NA	-0.4903	2	2
