"Year","Sex","ASR (World)","Cancer label"
1968,1,8.014235217,"Bladder"
1969,1,7.918630713,"Bladder"
1970,1,8.001033482,"Bladder"
1971,1,7.83685326,"Bladder"
1972,1,7.95089198,"Bladder"
1973,1,7.892835236,"Bladder"
1974,1,7.955156615,"Bladder"
1975,1,7.740225746,"Bladder"
1976,1,7.892667957,"Bladder"
1977,1,7.874763226,"Bladder"
1978,1,7.699703342,"Bladder"
1979,1,7.74441418,"Bladder"
1980,1,7.688134173,"Bladder"
1981,1,7.390950036,"Bladder"
1982,1,7.437638189,"Bladder"
1983,1,7.563598199,"Bladder"
1984,1,7.493166591,"Bladder"
1985,1,7.672637781,"Bladder"
1986,1,7.434594755,"Bladder"
1987,1,7.119296866,"Bladder"
1988,1,7.491137934,"Bladder"
1989,1,7.166999609,"Bladder"
1990,1,7.280199347,"Bladder"
1991,1,7.348298274,"Bladder"
1992,1,7.440347877,"Bladder"
1993,1,6.939233547,"Bladder"
1994,1,6.585011647,"Bladder"
1995,1,6.786671238,"Bladder"
1996,1,6.390821411,"Bladder"
1997,1,6.048081646,"Bladder"
1998,1,5.90583678,"Bladder"
1999,1,5.59425332,"Bladder"
2000,1,5.545767653,"Bladder"
2001,1,5.573283765,"Bladder"
2002,1,5.339569072,"Bladder"
2003,1,5.24520451,"Bladder"
2004,1,5.025104131,"Bladder"
2005,1,4.833763064,"Bladder"
2006,1,4.809405932,"Bladder"
2007,1,4.837300355,"Bladder"
2008,1,4.688380531,"Bladder"
2009,1,4.687267403,"Bladder"
2010,1,4.462586776,"Bladder"
2011,1,4.511606404,"Bladder"
2012,1,4.533319662,"Bladder"
2013,1,4.273728357,"Bladder"
2014,1,4.375003029,"Bladder"
2015,1,4.312518098,"Bladder"
2016,1,4.173407945,"Bladder"
1968,2,2.084054093,"Bladder"
1969,2,2.098867679,"Bladder"
1970,2,2.120735251,"Bladder"
1971,2,2.073483429,"Bladder"
1972,2,2.152437695,"Bladder"
1973,2,2.137684961,"Bladder"
1974,2,2.287893053,"Bladder"
1975,2,2.189153606,"Bladder"
1976,2,2.214505821,"Bladder"
1977,2,2.154620869,"Bladder"
1978,2,2.34110455,"Bladder"
1979,2,2.280130983,"Bladder"
1980,2,2.177182581,"Bladder"
1981,2,2.226428586,"Bladder"
1982,2,2.099310475,"Bladder"
1983,2,2.120005454,"Bladder"
1984,2,2.152262012,"Bladder"
1985,2,2.202306449,"Bladder"
1986,2,2.223567324,"Bladder"
1987,2,2.179316878,"Bladder"
1988,2,2.15332387,"Bladder"
1989,2,2.248967955,"Bladder"
1990,2,2.25276313,"Bladder"
1991,2,2.110682087,"Bladder"
1992,2,2.216866207,"Bladder"
1993,2,2.132389456,"Bladder"
1994,2,2.130540048,"Bladder"
1995,2,2.03638989,"Bladder"
1996,2,1.981519155,"Bladder"
1997,2,1.957183693,"Bladder"
1998,2,1.981825162,"Bladder"
1999,2,1.876950136,"Bladder"
2000,2,1.957188872,"Bladder"
2001,2,1.805395044,"Bladder"
2002,2,1.816392867,"Bladder"
2003,2,1.861935129,"Bladder"
2004,2,1.721035649,"Bladder"
2005,2,1.709097414,"Bladder"
2006,2,1.74720649,"Bladder"
2007,2,1.672340101,"Bladder"
2008,2,1.666665368,"Bladder"
2009,2,1.650407343,"Bladder"
2010,2,1.575217054,"Bladder"
2011,2,1.626733623,"Bladder"
2012,2,1.672049596,"Bladder"
2013,2,1.64034062,"Bladder"
2014,2,1.639969995,"Bladder"
2015,2,1.58577449,"Bladder"
2016,2,1.595000794,"Bladder"
1955,1,3.637276137,"Brain and central nervous system"
1956,1,3.603961413,"Brain and central nervous system"
1957,1,3.511680231,"Brain and central nervous system"
1958,1,4.228334373,"Brain and central nervous system"
1959,1,4.069865649,"Brain and central nervous system"
1960,1,4.189752824,"Brain and central nervous system"
1961,1,4.27789932,"Brain and central nervous system"
1962,1,4.186907452,"Brain and central nervous system"
1963,1,4.12669297,"Brain and central nervous system"
1964,1,4.201656482,"Brain and central nervous system"
1965,1,4.287020791,"Brain and central nervous system"
1966,1,4.062651243,"Brain and central nervous system"
1967,1,4.11278477,"Brain and central nervous system"
1968,1,3.914415165,"Brain and central nervous system"
1969,1,4.233700294,"Brain and central nervous system"
1970,1,4.050958507,"Brain and central nervous system"
1971,1,4.309340797,"Brain and central nervous system"
1972,1,4.496967663,"Brain and central nervous system"
1973,1,4.272612855,"Brain and central nervous system"
1974,1,4.528757444,"Brain and central nervous system"
1975,1,4.360212848,"Brain and central nervous system"
1976,1,4.536045157,"Brain and central nervous system"
1977,1,4.568871692,"Brain and central nervous system"
1978,1,4.958088585,"Brain and central nervous system"
1979,1,4.51303682,"Brain and central nervous system"
1980,1,4.461806751,"Brain and central nervous system"
1981,1,4.20839087,"Brain and central nervous system"
1982,1,3.887787056,"Brain and central nervous system"
1983,1,4.477986548,"Brain and central nervous system"
1984,1,4.770308069,"Brain and central nervous system"
1985,1,4.779665612,"Brain and central nervous system"
1986,1,4.468678662,"Brain and central nervous system"
1987,1,4.802941242,"Brain and central nervous system"
1988,1,4.714039148,"Brain and central nervous system"
1989,1,4.945922887,"Brain and central nervous system"
1990,1,4.818622683,"Brain and central nervous system"
1991,1,4.848786049,"Brain and central nervous system"
1992,1,5.206826866,"Brain and central nervous system"
1993,1,4.517950909,"Brain and central nervous system"
1994,1,4.50553101,"Brain and central nervous system"
1995,1,4.440671968,"Brain and central nervous system"
1996,1,4.522958058,"Brain and central nervous system"
1997,1,4.632397263,"Brain and central nervous system"
1998,1,4.548333415,"Brain and central nervous system"
1999,1,4.638945925,"Brain and central nervous system"
2000,1,4.656810656,"Brain and central nervous system"
2001,1,4.783061458,"Brain and central nervous system"
2002,1,4.625153726,"Brain and central nervous system"
2003,1,4.640407577,"Brain and central nervous system"
2004,1,4.743024735,"Brain and central nervous system"
2005,1,4.59257422,"Brain and central nervous system"
2006,1,4.800963112,"Brain and central nervous system"
2007,1,4.595499527,"Brain and central nervous system"
2008,1,4.709587967,"Brain and central nervous system"
2009,1,4.583307463,"Brain and central nervous system"
2010,1,4.654204289,"Brain and central nervous system"
2011,1,4.555995799,"Brain and central nervous system"
2012,1,4.741334303,"Brain and central nervous system"
2013,1,4.625578119,"Brain and central nervous system"
2014,1,4.714394631,"Brain and central nervous system"
2015,1,4.638947563,"Brain and central nervous system"
2016,1,4.581577378,"Brain and central nervous system"
1955,2,2.252332473,"Brain and central nervous system"
1956,2,2.399180969,"Brain and central nervous system"
1957,2,2.378723467,"Brain and central nervous system"
1958,2,2.735995644,"Brain and central nervous system"
1959,2,2.935181805,"Brain and central nervous system"
1960,2,2.690647888,"Brain and central nervous system"
1961,2,2.902147765,"Brain and central nervous system"
1962,2,2.81804524,"Brain and central nervous system"
1963,2,2.875930425,"Brain and central nervous system"
1964,2,2.761397789,"Brain and central nervous system"
1965,2,2.732802053,"Brain and central nervous system"
1966,2,2.734297283,"Brain and central nervous system"
1967,2,2.770879321,"Brain and central nervous system"
1968,2,2.701521704,"Brain and central nervous system"
1969,2,2.819679051,"Brain and central nervous system"
1970,2,2.68192742,"Brain and central nervous system"
1971,2,2.881257049,"Brain and central nervous system"
1972,2,2.886497804,"Brain and central nervous system"
1973,2,2.938499192,"Brain and central nervous system"
1974,2,3.04015911,"Brain and central nervous system"
1975,2,2.903823959,"Brain and central nervous system"
1976,2,3.026878696,"Brain and central nervous system"
1977,2,3.197057983,"Brain and central nervous system"
1978,2,3.087176188,"Brain and central nervous system"
1979,2,2.979054432,"Brain and central nervous system"
1980,2,3.052473223,"Brain and central nervous system"
1981,2,2.695649714,"Brain and central nervous system"
1982,2,2.726012504,"Brain and central nervous system"
1983,2,3.052403933,"Brain and central nervous system"
1984,2,3.262266989,"Brain and central nervous system"
1985,2,3.238233825,"Brain and central nervous system"
1986,2,3.064145033,"Brain and central nervous system"
1987,2,3.17498595,"Brain and central nervous system"
1988,2,3.228410354,"Brain and central nervous system"
1989,2,3.238121548,"Brain and central nervous system"
1990,2,3.212428744,"Brain and central nervous system"
1991,2,3.159240409,"Brain and central nervous system"
1992,2,3.202085677,"Brain and central nervous system"
1993,2,3.085713195,"Brain and central nervous system"
1994,2,2.980338199,"Brain and central nervous system"
1995,2,2.953190693,"Brain and central nervous system"
1996,2,3.046423167,"Brain and central nervous system"
1997,2,3.065638546,"Brain and central nervous system"
1998,2,3.042983905,"Brain and central nervous system"
1999,2,2.946255433,"Brain and central nervous system"
2000,2,2.861902827,"Brain and central nervous system"
2001,2,3.014631702,"Brain and central nervous system"
2002,2,3.055559298,"Brain and central nervous system"
2003,2,2.967085362,"Brain and central nervous system"
2004,2,2.899896666,"Brain and central nervous system"
2005,2,2.826838635,"Brain and central nervous system"
2006,2,2.857405177,"Brain and central nervous system"
2007,2,3.092922221,"Brain and central nervous system"
2008,2,2.872953042,"Brain and central nervous system"
2009,2,2.911274488,"Brain and central nervous system"
2010,2,2.993939032,"Brain and central nervous system"
2011,2,2.979718034,"Brain and central nervous system"
2012,2,3.035673701,"Brain and central nervous system"
2013,2,2.988564639,"Brain and central nervous system"
2014,2,3.028855731,"Brain and central nervous system"
2015,2,2.854877908,"Brain and central nervous system"
2016,2,3.012027652,"Brain and central nervous system"
1979,1,1.389080864,"Liver"
1980,1,1.338570307,"Liver"
1981,1,1.49205693,"Liver"
1982,1,1.25088165,"Liver"
1983,1,1.531295053,"Liver"
1984,1,1.75275493,"Liver"
1985,1,1.550497363,"Liver"
1986,1,1.71422814,"Liver"
1987,1,1.791273969,"Liver"
1988,1,1.824536814,"Liver"
1989,1,1.840956902,"Liver"
1990,1,1.801754942,"Liver"
1991,1,2.006653225,"Liver"
1992,1,2.086163497,"Liver"
1993,1,1.771756037,"Liver"
1994,1,1.819827898,"Liver"
1995,1,1.818001149,"Liver"
1996,1,1.888091327,"Liver"
1997,1,2.136326177,"Liver"
1998,1,2.088182282,"Liver"
1999,1,2.170495121,"Liver"
2000,1,2.362789866,"Liver"
2001,1,2.674693828,"Liver"
2002,1,2.780325306,"Liver"
2003,1,2.988977013,"Liver"
2004,1,2.99531229,"Liver"
2005,1,3.126146246,"Liver"
2006,1,3.387449901,"Liver"
2007,1,3.434215417,"Liver"
2008,1,3.56598618,"Liver"
2009,1,3.692199841,"Liver"
2010,1,3.752873392,"Liver"
2011,1,3.952068633,"Liver"
2012,1,4.271689642,"Liver"
2013,1,4.545434781,"Liver"
2014,1,4.535654392,"Liver"
2015,1,4.486060049,"Liver"
2016,1,4.703169807,"Liver"
1979,2,0.6191782322,"Liver"
1980,2,0.6691434156,"Liver"
1981,2,0.6481500289,"Liver"
1982,2,0.6936283906,"Liver"
1983,2,0.7413331266,"Liver"
1984,2,0.8032849178,"Liver"
1985,2,0.8071927131,"Liver"
1986,2,0.8267414207,"Liver"
1987,2,0.8929942877,"Liver"
1988,2,0.8917212268,"Liver"
1989,2,0.9451810122,"Liver"
1990,2,0.9255346785,"Liver"
1991,2,0.9808717149,"Liver"
1992,2,1.076824226,"Liver"
1993,2,0.9209672828,"Liver"
1994,2,0.9169598143,"Liver"
1995,2,0.9549581909,"Liver"
