"Sex"	"Cancer label"	"Year"	"ASR (World)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
1	"Bladder"	1968	8.01	8.06	NA	-0.4605*	2	2
1	"Bladder"	1969	7.92	8.02	NA	-0.4605*	2	2
1	"Bladder"	1970	8.00	7.99	NA	-0.4605*	2	2
1	"Bladder"	1971	7.84	7.95	NA	-0.4605*	2	2
1	"Bladder"	1972	7.95	7.91	NA	-0.4605*	2	2
1	"Bladder"	1973	7.89	7.88	NA	-0.4605*	2	2
1	"Bladder"	1974	7.96	7.84	NA	-0.4605*	2	2
1	"Bladder"	1975	7.74	7.80	NA	-0.4605*	2	2
1	"Bladder"	1976	7.89	7.77	NA	-0.4605*	2	2
1	"Bladder"	1977	7.87	7.73	NA	-0.4605*	2	2
1	"Bladder"	1978	7.70	7.70	NA	-0.4605*	2	2
1	"Bladder"	1979	7.74	7.66	NA	-0.4605*	2	2
1	"Bladder"	1980	7.69	7.63	NA	-0.4605*	2	2
1	"Bladder"	1981	7.39	7.59	NA	-0.4605*	2	2
1	"Bladder"	1982	7.44	7.56	NA	-0.4605*	2	2
1	"Bladder"	1983	7.56	7.52	NA	-0.4605*	2	2
1	"Bladder"	1984	7.49	7.49	NA	-0.4605*	2	2
1	"Bladder"	1985	7.67	7.45	NA	-0.4605*	2	2
1	"Bladder"	1986	7.43	7.42	NA	-0.4605*	2	2
1	"Bladder"	1987	7.12	7.38	NA	-0.4605*	2	2
1	"Bladder"	1988	7.49	7.35	NA	-0.4605*	2	2
1	"Bladder"	1989	7.17	7.32	NA	-0.4605*	2	2
1	"Bladder"	1990	7.28	7.28	NA	-0.4605*	2	2
1	"Bladder"	1991	7.35	7.25	NA	-0.4605*	2	2
1	"Bladder"	1992	7.44	7.22	Joinpoint 1	NA	2	2
1	"Bladder"	1993	6.94	6.99	NA	-3.0559*	2	2
1	"Bladder"	1994	6.59	6.78	NA	-3.0559*	2	2
1	"Bladder"	1995	6.79	6.57	NA	-3.0559*	2	2
1	"Bladder"	1996	6.39	6.37	NA	-3.0559*	2	2
1	"Bladder"	1997	6.05	6.18	NA	-3.0559*	2	2
1	"Bladder"	1998	5.91	5.99	NA	-3.0559*	2	2
1	"Bladder"	1999	5.59	5.81	NA	-3.0559*	2	2
1	"Bladder"	2000	5.55	5.63	NA	-3.0559*	2	2
1	"Bladder"	2001	5.57	5.46	NA	-3.0559*	2	2
1	"Bladder"	2002	5.34	5.29	NA	-3.0559*	2	2
1	"Bladder"	2003	5.25	5.13	NA	-3.0559*	2	2
1	"Bladder"	2004	5.03	4.97	Joinpoint 2	NA	2	2
1	"Bladder"	2005	4.83	4.90	NA	-1.3867*	2	2
1	"Bladder"	2006	4.81	4.83	NA	-1.3867*	2	2
1	"Bladder"	2007	4.84	4.77	NA	-1.3867*	2	2
1	"Bladder"	2008	4.69	4.70	NA	-1.3867*	2	2
1	"Bladder"	2009	4.69	4.64	NA	-1.3867*	2	2
1	"Bladder"	2010	4.46	4.57	NA	-1.3867*	2	2
1	"Bladder"	2011	4.51	4.51	NA	-1.3867*	2	2
1	"Bladder"	2012	4.53	4.45	NA	-1.3867*	2	2
1	"Bladder"	2013	4.27	4.38	NA	-1.3867*	2	2
1	"Bladder"	2014	4.38	4.32	NA	-1.3867*	2	2
1	"Bladder"	2015	4.31	4.26	NA	-1.3867*	2	2
1	"Bladder"	2016	4.17	4.20	NA	-1.3867*	2	2
2	"Bladder"	1968	2.08	2.14	NA	0.1798	2	2
