"Year","Sex","ASR (World)","Cancer label"
1993,2,74.40758636,"Breast"
1994,2,75.38437388,"Breast"
1995,2,76.20368276,"Breast"
1996,2,76.96417562,"Breast"
1997,2,80.60942237,"Breast"
1998,2,81.4245723,"Breast"
1999,2,83.48192155,"Breast"
2000,2,82.49305699,"Breast"
2001,2,82.21597618,"Breast"
2002,2,82.12085415,"Breast"
2003,2,85.76820537,"Breast"
2004,2,86.11205371,"Breast"
2005,2,86.54072923,"Breast"
2006,2,85.39432597,"Breast"
2007,2,84.86955097,"Breast"
2008,2,86.75277211,"Breast"
2009,2,86.97453241,"Breast"
2010,2,87.86335219,"Breast"
2011,2,87.3709839,"Breast"
2012,2,87.75708128,"Breast"
2013,2,89.89424901,"Breast"
1993,1,36.34721897,"Colorectum"
1994,1,35.44260878,"Colorectum"
1995,1,35.18815653,"Colorectum"
1996,1,37.1741836,"Colorectum"
1997,1,37.16825844,"Colorectum"
1998,1,37.5727929,"Colorectum"
1999,1,36.94025442,"Colorectum"
2000,1,37.48615782,"Colorectum"
2001,1,36.2039834,"Colorectum"
2002,1,35.60048917,"Colorectum"
2003,1,36.16796076,"Colorectum"
2004,1,36.60244289,"Colorectum"
2005,1,36.62743075,"Colorectum"
2006,1,36.98402738,"Colorectum"
2007,1,37.1582152,"Colorectum"
2008,1,38.651588,"Colorectum"
2009,1,38.7585158,"Colorectum"
2010,1,39.07513629,"Colorectum"
2011,1,39.29142835,"Colorectum"
2012,1,38.97765077,"Colorectum"
2013,1,36.97607567,"Colorectum"
1993,2,24.28711099,"Colorectum"
1994,2,24.16206053,"Colorectum"
1995,2,23.54458817,"Colorectum"
1996,2,24.61915882,"Colorectum"
1997,2,24.05677909,"Colorectum"
1998,2,24.79005847,"Colorectum"
1999,2,24.45560707,"Colorectum"
2000,2,24.21941004,"Colorectum"
2001,2,23.78460278,"Colorectum"
2002,2,23.28322482,"Colorectum"
2003,2,23.00442172,"Colorectum"
2004,2,23.68699904,"Colorectum"
2005,2,23.94206145,"Colorectum"
2006,2,24.22068911,"Colorectum"
2007,2,25.08756813,"Colorectum"
2008,2,25.37231827,"Colorectum"
2009,2,25.73293829,"Colorectum"
2010,2,25.90032977,"Colorectum"
2011,2,26.49062874,"Colorectum"
2012,2,26.64303513,"Colorectum"
2013,2,25.39999988,"Colorectum"
1993,1,56.76589505,"Lung"
1994,1,55.81104376,"Lung"
1995,1,52.38017243,"Lung"
1996,1,50.15545857,"Lung"
1997,1,49.68218735,"Lung"
1998,1,47.58344493,"Lung"
1999,1,45.96828655,"Lung"
2000,1,45.50476844,"Lung"
2001,1,44.16096166,"Lung"
2002,1,42.25674358,"Lung"
2003,1,40.65990643,"Lung"
2004,1,41.32997565,"Lung"
2005,1,40.18933192,"Lung"
2006,1,40.82906194,"Lung"
2007,1,39.69085586,"Lung"
2008,1,39.34044192,"Lung"
2009,1,38.75812739,"Lung"
2010,1,38.33296625,"Lung"
2011,1,38.15623384,"Lung"
2012,1,38.21539321,"Lung"
2013,1,37.17992774,"Lung"
1993,2,23.86489855,"Lung"
1994,2,23.95519119,"Lung"
1995,2,23.41049539,"Lung"
1996,2,23.62378152,"Lung"
1997,2,23.68219589,"Lung"
1998,2,23.71652244,"Lung"
1999,2,23.72928703,"Lung"
2000,2,24.18201122,"Lung"
2001,2,23.58659839,"Lung"
2002,2,23.5328444,"Lung"
2003,2,23.83825765,"Lung"
2004,2,24.15287661,"Lung"
2005,2,24.89088855,"Lung"
2006,2,25.56680957,"Lung"
2007,2,25.9688359,"Lung"
2008,2,26.44135302,"Lung"
2009,2,26.9289483,"Lung"
2010,2,26.92400215,"Lung"
2011,2,27.55169902,"Lung"
2012,2,28.33046896,"Lung"
2013,2,28.08045604,"Lung"
1993,1,8.689787609,"Oesophagus"
1994,1,8.848692302,"Oesophagus"
1995,1,8.477070457,"Oesophagus"
1996,1,8.519876502,"Oesophagus"
1997,1,8.778365759,"Oesophagus"
1998,1,8.638204858,"Oesophagus"
1999,1,8.695583006,"Oesophagus"
2000,1,8.910147385,"Oesophagus"
2001,1,9.265798969,"Oesophagus"
2002,1,9.33041613,"Oesophagus"
2003,1,9.268419936,"Oesophagus"
2004,1,9.341877834,"Oesophagus"
2005,1,9.408562494,"Oesophagus"
2006,1,9.433184512,"Oesophagus"
2007,1,9.684500973,"Oesophagus"
2008,1,9.935671894,"Oesophagus"
2009,1,9.72598616,"Oesophagus"
2010,1,9.830700716,"Oesophagus"
2011,1,9.633395738,"Oesophagus"
2012,1,9.942220223,"Oesophagus"
2013,1,9.685363632,"Oesophagus"
1993,2,3.820566514,"Oesophagus"
1994,2,3.892128591,"Oesophagus"
1995,2,3.689250668,"Oesophagus"
1996,2,3.570340539,"Oesophagus"
1997,2,3.693655775,"Oesophagus"
1998,2,3.617038856,"Oesophagus"
1999,2,3.882555225,"Oesophagus"
2000,2,3.709015599,"Oesophagus"
2001,2,3.686017042,"Oesophagus"
2002,2,3.625979868,"Oesophagus"
2003,2,3.607151069,"Oesophagus"
2004,2,3.54982583,"Oesophagus"
2005,2,3.621137882,"Oesophagus"
2006,2,3.667558312,"Oesophagus"
2007,2,3.576221547,"Oesophagus"
2008,2,3.518769932,"Oesophagus"
2009,2,3.496393538,"Oesophagus"
2010,2,3.52538248,"Oesophagus"
2011,2,3.43775713,"Oesophagus"
2012,2,3.624188042,"Oesophagus"
2013,2,3.599111501,"Oesophagus"
1993,1,7.062933148,"Pancreas"
1994,1,6.668155613,"Pancreas"
1995,1,6.595906521,"Pancreas"
1996,1,6.808736491,"Pancreas"
1997,1,6.876496362,"Pancreas"
1998,1,6.626016705,"Pancreas"
1999,1,6.726813414,"Pancreas"
2000,1,6.89475698,"Pancreas"
2001,1,6.701769014,"Pancreas"
2002,1,6.661468211,"Pancreas"
2003,1,6.655112233,"Pancreas"
2004,1,6.773855193,"Pancreas"
2005,1,6.848328107,"Pancreas"
2006,1,7.022827506,"Pancreas"
2007,1,6.912364428,"Pancreas"
2008,1,7.228327586,"Pancreas"
2009,1,7.301462251,"Pancreas"
2010,1,7.145518223,"Pancreas"
2011,1,7.177910263,"Pancreas"
2012,1,7.418453216,"Pancreas"
2013,1,7.558664226,"Pancreas"
1993,2,5.188618298,"Pancreas"
1994,2,5.125570449,"Pancreas"
1995,2,4.798199376,"Pancreas"
1996,2,4.901818113,"Pancreas"
1997,2,4.893119107,"Pancreas"
1998,2,4.694231504,"Pancreas"
1999,2,5.172018801,"Pancreas"
2000,2,5.082823012,"Pancreas"
2001,2,4.942129253,"Pancreas"
2002,2,4.958695433,"Pancreas"
2003,2,5.091861001,"Pancreas"
2004,2,5.266485608,"Pancreas"
2005,2,5.434322105,"Pancreas"
2006,2,5.510186372,"Pancreas"
2007,2,5.3961129,"Pancreas"
2008,2,5.523211886,"Pancreas"
2009,2,5.707639083,"Pancreas"
2010,2,5.611687231,"Pancreas"
2011,2,5.87941566,"Pancreas"
2012,2,5.860600865,"Pancreas"
2013,2,5.927194973,"Pancreas"
1993,1,36.52180722,"Prostate"
1994,1,40.62368257,"Prostate"
1995,1,42.97333294,"Prostate"
1996,1,44.24715051,"Prostate"
1997,1,43.511248,"Prostate"
1998,1,44.31240559,"Prostate"
1999,1,48.23103181,"Prostate"
2000,1,53.15109159,"Prostate"
2001,1,60.12138559,"Prostate"
2002,1,60.85873985,"Prostate"
2003,1,61.38286484,"Prostate"
2004,1,66.62373222,"Prostate"
