"Cancer label"	"Sex"	"Year"	"ASR (World)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
"Breast"	2	1993	74.41	73.94	NA	1.8571*	1	1
"Breast"	2	1994	75.38	75.32	NA	1.8571*	1	1
"Breast"	2	1995	76.20	76.71	NA	1.8571*	1	1
"Breast"	2	1996	76.96	78.14	NA	1.8571*	1	1
"Breast"	2	1997	80.61	79.59	NA	1.8571*	1	1
"Breast"	2	1998	81.42	81.07	NA	1.8571*	1	1
"Breast"	2	1999	83.48	82.57	Joinpoint 1	NA	1	1
"Breast"	2	2000	82.49	83.01	NA	0.5312*	1	1
"Breast"	2	2001	82.22	83.45	NA	0.5312*	1	1
"Breast"	2	2002	82.12	83.90	NA	0.5312*	1	1
"Breast"	2	2003	85.77	84.34	NA	0.5312*	1	1
"Breast"	2	2004	86.11	84.79	NA	0.5312*	1	1
"Breast"	2	2005	86.54	85.24	NA	0.5312*	1	1
"Breast"	2	2006	85.39	85.69	NA	0.5312*	1	1
"Breast"	2	2007	84.87	86.15	NA	0.5312*	1	1
"Breast"	2	2008	86.75	86.61	NA	0.5312*	1	1
"Breast"	2	2009	86.97	87.07	NA	0.5312*	1	1
"Breast"	2	2010	87.86	87.53	NA	0.5312*	1	1
"Breast"	2	2011	87.37	87.99	NA	0.5312*	1	1
"Breast"	2	2012	87.76	88.46	NA	0.5312*	1	1
"Breast"	2	2013	89.89	88.93	NA	0.5312*	1	1
"Colorectum"	1	1993	36.35	35.62	NA	0.8953*	3	3
"Colorectum"	1	1994	35.44	35.94	NA	0.8953*	3	3
"Colorectum"	1	1995	35.19	36.26	NA	0.8953*	3	3
"Colorectum"	1	1996	37.17	36.59	NA	0.8953*	3	3
"Colorectum"	1	1997	37.17	36.92	NA	0.8953*	3	3
"Colorectum"	1	1998	37.57	37.25	NA	0.8953*	3	3
"Colorectum"	1	1999	36.94	37.58	Joinpoint 1	NA	3	3
"Colorectum"	1	2000	37.49	36.91	NA	-1.7808	3	3
"Colorectum"	1	2001	36.20	36.25	NA	-1.7808	3	3
"Colorectum"	1	2002	35.60	35.61	Joinpoint 2	NA	3	3
"Colorectum"	1	2003	36.17	36.02	NA	1.1661*	3	3
"Colorectum"	1	2004	36.60	36.44	NA	1.1661*	3	3
"Colorectum"	1	2005	36.63	36.87	NA	1.1661*	3	3
"Colorectum"	1	2006	36.98	37.30	NA	1.1661*	3	3
"Colorectum"	1	2007	37.16	37.73	NA	1.1661*	3	3
"Colorectum"	1	2008	38.65	38.17	NA	1.1661*	3	3
"Colorectum"	1	2009	38.76	38.62	NA	1.1661*	3	3
"Colorectum"	1	2010	39.08	39.07	NA	1.1661*	3	3
"Colorectum"	1	2011	39.29	39.52	Joinpoint 3	NA	3	3
"Colorectum"	1	2012	38.98	38.38	NA	-2.9020	3	3
"Colorectum"	1	2013	36.98	37.26	NA	-2.9020	3	3
"Colorectum"	2	1993	24.29	24.03	NA	0.3366	3	3
"Colorectum"	2	1994	24.16	24.11	NA	0.3366	3	3
"Colorectum"	2	1995	23.54	24.19	NA	0.3366	3	3
"Colorectum"	2	1996	24.62	24.27	NA	0.3366	3	3
"Colorectum"	2	1997	24.06	24.35	NA	0.3366	3	3
"Colorectum"	2	1998	24.79	24.43	NA	0.3366	3	3
"Colorectum"	2	1999	24.46	24.52	Joinpoint 1	NA	3	3
"Colorectum"	2	2000	24.22	24.15	NA	-1.4850	3	3
"Colorectum"	2	2001	23.78	23.79	NA	-1.4850	3	3
"Colorectum"	2	2002	23.28	23.44	NA	-1.4850	3	3
"Colorectum"	2	2003	23.00	23.09	Joinpoint 2	NA	3	3
"Colorectum"	2	2004	23.69	23.51	NA	1.8146*	3	3
"Colorectum"	2	2005	23.94	23.94	NA	1.8146*	3	3
"Colorectum"	2	2006	24.22	24.37	NA	1.8146*	3	3
"Colorectum"	2	2007	25.09	24.82	NA	1.8146*	3	3
"Colorectum"	2	2008	25.37	25.27	NA	1.8146*	3	3
"Colorectum"	2	2009	25.73	25.72	NA	1.8146*	3	3
"Colorectum"	2	2010	25.90	26.19	NA	1.8146*	3	3
"Colorectum"	2	2011	26.49	26.67	Joinpoint 3	NA	3	3
"Colorectum"	2	2012	26.64	26.15	NA	-1.9437	3	3
"Colorectum"	2	2013	25.40	25.64	NA	-1.9437	3	3
"Lung"	1	1993	56.77	56.28	NA	-3.0904*	1	1
"Lung"	1	1994	55.81	54.54	NA	-3.0904*	1	1
"Lung"	1	1995	52.38	52.86	NA	-3.0904*	1	1
"Lung"	1	1996	50.16	51.22	NA	-3.0904*	1	1
"Lung"	1	1997	49.68	49.64	NA	-3.0904*	1	1
"Lung"	1	1998	47.58	48.11	NA	-3.0904*	1	1
"Lung"	1	1999	45.97	46.62	NA	-3.0904*	1	1
"Lung"	1	2000	45.50	45.18	NA	-3.0904*	1	1
"Lung"	1	2001	44.16	43.78	NA	-3.0904*	1	1
"Lung"	1	2002	42.26	42.43	NA	-3.0904*	1	1
"Lung"	1	2003	40.66	41.12	Joinpoint 1	NA	1	1
"Lung"	1	2004	41.33	40.74	NA	-0.9140*	1	1
"Lung"	1	2005	40.19	40.37	NA	-0.9140*	1	1
"Lung"	1	2006	40.83	40.00	NA	-0.9140*	1	1
"Lung"	1	2007	39.69	39.64	NA	-0.9140*	1	1
"Lung"	1	2008	39.34	39.27	NA	-0.9140*	1	1
"Lung"	1	2009	38.76	38.92	NA	-0.9140*	1	1
"Lung"	1	2010	38.33	38.56	NA	-0.9140*	1	1
"Lung"	1	2011	38.16	38.21	NA	-0.9140*	1	1
