"Year","Sex","ASR (World)","Cancer label"
1950,2,23.5406332,"Breast"
1951,2,23.21139986,"Breast"
1952,2,23.61228536,"Breast"
1953,2,23.10616148,"Breast"
1954,2,23.50193721,"Breast"
1955,2,23.41636698,"Breast"
1956,2,23.47484412,"Breast"
1957,2,23.39382894,"Breast"
1958,2,23.90010222,"Breast"
1959,2,23.12349386,"Breast"
1960,2,23.7377539,"Breast"
1961,2,23.9781458,"Breast"
1962,2,23.97108887,"Breast"
1963,2,24.20596958,"Breast"
1964,2,25.05309819,"Breast"
1965,2,24.34198078,"Breast"
1966,2,24.39692771,"Breast"
1967,2,24.9967565,"Breast"
1968,2,25.27458157,"Breast"
1969,2,26.16895777,"Breast"
1970,2,26.39777888,"Breast"
1971,2,26.72607351,"Breast"
1972,2,26.93946822,"Breast"
1973,2,27.55302309,"Breast"
1974,2,26.71855685,"Breast"
1975,2,27.5501395,"Breast"
1976,2,27.6204454,"Breast"
1977,2,27.69801583,"Breast"
1978,2,27.94666578,"Breast"
1979,2,27.92867486,"Breast"
1980,2,28.3086414,"Breast"
1981,2,28.22752803,"Breast"
1982,2,28.22599926,"Breast"
1983,2,28.36904863,"Breast"
1984,2,29.13179827,"Breast"
1985,2,29.06570161,"Breast"
1986,2,29.37685591,"Breast"
1987,2,29.05446282,"Breast"
1988,2,28.85042402,"Breast"
1989,2,29.17790089,"Breast"
1990,2,28.10816864,"Breast"
1991,2,27.72483555,"Breast"
1992,2,27.28108837,"Breast"
1993,2,26.25381545,"Breast"
1994,2,25.9137828,"Breast"
1995,2,25.08229343,"Breast"
1996,2,23.75650292,"Breast"
1997,2,23.19371796,"Breast"
1998,2,22.65533557,"Breast"
1999,2,21.94926918,"Breast"
2000,2,21.44161804,"Breast"
2001,2,21.24040861,"Breast"
2002,2,20.6311712,"Breast"
2003,2,20.16203818,"Breast"
2004,2,19.58928855,"Breast"
2005,2,19.3826047,"Breast"
2006,2,18.97162562,"Breast"
2007,2,18.38744906,"Breast"
2008,2,17.92308517,"Breast"
2009,2,17.34717953,"Breast"
2010,2,16.59963026,"Breast"
2011,2,16.77777722,"Breast"
2012,2,16.37278761,"Breast"
2013,2,15.82748111,"Breast"
2014,2,15.37801831,"Breast"
2015,2,15.15104784,"Breast"
2016,2,15.08004013,"Breast"
1955,1,25.18924499,"Colorectum"
1956,1,24.28667906,"Colorectum"
1957,1,23.77923228,"Colorectum"
1958,1,23.41780429,"Colorectum"
1959,1,22.58786015,"Colorectum"
1960,1,22.28270363,"Colorectum"
1961,1,22.03550947,"Colorectum"
1962,1,21.93014293,"Colorectum"
1963,1,21.63413594,"Colorectum"
1964,1,21.5893321,"Colorectum"
1965,1,20.95884941,"Colorectum"
1966,1,21.6943716,"Colorectum"
1967,1,21.70557108,"Colorectum"
1968,1,22.39789165,"Colorectum"
1969,1,22.01512831,"Colorectum"
1970,1,21.98779962,"Colorectum"
1971,1,21.66492925,"Colorectum"
1972,1,21.91997002,"Colorectum"
1973,1,21.6267454,"Colorectum"
1974,1,21.86995548,"Colorectum"
1975,1,21.4261228,"Colorectum"
