"Year","Country","Cancer_Site","Sex","ASR"
2000,"England","All sites excl. NSMC","Men",657.2
2001,"England","All sites excl. NSMC","Men",662.2
2002,"England","All sites excl. NSMC","Men",648.2
2003,"England","All sites excl. NSMC","Men",643.2
2004,"England","All sites excl. NSMC","Men",660.6
2005,"England","All sites excl. NSMC","Men",653.8
2006,"England","All sites excl. NSMC","Men",670.3
2007,"England","All sites excl. NSMC","Men",664.3
2008,"England","All sites excl. NSMC","Men",677.6
2009,"England","All sites excl. NSMC","Men",687.8
2010,"England","All sites excl. NSMC","Men",682.9
2011,"England","All sites excl. NSMC","Men",684.3
2012,"England","All sites excl. NSMC","Men",697.9
2013,"England","All sites excl. NSMC","Men",714.8
2014,"England","All sites excl. NSMC","Men",690.6
2015,"England","All sites excl. NSMC","Men",688.4
2016,"England","All sites excl. NSMC","Men",683.9
2017,"England","All sites excl. NSMC","Men",670.9
2018,"England","All sites excl. NSMC","Men",697.5
2019,"England","All sites excl. NSMC","Men",689.2
2000,"England","All sites excl. NSMC","Women",490.5
2001,"England","All sites excl. NSMC","Women",492.6
2002,"England","All sites excl. NSMC","Women",483.6
2003,"England","All sites excl. NSMC","Women",496.9
2004,"England","All sites excl. NSMC","Women",497.6
2005,"England","All sites excl. NSMC","Women",506.1
2006,"England","All sites excl. NSMC","Women",515.2
2007,"England","All sites excl. NSMC","Women",515.7
2008,"England","All sites excl. NSMC","Women",530.9
2009,"England","All sites excl. NSMC","Women",530.5
2010,"England","All sites excl. NSMC","Women",533.5
2011,"England","All sites excl. NSMC","Women",540.2
2012,"England","All sites excl. NSMC","Women",547.4
2013,"England","All sites excl. NSMC","Women",558.6
2014,"England","All sites excl. NSMC","Women",555.9
2015,"England","All sites excl. NSMC","Women",553.2
2016,"England","All sites excl. NSMC","Women",551.6
2017,"England","All sites excl. NSMC","Women",546.3
2018,"England","All sites excl. NSMC","Women",550.7
2019,"England","All sites excl. NSMC","Women",555.6
2000,"Nothern Ireland","All sites excl. NSMC","Men",612.8
2001,"Nothern Ireland","All sites excl. NSMC","Men",642.5
2002,"Nothern Ireland","All sites excl. NSMC","Men",638.4
2003,"Nothern Ireland","All sites excl. NSMC","Men",652.9
2004,"Nothern Ireland","All sites excl. NSMC","Men",653.7
2005,"Nothern Ireland","All sites excl. NSMC","Men",645.9
2006,"Nothern Ireland","All sites excl. NSMC","Men",666.7
2007,"Nothern Ireland","All sites excl. NSMC","Men",687.4
2008,"Nothern Ireland","All sites excl. NSMC","Men",706.3
2009,"Nothern Ireland","All sites excl. NSMC","Men",696.9
2010,"Nothern Ireland","All sites excl. NSMC","Men",673.2
2011,"Nothern Ireland","All sites excl. NSMC","Men",706.6
2012,"Nothern Ireland","All sites excl. NSMC","Men",694.3
2013,"Nothern Ireland","All sites excl. NSMC","Men",677.6
2014,"Nothern Ireland","All sites excl. NSMC","Men",677.8
2015,"Nothern Ireland","All sites excl. NSMC","Men",680.9
2016,"Nothern Ireland","All sites excl. NSMC","Men",672.8
2017,"Nothern Ireland","All sites excl. NSMC","Men",675.7
2018,"Nothern Ireland","All sites excl. NSMC","Men",675
2019,"Nothern Ireland","All sites excl. NSMC","Men",686.8
2000,"Nothern Ireland","All sites excl. NSMC","Women",487.5
2001,"Nothern Ireland","All sites excl. NSMC","Women",464.3
2002,"Nothern Ireland","All sites excl. NSMC","Women",486.7
2003,"Nothern Ireland","All sites excl. NSMC","Women",493.3
2004,"Nothern Ireland","All sites excl. NSMC","Women",496.8
2005,"Nothern Ireland","All sites excl. NSMC","Women",488.4
2006,"Nothern Ireland","All sites excl. NSMC","Women",489.6
2007,"Nothern Ireland","All sites excl. NSMC","Women",511.7
2008,"Nothern Ireland","All sites excl. NSMC","Women",526.7
2009,"Nothern Ireland","All sites excl. NSMC","Women",527.9
2010,"Nothern Ireland","All sites excl. NSMC","Women",515.3
2011,"Nothern Ireland","All sites excl. NSMC","Women",536.6
2012,"Nothern Ireland","All sites excl. NSMC","Women",547.7
2013,"Nothern Ireland","All sites excl. NSMC","Women",547.5
2014,"Nothern Ireland","All sites excl. NSMC","Women",541.1
2015,"Nothern Ireland","All sites excl. NSMC","Women",551.7
2016,"Nothern Ireland","All sites excl. NSMC","Women",567.2
2017,"Nothern Ireland","All sites excl. NSMC","Women",556.4
2018,"Nothern Ireland","All sites excl. NSMC","Women",562.4
2019,"Nothern Ireland","All sites excl. NSMC","Women",556.5
2000,"Scotland","All sites excl. NSMC","Men",719.239830032566
2001,"Scotland","All sites excl. NSMC","Men",719.3582815537
2002,"Scotland","All sites excl. NSMC","Men",730.926291646921
2003,"Scotland","All sites excl. NSMC","Men",732.687129875834
2004,"Scotland","All sites excl. NSMC","Men",739.034575994681
2005,"Scotland","All sites excl. NSMC","Men",704.885293475501
2006,"Scotland","All sites excl. NSMC","Men",722.867218680828
2007,"Scotland","All sites excl. NSMC","Men",715.410854342752
2008,"Scotland","All sites excl. NSMC","Men",725.525658587221
2009,"Scotland","All sites excl. NSMC","Men",734.511327034318
2010,"Scotland","All sites excl. NSMC","Men",710.863903646864
2011,"Scotland","All sites excl. NSMC","Men",727.306071922665
2012,"Scotland","All sites excl. NSMC","Men",710.446352369014
2013,"Scotland","All sites excl. NSMC","Men",720.781423645227
