"Cancer_Site"	"Country"	"Sex"	"Year"	"ASR"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
All sites excl. NSMC	England	Men	2000	657.20	645.77	NA	0.5838*	1	1
All sites excl. NSMC	England	Men	2001	662.20	649.54	NA	0.5838*	1	1
All sites excl. NSMC	England	Men	2002	648.20	653.33	NA	0.5838*	1	1
All sites excl. NSMC	England	Men	2003	643.20	657.15	NA	0.5838*	1	1
All sites excl. NSMC	England	Men	2004	660.60	660.98	NA	0.5838*	1	1
All sites excl. NSMC	England	Men	2005	653.80	664.84	NA	0.5838*	1	1
All sites excl. NSMC	England	Men	2006	670.30	668.72	NA	0.5838*	1	1
All sites excl. NSMC	England	Men	2007	664.30	672.63	NA	0.5838*	1	1
All sites excl. NSMC	England	Men	2008	677.60	676.55	NA	0.5838*	1	1
All sites excl. NSMC	England	Men	2009	687.80	680.50	NA	0.5838*	1	1
All sites excl. NSMC	England	Men	2010	682.90	684.48	NA	0.5838*	1	1
All sites excl. NSMC	England	Men	2011	684.30	688.47	NA	0.5838*	1	1
All sites excl. NSMC	England	Men	2012	697.90	692.49	NA	0.5838*	1	1
All sites excl. NSMC	England	Men	2013	714.80	696.53	Joinpoint 1	NA	1	1
All sites excl. NSMC	England	Men	2014	690.60	694.29	NA	-0.3220	1	1
All sites excl. NSMC	England	Men	2015	688.40	692.05	NA	-0.3220	1	1
All sites excl. NSMC	England	Men	2016	683.90	689.83	NA	-0.3220	1	1
All sites excl. NSMC	England	Men	2017	670.90	687.60	NA	-0.3220	1	1
All sites excl. NSMC	England	Men	2018	697.50	685.39	NA	-0.3220	1	1
All sites excl. NSMC	England	Men	2019	689.20	683.18	NA	-0.3220	1	1
All sites excl. NSMC	England	Women	2000	490.50	491.76	NA	-0.3406	2	2
All sites excl. NSMC	England	Women	2001	492.60	490.08	NA	-0.3406	2	2
All sites excl. NSMC	England	Women	2002	483.60	488.41	Joinpoint 1	NA	2	2
All sites excl. NSMC	England	Women	2003	496.90	494.16	NA	1.1758*	2	2
All sites excl. NSMC	England	Women	2004	497.60	499.97	NA	1.1758*	2	2
All sites excl. NSMC	England	Women	2005	506.10	505.85	NA	1.1758*	2	2
All sites excl. NSMC	England	Women	2006	515.20	511.79	NA	1.1758*	2	2
All sites excl. NSMC	England	Women	2007	515.70	517.81	NA	1.1758*	2	2
All sites excl. NSMC	England	Women	2008	530.90	523.90	NA	1.1758*	2	2
All sites excl. NSMC	England	Women	2009	530.50	530.06	NA	1.1758*	2	2
All sites excl. NSMC	England	Women	2010	533.50	536.29	NA	1.1758*	2	2
All sites excl. NSMC	England	Women	2011	540.20	542.60	NA	1.1758*	2	2
All sites excl. NSMC	England	Women	2012	547.40	548.98	NA	1.1758*	2	2
All sites excl. NSMC	England	Women	2013	558.60	555.44	Joinpoint 2	NA	2	2
All sites excl. NSMC	England	Women	2014	555.90	554.61	NA	-0.1487	2	2
All sites excl. NSMC	England	Women	2015	553.20	553.78	NA	-0.1487	2	2
All sites excl. NSMC	England	Women	2016	551.60	552.96	NA	-0.1487	2	2
All sites excl. NSMC	England	Women	2017	546.30	552.14	NA	-0.1487	2	2
All sites excl. NSMC	England	Women	2018	550.70	551.32	NA	-0.1487	2	2
All sites excl. NSMC	England	Women	2019	555.60	550.50	NA	-0.1487	2	2
All sites excl. NSMC	Nothern Ireland	Men	2000	612.80	619.96	NA	1.4092*	1	1
All sites excl. NSMC	Nothern Ireland	Men	2001	642.50	628.69	NA	1.4092*	1	1
All sites excl. NSMC	Nothern Ireland	Men	2002	638.40	637.55	NA	1.4092*	1	1
All sites excl. NSMC	Nothern Ireland	Men	2003	652.90	646.54	NA	1.4092*	1	1
All sites excl. NSMC	Nothern Ireland	Men	2004	653.70	655.65	NA	1.4092*	1	1
All sites excl. NSMC	Nothern Ireland	Men	2005	645.90	664.89	NA	1.4092*	1	1
All sites excl. NSMC	Nothern Ireland	Men	2006	666.70	674.26	NA	1.4092*	1	1
All sites excl. NSMC	Nothern Ireland	Men	2007	687.40	683.76	NA	1.4092*	1	1
All sites excl. NSMC	Nothern Ireland	Men	2008	706.30	693.40	Joinpoint 1	NA	1	1
All sites excl. NSMC	Nothern Ireland	Men	2009	696.90	691.73	NA	-0.2406	1	1
All sites excl. NSMC	Nothern Ireland	Men	2010	673.20	690.06	NA	-0.2406	1	1
All sites excl. NSMC	Nothern Ireland	Men	2011	706.60	688.40	NA	-0.2406	1	1
All sites excl. NSMC	Nothern Ireland	Men	2012	694.30	686.74	NA	-0.2406	1	1
All sites excl. NSMC	Nothern Ireland	Men	2013	677.60	685.09	NA	-0.2406	1	1
All sites excl. NSMC	Nothern Ireland	Men	2014	677.80	683.44	NA	-0.2406	1	1
All sites excl. NSMC	Nothern Ireland	Men	2015	680.90	681.80	NA	-0.2406	1	1
All sites excl. NSMC	Nothern Ireland	Men	2016	672.80	680.16	NA	-0.2406	1	1
All sites excl. NSMC	Nothern Ireland	Men	2017	675.70	678.52	NA	-0.2406	1	1
All sites excl. NSMC	Nothern Ireland	Men	2018	675.00	676.89	NA	-0.2406	1	1
All sites excl. NSMC	Nothern Ireland	Men	2019	686.80	675.26	NA	-0.2406	1	1
All sites excl. NSMC	Nothern Ireland	Women	2000	487.50	476.19	NA	0.9690*	0	0
All sites excl. NSMC	Nothern Ireland	Women	2001	464.30	480.80	NA	0.9690*	0	0
All sites excl. NSMC	Nothern Ireland	Women	2002	486.70	485.46	NA	0.9690*	0	0
All sites excl. NSMC	Nothern Ireland	Women	2003	493.30	490.17	NA	0.9690*	0	0
All sites excl. NSMC	Nothern Ireland	Women	2004	496.80	494.92	NA	0.9690*	0	0
All sites excl. NSMC	Nothern Ireland	Women	2005	488.40	499.71	NA	0.9690*	0	0
All sites excl. NSMC	Nothern Ireland	Women	2006	489.60	504.55	NA	0.9690*	0	0
All sites excl. NSMC	Nothern Ireland	Women	2007	511.70	509.44	NA	0.9690*	0	0
All sites excl. NSMC	Nothern Ireland	Women	2008	526.70	514.38	NA	0.9690*	0	0
All sites excl. NSMC	Nothern Ireland	Women	2009	527.90	519.36	NA	0.9690*	0	0
All sites excl. NSMC	Nothern Ireland	Women	2010	515.30	524.40	NA	0.9690*	0	0
All sites excl. NSMC	Nothern Ireland	Women	2011	536.60	529.48	NA	0.9690*	0	0
All sites excl. NSMC	Nothern Ireland	Women	2012	547.70	534.61	NA	0.9690*	0	0
All sites excl. NSMC	Nothern Ireland	Women	2013	547.50	539.79	NA	0.9690*	0	0
All sites excl. NSMC	Nothern Ireland	Women	2014	541.10	545.02	NA	0.9690*	0	0
All sites excl. NSMC	Nothern Ireland	Women	2015	551.70	550.30	NA	0.9690*	0	0
All sites excl. NSMC	Nothern Ireland	Women	2016	567.20	555.63	NA	0.9690*	0	0
All sites excl. NSMC	Nothern Ireland	Women	2017	556.40	561.02	NA	0.9690*	0	0
All sites excl. NSMC	Nothern Ireland	Women	2018	562.40	566.45	NA	0.9690*	0	0
All sites excl. NSMC	Nothern Ireland	Women	2019	556.50	571.94	NA	0.9690*	0	0
All sites excl. NSMC	Scotland	Men	2000	719.24	726.01	NA	-0.0813	1	1
All sites excl. NSMC	Scotland	Men	2001	719.36	725.42	NA	-0.0813	1	1
All sites excl. NSMC	Scotland	Men	2002	730.93	724.83	NA	-0.0813	1	1
All sites excl. NSMC	Scotland	Men	2003	732.69	724.24	NA	-0.0813	1	1
All sites excl. NSMC	Scotland	Men	2004	739.03	723.65	NA	-0.0813	1	1
All sites excl. NSMC	Scotland	Men	2005	704.89	723.06	NA	-0.0813	1	1
All sites excl. NSMC	Scotland	Men	2006	722.87	722.48	NA	-0.0813	1	1
All sites excl. NSMC	Scotland	Men	2007	715.41	721.89	NA	-0.0813	1	1
All sites excl. NSMC	Scotland	Men	2008	725.53	721.30	NA	-0.0813	1	1
All sites excl. NSMC	Scotland	Men	2009	734.51	720.71	NA	-0.0813	1	1
All sites excl. NSMC	Scotland	Men	2010	710.86	720.13	NA	-0.0813	1	1
All sites excl. NSMC	Scotland	Men	2011	727.31	719.54	NA	-0.0813	1	1
All sites excl. NSMC	Scotland	Men	2012	710.45	718.96	NA	-0.0813	1	1
All sites excl. NSMC	Scotland	Men	2013	720.78	718.37	NA	-0.0813	1	1
All sites excl. NSMC	Scotland	Men	2014	724.07	717.79	Joinpoint 1	NA	1	1
All sites excl. NSMC	Scotland	Men	2015	701.19	710.39	NA	-1.0308	1	1
All sites excl. NSMC	Scotland	Men	2016	694.27	703.07	NA	-1.0308	1	1
All sites excl. NSMC	Scotland	Men	2017	693.15	695.82	NA	-1.0308	1	1
All sites excl. NSMC	Scotland	Men	2018	714.85	688.65	NA	-1.0308	1	1
All sites excl. NSMC	Scotland	Men	2019	668.11	681.55	NA	-1.0308	1	1
All sites excl. NSMC	Scotland	Women	2000	555.09	541.93	NA	0.8507*	1	1
All sites excl. NSMC	Scotland	Women	2001	542.95	546.54	NA	0.8507*	1	1
All sites excl. NSMC	Scotland	Women	2002	545.95	551.19	NA	0.8507*	1	1
