"Year","Country","Cancer_Site","Sex","Incidences","ASR","ASR_rolling"
2001,"England","All sites excl. NMSC","Men","117203",662.2,655.866666666667
2002,"England","All sites excl. NMSC","Men","116598",648.2,651.2
2003,"England","All sites excl. NMSC","Men","117197",643.2,650.666666666667
2004,"England","All sites excl. NMSC","Men","122309",660.6,652.533333333333
2005,"England","All sites excl. NMSC","Men","123053",653.8,661.566666666667
2006,"England","All sites excl. NMSC","Men","127895",670.3,662.8
2007,"England","All sites excl. NMSC","Men","129224",664.3,670.733333333333
2008,"England","All sites excl. NMSC","Men","134378",677.6,676.566666666667
2009,"England","All sites excl. NMSC","Men","139329",687.8,682.766666666667
2010,"England","All sites excl. NMSC","Men","141060",682.9,685
2011,"England","All sites excl. NMSC","Men","143904",684.3,688.366666666667
2012,"England","All sites excl. NMSC","Men","149683",697.9,699
2013,"England","All sites excl. NMSC","Men","156323",714.8,701.1
2014,"England","All sites excl. NMSC","Men","155032",690.6,697.933333333333
2015,"England","All sites excl. NMSC","Men","157611",688.4,687.633333333333
2016,"England","All sites excl. NMSC","Men","159600",683.9,681.066666666667
2017,"England","All sites excl. NMSC","Men","159931",670.9,684.1
2018,"England","All sites excl. NMSC","Men","169674",697.5,685.866666666667
2001,"England","All sites excl. NMSC","Women","115992",492.6,488.9
2002,"England","All sites excl. NMSC","Women","114459",483.6,491.033333333333
2003,"England","All sites excl. NMSC","Women","118399",496.9,492.7
2004,"England","All sites excl. NMSC","Women","119115",497.6,500.2
2005,"England","All sites excl. NMSC","Women","121936",506.1,506.3
2006,"England","All sites excl. NMSC","Women","125202",515.2,512.333333333333
2007,"England","All sites excl. NMSC","Women","126610",515.7,520.6
2008,"England","All sites excl. NMSC","Women","131748",530.9,525.7
2009,"England","All sites excl. NMSC","Women","133226",530.5,531.633333333333
2010,"England","All sites excl. NMSC","Women","135448",533.5,534.733333333333
2011,"England","All sites excl. NMSC","Women","138642",540.2,540.366666666667
2012,"England","All sites excl. NMSC","Women","142470",547.4,548.733333333333
2013,"England","All sites excl. NMSC","Women","147345",558.6,553.966666666667
2014,"England","All sites excl. NMSC","Women","148779",555.9,555.9
2015,"England","All sites excl. NMSC","Women","149779",553.2,553.566666666667
2016,"England","All sites excl. NMSC","Women","151117",551.6,550.366666666667
2017,"England","All sites excl. NMSC","Women","151621",546.3,549.533333333333
2018,"England","All sites excl. NMSC","Women","154668",550.7,550.866666666667
2001,"England","Breast","Women","35597",152.7,151.8
2002,"England","Breast","Women","35541",151.9,154.8
2003,"England","Breast","Women","37656",159.8,157.2
2004,"England","Breast","Women","37916",159.9,160.833333333333
2005,"England","Breast","Women","38868",162.8,161.366666666667
2006,"England","Breast","Women","38897",161.4,161.333333333333
2007,"England","Breast","Women","38907",159.8,162.166666666667
2008,"England","Breast","Women","40754",165.3,162.633333333333
2009,"England","Breast","Women","40688",162.8,164.433333333333
2010,"England","Breast","Women","41786",165.2,164.033333333333
2011,"England","Breast","Women","41967",164.1,165.166666666667
2012,"England","Breast","Women","43138",166.2,167.2
2013,"England","Breast","Women","44966",171.3,170.566666666667
2014,"England","Breast","Women","46321",174.2,172.166666666667
2015,"England","Breast","Women","46009",171,171.333333333333
2016,"England","Breast","Women","45893",168.8,169.033333333333
2017,"England","Breast","Women","45967",167.3,169.466666666667
2018,"England","Breast","Women","47815",172.3,170.3
2001,"England","Colorectal","Men","15184",86.8,87.5
2002,"England","Colorectal","Men","15271",85.7,86.3666666666667
2003,"England","Colorectal","Men","15602",86.6,86.9
2004,"England","Colorectal","Men","16180",88.4,88
2005,"England","Colorectal","Men","16518",89,88.9666666666667
2006,"England","Colorectal","Men","16917",89.5,89.3666666666667
2007,"England","Colorectal","Men","17210",89.6,90.6666666666667
2008,"England","Colorectal","Men","18230",92.9,91.7
2009,"England","Colorectal","Men","18582",92.6,92.6
2010,"England","Colorectal","Men","18893",92.3,92.6
2011,"England","Colorectal","Men","19395",92.9,92.8333333333333
2012,"England","Colorectal","Men","19834",93.3,91.6
2013,"England","Colorectal","Men","19201",88.6,89.2
2014,"England","Colorectal","Men","19018",85.7,86.7
2015,"England","Colorectal","Men","19431",85.8,85.6666666666667
2016,"England","Colorectal","Men","19831",85.5,84.7333333333333
2017,"England","Colorectal","Men","19627",82.9,84.0666666666667
2018,"England","Colorectal","Men","20237",83.8,83.9
2001,"England","Colorectal","Women","13009",54.8,55.0666666666667
2002,"England","Colorectal","Women","12921",54,54.2666666666667
2003,"England","Colorectal","Women","12977",54,54.5
2004,"England","Colorectal","Women","13370",55.5,55.2
2005,"England","Colorectal","Women","13581",56.1,56.2
2006,"England","Colorectal","Women","13941",57,57.0333333333333
2007,"England","Colorectal","Women","14317",58,57.9
2008,"England","Colorectal","Women","14623",58.7,58.4666666666667
2009,"England","Colorectal","Women","14818",58.7,58.7
2010,"England","Colorectal","Women","14930",58.7,59.0666666666667
2011,"England","Colorectal","Women","15446",59.8,59.3
2012,"England","Colorectal","Women","15528",59.4,58.9333333333333
2013,"England","Colorectal","Women","15321",57.6,58.0666666666667
2014,"England","Colorectal","Women","15484",57.2,57.5333333333333
2015,"England","Colorectal","Women","15846",57.8,57.1
2016,"England","Colorectal","Women","15631",56.3,56.5666666666667
2017,"England","Colorectal","Women","15636",55.6,56.0333333333333
2018,"England","Colorectal","Women","16056",56.2,56.6333333333333
2001,"England","Lung","Men","18953",108.6,107.8
2002,"England","Lung","Men","18266",102.8,103.833333333333
2003,"England","Lung","Men","17952",100.1,101.533333333333
2004,"England","Lung","Men","18474",101.7,100.4
2005,"England","Lung","Men","18284",99.4,100.833333333333
2006,"England","Lung","Men","18952",101.4,99.9
2007,"England","Lung","Men","18797",98.9,100
2008,"England","Lung","Men","19247",99.7,98.2333333333333
2009,"England","Lung","Men","18990",96.1,97.3333333333333
2010,"England","Lung","Men","19369",96.2,96.2
2011,"England","Lung","Men","19745",96.3,96.5
2012,"England","Lung","Men","20330",97,96.2
2013,"England","Lung","Men","20390",95.3,95.2
2014,"England","Lung","Men","20485",93.3,93.3333333333333
2015,"England","Lung","Men","20425",91.4,92.2333333333333
2016,"England","Lung","Men","21044",92,90.6
2017,"England","Lung","Men","20677",88.4,89
2018,"England","Lung","Men","20708",86.6,86.8333333333333
2001,"England","Lung","Women","12330",53.2,52.9333333333333
2002,"England","Lung","Women","12184",52.3,53.1
2003,"England","Lung","Women","12666",53.8,53.3333333333333
2004,"England","Lung","Women","12692",53.9,54.5333333333333
2005,"England","Lung","Women","13271",55.9,55.9333333333333
2006,"England","Lung","Women","13889",58,57.5333333333333
2007,"England","Lung","Women","14223",58.7,59.3
2008,"England","Lung","Women","14995",61.2,60.3333333333333
2009,"England","Lung","Women","15156",61.1,61.4
2010,"England","Lung","Women","15530",61.9,62.3
2011,"England","Lung","Women","16212",63.9,64
2012,"England","Lung","Women","17061",66.2,65.5333333333333
2013,"England","Lung","Women","17397",66.5,66.4
2014,"England","Lung","Women","17707",66.5,66.7
2015,"England","Lung","Women","18043",67.1,66.9666666666667
2016,"England","Lung","Women","18318",67.3,67.6333333333333
2017,"England","Lung","Women","19006",68.5,67.8666666666667
2018,"England","Lung","Women","19078",67.8,68
2001,"England","Oesophageal","Men","3828",21.5,21.4666666666667
2002,"England","Oesophageal","Men","3905",21.7,21.6666666666667
2003,"England","Oesophageal","Men","3974",21.8,21.7666666666667
2004,"England","Oesophageal","Men","4019",21.8,21.8333333333333
2005,"England","Oesophageal","Men","4122",21.9,21.9
2006,"England","Oesophageal","Men","4180",22,22.0333333333333
2007,"England","Oesophageal","Men","4335",22.2,22.4666666666667
2008,"England","Oesophageal","Men","4596",23.2,22.6
2009,"England","Oesophageal","Men","4533",22.4,22.8
2010,"England","Oesophageal","Men","4701",22.8,22.5666666666667
2011,"England","Oesophageal","Men","4711",22.5,22.8666666666667
2012,"England","Oesophageal","Men","5001",23.3,22.7666666666667
2013,"England","Oesophageal","Men","4939",22.5,22.6
2014,"England","Oesophageal","Men","4960",22,22.5
2015,"England","Oesophageal","Men","5256",23,22.6
2016,"England","Oesophageal","Men","5285",22.8,22.7333333333333
2017,"England","Oesophageal","Men","5323",22.4,22.6
2018,"England","Oesophageal","Men","5486",22.6,22.3333333333333
2001,"England","Oesophageal","Women","2308",9.6,9.53333333333333
2002,"England","Oesophageal","Women","2248",9.3,9.43333333333334
2003,"England","Oesophageal","Women","2289",9.4,9.26666666666667
2004,"England","Oesophageal","Women","2196",9.1,9.26666666666667
2005,"England","Oesophageal","Women","2287",9.3,9.23333333333333
2006,"England","Oesophageal","Women","2299",9.3,9.23333333333333
2007,"England","Oesophageal","Women","2274",9.1,9.13333333333333
2008,"England","Oesophageal","Women","2258",9,8.96666666666667
2009,"England","Oesophageal","Women","2231",8.8,8.93333333333334
2010,"England","Oesophageal","Women","2326",9,8.83333333333333
2011,"England","Oesophageal","Women","2256",8.7,8.93333333333333
2012,"England","Oesophageal","Women","2420",9.1,8.96666666666667
2013,"England","Oesophageal","Women","2415",9.1,9
2014,"England","Oesophageal","Women","2400",8.8,8.9
2015,"England","Oesophageal","Women","2419",8.8,8.66666666666667
2016,"England","Oesophageal","Women","2336",8.4,8.43333333333334
2017,"England","Oesophageal","Women","2299",8.1,8.26666666666667
2018,"England","Oesophageal","Women","2374",8.3,8.16666666666667
2001,"England","Pancreatic","Men","2882",16.7,16.8666666666667
2002,"England","Pancreatic","Men","2962",16.8,16.6
2003,"England","Pancreatic","Men","2935",16.3,16.7666666666667
2004,"England","Pancreatic","Men","3109",17.2,16.8
2005,"England","Pancreatic","Men","3136",16.9,17.2
