"Country"	"Cancer_Site"	"Sex"	"Year"	"ASR_rolling"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
England	All sites excl. NMSC	Men	2001	655.87	655.30	NA	-0.4540	3	3
England	All sites excl. NMSC	Men	2002	651.20	652.33	NA	-0.4540	3	3
England	All sites excl. NMSC	Men	2003	650.67	649.36	Joinpoint 1	NA	3	3
England	All sites excl. NMSC	Men	2004	652.53	654.49	NA	0.7899*	3	3
England	All sites excl. NMSC	Men	2005	661.57	659.66	NA	0.7899*	3	3
England	All sites excl. NMSC	Men	2006	662.80	664.87	NA	0.7899*	3	3
England	All sites excl. NMSC	Men	2007	670.73	670.13	NA	0.7899*	3	3
England	All sites excl. NMSC	Men	2008	676.57	675.42	NA	0.7899*	3	3
England	All sites excl. NMSC	Men	2009	682.77	680.75	NA	0.7899*	3	3
England	All sites excl. NMSC	Men	2010	685.00	686.13	NA	0.7899*	3	3
England	All sites excl. NMSC	Men	2011	688.37	691.55	NA	0.7899*	3	3
England	All sites excl. NMSC	Men	2012	699.00	697.01	NA	0.7899*	3	3
England	All sites excl. NMSC	Men	2013	701.10	702.52	Joinpoint 2	NA	3	3
England	All sites excl. NMSC	Men	2014	697.93	695.45	NA	-1.0070	3	3
England	All sites excl. NMSC	Men	2015	687.63	688.44	NA	-1.0070	3	3
England	All sites excl. NMSC	Men	2016	681.07	681.51	Joinpoint 3	NA	3	3
England	All sites excl. NMSC	Men	2017	684.10	683.77	NA	0.3314	3	3
England	All sites excl. NMSC	Men	2018	685.87	686.03	NA	0.3314	3	3
England	All sites excl. NMSC	Women	2001	488.90	488.62	NA	0.6114	2	2
England	All sites excl. NMSC	Women	2002	491.03	491.60	NA	0.6114	2	2
England	All sites excl. NMSC	Women	2003	492.70	494.61	Joinpoint 1	NA	2	2
England	All sites excl. NMSC	Women	2004	500.20	500.36	NA	1.1616*	2	2
England	All sites excl. NMSC	Women	2005	506.30	506.17	NA	1.1616*	2	2
England	All sites excl. NMSC	Women	2006	512.33	512.05	NA	1.1616*	2	2
England	All sites excl. NMSC	Women	2007	520.60	518.00	NA	1.1616*	2	2
England	All sites excl. NMSC	Women	2008	525.70	524.01	NA	1.1616*	2	2
England	All sites excl. NMSC	Women	2009	531.63	530.10	NA	1.1616*	2	2
England	All sites excl. NMSC	Women	2010	534.73	536.26	NA	1.1616*	2	2
