"Country"	"Cancer_Site"	"Sex"	"Year"	"ASR"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
England	All sites excl. NMSC	Men	2001	391.60	394.24	NA	-1.5492*	2	2
England	All sites excl. NMSC	Men	2002	390.70	388.14	NA	-1.5492*	2	2
England	All sites excl. NMSC	Men	2003	383.50	382.12	NA	-1.5492*	2	2
England	All sites excl. NMSC	Men	2004	376.20	376.20	NA	-1.5492*	2	2
England	All sites excl. NMSC	Men	2005	369.70	370.38	Joinpoint 1	NA	2	2
England	All sites excl. NMSC	Men	2006	366.60	366.09	NA	-1.1580*	2	2
England	All sites excl. NMSC	Men	2007	360.40	361.85	NA	-1.1580*	2	2
England	All sites excl. NMSC	Men	2008	358.60	357.66	NA	-1.1580*	2	2
England	All sites excl. NMSC	Men	2009	352.60	353.52	NA	-1.1580*	2	2
England	All sites excl. NMSC	Men	2010	348.00	349.42	NA	-1.1580*	2	2
England	All sites excl. NMSC	Men	2011	345.30	345.38	NA	-1.1580*	2	2
England	All sites excl. NMSC	Men	2012	344.30	341.38	NA	-1.1580*	2	2
England	All sites excl. NMSC	Men	2013	337.20	337.42	NA	-1.1580*	2	2
England	All sites excl. NMSC	Men	2014	332.70	333.52	NA	-1.1580*	2	2
England	All sites excl. NMSC	Men	2015	329.50	329.65	Joinpoint 2	NA	2	2
England	All sites excl. NMSC	Men	2016	323.70	323.97	NA	-1.7226*	2	2
England	All sites excl. NMSC	Men	2017	318.90	318.39	NA	-1.7226*	2	2
England	All sites excl. NMSC	Men	2018	313.10	312.91	NA	-1.7226*	2	2
England	All sites excl. NMSC	Men	2019	307.20	307.52	NA	-1.7226*	2	2
England	All sites excl. NMSC	Women	2001	255.50	255.92	NA	-0.8368*	1	1
England	All sites excl. NMSC	Women	2002	255.80	253.78	NA	-0.8368*	1	1
England	All sites excl. NMSC	Women	2003	251.80	251.65	NA	-0.8368*	1	1
England	All sites excl. NMSC	Women	2004	247.30	249.55	NA	-0.8368*	1	1
England	All sites excl. NMSC	Women	2005	246.70	247.46	NA	-0.8368*	1	1
England	All sites excl. NMSC	Women	2006	244.20	245.39	NA	-0.8368*	1	1
England	All sites excl. NMSC	Women	2007	244.60	243.33	NA	-0.8368*	1	1
England	All sites excl. NMSC	Women	2008	243.30	241.30	NA	-0.8368*	1	1
England	All sites excl. NMSC	Women	2009	237.80	239.28	NA	-0.8368*	1	1
England	All sites excl. NMSC	Women	2010	236.60	237.28	NA	-0.8368*	1	1
England	All sites excl. NMSC	Women	2011	236.70	235.29	NA	-0.8368*	1	1
England	All sites excl. NMSC	Women	2012	235.20	233.32	NA	-0.8368*	1	1
England	All sites excl. NMSC	Women	2013	231.00	231.37	NA	-0.8368*	1	1
England	All sites excl. NMSC	Women	2014	228.40	229.43	NA	-0.8368*	1	1
England	All sites excl. NMSC	Women	2015	226.60	227.51	NA	-0.8368*	1	1
England	All sites excl. NMSC	Women	2016	226.70	225.61	Joinpoint 1	NA	1	1
England	All sites excl. NMSC	Women	2017	221.20	222.12	NA	-1.5488*	1	1
England	All sites excl. NMSC	Women	2018	218.50	218.68	NA	-1.5488*	1	1
