"Year","Country","Cancer_Site","Sex","Mortalities","ASR","ASR_rolling"
2002,"England","All sites excl. NMSC","Men","66520",390.7,388.6
2003,"England","All sites excl. NMSC","Men","66029",383.5,383.466666666667
2004,"England","All sites excl. NMSC","Men","65666",376.2,376.466666666667
2005,"England","All sites excl. NMSC","Men","65526",369.7,370.833333333333
2006,"England","All sites excl. NMSC","Men","66164",366.6,365.566666666667
2007,"England","All sites excl. NMSC","Men","66265",360.4,361.866666666667
2008,"England","All sites excl. NMSC","Men","67070",358.6,357.2
2009,"England","All sites excl. NMSC","Men","67548",352.6,353.066666666667
2010,"England","All sites excl. NMSC","Men","67942",348,348.633333333333
2011,"England","All sites excl. NMSC","Men","68639",345.3,345.866666666667
2012,"England","All sites excl. NMSC","Men","70078",344.3,342.266666666667
2013,"England","All sites excl. NMSC","Men","70164",337.2,338.066666666667
2014,"England","All sites excl. NMSC","Men","71058",332.7,333.133333333333
2015,"England","All sites excl. NMSC","Men","71781",329.5,328.633333333333
2016,"England","All sites excl. NMSC","Men","72086",323.7,324.033333333333
2017,"England","All sites excl. NMSC","Men","72678",318.9,318.566666666667
2018,"England","All sites excl. NMSC","Men","72882",313.1,313.066666666667
2019,"England","All sites excl. NMSC","Men","73318",307.2,307.8
2002,"England","All sites excl. NMSC","Women","61456",255.8,254.366666666667
2003,"England","All sites excl. NMSC","Women","60843",251.8,251.633333333333
2004,"England","All sites excl. NMSC","Women","59951",247.3,248.6
2005,"England","All sites excl. NMSC","Women","60304",246.7,246.066666666667
2006,"England","All sites excl. NMSC","Women","60195",244.2,245.166666666667
2007,"England","All sites excl. NMSC","Women","60996",244.6,244.033333333333
2008,"England","All sites excl. NMSC","Women","61347",243.3,241.9
2009,"England","All sites excl. NMSC","Women","60572",237.8,239.233333333333
2010,"England","All sites excl. NMSC","Women","61132",236.6,237.033333333333
2011,"England","All sites excl. NMSC","Women","61935",236.7,236.166666666667
2012,"England","All sites excl. NMSC","Women","62527",235.2,234.3
2013,"England","All sites excl. NMSC","Women","62215",231,231.533333333333
2014,"England","All sites excl. NMSC","Women","62669",228.4,228.666666666667
2015,"England","All sites excl. NMSC","Women","62894",226.6,227.233333333333
2016,"England","All sites excl. NMSC","Women","63680",226.7,224.833333333333
2017,"England","All sites excl. NMSC","Women","63207",221.2,222.133333333333
2018,"England","All sites excl. NMSC","Women","63338",218.5,218.466666666667
2019,"England","All sites excl. NMSC","Women","63778",215.7,216.1
2002,"England","Breast","Women","10795",45,44.7333333333333
2003,"England","Breast","Women","10501",43.6,43.7
2004,"England","Breast","Women","10288",42.5,42.7333333333333
2005,"England","Breast","Women","10297",42.1,42.0333333333333
2006,"England","Breast","Women","10243",41.5,41.2333333333333
2007,"England","Breast","Women","9986",40.1,40.5
2008,"England","Breast","Women","10065",39.9,39.4
2009,"England","Breast","Women","9749",38.2,38.4666666666667
2010,"England","Breast","Women","9634",37.3,37.5
2011,"England","Breast","Women","9702",37,36.9
2012,"England","Breast","Women","9698",36.4,36.2333333333333
2013,"England","Breast","Women","9545",35.3,35.4
2014,"England","Breast","Women","9497",34.5,34.7
2015,"England","Breast","Women","9556",34.3,34.3
2016,"England","Breast","Women","9613",34.1,33.9
2017,"England","Breast","Women","9502",33.3,33.4666666666667
2018,"England","Breast","Women","9562",33,32.8333333333333
2019,"England","Breast","Women","9462",32.2,32.5333333333333
2002,"England","Colorectal","Men","6985",41.1,40.7666666666667
2003,"England","Colorectal","Men","6883",40.1,40.4
2004,"England","Colorectal","Men","6946",40,39.8333333333333
2005,"England","Colorectal","Men","6938",39.4,39.2333333333333
2006,"England","Colorectal","Men","6873",38.3,38.2
2007,"England","Colorectal","Men","6801",36.9,37.7333333333333
2008,"England","Colorectal","Men","7077",38,36.9666666666667
2009,"England","Colorectal","Men","6892",36,36.7
2010,"England","Colorectal","Men","7055",36.1,35.8
2011,"England","Colorectal","Men","6974",35.3,35.6333333333333
2012,"England","Colorectal","Men","7198",35.5,34.9
2013,"England","Colorectal","Men","7051",33.9,34.2333333333333
2014,"England","Colorectal","Men","7049",33.3,33.3666666666667
2015,"England","Colorectal","Men","7136",32.9,32.9666666666667
2016,"England","Colorectal","Men","7268",32.7,32.8333333333333
2017,"England","Colorectal","Men","7509",32.9,32.4666666666667
2018,"England","Colorectal","Men","7394",31.8,32.2
2019,"England","Colorectal","Men","7602",31.9,31.8666666666667
2002,"England","Colorectal","Women","6201",25.3,24.9333333333333
2003,"England","Colorectal","Women","6019",24.5,24.7666666666667
2004,"England","Colorectal","Women","6032",24.5,24.3666666666667
2005,"England","Colorectal","Women","5986",24.1,24.1333333333333
2006,"England","Colorectal","Women","5995",23.8,23.8666666666667
2007,"England","Colorectal","Women","6040",23.7,23.6
2008,"England","Colorectal","Women","5990",23.3,23.1
2009,"England","Colorectal","Women","5799",22.3,22.5666666666667
