"Country"	"Cancer_Site"	"Sex"	"Year"	"ASR_rolling"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
England	All sites excl. NMSC	Men	2002	388.60	388.85	NA	-1.5527*	2	2
England	All sites excl. NMSC	Men	2003	383.47	382.81	NA	-1.5527*	2	2
England	All sites excl. NMSC	Men	2004	376.47	376.87	NA	-1.5527*	2	2
England	All sites excl. NMSC	Men	2005	370.83	371.01	NA	-1.5527*	2	2
England	All sites excl. NMSC	Men	2006	365.57	365.25	Joinpoint 1	NA	2	2
England	All sites excl. NMSC	Men	2007	361.87	361.27	NA	-1.0906*	2	2
England	All sites excl. NMSC	Men	2008	357.20	357.33	NA	-1.0906*	2	2
England	All sites excl. NMSC	Men	2009	353.07	353.43	NA	-1.0906*	2	2
England	All sites excl. NMSC	Men	2010	348.63	349.58	NA	-1.0906*	2	2
England	All sites excl. NMSC	Men	2011	345.87	345.76	NA	-1.0906*	2	2
England	All sites excl. NMSC	Men	2012	342.27	341.99	NA	-1.0906*	2	2
England	All sites excl. NMSC	Men	2013	338.07	338.26	Joinpoint 2	NA	2	2
England	All sites excl. NMSC	Men	2014	333.13	333.20	NA	-1.4960*	2	2
England	All sites excl. NMSC	Men	2015	328.63	328.22	NA	-1.4960*	2	2
England	All sites excl. NMSC	Men	2016	324.03	323.31	NA	-1.4960*	2	2
England	All sites excl. NMSC	Men	2017	318.57	318.47	NA	-1.4960*	2	2
England	All sites excl. NMSC	Men	2018	313.07	313.71	NA	-1.4960*	2	2
England	All sites excl. NMSC	Women	2002	254.37	253.38	NA	-0.8012*	1	1
England	All sites excl. NMSC	Women	2003	251.63	251.35	NA	-0.8012*	1	1
England	All sites excl. NMSC	Women	2004	248.60	249.34	NA	-0.8012*	1	1
England	All sites excl. NMSC	Women	2005	246.07	247.34	NA	-0.8012*	1	1
England	All sites excl. NMSC	Women	2006	245.17	245.36	NA	-0.8012*	1	1
England	All sites excl. NMSC	Women	2007	244.03	243.39	NA	-0.8012*	1	1
England	All sites excl. NMSC	Women	2008	241.90	241.44	NA	-0.8012*	1	1
England	All sites excl. NMSC	Women	2009	239.23	239.51	NA	-0.8012*	1	1
England	All sites excl. NMSC	Women	2010	237.03	237.59	NA	-0.8012*	1	1
England	All sites excl. NMSC	Women	2011	236.17	235.69	NA	-0.8012*	1	1
England	All sites excl. NMSC	Women	2012	234.30	233.80	NA	-0.8012*	1	1
England	All sites excl. NMSC	Women	2013	231.53	231.93	Joinpoint 1	NA	1	1
England	All sites excl. NMSC	Women	2014	228.67	229.33	NA	-1.1203*	1	1
England	All sites excl. NMSC	Women	2015	227.23	226.76	NA	-1.1203*	1	1
England	All sites excl. NMSC	Women	2016	224.83	224.22	NA	-1.1203*	1	1
England	All sites excl. NMSC	Women	2017	222.13	221.71	NA	-1.1203*	1	1
England	All sites excl. NMSC	Women	2018	218.47	219.22	NA	-1.1203*	1	1
England	Breast	Women	2002	44.73	44.61	NA	-1.9573*	3	3
England	Breast	Women	2003	43.70	43.74	NA	-1.9573*	3	3
England	Breast	Women	2004	42.73	42.88	NA	-1.9573*	3	3
England	Breast	Women	2005	42.03	42.04	NA	-1.9573*	3	3
England	Breast	Women	2006	41.23	41.22	NA	-1.9573*	3	3
England	Breast	Women	2007	40.50	40.41	Joinpoint 1	NA	3	3
England	Breast	Women	2008	39.40	39.44	NA	-2.4128*	3	3
England	Breast	Women	2009	38.47	38.49	NA	-2.4128*	3	3
England	Breast	Women	2010	37.50	37.56	Joinpoint 2	NA	3	3
England	Breast	Women	2011	36.90	36.84	NA	-1.9059*	3	3
England	Breast	Women	2012	36.23	36.14	NA	-1.9059*	3	3
England	Breast	Women	2013	35.40	35.45	NA	-1.9059*	3	3
England	Breast	Women	2014	34.70	34.77	Joinpoint 3	NA	3	3
England	Breast	Women	2015	34.30	34.30	NA	-1.3555*	3	3
England	Breast	Women	2016	33.90	33.84	NA	-1.3555*	3	3
England	Breast	Women	2017	33.47	33.38	NA	-1.3555*	3	3
England	Breast	Women	2018	32.83	32.93	NA	-1.3555*	3	3
