"Year","Sex","ASR (World)","Cancer label","age_group"
1993,1,9.906358486,"Colorectum","0-59"
1994,1,9.344782198,"Colorectum","0-59"
1995,1,9.505824514,"Colorectum","0-59"
1996,1,10.03698709,"Colorectum","0-59"
1997,1,10.02706953,"Colorectum","0-59"
1998,1,9.909366246,"Colorectum","0-59"
1999,1,9.816173211,"Colorectum","0-59"
2000,1,9.701873198,"Colorectum","0-59"
2001,1,9.689514907,"Colorectum","0-59"
2002,1,9.369943228,"Colorectum","0-59"
2003,1,9.442550984,"Colorectum","0-59"
2004,1,9.686729501,"Colorectum","0-59"
2005,1,10.06423945,"Colorectum","0-59"
2006,1,10.11454325,"Colorectum","0-59"
2007,1,9.609636762,"Colorectum","0-59"
2008,1,9.872009625,"Colorectum","0-59"
2009,1,9.991097764,"Colorectum","0-59"
2010,1,9.982323438,"Colorectum","0-59"
2011,1,10.74211648,"Colorectum","0-59"
2012,1,11.2031782,"Colorectum","0-59"
2013,1,10.99223202,"Colorectum","0-59"
1993,2,7.723061227,"Colorectum","0-59"
1994,2,7.444212047,"Colorectum","0-59"
1995,2,7.165712658,"Colorectum","0-59"
1996,2,7.782175069,"Colorectum","0-59"
1997,2,7.393049553,"Colorectum","0-59"
1998,2,7.667041808,"Colorectum","0-59"
1999,2,7.626832135,"Colorectum","0-59"
2000,2,7.467705861,"Colorectum","0-59"
2001,2,7.670157764,"Colorectum","0-59"
2002,2,7.295871489,"Colorectum","0-59"
2003,2,7.268956715,"Colorectum","0-59"
2004,2,7.393693913,"Colorectum","0-59"
2005,2,7.579307256,"Colorectum","0-59"
2006,2,7.830870798,"Colorectum","0-59"
2007,2,8.23404234,"Colorectum","0-59"
2008,2,8.102858957,"Colorectum","0-59"
2009,2,8.11514883,"Colorectum","0-59"
2010,2,8.400869238,"Colorectum","0-59"
2011,2,9.0374096,"Colorectum","0-59"
2012,2,9.681295089,"Colorectum","0-59"
2013,2,9.491009521,"Colorectum","0-59"
1993,1,250.2778174,"Colorectum","60-85"
1994,1,246.5977511,"Colorectum","60-85"
1995,1,242.9815701,"Colorectum","60-85"
1996,1,256.7387735,"Colorectum","60-85"
1997,1,256.7651505,"Colorectum","60-85"
1998,1,261.3950631,"Colorectum","60-85"
1999,1,256.3987297,"Colorectum","60-85"
2000,1,262.2862788,"Colorectum","60-85"
2001,1,250.7301375,"Colorectum","60-85"
2002,1,247.8294518,"Colorectum","60-85"
2003,1,252.4008217,"Colorectum","60-85"
2004,1,254.3750331,"Colorectum","60-85"
2005,1,251.5477968,"Colorectum","60-85"
2006,1,254.3825808,"Colorectum","60-85"
2007,1,260.0512589,"Colorectum","60-85"
2008,1,271.5045403,"Colorectum","60-85"
2009,1,271.5130799,"Colorectum","60-85"
2010,1,274.4624403,"Colorectum","60-85"
2011,1,270.2813152,"Colorectum","60-85"
2012,1,263.6983834,"Colorectum","60-85"
2013,1,247.2089924,"Colorectum","60-85"
1993,2,158.3053318,"Colorectum","60-85"
1994,2,159.4246528,"Colorectum","60-85"
1995,2,156.064581,"Colorectum","60-85"
1996,2,160.8456637,"Colorectum","60-85"
1997,2,158.8814999,"Colorectum","60-85"
1998,2,163.3308296,"Colorectum","60-85"
1999,2,160.6156952,"Colorectum","60-85"
2000,2,159.7559256,"Colorectum","60-85"
2001,2,154.1651125,"Colorectum","60-85"
2002,2,152.6354472,"Colorectum","60-85"
2003,2,150.3186386,"Colorectum","60-85"
2004,2,155.5146496,"Colorectum","60-85"
2005,2,156.3316181,"Colorectum","60-85"
2006,2,156.8292191,"Colorectum","60-85"
2007,2,161.4479132,"Colorectum","60-85"
2008,2,165.0979436,"Colorectum","60-85"
2009,2,168.2768712,"Colorectum","60-85"
2010,2,167.486874,"Colorectum","60-85"
2011,2,167.7030381,"Colorectum","60-85"
2012,2,163.8789318,"Colorectum","60-85"
2013,2,154.1181946,"Colorectum","60-85"
