"Sex"	"age_group"	"Cancer label"	"Year"	"ASR (World)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
1	"0-59"	Colorectum	1993	9.91	9.72	NA	0.0317	1	1
1	"0-59"	Colorectum	1994	9.34	9.73	NA	0.0317	1	1
1	"0-59"	Colorectum	1995	9.51	9.73	NA	0.0317	1	1
1	"0-59"	Colorectum	1996	10.04	9.73	NA	0.0317	1	1
1	"0-59"	Colorectum	1997	10.03	9.73	NA	0.0317	1	1
1	"0-59"	Colorectum	1998	9.91	9.74	NA	0.0317	1	1
1	"0-59"	Colorectum	1999	9.82	9.74	NA	0.0317	1	1
1	"0-59"	Colorectum	2000	9.70	9.74	NA	0.0317	1	1
1	"0-59"	Colorectum	2001	9.69	9.75	NA	0.0317	1	1
1	"0-59"	Colorectum	2002	9.37	9.75	NA	0.0317	1	1
1	"0-59"	Colorectum	2003	9.44	9.75	NA	0.0317	1	1
1	"0-59"	Colorectum	2004	9.69	9.76	NA	0.0317	1	1
1	"0-59"	Colorectum	2005	10.06	9.76	NA	0.0317	1	1
1	"0-59"	Colorectum	2006	10.11	9.76	NA	0.0317	1	1
1	"0-59"	Colorectum	2007	9.61	9.77	NA	0.0317	1	1
1	"0-59"	Colorectum	2008	9.87	9.77	Joinpoint 1	NA	1	1
1	"0-59"	Colorectum	2009	9.99	10.04	NA	2.7431*	1	1
1	"0-59"	Colorectum	2010	9.98	10.31	NA	2.7431*	1	1
1	"0-59"	Colorectum	2011	10.74	10.60	NA	2.7431*	1	1
1	"0-59"	Colorectum	2012	11.20	10.89	NA	2.7431*	1	1
1	"0-59"	Colorectum	2013	10.99	11.18	NA	2.7431*	1	1
2	"0-59"	Colorectum	1993	7.72	7.59	NA	-0.2695	1	1
2	"0-59"	Colorectum	1994	7.44	7.57	NA	-0.2695	1	1
2	"0-59"	Colorectum	1995	7.17	7.55	NA	-0.2695	1	1
2	"0-59"	Colorectum	1996	7.78	7.53	NA	-0.2695	1	1
2	"0-59"	Colorectum	1997	7.39	7.51	NA	-0.2695	1	1
2	"0-59"	Colorectum	1998	7.67	7.49	NA	-0.2695	1	1
2	"0-59"	Colorectum	1999	7.63	7.47	NA	-0.2695	1	1
2	"0-59"	Colorectum	2000	7.47	7.45	NA	-0.2695	1	1
