"Sex"	"Cancer Type"	"Year"	"ASR (Europe)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	1994	538.24	536.59	NA	0.5344*	2	2
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	1995	539.50	539.46	NA	0.5344*	2	2
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	1996	540.54	542.34	NA	0.5344*	2	2
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	1997	543.66	545.24	NA	0.5344*	2	2
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	1998	548.11	548.15	NA	0.5344*	2	2
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	1999	550.74	551.08	NA	0.5344*	2	2
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2000	556.70	554.03	NA	0.5344*	2	2
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2001	557.66	556.99	NA	0.5344*	2	2
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2002	559.22	559.97	NA	0.5344*	2	2
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2003	561.76	562.96	Joinpoint 1	NA	2	2
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2004	566.75	568.40	NA	0.9660*	2	2
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2005	573.94	573.89	NA	0.9660*	2	2
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2006	578.24	579.43	NA	0.9660*	2	2
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2007	587.09	585.03	NA	0.9660*	2	2
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2008	593.27	590.68	NA	0.9660*	2	2
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2009	598.97	596.39	NA	0.9660*	2	2
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2010	601.90	602.15	NA	0.9660*	2	2
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2011	605.67	607.96	NA	0.9660*	2	2
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2012	614.38	613.84	NA	0.9660*	2	2
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2013	617.89	619.76	Joinpoint 2	NA	2	2
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2014	618.07	616.56	NA	-0.5173*	2	2
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2015	612.72	613.37	NA	-0.5173*	2	2
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2016	607.61	610.20	NA	-0.5173*	2	2
All	All Cancers Combined excluding Non-Melanoma Skin Cancer (C00-C97 (excl. C44))	2017	608.92	607.04	NA	-0.5173*	2	2
All	Bowel Cancer (C18-C20)	1994	69.77	69.78	NA	0.7198*	3	3
All	Bowel Cancer (C18-C20)	1995	70.19	70.29	NA	0.7198*	3	3
All	Bowel Cancer (C18-C20)	1996	70.62	70.79	NA	0.7198*	3	3
All	Bowel Cancer (C18-C20)	1997	71.78	71.30	NA	0.7198*	3	3
All	Bowel Cancer (C18-C20)	1998	71.87	71.81	NA	0.7198*	3	3
All	Bowel Cancer (C18-C20)	1999	72.03	72.33	Joinpoint 1	NA	3	3
All	Bowel Cancer (C18-C20)	2000	71.35	71.32	NA	-1.4017*	3	3
All	Bowel Cancer (C18-C20)	2001	70.42	70.32	NA	-1.4017*	3	3
All	Bowel Cancer (C18-C20)	2002	69.64	69.33	Joinpoint 2	NA	3	3
All	Bowel Cancer (C18-C20)	2003	69.96	70.16	NA	1.1938*	3	3
All	Bowel Cancer (C18-C20)	2004	70.76	71.00	NA	1.1938*	3	3
All	Bowel Cancer (C18-C20)	2005	71.69	71.84	NA	1.1938*	3	3
All	Bowel Cancer (C18-C20)	2006	72.51	72.70	NA	1.1938*	3	3
All	Bowel Cancer (C18-C20)	2007	73.79	73.57	NA	1.1938*	3	3
All	Bowel Cancer (C18-C20)	2008	74.74	74.45	NA	1.1938*	3	3
All	Bowel Cancer (C18-C20)	2009	75.30	75.34	NA	1.1938*	3	3
All	Bowel Cancer (C18-C20)	2010	75.60	76.24	Joinpoint 3	NA	3	3
All	Bowel Cancer (C18-C20)	2011	75.69	75.18	NA	-1.3894*	3	3
All	Bowel Cancer (C18-C20)	2012	74.79	74.13	NA	-1.3894*	3	3
