"Year","Sex","ASR (World)","Cancer label"
1950,1,162.0016015,"All sites excl. non-melanoma skin cancer"
1951,1,165.690892,"All sites excl. non-melanoma skin cancer"
1952,1,167.1729825,"All sites excl. non-melanoma skin cancer"
1953,1,168.180674,"All sites excl. non-melanoma skin cancer"
1954,1,171.1782661,"All sites excl. non-melanoma skin cancer"
1955,1,171.9784641,"All sites excl. non-melanoma skin cancer"
1956,1,173.6124982,"All sites excl. non-melanoma skin cancer"
1957,1,175.0261736,"All sites excl. non-melanoma skin cancer"
1958,1,176.3501877,"All sites excl. non-melanoma skin cancer"
1959,1,178.4071699,"All sites excl. non-melanoma skin cancer"
1960,1,179.0169661,"All sites excl. non-melanoma skin cancer"
1961,1,179.7414227,"All sites excl. non-melanoma skin cancer"
1962,1,181.9430418,"All sites excl. non-melanoma skin cancer"
1963,1,183.1136122,"All sites excl. non-melanoma skin cancer"
1964,1,183.5304125,"All sites excl. non-melanoma skin cancer"
1965,1,185.3568006,"All sites excl. non-melanoma skin cancer"
1966,1,187.2542067,"All sites excl. non-melanoma skin cancer"
1967,1,188.1071999,"All sites excl. non-melanoma skin cancer"
1968,1,190.5420126,"All sites excl. non-melanoma skin cancer"
1969,1,191.564998,"All sites excl. non-melanoma skin cancer"
1970,1,191.1158219,"All sites excl. non-melanoma skin cancer"
1971,1,188.6702202,"All sites excl. non-melanoma skin cancer"
1972,1,190.24278,"All sites excl. non-melanoma skin cancer"
1973,1,190.0839292,"All sites excl. non-melanoma skin cancer"
1974,1,190.6926967,"All sites excl. non-melanoma skin cancer"
1975,1,188.3703664,"All sites excl. non-melanoma skin cancer"
1976,1,191.3087394,"All sites excl. non-melanoma skin cancer"
1977,1,188.3922723,"All sites excl. non-melanoma skin cancer"
1978,1,189.7459244,"All sites excl. non-melanoma skin cancer"
1979,1,189.53054,"All sites excl. non-melanoma skin cancer"
1980,1,187.40808,"All sites excl. non-melanoma skin cancer"
1981,1,182.8481901,"All sites excl. non-melanoma skin cancer"
1982,1,181.7519747,"All sites excl. non-melanoma skin cancer"
1983,1,184.7348078,"All sites excl. non-melanoma skin cancer"
1984,1,188.1447902,"All sites excl. non-melanoma skin cancer"
1985,1,186.4634721,"All sites excl. non-melanoma skin cancer"
1986,1,183.4320687,"All sites excl. non-melanoma skin cancer"
1987,1,182.6017869,"All sites excl. non-melanoma skin cancer"
1988,1,183.3603876,"All sites excl. non-melanoma skin cancer"
1989,1,181.3910326,"All sites excl. non-melanoma skin cancer"
1990,1,179.6901531,"All sites excl. non-melanoma skin cancer"
1991,1,179.1955012,"All sites excl. non-melanoma skin cancer"
1992,1,178.050558,"All sites excl. non-melanoma skin cancer"
1993,1,173.2225511,"All sites excl. non-melanoma skin cancer"
1994,1,169.6037537,"All sites excl. non-melanoma skin cancer"
1995,1,166.6173222,"All sites excl. non-melanoma skin cancer"
1996,1,162.8408551,"All sites excl. non-melanoma skin cancer"
1997,1,157.3139943,"All sites excl. non-melanoma skin cancer"
1998,1,157.1069891,"All sites excl. non-melanoma skin cancer"
1999,1,151.9304289,"All sites excl. non-melanoma skin cancer"
