"Year","Sex","ASR (World)","Cancer label","age_group"
1955,1,5.971458656,"Colorectum","0-59"
1956,1,5.472193809,"Colorectum","0-59"
1957,1,5.531092636,"Colorectum","0-59"
1958,1,5.675316978,"Colorectum","0-59"
1959,1,5.356731677,"Colorectum","0-59"
1960,1,5.396462515,"Colorectum","0-59"
1961,1,5.222639351,"Colorectum","0-59"
1962,1,5.060564707,"Colorectum","0-59"
1963,1,5.037936769,"Colorectum","0-59"
1964,1,5.123651902,"Colorectum","0-59"
1965,1,4.995747162,"Colorectum","0-59"
1966,1,5.103142903,"Colorectum","0-59"
1967,1,5.198294731,"Colorectum","0-59"
1968,1,5.404030997,"Colorectum","0-59"
1969,1,5.442934342,"Colorectum","0-59"
1970,1,5.320373714,"Colorectum","0-59"
1971,1,5.271950779,"Colorectum","0-59"
1972,1,5.534325275,"Colorectum","0-59"
1973,1,5.339237722,"Colorectum","0-59"
1974,1,5.46242832,"Colorectum","0-59"
1975,1,5.230540577,"Colorectum","0-59"
1976,1,5.514630416,"Colorectum","0-59"
1977,1,5.172977965,"Colorectum","0-59"
1978,1,5.296656878,"Colorectum","0-59"
1979,1,5.37649137,"Colorectum","0-59"
1980,1,5.093468151,"Colorectum","0-59"
1981,1,4.976636932,"Colorectum","0-59"
1982,1,4.885799262,"Colorectum","0-59"
1983,1,5.102431131,"Colorectum","0-59"
1984,1,5.22555869,"Colorectum","0-59"
1985,1,5.076064783,"Colorectum","0-59"
1986,1,4.831076646,"Colorectum","0-59"
1987,1,4.895316688,"Colorectum","0-59"
1988,1,5.104333745,"Colorectum","0-59"
1989,1,4.733813908,"Colorectum","0-59"
1990,1,4.379792499,"Colorectum","0-59"
1991,1,4.760325234,"Colorectum","0-59"
1992,1,4.640989038,"Colorectum","0-59"
1993,1,4.630460278,"Colorectum","0-59"
1994,1,4.250483043,"Colorectum","0-59"
1995,1,4.197435773,"Colorectum","0-59"
1996,1,4.062396019,"Colorectum","0-59"
1997,1,3.859831404,"Colorectum","0-59"
1998,1,3.783073944,"Colorectum","0-59"
1999,1,3.537793394,"Colorectum","0-59"
2000,1,3.297778058,"Colorectum","0-59"
2001,1,3.474421903,"Colorectum","0-59"
2002,1,3.463007865,"Colorectum","0-59"
2003,1,3.218090775,"Colorectum","0-59"
2004,1,3.114434008,"Colorectum","0-59"
2005,1,3.09006604,"Colorectum","0-59"
2006,1,3.145693525,"Colorectum","0-59"
2007,1,3.136366757,"Colorectum","0-59"
2008,1,3.062887683,"Colorectum","0-59"
2009,1,2.893781192,"Colorectum","0-59"
2010,1,2.96194364,"Colorectum","0-59"
2011,1,2.783326231,"Colorectum","0-59"
2012,1,2.910336365,"Colorectum","0-59"
2013,1,2.783002736,"Colorectum","0-59"
2014,1,2.613707215,"Colorectum","0-59"
2015,1,2.938147283,"Colorectum","0-59"
2016,1,2.876617946,"Colorectum","0-59"
1955,2,5.919915887,"Colorectum","0-59"
1956,2,5.940457357,"Colorectum","0-59"
1957,2,5.343920717,"Colorectum","0-59"
1958,2,5.52532985,"Colorectum","0-59"
1959,2,5.621687779,"Colorectum","0-59"
1960,2,5.528159996,"Colorectum","0-59"
1961,2,5.38128663,"Colorectum","0-59"
1962,2,5.315188124,"Colorectum","0-59"
1963,2,5.056829262,"Colorectum","0-59"
1964,2,5.167356109,"Colorectum","0-59"
1965,2,5.065687443,"Colorectum","0-59"
1966,2,4.923978334,"Colorectum","0-59"
1967,2,5.270856577,"Colorectum","0-59"
1968,2,5.363233976,"Colorectum","0-59"
1969,2,5.286428983,"Colorectum","0-59"
1970,2,4.868627253,"Colorectum","0-59"
1971,2,4.899798068,"Colorectum","0-59"
1972,2,4.996575546,"Colorectum","0-59"
1973,2,4.977607371,"Colorectum","0-59"
1974,2,4.928253487,"Colorectum","0-59"
1975,2,4.815589265,"Colorectum","0-59"
1976,2,4.826326552,"Colorectum","0-59"
1977,2,4.65348243,"Colorectum","0-59"
1978,2,4.364786024,"Colorectum","0-59"
1979,2,4.579994747,"Colorectum","0-59"
1980,2,4.366292622,"Colorectum","0-59"
1981,2,4.253566392,"Colorectum","0-59"
1982,2,3.792940572,"Colorectum","0-59"
1983,2,3.982616982,"Colorectum","0-59"
1984,2,4.065777802,"Colorectum","0-59"
1985,2,4.231694004,"Colorectum","0-59"
1986,2,3.930179017,"Colorectum","0-59"
1987,2,3.999992384,"Colorectum","0-59"
1988,2,3.65609569,"Colorectum","0-59"
1989,2,3.503484554,"Colorectum","0-59"
1990,2,3.605617293,"Colorectum","0-59"
1991,2,3.500723925,"Colorectum","0-59"
1992,2,3.424266136,"Colorectum","0-59"
1993,2,3.250908255,"Colorectum","0-59"
1994,2,2.998258953,"Colorectum","0-59"
1995,2,2.965178899,"Colorectum","0-59"
1996,2,2.837648659,"Colorectum","0-59"
1997,2,2.601149433,"Colorectum","0-59"
1998,2,2.622564261,"Colorectum","0-59"
1999,2,2.475667366,"Colorectum","0-59"
2000,2,2.485538386,"Colorectum","0-59"
2001,2,2.329323919,"Colorectum","0-59"
2002,2,2.165558591,"Colorectum","0-59"
2003,2,2.370524784,"Colorectum","0-59"
2004,2,2.098212291,"Colorectum","0-59"
2005,2,2.235444741,"Colorectum","0-59"
2006,2,2.309267053,"Colorectum","0-59"
2007,2,2.315446709,"Colorectum","0-59"
2008,2,2.25312658,"Colorectum","0-59"
2009,2,2.293305777,"Colorectum","0-59"
2010,2,2.156611582,"Colorectum","0-59"
2011,2,2.008693891,"Colorectum","0-59"
2012,2,2.305860674,"Colorectum","0-59"
2013,2,2.087223423,"Colorectum","0-59"
2014,2,2.090259351,"Colorectum","0-59"
2015,2,2.333164394,"Colorectum","0-59"
2016,2,2.365510571,"Colorectum","0-59"
1955,1,180.6786072,"Colorectum","60-85"
1956,1,176.5129688,"Colorectum","60-85"
1957,1,171.4232712,"Colorectum","60-85"
1958,1,166.9706562,"Colorectum","60-85"
1959,1,162.0033541,"Colorectum","60-85"
1960,1,158.9077454,"Colorectum","60-85"
1961,1,158.0669132,"Colorectum","60-85"
1962,1,158.4203667,"Colorectum","60-85"
1963,1,155.9124747,"Colorectum","60-85"
1964,1,154.8116537,"Colorectum","60-85"
1965,1,150.1148585,"Colorectum","60-85"
1966,1,155.9324947,"Colorectum","60-85"
1967,1,155.2644433,"Colorectum","60-85"
1968,1,159.8936732,"Colorectum","60-85"
1969,1,156.0992432,"Colorectum","60-85"
1970,1,156.8424274,"Colorectum","60-85"
1971,1,154.2990278,"Colorectum","60-85"
1972,1,154.494732,"Colorectum","60-85"
1973,1,153.4074893,"Colorectum","60-85"
1974,1,154.6217661,"Colorectum","60-85"
1975,1,152.4631063,"Colorectum","60-85"
1976,1,156.547136,"Colorectum","60-85"
1977,1,151.4874704,"Colorectum","60-85"
1978,1,146.3495877,"Colorectum","60-85"
1979,1,148.1781928,"Colorectum","60-85"
1980,1,145.3160008,"Colorectum","60-85"
1981,1,143.7228983,"Colorectum","60-85"
1982,1,139.633661,"Colorectum","60-85"
1983,1,142.7280595,"Colorectum","60-85"
1984,1,150.546072,"Colorectum","60-85"
1985,1,147.0231016,"Colorectum","60-85"
1986,1,144.7885769,"Colorectum","60-85"
1987,1,144.436969,"Colorectum","60-85"
1988,1,145.0597719,"Colorectum","60-85"
1989,1,146.4151638,"Colorectum","60-85"
1990,1,148.0101392,"Colorectum","60-85"
1991,1,143.8756636,"Colorectum","60-85"
1992,1,148.7635101,"Colorectum","60-85"
1993,1,137.4944884,"Colorectum","60-85"
1994,1,133.7435004,"Colorectum","60-85"
1995,1,132.6632874,"Colorectum","60-85"
1996,1,129.0589628,"Colorectum","60-85"
1997,1,127.6668341,"Colorectum","60-85"
1998,1,125.2298388,"Colorectum","60-85"
1999,1,120.0491911,"Colorectum","60-85"
2000,1,118.7693166,"Colorectum","60-85"
2001,1,116.5356168,"Colorectum","60-85"
2002,1,114.8652854,"Colorectum","60-85"
2003,1,113.6616301,"Colorectum","60-85"
2004,1,113.0532114,"Colorectum","60-85"
2005,1,109.7146793,"Colorectum","60-85"
2006,1,105.1718652,"Colorectum","60-85"
2007,1,103.0826483,"Colorectum","60-85"
2008,1,104.3268857,"Colorectum","60-85"
2009,1,100.3073415,"Colorectum","60-85"
2010,1,99.04116435,"Colorectum","60-85"
2011,1,95.01741686,"Colorectum","60-85"
2012,1,95.23514035,"Colorectum","60-85"
2013,1,91.89907474,"Colorectum","60-85"
2014,1,89.26406048,"Colorectum","60-85"
2015,1,87.84161746,"Colorectum","60-85"
2016,1,87.23816502,"Colorectum","60-85"
1955,2,134.208077,"Colorectum","60-85"
1956,2,129.8939122,"Colorectum","60-85"
1957,2,126.5727948,"Colorectum","60-85"
1958,2,126.4588667,"Colorectum","60-85"
1959,2,127.3929626,"Colorectum","60-85"
1960,2,121.2446159,"Colorectum","60-85"
1961,2,119.1248156,"Colorectum","60-85"
1962,2,118.6659395,"Colorectum","60-85"
1963,2,118.3220588,"Colorectum","60-85"
1964,2,118.3141076,"Colorectum","60-85"
1965,2,117.8808248,"Colorectum","60-85"
1966,2,114.6911149,"Colorectum","60-85"
1967,2,115.1049763,"Colorectum","60-85"
1968,2,119.5198554,"Colorectum","60-85"
1969,2,118.3427662,"Colorectum","60-85"
1970,2,119.2145088,"Colorectum","60-85"
1971,2,114.5955854,"Colorectum","60-85"
1972,2,116.0139866,"Colorectum","60-85"
1973,2,113.9770139,"Colorectum","60-85"
1974,2,115.5174341,"Colorectum","60-85"
1975,2,116.0953889,"Colorectum","60-85"
1976,2,117.0159355,"Colorectum","60-85"
1977,2,109.5693819,"Colorectum","60-85"
1978,2,110.1749471,"Colorectum","60-85"
1979,2,106.8240505,"Colorectum","60-85"
1980,2,107.2139407,"Colorectum","60-85"
1981,2,101.1980372,"Colorectum","60-85"
1982,2,99.67527529,"Colorectum","60-85"
1983,2,103.1532633,"Colorectum","60-85"
1984,2,102.924527,"Colorectum","60-85"
1985,2,103.5587421,"Colorectum","60-85"
1986,2,99.37736414,"Colorectum","60-85"
1987,2,99.17043626,"Colorectum","60-85"
1988,2,100.6084135,"Colorectum","60-85"
1989,2,98.24419696,"Colorectum","60-85"
1990,2,95.07526362,"Colorectum","60-85"
1991,2,94.6942808,"Colorectum","60-85"
1992,2,94.32219187,"Colorectum","60-85"
1993,2,87.47625132,"Colorectum","60-85"
1994,2,86.35588066,"Colorectum","60-85"
1995,2,82.65277518,"Colorectum","60-85"
1996,2,80.06459095,"Colorectum","60-85"
1997,2,78.53345775,"Colorectum","60-85"
1998,2,74.56972764,"Colorectum","60-85"
1999,2,74.96602904,"Colorectum","60-85"
2000,2,69.06029769,"Colorectum","60-85"
2001,2,67.85996687,"Colorectum","60-85"
2002,2,67.95562348,"Colorectum","60-85"
2003,2,66.49144713,"Colorectum","60-85"
2004,2,66.43970538,"Colorectum","60-85"
2005,2,64.85868885,"Colorectum","60-85"
2006,2,62.73909751,"Colorectum","60-85"
2007,2,62.98622953,"Colorectum","60-85"
2008,2,63.10074984,"Colorectum","60-85"
2009,2,59.02391344,"Colorectum","60-85"
2010,2,57.85072689,"Colorectum","60-85"
2011,2,57.78185873,"Colorectum","60-85"
2012,2,58.48812313,"Colorectum","60-85"
2013,2,57.58416812,"Colorectum","60-85"
2014,2,55.4904622,"Colorectum","60-85"
2015,2,54.84593483,"Colorectum","60-85"
2016,2,56.22600563,"Colorectum","60-85"
