"Sex"	"Cancer label"	"Year"	"ASR (World)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
2	"Breast"	1950	23.54	23.12	NA	0.3449*	4	4
2	"Breast"	1951	23.21	23.20	NA	0.3449*	4	4
2	"Breast"	1952	23.61	23.28	NA	0.3449*	4	4
2	"Breast"	1953	23.11	23.36	NA	0.3449*	4	4
2	"Breast"	1954	23.50	23.44	NA	0.3449*	4	4
2	"Breast"	1955	23.42	23.52	NA	0.3449*	4	4
2	"Breast"	1956	23.47	23.60	NA	0.3449*	4	4
2	"Breast"	1957	23.39	23.68	NA	0.3449*	4	4
2	"Breast"	1958	23.90	23.76	NA	0.3449*	4	4
2	"Breast"	1959	23.12	23.85	NA	0.3449*	4	4
2	"Breast"	1960	23.74	23.93	NA	0.3449*	4	4
2	"Breast"	1961	23.98	24.01	NA	0.3449*	4	4
2	"Breast"	1962	23.97	24.09	NA	0.3449*	4	4
2	"Breast"	1963	24.21	24.18	NA	0.3449*	4	4
2	"Breast"	1964	25.05	24.26	NA	0.3449*	4	4
2	"Breast"	1965	24.34	24.34	NA	0.3449*	4	4
2	"Breast"	1966	24.40	24.43	Joinpoint 1	NA	4	4
2	"Breast"	1967	25.00	24.90	NA	1.9515*	4	4
2	"Breast"	1968	25.27	25.39	NA	1.9515*	4	4
2	"Breast"	1969	26.17	25.89	NA	1.9515*	4	4
2	"Breast"	1970	26.40	26.39	NA	1.9515*	4	4
2	"Breast"	1971	26.73	26.91	Joinpoint 2	NA	4	4
2	"Breast"	1972	26.94	27.04	NA	0.4942*	4	4
2	"Breast"	1973	27.55	27.17	NA	0.4942*	4	4
2	"Breast"	1974	26.72	27.31	NA	0.4942*	4	4
2	"Breast"	1975	27.55	27.44	NA	0.4942*	4	4
2	"Breast"	1976	27.62	27.58	NA	0.4942*	4	4
2	"Breast"	1977	27.70	27.71	NA	0.4942*	4	4
2	"Breast"	1978	27.95	27.85	NA	0.4942*	4	4
2	"Breast"	1979	27.93	27.99	NA	0.4942*	4	4
2	"Breast"	1980	28.31	28.13	NA	0.4942*	4	4
2	"Breast"	1981	28.23	28.27	NA	0.4942*	4	4
2	"Breast"	1982	28.23	28.41	NA	0.4942*	4	4
2	"Breast"	1983	28.37	28.55	NA	0.4942*	4	4
2	"Breast"	1984	29.13	28.69	NA	0.4942*	4	4
2	"Breast"	1985	29.07	28.83	NA	0.4942*	4	4
2	"Breast"	1986	29.38	28.97	NA	0.4942*	4	4
2	"Breast"	1987	29.05	29.11	NA	0.4942*	4	4
2	"Breast"	1988	28.85	29.26	NA	0.4942*	4	4
2	"Breast"	1989	29.18	29.40	Joinpoint 3	NA	4	4
2	"Breast"	1990	28.11	28.57	NA	-2.8197*	4	4
2	"Breast"	1991	27.72	27.77	NA	-2.8197*	4	4
2	"Breast"	1992	27.28	26.98	NA	-2.8197*	4	4
2	"Breast"	1993	26.25	26.22	NA	-2.8197*	4	4
2	"Breast"	1994	25.91	25.48	NA	-2.8197*	4	4
2	"Breast"	1995	25.08	24.77	NA	-2.8197*	4	4
2	"Breast"	1996	23.76	24.07	NA	-2.8197*	4	4
2	"Breast"	1997	23.19	23.39	NA	-2.8197*	4	4
2	"Breast"	1998	22.66	22.73	NA	-2.8197*	4	4
2	"Breast"	1999	21.95	22.09	Joinpoint 4	NA	4	4
2	"Breast"	2000	21.44	21.58	NA	-2.3169*	4	4
2	"Breast"	2001	21.24	21.08	NA	-2.3169*	4	4
2	"Breast"	2002	20.63	20.59	NA	-2.3169*	4	4
2	"Breast"	2003	20.16	20.11	NA	-2.3169*	4	4
2	"Breast"	2004	19.59	19.65	NA	-2.3169*	4	4
2	"Breast"	2005	19.38	19.19	NA	-2.3169*	4	4
2	"Breast"	2006	18.97	18.75	NA	-2.3169*	4	4
2	"Breast"	2007	18.39	18.31	NA	-2.3169*	4	4
2	"Breast"	2008	17.92	17.89	NA	-2.3169*	4	4
2	"Breast"	2009	17.35	17.47	NA	-2.3169*	4	4
2	"Breast"	2010	16.60	17.07	NA	-2.3169*	4	4
2	"Breast"	2011	16.78	16.67	NA	-2.3169*	4	4
2	"Breast"	2012	16.37	16.29	NA	-2.3169*	4	4
2	"Breast"	2013	15.83	15.91	NA	-2.3169*	4	4
2	"Breast"	2014	15.38	15.54	NA	-2.3169*	4	4
2	"Breast"	2015	15.15	15.18	NA	-2.3169*	4	4
2	"Breast"	2016	15.08	14.83	NA	-2.3169*	4	4
1	"Colorectum"	1955	25.19	25.01	NA	-2.3116*	5	5
1	"Colorectum"	1956	24.29	24.43	NA	-2.3116*	5	5
1	"Colorectum"	1957	23.78	23.86	NA	-2.3116*	5	5
1	"Colorectum"	1958	23.42	23.31	NA	-2.3116*	5	5
