"Sex"	"age_group"	"Cancer label"	"Year"	"ASR (World)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
1	"0-59"	Colorectum	1955	5.97	5.82	NA	-1.8317*	5	5
1	"0-59"	Colorectum	1956	5.47	5.71	NA	-1.8317*	5	5
1	"0-59"	Colorectum	1957	5.53	5.61	NA	-1.8317*	5	5
1	"0-59"	Colorectum	1958	5.68	5.50	NA	-1.8317*	5	5
1	"0-59"	Colorectum	1959	5.36	5.40	NA	-1.8317*	5	5
1	"0-59"	Colorectum	1960	5.40	5.30	NA	-1.8317*	5	5
1	"0-59"	Colorectum	1961	5.22	5.21	NA	-1.8317*	5	5
1	"0-59"	Colorectum	1962	5.06	5.11	NA	-1.8317*	5	5
1	"0-59"	Colorectum	1963	5.04	5.02	Joinpoint 1	NA	5	5
1	"0-59"	Colorectum	1964	5.12	5.07	NA	0.9981*	5	5
1	"0-59"	Colorectum	1965	5.00	5.12	NA	0.9981*	5	5
1	"0-59"	Colorectum	1966	5.10	5.17	NA	0.9981*	5	5
1	"0-59"	Colorectum	1967	5.20	5.22	NA	0.9981*	5	5
1	"0-59"	Colorectum	1968	5.40	5.27	NA	0.9981*	5	5
1	"0-59"	Colorectum	1969	5.44	5.33	NA	0.9981*	5	5
1	"0-59"	Colorectum	1970	5.32	5.38	NA	0.9981*	5	5
1	"0-59"	Colorectum	1971	5.27	5.43	NA	0.9981*	5	5
1	"0-59"	Colorectum	1972	5.53	5.49	Joinpoint 2	NA	5	5
1	"0-59"	Colorectum	1973	5.34	5.44	NA	-0.7861*	5	5
1	"0-59"	Colorectum	1974	5.46	5.40	NA	-0.7861*	5	5
1	"0-59"	Colorectum	1975	5.23	5.36	NA	-0.7861*	5	5
1	"0-59"	Colorectum	1976	5.51	5.32	NA	-0.7861*	5	5
1	"0-59"	Colorectum	1977	5.17	5.27	NA	-0.7861*	5	5
1	"0-59"	Colorectum	1978	5.30	5.23	NA	-0.7861*	5	5
1	"0-59"	Colorectum	1979	5.38	5.19	NA	-0.7861*	5	5
1	"0-59"	Colorectum	1980	5.09	5.15	NA	-0.7861*	5	5
1	"0-59"	Colorectum	1981	4.98	5.11	NA	-0.7861*	5	5
1	"0-59"	Colorectum	1982	4.89	5.07	NA	-0.7861*	5	5
1	"0-59"	Colorectum	1983	5.10	5.03	NA	-0.7861*	5	5
1	"0-59"	Colorectum	1984	5.23	4.99	NA	-0.7861*	5	5
1	"0-59"	Colorectum	1985	5.08	4.95	NA	-0.7861*	5	5
1	"0-59"	Colorectum	1986	4.83	4.91	NA	-0.7861*	5	5
1	"0-59"	Colorectum	1987	4.90	4.87	NA	-0.7861*	5	5
1	"0-59"	Colorectum	1988	5.10	4.84	NA	-0.7861*	5	5
1	"0-59"	Colorectum	1989	4.73	4.80	NA	-0.7861*	5	5
1	"0-59"	Colorectum	1990	4.38	4.76	NA	-0.7861*	5	5
1	"0-59"	Colorectum	1991	4.76	4.72	NA	-0.7861*	5	5
1	"0-59"	Colorectum	1992	4.64	4.69	Joinpoint 3	NA	5	5
1	"0-59"	Colorectum	1993	4.63	4.51	NA	-3.7940*	5	5
1	"0-59"	Colorectum	1994	4.25	4.34	NA	-3.7940*	5	5
1	"0-59"	Colorectum	1995	4.20	4.17	NA	-3.7940*	5	5
1	"0-59"	Colorectum	1996	4.06	4.01	NA	-3.7940*	5	5
1	"0-59"	Colorectum	1997	3.86	3.86	NA	-3.7940*	5	5
1	"0-59"	Colorectum	1998	3.78	3.71	NA	-3.7940*	5	5
1	"0-59"	Colorectum	1999	3.54	3.57	NA	-3.7940*	5	5
1	"0-59"	Colorectum	2000	3.30	3.44	Joinpoint 4	NA	5	5
1	"0-59"	Colorectum	2001	3.47	3.38	NA	-1.6504*	5	5
1	"0-59"	Colorectum	2002	3.46	3.33	NA	-1.6504*	5	5
1	"0-59"	Colorectum	2003	3.22	3.27	NA	-1.6504*	5	5
1	"0-59"	Colorectum	2004	3.11	3.22	NA	-1.6504*	5	5
1	"0-59"	Colorectum	2005	3.09	3.16	NA	-1.6504*	5	5
1	"0-59"	Colorectum	2006	3.15	3.11	NA	-1.6504*	5	5
1	"0-59"	Colorectum	2007	3.14	3.06	NA	-1.6504*	5	5
1	"0-59"	Colorectum	2008	3.06	3.01	NA	-1.6504*	5	5
1	"0-59"	Colorectum	2009	2.89	2.96	NA	-1.6504*	5	5
1	"0-59"	Colorectum	2010	2.96	2.91	NA	-1.6504*	5	5
1	"0-59"	Colorectum	2011	2.78	2.86	NA	-1.6504*	5	5
1	"0-59"	Colorectum	2012	2.91	2.82	NA	-1.6504*	5	5
1	"0-59"	Colorectum	2013	2.78	2.77	NA	-1.6504*	5	5
1	"0-59"	Colorectum	2014	2.61	2.72	Joinpoint 5	NA	5	5
