"Year","Country","Cancer_Site","Sex","Mortalities","ASR"
2001,"England","All sites excl. NMSC","Men","65709",391.6
2002,"England","All sites excl. NMSC","Men","66520",390.7
2003,"England","All sites excl. NMSC","Men","66029",383.5
2004,"England","All sites excl. NMSC","Men","65666",376.2
2005,"England","All sites excl. NMSC","Men","65526",369.7
2006,"England","All sites excl. NMSC","Men","66164",366.6
2007,"England","All sites excl. NMSC","Men","66265",360.4
2008,"England","All sites excl. NMSC","Men","67070",358.6
2009,"England","All sites excl. NMSC","Men","67548",352.6
2010,"England","All sites excl. NMSC","Men","67942",348
2011,"England","All sites excl. NMSC","Men","68639",345.3
2012,"England","All sites excl. NMSC","Men","70078",344.3
2013,"England","All sites excl. NMSC","Men","70164",337.2
2014,"England","All sites excl. NMSC","Men","71058",332.7
2015,"England","All sites excl. NMSC","Men","71781",329.5
2016,"England","All sites excl. NMSC","Men","72086",323.7
2017,"England","All sites excl. NMSC","Men","72678",318.9
2018,"England","All sites excl. NMSC","Men","72882",313.1
2019,"England","All sites excl. NMSC","Men","73318",307.2
2020,"England","All sites excl. NMSC","Men","73397",303.1
2001,"England","All sites excl. NMSC","Women","60947",255.5
2002,"England","All sites excl. NMSC","Women","61456",255.8
2003,"England","All sites excl. NMSC","Women","60843",251.8
2004,"England","All sites excl. NMSC","Women","59951",247.3
2005,"England","All sites excl. NMSC","Women","60304",246.7
2006,"England","All sites excl. NMSC","Women","60195",244.2
2007,"England","All sites excl. NMSC","Women","60996",244.6
2008,"England","All sites excl. NMSC","Women","61347",243.3
2009,"England","All sites excl. NMSC","Women","60572",237.8
2010,"England","All sites excl. NMSC","Women","61132",236.6
2011,"England","All sites excl. NMSC","Women","61935",236.7
2012,"England","All sites excl. NMSC","Women","62527",235.2
2013,"England","All sites excl. NMSC","Women","62215",231
2014,"England","All sites excl. NMSC","Women","62669",228.4
2015,"England","All sites excl. NMSC","Women","62894",226.6
2016,"England","All sites excl. NMSC","Women","63680",226.7
2017,"England","All sites excl. NMSC","Women","63207",221.2
2018,"England","All sites excl. NMSC","Women","63338",218.5
2019,"England","All sites excl. NMSC","Women","63778",215.7
2020,"England","All sites excl. NMSC","Women","63837",214.1
1993,"Nothern Ireland","All sites excl. NMSC","Men","1880",434.7
1994,"Nothern Ireland","All sites excl. NMSC","Men","1852",417.6
1995,"Nothern Ireland","All sites excl. NMSC","Men","1897",425.1
1996,"Nothern Ireland","All sites excl. NMSC","Men","1887",420.1
1997,"Nothern Ireland","All sites excl. NMSC","Men","1843",402.1
1998,"Nothern Ireland","All sites excl. NMSC","Men","1917",418.9
1999,"Nothern Ireland","All sites excl. NMSC","Men","1791",379.2
2000,"Nothern Ireland","All sites excl. NMSC","Men","1757",374.2
2001,"Nothern Ireland","All sites excl. NMSC","Men","1918",402.2
