"Country"	"Cancer_Site"	"Sex"	"Year"	"ASR_rolling"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
England	All sites excl. NMSC	Men	2000	655.67	656.54	NA	-0.3555	3	3
England	All sites excl. NMSC	Men	2001	655.87	654.21	NA	-0.3555	3	3
England	All sites excl. NMSC	Men	2002	651.20	651.88	NA	-0.3555	3	3
England	All sites excl. NMSC	Men	2003	650.67	649.57	Joinpoint 1	NA	3	3
England	All sites excl. NMSC	Men	2004	652.53	654.67	NA	0.7855*	3	3
England	All sites excl. NMSC	Men	2005	661.57	659.81	NA	0.7855*	3	3
England	All sites excl. NMSC	Men	2006	662.80	665.00	NA	0.7855*	3	3
England	All sites excl. NMSC	Men	2007	670.73	670.22	NA	0.7855*	3	3
England	All sites excl. NMSC	Men	2008	676.57	675.48	NA	0.7855*	3	3
England	All sites excl. NMSC	Men	2009	682.77	680.79	NA	0.7855*	3	3
England	All sites excl. NMSC	Men	2010	685.00	686.14	NA	0.7855*	3	3
England	All sites excl. NMSC	Men	2011	688.37	691.53	NA	0.7855*	3	3
England	All sites excl. NMSC	Men	2012	699.00	696.96	NA	0.7855*	3	3
England	All sites excl. NMSC	Men	2013	701.10	702.44	Joinpoint 2	NA	3	3
England	All sites excl. NMSC	Men	2014	697.93	695.40	NA	-1.0020*	3	3
England	All sites excl. NMSC	Men	2015	687.63	688.43	NA	-1.0020*	3	3
England	All sites excl. NMSC	Men	2016	681.07	681.53	Joinpoint 3	NA	3	3
England	All sites excl. NMSC	Men	2017	684.10	683.78	NA	0.3295	3	3
England	All sites excl. NMSC	Men	2018	685.87	686.03	NA	0.3295	3	3
England	All sites excl. NMSC	Women	2000	491.67	491.01	NA	-0.1630	2	2
England	All sites excl. NMSC	Women	2001	488.90	490.21	NA	-0.1630	2	2
England	All sites excl. NMSC	Women	2002	491.03	489.41	Joinpoint 1	NA	2	2
England	All sites excl. NMSC	Women	2003	492.70	495.04	NA	1.1495*	2	2
England	All sites excl. NMSC	Women	2004	500.20	500.73	NA	1.1495*	2	2
England	All sites excl. NMSC	Women	2005	506.30	506.48	NA	1.1495*	2	2
England	All sites excl. NMSC	Women	2006	512.33	512.30	NA	1.1495*	2	2
England	All sites excl. NMSC	Women	2007	520.60	518.19	NA	1.1495*	2	2
England	All sites excl. NMSC	Women	2008	525.70	524.15	NA	1.1495*	2	2
England	All sites excl. NMSC	Women	2009	531.63	530.17	NA	1.1495*	2	2
England	All sites excl. NMSC	Women	2010	534.73	536.27	NA	1.1495*	2	2
England	All sites excl. NMSC	Women	2011	540.37	542.43	NA	1.1495*	2	2
England	All sites excl. NMSC	Women	2012	548.73	548.67	NA	1.1495*	2	2
England	All sites excl. NMSC	Women	2013	553.97	554.97	Joinpoint 2	NA	2	2
England	All sites excl. NMSC	Women	2014	555.90	553.92	NA	-0.1907	2	2
England	All sites excl. NMSC	Women	2015	553.57	552.86	NA	-0.1907	2	2
England	All sites excl. NMSC	Women	2016	550.37	551.81	NA	-0.1907	2	2
England	All sites excl. NMSC	Women	2017	549.53	550.75	NA	-0.1907	2	2
England	All sites excl. NMSC	Women	2018	550.87	549.70	NA	-0.1907	2	2
England	Breast	Women	2000	152.23	150.85	NA	1.4945*	3	3
England	Breast	Women	2001	151.80	153.10	NA	1.4945*	3	3
England	Breast	Women	2002	154.80	155.39	NA	1.4945*	3	3
England	Breast	Women	2003	157.20	157.71	NA	1.4945*	3	3
England	Breast	Women	2004	160.83	160.07	Joinpoint 1	NA	3	3
England	Breast	Women	2005	161.37	160.80	NA	0.4534	3	3
England	Breast	Women	2006	161.33	161.53	NA	0.4534	3	3
England	Breast	Women	2007	162.17	162.26	NA	0.4534	3	3
England	Breast	Women	2008	162.63	162.99	NA	0.4534	3	3
England	Breast	Women	2009	164.43	163.73	NA	0.4534	3	3
England	Breast	Women	2010	164.03	164.48	NA	0.4534	3	3
England	Breast	Women	2011	165.17	165.22	Joinpoint 2	NA	3	3
England	Breast	Women	2012	167.20	167.42	NA	1.3303*	3	3
England	Breast	Women	2013	170.57	169.65	NA	1.3303*	3	3
England	Breast	Women	2014	172.17	171.90	Joinpoint 3	NA	3	3
England	Breast	Women	2015	171.33	171.23	NA	-0.3902*	3	3
England	Breast	Women	2016	169.03	170.56	NA	-0.3902*	3	3
England	Breast	Women	2017	169.47	169.90	NA	-0.3902*	3	3
England	Breast	Women	2018	170.30	169.24	NA	-0.3902*	3	3
England	Colorectal	Men	2000	88.53	88.54	NA	-1.1986*	3	3
England	Colorectal	Men	2001	87.50	87.48	NA	-1.1986*	3	3
England	Colorectal	Men	2002	86.37	86.43	Joinpoint 1	NA	3	3
England	Colorectal	Men	2003	86.90	87.21	NA	0.9030*	3	3
England	Colorectal	Men	2004	88.00	88.00	NA	0.9030*	3	3
England	Colorectal	Men	2005	88.97	88.80	NA	0.9030*	3	3
England	Colorectal	Men	2006	89.37	89.60	NA	0.9030*	3	3
England	Colorectal	Men	2007	90.67	90.41	NA	0.9030*	3	3
England	Colorectal	Men	2008	91.70	91.22	NA	0.9030*	3	3
England	Colorectal	Men	2009	92.60	92.05	NA	0.9030*	3	3
England	Colorectal	Men	2010	92.60	92.88	NA	0.9030*	3	3
England	Colorectal	Men	2011	92.83	93.72	Joinpoint 2	NA	3	3
England	Colorectal	Men	2012	91.60	91.29	NA	-2.5899*	3	3
England	Colorectal	Men	2013	89.20	88.92	NA	-2.5899*	3	3
England	Colorectal	Men	2014	86.70	86.62	Joinpoint 3	NA	3	3
England	Colorectal	Men	2015	85.67	85.84	NA	-0.9048*	3	3
England	Colorectal	Men	2016	84.73	85.06	NA	-0.9048*	3	3
England	Colorectal	Men	2017	84.07	84.29	NA	-0.9048*	3	3
England	Colorectal	Men	2018	83.90	83.53	NA	-0.9048*	3	3
England	Colorectal	Women	2000	56.03	56.02	NA	-1.6738	2	2
England	Colorectal	Women	2001	55.07	55.09	NA	-1.6738	2	2
England	Colorectal	Women	2002	54.27	54.16	Joinpoint 1	NA	2	2
England	Colorectal	Women	2003	54.50	54.81	NA	1.1918*	2	2
England	Colorectal	Women	2004	55.20	55.46	NA	1.1918*	2	2
England	Colorectal	Women	2005	56.20	56.12	NA	1.1918*	2	2
England	Colorectal	Women	2006	57.03	56.79	NA	1.1918*	2	2
England	Colorectal	Women	2007	57.90	57.47	NA	1.1918*	2	2
