"Year","Country","Cancer_Site","Sex","Incidences","ASR"
1995,"England","All sites excl. NMSC","Men",105652,641.4
1996,"England","All sites excl. NMSC","Men",105818,636.7
1997,"England","All sites excl. NMSC","Men",108776,646.9
1998,"England","All sites excl. NMSC","Men",109113,641.6
1999,"England","All sites excl. NMSC","Men",111433,647.6
2000,"England","All sites excl. NMSC","Men",114695,657.2
2001,"England","All sites excl. NMSC","Men",117203,662.2
2002,"England","All sites excl. NMSC","Men",116598,648.2
2003,"England","All sites excl. NMSC","Men",117197,643.2
2004,"England","All sites excl. NMSC","Men",122309,660.6
2005,"England","All sites excl. NMSC","Men",123053,653.8
2006,"England","All sites excl. NMSC","Men",127895,670.3
2007,"England","All sites excl. NMSC","Men",129224,664.3
2008,"England","All sites excl. NMSC","Men",134378,677.6
2009,"England","All sites excl. NMSC","Men",139329,687.8
2010,"England","All sites excl. NMSC","Men",141060,682.9
2011,"England","All sites excl. NMSC","Men",143904,684.3
2012,"England","All sites excl. NMSC","Men",149683,697.9
2013,"England","All sites excl. NMSC","Men",156323,714.8
2014,"England","All sites excl. NMSC","Men",155032,690.6
2015,"England","All sites excl. NMSC","Men",157611,688.4
2016,"England","All sites excl. NMSC","Men",159600,683.9
2017,"England","All sites excl. NMSC","Men",159931,670.9
2018,"England","All sites excl. NMSC","Men",169674,697.5
2019,"England","All sites excl. NMSC","Men",170857,689.2
2020,"England","All sites excl. NMSC","Men",148210,590
1995,"England","All sites excl. NMSC","Women",105988,464.5
1996,"England","All sites excl. NMSC","Women",106966,466.9
1997,"England","All sites excl. NMSC","Women",111247,483.7
1998,"England","All sites excl. NMSC","Women",111506,482.5
1999,"England","All sites excl. NMSC","Women",114153,491.9
2000,"England","All sites excl. NMSC","Women",114650,490.5
2001,"England","All sites excl. NMSC","Women",115992,492.6
2002,"England","All sites excl. NMSC","Women",114459,483.6
2003,"England","All sites excl. NMSC","Women",118399,496.9
2004,"England","All sites excl. NMSC","Women",119115,497.6
2005,"England","All sites excl. NMSC","Women",121936,506.1
2006,"England","All sites excl. NMSC","Women",125202,515.2
2007,"England","All sites excl. NMSC","Women",126610,515.7
2008,"England","All sites excl. NMSC","Women",131748,530.9
2009,"England","All sites excl. NMSC","Women",133226,530.5
2010,"England","All sites excl. NMSC","Women",135448,533.5
2011,"England","All sites excl. NMSC","Women",138642,540.2
2012,"England","All sites excl. NMSC","Women",142470,547.4
2013,"England","All sites excl. NMSC","Women",147345,558.6
2014,"England","All sites excl. NMSC","Women",148779,555.9
2015,"England","All sites excl. NMSC","Women",149779,553.2
2016,"England","All sites excl. NMSC","Women",151117,551.6
2017,"England","All sites excl. NMSC","Women",151621,546.3
2018,"England","All sites excl. NMSC","Women",154668,550.7
2019,"England","All sites excl. NMSC","Women",158328,555.6
2020,"England","All sites excl. NMSC","Women",140543,487.5
1993,"Nothern Ireland","All sites excl. NMSC","Men",3107,674.1
1994,"Nothern Ireland","All sites excl. NMSC","Men",3097,659.3
1995,"Nothern Ireland","All sites excl. NMSC","Men",3035,651.7
1996,"Nothern Ireland","All sites excl. NMSC","Men",3139,652.9
1997,"Nothern Ireland","All sites excl. NMSC","Men",3023,631.3
1998,"Nothern Ireland","All sites excl. NMSC","Men",3120,640.6
1999,"Nothern Ireland","All sites excl. NMSC","Men",3013,607.8
2000,"Nothern Ireland","All sites excl. NMSC","Men",3120,612.8
2001,"Nothern Ireland","All sites excl. NMSC","Men",3280,642.5
2002,"Nothern Ireland","All sites excl. NMSC","Men",3314,638.4
2003,"Nothern Ireland","All sites excl. NMSC","Men",3453,652.9
