Cancer Site,Year,Tumour Type,Tumour Type 2,Tumour Type 3,Tumour Type 4,Tumour Type 5,Tumour Type 6,Tumour Type 7,Basis of Diagnosis,Stage,Stage Detail,Stage Detail 2,Stage Detail 3,Age,Age Detail,Region,Gender,Grade,Nodal Status,Deprivation,Performance Status,Incidence,Population,Incidence Rate,Incidence Rate LCI,Incidence Rate UCI,Routes Population,Screening,Screening percentage,Screening percentage LCI,Screening percentage UCI,Two Week Wait,Two Week Wait percentage,Two Week Wait percentage LCI,Two Week Wait percentage UCI,GP Referral,GP Referral percentage,GP Referral percentage LCI,GP Referral percentage UCI,Other Outpatient,Other Outpatient percentage,Other Outpatient percentage LCI,Other Outpatient percentage UCI,Inpatient Elective,Inpatient Elective percentage,Inpatient Elective percentage LCI,Inpatient Elective percentage UCI,Emergency Presentation,Emergency Presentation percentage,Emergency Presentation percentage LCI,Emergency Presentation percentage UCI,DCO,DCO percentage,DCO percentage LCI,DCO percentage UCI,Unknown Route,Unknown Route percentage,Unknown Route percentage LCI,Unknown Route percentage UCI,Route not classified,Route not classified percentage,Route not classified percentage LCI,Route not classified percentage UCI,Treatment cohort,CT count,CT percentage,CT percentage LCI,CT percentage UCI,RT count,RT percentage,RT percentage LCI,RT percentage UCI,Surgery count,Surgery percentage,Surgery percentage LCI,Surgery percentage UCI,CT only count,CT only percentage,CT only percentage LCI,CT only percentage UCI,RT only count,RT only percentage,RT only percentage LCI,RT only percentage UCI,Surgery only count,Surgery only percentage,Surgery only percentage LCI,Surgery only percentage UCI,CT and RT count,CT and RT percentage,CT and RT percentage LCI,CT and RT percentage UCI,Surgery and CT count,Surgery and CT percentage,Surgery and CT percentage LCI,Surgery and CT percentage UCI,Surgery and RT count,Surgery and RT percentage,Surgery and RT percentage LCI,Surgery and RT percentage UCI,Surgery and CT and RT count,Surgery and CT and RT percentage,Surgery and CT and RT percentage LCI,Surgery and CT and RT percentage UCI,Other care count,Other care percentage,Other care percentage LCI,Other care percentage UCI,Initial cohort size,Survival cohort size,Net survival 03m,Net survival 03m LCI,Net survival 03m UCI,Kaplan-Meier survival 03m,Kaplan-Meier survival 03m LCI,Kaplan-Meier survival 03m UCI,Net survival 06m,Net survival 06m LCI,Net survival 06m UCI,Kaplan-Meier survival 06m,Kaplan-Meier survival 06m LCI,Kaplan-Meier survival 06m UCI,Net survival 09m,Net survival 09m LCI,Net survival 09m UCI,Kaplan-Meier survival 09m,Kaplan-Meier survival 09m LCI,Kaplan-Meier survival 09m UCI,Net survival 12m,Net survival 12m LCI,Net survival 12m UCI,Kaplan-Meier survival 12m,Kaplan-Meier survival 12m LCI,Kaplan-Meier survival 12m UCI,Net survival 24m,Net survival 24m LCI,Net survival 24m UCI,Kaplan-Meier survival 24m,Kaplan-Meier survival 24m LCI,Kaplan-Meier survival 24m UCI,Net survival 36m,Net survival 36m LCI,Net survival 36m UCI,Kaplan-Meier survival 36m,Kaplan-Meier survival 36m LCI,Kaplan-Meier survival 36m UCI,Net survival 48m,Net survival 48m LCI,Net survival 48m UCI,Kaplan-Meier survival 48m,Kaplan-Meier survival 48m LCI,Kaplan-Meier survival 48m UCI,Net survival 60m,Net survival 60m LCI,Net survival 60m UCI,Kaplan-Meier survival 60m,Kaplan-Meier survival 60m LCI,Kaplan-Meier survival 60m UCI,Net survival 72m,Net survival 72m LCI,Net survival 72m UCI,Kaplan-Meier survival 72m,Kaplan-Meier survival 72m LCI,Kaplan-Meier survival 72m UCI,Net survival 84m,Net survival 84m LCI,Net survival 84m UCI,Kaplan-Meier survival 84m,Kaplan-Meier survival 84m LCI,Kaplan-Meier survival 84m UCI,Net survival 96m,Net survival 96m LCI,Net survival 96m UCI,Kaplan-Meier survival 96m,Kaplan-Meier survival 96m LCI,Kaplan-Meier survival 96m UCI
Oesophageal and stomach,2013,All,All,All,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,13115,53865817,24.348,23.933,24.768,13112,.c,.c,.c,.c,4699,35.837,35.021,36.662,2701,20.599,19.916,21.3,875,6.673,6.259,7.113,1094,8.344,7.882,8.829,3359,25.618,24.878,26.372,50,0.381,0.289,0.502,292,2.227,1.988,2.494,42,0.32,0.237,0.433,13115,5160,39.344,38.511,40.183,2795,21.311,20.619,22.021,2593,19.771,19.099,20.462,2213,16.874,16.243,17.524,1313,10.011,9.509,10.537,891,6.794,6.376,7.237,1267,9.661,9.167,10.178,1487,11.338,10.807,11.892,22,0.168,0.111,0.254,193,1.472,1.279,1.692,5729,43.683,42.836,44.533,13115,12805,75.4,74.7,76.2,74.7,74,75.5,62.2,61.3,63.1,61.1,60.2,61.9,51.9,51,52.8,50.6,49.7,51.5,43.6,42.7,44.5,42.2,41.4,43.1,27.2,26.4,28,25.6,24.9,26.4,21.4,20.7,22.2,19.6,18.9,20.3,18.6,17.8,19.3,16.6,16,17.3,17.1,16.3,17.8,14.8,14.2,15.4,16,15.3,16.8,13.5,12.9,14.1,15.4,14.7,16.2,12.5,11.9,13.1,15,14.2,15.8,11.6,11.1,12.2
Oesophageal and stomach,2013,Oesophagus,All,All,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,7402,53865817,13.742,13.43,14.058,7400,.c,.c,.c,.c,3101,41.905,40.786,43.033,1446,19.541,18.653,20.46,500,6.757,6.207,7.351,665,8.986,8.356,9.66,1468,19.838,18.945,20.762,22,0.297,0.196,0.45,178,2.405,2.08,2.78,20,0.27,0.175,0.417,7402,3220,43.502,42.376,44.634,2246,30.343,29.306,31.4,1359,18.36,17.494,19.258,1163,15.712,14.901,16.559,1010,13.645,12.882,14.446,356,4.81,4.345,5.321,1070,14.456,13.673,15.275,837,11.308,10.606,12.049,16,0.216,0.133,0.351,150,2.026,1.729,2.373,2800,37.828,36.729,38.938,7402,7267,78,77.1,79,77.4,76.4,78.3,64.2,63.1,65.4,63.2,62.1,64.3,53,51.8,54.2,51.8,50.6,52.9,43.8,42.6,45,42.6,41.4,43.7,26.6,25.5,27.7,25.3,24.3,26.3,20.7,19.7,21.7,19.2,18.3,20.1,17.7,16.8,18.7,16.2,15.3,17,15.9,14.9,16.8,14.1,13.3,14.9,14.9,14,15.8,12.9,12.2,13.7,14.2,13.3,15.2,12,11.3,12.8,13.8,12.8,14.7,11.2,10.5,12
Oesophageal and stomach,2013,Oesophagus,Upper and middle third,All,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,1526,53865817,2.833,2.693,2.979,1526,.c,.c,.c,.c,701,45.937,43.45,48.445,273,17.89,16.048,19.893,87,5.701,4.645,6.98,122,7.995,6.737,9.463,313,20.511,18.56,22.61,1,0.066,0.012,0.37,28,1.835,1.272,2.639,1,0.066,0.012,0.37,1526,633,41.481,39.033,43.971,636,41.678,39.228,44.169,153,10.026,8.618,11.635,196,12.844,11.258,14.617,272,17.824,15.986,19.825,44,2.883,2.155,3.849,332,21.756,19.758,23.896,77,5.046,4.056,6.261,4,0.262,0.102,0.672,28,1.835,1.272,2.639,573,37.549,35.154,40.007,1526,1515,76.9,74.7,79,76.2,73.9,78.2,60.5,58,63,59.5,57,61.9,48.1,45.6,50.7,47.1,44.6,49.6,39.5,36.9,42,38.4,35.9,40.8,22.8,20.6,25,21.8,19.8,23.9,16.9,15,18.9,15.9,14.1,17.7,15.2,13.2,17.1,13.8,12.1,15.6,13.2,11.3,15,11.8,10.2,13.4,12.5,10.6,14.3,10.8,9.3,12.5,11.2,9.4,13,9.6,8.2,11.1,10.8,9,12.6,9,7.7,10.6
Oesophageal and stomach,2013,Oesophagus,Upper and middle third,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,440,53865817,0.817,0.742,0.897,440,.c,.c,.c,.c,193,43.864,39.3,48.534,71,16.136,12.995,19.864,25,5.682,3.878,8.253,39,8.864,6.552,11.888,108,24.545,20.756,28.776,0,0,0,0.866,4,0.909,0.354,2.314,0,0,0,0.866,440,166,37.727,33.323,42.344,107,24.318,20.543,28.538,73,16.591,13.407,20.353,68,15.455,12.377,19.13,56,12.727,9.933,16.167,19,4.318,2.782,6.645,44,10,7.534,13.159,47,10.682,8.128,13.916,0,0,0,0.866,7,1.591,0.773,3.247,199,45.227,40.638,49.899,440,440,75,70.8,79.1,74.1,69.7,77.9,59.1,54.4,63.8,58,53.2,62.4,47.3,42.5,52.1,46.1,41.4,50.7,41.4,36.6,46.1,40,35.4,44.5,25.5,21.2,29.8,24.3,20.4,28.4,18.3,14.5,22.1,17,13.7,20.7,17.2,13.4,21,15.5,12.3,19,15.4,11.7,19.1,13.6,10.6,17,14.3,10.7,18,12.3,9.4,15.5,12.2,8.7,15.7,10.2,7.6,13.3,11.5,8,15,9.5,7,12.5
Oesophageal and stomach,2013,Oesophagus,Upper and middle third,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 1-3,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,190,53865817,0.353,0.304,0.407,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,190,100,52.632,45.55,59.609,50,26.316,20.568,33.002,67,35.263,28.823,42.288,29,15.263,10.842,21.061,22,11.579,7.772,16.909,17,8.947,5.661,13.861,21,11.053,7.344,16.305,43,22.632,17.258,29.09,0,0,0,1.982,7,3.684,1.796,7.408,51,26.842,21.046,33.556,190,190,90.3,85.9,94.7,89.5,84.2,93.1,78.7,72.6,84.8,77.4,70.7,82.7,69,62.1,75.9,67.4,60.2,73.5,60.8,53.5,68.1,58.9,51.6,65.6,42.2,34.7,49.6,40.5,33.5,47.4,30.3,23.3,37.2,28.4,22.2,34.9,28.8,21.9,35.8,26.3,20.3,32.7,26.6,19.7,33.5,23.7,17.9,29.9,23.9,17.2,30.6,20.5,15.1,26.5,21,14.4,27.6,17.4,12.4,23.1,19.3,12.7,25.8,15.8,11,21.3
Oesophageal and stomach,2013,Oesophagus,Upper and middle third,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 1-3,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 00-69,Age 00-69,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,81,47478437,0.171,0.135,0.212,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,81,62,76.543,66.245,84.437,13,16.049,9.626,25.547,44,54.321,43.524,64.727,20,24.691,16.59,35.084,0,0,0,4.528,9,11.111,5.957,19.787,7,8.642,4.249,16.78,29,35.802,26.224,46.667,0,0,0,4.528,6,7.407,3.439,15.233,10,12.346,6.846,21.255,81,81,92.8,87.1,98.5,92.6,84.3,96.6,86.7,79.3,94.2,86.4,76.8,92.2,79.5,70.7,88.4,79,68.4,86.4,69.7,59.7,79.8,69.1,57.8,78,55.2,44.3,66.1,54.3,42.9,64.4,40.6,29.8,51.5,39.5,28.9,49.9,38.6,27.8,49.4,37,26.7,47.4,35.2,24.5,45.9,33.3,23.4,43.6,30.4,20,40.7,28.4,19.1,38.4,25.5,15.6,35.4,23.5,14.9,33.1,.f,.f,.f,22.2,13.9,31.8
Oesophageal and stomach,2013,Oesophagus,Upper and middle third,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 1-3,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 70+,Age 70+,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,109,6387380,1.706,1.401,2.059,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,109,38,34.862,26.57,44.185,37,33.945,25.738,43.245,23,21.101,14.492,29.677,9,8.257,4.405,14.951,22,20.183,13.724,28.673,8,7.339,3.766,13.818,14,12.844,7.807,20.41,14,12.844,7.807,20.41,0,0,0,3.404,1,0.917,0.162,5.015,41,37.615,29.089,46.984,109,109,88.4,82.1,94.8,87.2,79.3,92.2,72.7,63.9,81.5,70.6,61.1,78.2,61.1,51.4,70.7,58.7,48.9,67.3,54.2,44.2,64.1,51.4,41.6,60.3,32.5,23,42,30.3,21.9,39,22.6,14,31.2,20.2,13.3,28.2,.g,.g,.g,18.3,11.7,26.1,.g,.g,.g,16.5,10.3,24.1,.g,.g,.g,14.7,8.8,22,.g,.g,.g,12.8,7.4,19.8,.g,.g,.g,11,6,17.7
Oesophageal and stomach,2013,Oesophagus,Upper and middle third,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,129,53865817,0.239,0.2,0.285,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,129,42,32.558,25.078,41.047,26,20.155,14.142,27.894,0,0,0,2.892,28,21.705,15.466,29.581,12,9.302,5.402,15.557,0,0,0,2.892,14,10.853,6.576,17.394,0,0,0,2.892,0,0,0,2.892,0,0,0,2.892,75,58.14,49.512,66.297,129,129,54.9,46.3,63.5,54.3,45.3,62.4,31.6,23.5,39.6,31,23.3,39.1,19,12.2,25.8,18.6,12.4,25.7,.g,.g,.g,14,8.6,20.5,.e,.e,.e,4.7,1.9,9.3,.e,.e,.e,1.6,0.3,5,.e,.e,.e,1.6,0.3,5,.e,.e,.e,0.8,0.1,3.9,.e,.e,.e,0.8,0.1,3.9,.e,.e,.e,0,0,0,.e,.e,.e,0,0,0
Oesophageal and stomach,2013,Oesophagus,Upper and middle third,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 00-69,Age 00-69,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,45,47478437,0.095,0.069,0.127,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,45,23,51.111,37.004,65.043,13,28.889,17.73,43.369,0,0,0,7.865,13,28.889,17.73,43.369,3,6.667,2.293,17.857,0,0,0,7.865,10,22.222,12.545,36.269,0,0,0,7.865,0,0,0,7.865,0,0,0,7.865,19,42.222,28.969,56.699,45,45,60.1,46,74.3,60,44.3,72.6,44.6,30.4,58.9,44.4,29.7,58.2,.g,.g,.g,28.9,16.6,42.4,.g,.g,.g,20,9.9,32.6,.e,.e,.e,4.4,0.8,13.3,.e,.e,.e,0,0,0,.e,.e,.e,0,0,0,.e,.e,.e,0,0,0,.e,.e,.e,0,0,0,.e,.e,.e,0,0,0,.e,.e,.e,0,0,0
Oesophageal and stomach,2013,Oesophagus,Upper and middle third,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 70+,Age 70+,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,84,6387380,1.315,1.049,1.628,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,.j,84,19,22.619,14.986,32.647,13,15.476,9.273,24.699,0,0,0,4.373,15,17.857,11.131,27.394,9,10.714,5.74,19.125,0,0,0,4.373,4,4.762,1.867,11.613,0,0,0,4.373,0,0,0,4.373,0,0,0,4.373,56,66.667,56.053,75.823,84,84,52.1,41.3,62.8,51.2,40.1,61.2,24.6,15.4,33.8,23.8,15.4,33.3,.g,.g,.g,13.1,7,21.2,.g,.g,.g,10.7,5.3,18.4,.e,.e,.e,4.8,1.5,10.8,.e,.e,.e,2.4,0.5,7.5,.e,.e,.e,2.4,0.5,7.5,.e,.e,.e,1.2,0.1,5.8,.e,.e,.e,1.2,0.1,5.8,.e,.e,.e,0,0,0,.e,.e,.e,0,0,0
