,variable,country,sex,year,age_group,value,,
33,% HRT Usage,England,Women,2015,NA,1.88,,
34,% HRT Usage,England,Women,2016,NA,2.05,,
35,% HRT Usage,England,Women,2017,NA,2.25,,
36,% HRT Usage,England,Women,2018,NA,2.40,,
37,% HRT Usage,England,Women,2019,NA,2.59,,
38,% HRT Usage,England,Women,2020,NA,2.45,,
39,% HRT Usage,England,Women,2021,NA,3.21,,
40,% Obese,England,Men,2003,16+,22.20,,
41,% Obese,England,Men,2004,16+,22.66,,
42,% Obese,England,Men,2005,16+,22.12,,
43,% Obese,England,Men,2006,16+,23.69,,
44,% Obese,England,Men,2007,16+,23.63,,
45,% Obese,England,Men,2008,16+,24.13,,
46,% Obese,England,Men,2009,16+,22.07,,
47,% Obese,England,Men,2010,16+,26.24,,
48,% Obese,England,Men,2011,16+,23.61,,
49,% Obese,England,Men,2012,16+,24.37,,
50,% Obese,England,Men,2013,16+,25.99,,
51,% Obese,England,Men,2014,16+,24.34,,
52,% Obese,England,Men,2015,16+,26.89,,
53,% Obese,England,Men,2016,16+,25.74,,
54,% Obese,England,Men,2017,16+,27.38,,
55,% Obese,England,Men,2018,16+,26.18,,
56,% Obese,England,Men,2019,16+,26.95,,
57,% Obese,England,Women,2003,16+,22.96,,
58,% Obese,England,Women,2004,16+,23.21,,
59,% Obese,England,Women,2005,16+,24.29,,
60,% Obese,England,Women,2006,16+,24.19,,
61,% Obese,England,Women,2007,16+,24.39,,
62,% Obese,England,Women,2008,16+,24.92,,
63,% Obese,England,Women,2009,16+,23.87,,
64,% Obese,England,Women,2010,16+,26.06,,
65,% Obese,England,Women,2011,16+,25.88,,
66,% Obese,England,Women,2012,16+,25.09,,
67,% Obese,England,Women,2013,16+,23.83,,
68,% Obese,England,Women,2014,16+,26.77,,
69,% Obese,England,Women,2015,16+,26.82,,
70,% Obese,England,Women,2016,16+,26.63,,
71,% Obese,England,Women,2017,16+,30.04,,
72,% Obese,England,Women,2018,16+,29.22,,
73,% Obese,England,Women,2019,16+,29.07,,
154,% Doctor Diagnosed Diabetes,England,Men,2003,16+,4.30,,
155,% Doctor Diagnosed Diabetes,England,Men,2006,16+,5.60,,
156,% Doctor Diagnosed Diabetes,England,Men,2009,16+,6.51,,
157,% Doctor Diagnosed Diabetes,England,Men,2010,16+,6.32,,
158,% Doctor Diagnosed Diabetes,England,Men,2011,16+,6.97,,
159,% Doctor Diagnosed Diabetes,England,Men,2012,16+,6.68,,
160,% Doctor Diagnosed Diabetes,England,Men,2013,16+,6.88,,
161,% Doctor Diagnosed Diabetes,England,Men,2014,16+,7.15,,
162,% Doctor Diagnosed Diabetes,England,Men,2015,16+,6.72,,
163,% Doctor Diagnosed Diabetes,England,Men,2016,16+,7.65,,
164,% Doctor Diagnosed Diabetes,England,Men,2017,16+,7.61,,
165,% Doctor Diagnosed Diabetes,England,Men,2018,16+,8.24,,
166,% Doctor Diagnosed Diabetes,England,Men,2019,16+,8.55,,
167,% Doctor Diagnosed Diabetes,England,Women,2003,16+,3.40,,
168,% Doctor Diagnosed Diabetes,England,Women,2006,16+,4.21,,
169,% Doctor Diagnosed Diabetes,England,Women,2009,16+,4.51,,
170,% Doctor Diagnosed Diabetes,England,Women,2010,16+,5.29,,
171,% Doctor Diagnosed Diabetes,England,Women,2011,16+,4.90,,
172,% Doctor Diagnosed Diabetes,England,Women,2012,16+,4.93,,
173,% Doctor Diagnosed Diabetes,England,Women,2013,16+,5.61,,
174,% Doctor Diagnosed Diabetes,England,Women,2014,16+,5.26,,
175,% Doctor Diagnosed Diabetes,England,Women,2015,16+,5.13,,
176,% Doctor Diagnosed Diabetes,England,Women,2016,16+,6.18,,
177,% Doctor Diagnosed Diabetes,England,Women,2017,16+,5.38,,
178,% Doctor Diagnosed Diabetes,England,Women,2018,16+,5.72,,
179,% Doctor Diagnosed Diabetes,England,Women,2019,16+,5.67,,
258,% Meet Physical Activity Guidelines,England,Men,2012,16+,66.72,,
259,% Meet Physical Activity Guidelines,England,Men,2016,16+,66.77,,
260,% Meet Physical Activity Guidelines,England,Men,2021,16+,69.74,,
261,% Meet Physical Activity Guidelines,England,Women,2012,16+,56.24,,
