"","variable","country","sex","year","age_group","value"
"1","% Current Smoker","England","Men",2003,"16+","27"
"2","% Current Smoker","England","Men",2004,"16+","23.8641470464243"
"3","% Current Smoker","England","Men",2005,"16+","27.1459422080067"
"4","% Current Smoker","England","Men",2006,"16+","24.0761340172863"
"5","% Current Smoker","England","Men",2007,"16+","23.7784116556779"
"6","% Current Smoker","England","Men",2008,"16+","23.7054327573184"
"7","% Current Smoker","England","Men",2009,"16+","23.8663616303993"
"8","% Current Smoker","England","Men",2010,"16+","21.9640100689596"
"9","% Current Smoker","England","Men",2011,"16+","23.156476"
"10","% Current Smoker","England","Men",2012,"16+","22.197813"
"11","% Current Smoker","England","Men",2013,"16+","23.978339"
"12","% Current Smoker","England","Men",2014,"16+","21.1393550365688"
"13","% Current Smoker","England","Men",2015,"16+","19.1143632996043"
"14","% Current Smoker","England","Men",2016,"16+","20.0443488525949"
"15","% Current Smoker","England","Men",2017,"16+","19.1974218276535"
"16","% Current Smoker","England","Men",2018,"16+","18.4418809725129"
"17","% Current Smoker","England","Men",2019,"16+","18.406669616093"
"18","% Current Smoker","England","Women",2003,"16+","24.2822932577875"
"19","% Current Smoker","England","Women",2004,"16+","22.6986143555954"
"20","% Current Smoker","England","Women",2005,"16+","23.5756683112462"
"21","% Current Smoker","England","Women",2006,"16+","21.0902980286954"
"22","% Current Smoker","England","Women",2007,"16+","20.825626608601"
"23","% Current Smoker","England","Women",2008,"16+","19.8633017265047"
"24","% Current Smoker","England","Women",2009,"16+","20.2482777150744"
"25","% Current Smoker","England","Women",2010,"16+","18.2765709950856"
"26","% Current Smoker","England","Women",2011,"16+","18.529586"
"27","% Current Smoker","England","Women",2012,"16+","17.588802"
"28","% Current Smoker","England","Women",2013,"16+","17.311445"
"29","% Current Smoker","England","Women",2014,"16+","16.5442819957936"
"30","% Current Smoker","England","Women",2015,"16+","16.6622785103531"
"31","% Current Smoker","England","Women",2016,"16+","15.5011634012809"
"32","% Current Smoker","England","Women",2017,"16+","15.4966067930263"
"33","% Current Smoker","England","Women",2018,"16+","15.199685456781"
"34","% Current Smoker","England","Women",2019,"16+","14.6482069569511"
"35","% Current Smoker","N. Ireland","Men",2010,"16+","24.7975303700886"
"36","% Current Smoker","N. Ireland","Men",2011,"16+","26.7973305762735"
"37","% Current Smoker","N. Ireland","Men",2012,"16+","24.9147274475516"
"38","% Current Smoker","N. Ireland","Men",2013,"16+","22.8540058936095"
"39","% Current Smoker","N. Ireland","Men",2014,"16+","23.1313966888335"
"40","% Current Smoker","N. Ireland","Men",2015,"16+","25.2045871623831"
"41","% Current Smoker","N. Ireland","Men",2016,"16+","20.3827506568398"
"42","% Current Smoker","N. Ireland","Men",2017,"16+","19.8340955378531"
"43","% Current Smoker","N. Ireland","Men",2018,"16+","19.6109899046608"
"44","% Current Smoker","N. Ireland","Men",2019,"16+","18.466505131385"
"45","% Current Smoker","N. Ireland","Women",2010,"16+","23.4712487523137"
"46","% Current Smoker","N. Ireland","Women",2011,"16+","23.3065967321914"
"47","% Current Smoker","N. Ireland","Women",2012,"16+","22.7176311277874"
"48","% Current Smoker","N. Ireland","Women",2013,"16+","21.197081947205"
"49","% Current Smoker","N. Ireland","Women",2014,"16+","21.3372417052954"
"50","% Current Smoker","N. Ireland","Women",2015,"16+","20.3199011387086"
"51","% Current Smoker","N. Ireland","Women",2016,"16+","19.0609282006014"
"52","% Current Smoker","N. Ireland","Women",2017,"16+","18.0341882080647"
"53","% Current Smoker","N. Ireland","Women",2018,"16+","17.4244246146222"
"54","% Current Smoker","N. Ireland","Women",2019,"16+","16.488028276996"
"55","% Current Smoker","Scotland","Men",2008,"16+","27"
"56","% Current Smoker","Scotland","Men",2009,"16+","25"
"57","% Current Smoker","Scotland","Men",2010,"16+","26"
"58","% Current Smoker","Scotland","Men",2011,"16+","24"
"59","% Current Smoker","Scotland","Men",2012,"16+","25"
"60","% Current Smoker","Scotland","Men",2013,"16+","23"
"61","% Current Smoker","Scotland","Men",2014,"16+","23"
"62","% Current Smoker","Scotland","Men",2015,"16+","22"
"63","% Current Smoker","Scotland","Men",2016,"16+","23"
"64","% Current Smoker","Scotland","Men",2017,"16+","20"
"65","% Current Smoker","Scotland","Men",2018,"16+","21"
"66","% Current Smoker","Scotland","Men",2019,"16+","19"
"67","% Current Smoker","Scotland","Women",2008,"16+","25"
"68","% Current Smoker","Scotland","Women",2009,"16+","25"
"69","% Current Smoker","Scotland","Women",2010,"16+","25"
"70","% Current Smoker","Scotland","Women",2011,"16+","22"
"71","% Current Smoker","Scotland","Women",2012,"16+","24"
"72","% Current Smoker","Scotland","Women",2013,"16+","20"
"73","% Current Smoker","Scotland","Women",2014,"16+","21"
"74","% Current Smoker","Scotland","Women",2015,"16+","20"
"75","% Current Smoker","Scotland","Women",2016,"16+","20"
"76","% Current Smoker","Scotland","Women",2017,"16+","16"
"77","% Current Smoker","Scotland","Women",2018,"16+","17"
"78","% Current Smoker","Scotland","Women",2019,"16+","16"
"79","% Current Smoker","Wales","Men",2004,"16+","27.34263769"
"80","% Current Smoker","Wales","Men",2005,"16+","29.34837987"
"81","% Current Smoker","Wales","Men",2006,"16+","26.63387305"
"82","% Current Smoker","Wales","Men",2007,"16+","25.14846612"
"83","% Current Smoker","Wales","Men",2008,"16+","24.76425736"
"84","% Current Smoker","Wales","Men",2009,"16+","25.67241445"
"85","% Current Smoker","Wales","Men",2010,"16+","24.63573264"
"86","% Current Smoker","Wales","Men",2011,"16+","24.14574443"
"87","% Current Smoker","Wales","Men",2012,"16+","24.53880585"
"88","% Current Smoker","Wales","Men",2013,"16+","22.55300449"
"89","% Current Smoker","Wales","Men",2014,"16+","22.14603"
"90","% Current Smoker","Wales","Men",2015,"16+","20.88595"
"91","% Current Smoker","Wales","Men",2016,"16+","20.365635"
"92","% Current Smoker","Wales","Men",2017,"16+","21.104418"
"93","% Current Smoker","Wales","Men",2018,"16+","17.92019"
"94","% Current Smoker","Wales","Men",2019,"16+","18.445978"
"95","% Current Smoker","Wales","Women",2004,"16+","25.56146054"
"96","% Current Smoker","Wales","Women",2005,"16+","25.97190809"
"97","% Current Smoker","Wales","Women",2006,"16+","24.33928966"
"98","% Current Smoker","Wales","Women",2007,"16+","22.87862193"
"99","% Current Smoker","Wales","Women",2008,"16+","22.39580667"
"100","% Current Smoker","Wales","Women",2009,"16+","22.18701413"
"101","% Current Smoker","Wales","Women",2010,"16+","21.65915439"
"102","% Current Smoker","Wales","Women",2011,"16+","21.1585038"
"103","% Current Smoker","Wales","Women",2012,"16+","20.82563477"
"104","% Current Smoker","Wales","Women",2013,"16+","19.88046776"
"105","% Current Smoker","Wales","Women",2014,"16+","18.79607"
"106","% Current Smoker","Wales","Women",2015,"16+","17.90095"
"107","% Current Smoker","Wales","Women",2016,"16+","16.995553"
"108","% Current Smoker","Wales","Women",2017,"16+","17.391864"
"109","% Current Smoker","Wales","Women",2018,"16+","16.238878"
"110","% Current Smoker","Wales","Women",2019,"16+","16.819667"
"111","% Doctor Diagnosed Diabetes","England","Men",2003,"16+","4.3"
"112","% Doctor Diagnosed Diabetes","England","Men",2006,"16+","5.59700584048355"
"113","% Doctor Diagnosed Diabetes","England","Men",2009,"16+","6.50868055950283"
"114","% Doctor Diagnosed Diabetes","England","Men",2010,"16+","6.3159"
"115","% Doctor Diagnosed Diabetes","England","Men",2011,"16+","6.96825"
"116","% Doctor Diagnosed Diabetes","England","Men",2012,"16+","6.680428"
"117","% Doctor Diagnosed Diabetes","England","Men",2013,"16+","6.876169"
"118","% Doctor Diagnosed Diabetes","England","Men",2014,"16+","7.14937831504166"
"119","% Doctor Diagnosed Diabetes","England","Men",2015,"16+","6.71951970416723"
"120","% Doctor Diagnosed Diabetes","England","Men",2016,"16+","7.64692146725421"
"121","% Doctor Diagnosed Diabetes","England","Men",2017,"16+","7.60551469126989"
"122","% Doctor Diagnosed Diabetes","England","Men",2018,"16+","8.23702637462839"
"123","% Doctor Diagnosed Diabetes","England","Men",2019,"16+","8.55443745617015"
"124","% Doctor Diagnosed Diabetes","England","Women",2003,"16+","3.4"
"125","% Doctor Diagnosed Diabetes","England","Women",2006,"16+","4.20983933620109"
"126","% Doctor Diagnosed Diabetes","England","Women",2009,"16+","4.51475414696379"
"127","% Doctor Diagnosed Diabetes","England","Women",2010,"16+","5.2868"
"128","% Doctor Diagnosed Diabetes","England","Women",2011,"16+","4.896953"
"129","% Doctor Diagnosed Diabetes","England","Women",2012,"16+","4.9293"
"130","% Doctor Diagnosed Diabetes","England","Women",2013,"16+","5.609932"
"131","% Doctor Diagnosed Diabetes","England","Women",2014,"16+","5.25654273917994"
"132","% Doctor Diagnosed Diabetes","England","Women",2015,"16+","5.12705682612737"
"133","% Doctor Diagnosed Diabetes","England","Women",2016,"16+","6.1831266293198"
"134","% Doctor Diagnosed Diabetes","England","Women",2017,"16+","5.37524048382406"
"135","% Doctor Diagnosed Diabetes","England","Women",2018,"16+","5.72206727617005"
"136","% Doctor Diagnosed Diabetes","England","Women",2019,"16+","5.67179062096089"
"137","% Doctor Diagnosed Diabetes","Scotland","Men",2008,"16+","5"
"138","% Doctor Diagnosed Diabetes","Scotland","Men",2009,"16+","6"
"139","% Doctor Diagnosed Diabetes","Scotland","Men",2010,"16+","6"
"140","% Doctor Diagnosed Diabetes","Scotland","Men",2011,"16+","6"
"141","% Doctor Diagnosed Diabetes","Scotland","Men",2012,"16+","6"
"142","% Doctor Diagnosed Diabetes","Scotland","Men",2013,"16+","6"
"143","% Doctor Diagnosed Diabetes","Scotland","Men",2014,"16+","8"
"144","% Doctor Diagnosed Diabetes","Scotland","Men",2015,"16+","7"
"145","% Doctor Diagnosed Diabetes","Scotland","Men",2016,"16+","6"
"146","% Doctor Diagnosed Diabetes","Scotland","Men",2017,"16+","7"
"147","% Doctor Diagnosed Diabetes","Scotland","Men",2018,"16+","8"
"148","% Doctor Diagnosed Diabetes","Scotland","Men",2019,"16+","9"
"149","% Doctor Diagnosed Diabetes","Scotland","Women",2008,"16+","4"
"150","% Doctor Diagnosed Diabetes","Scotland","Women",2009,"16+","4"
