"variable"	"country"	"sex"	"year"	"value"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
% Current Smoker	England	Men	2003	27.00	26.59	NA	-2.1965*	0	0
% Current Smoker	England	Men	2004	23.86	26.01	NA	-2.1965*	0	0
% Current Smoker	England	Men	2005	27.15	25.43	NA	-2.1965*	0	0
% Current Smoker	England	Men	2006	24.08	24.88	NA	-2.1965*	0	0
% Current Smoker	England	Men	2007	23.78	24.33	NA	-2.1965*	0	0
% Current Smoker	England	Men	2008	23.71	23.79	NA	-2.1965*	0	0
% Current Smoker	England	Men	2009	23.87	23.27	NA	-2.1965*	0	0
% Current Smoker	England	Men	2010	21.96	22.76	NA	-2.1965*	0	0
% Current Smoker	England	Men	2011	23.16	22.26	NA	-2.1965*	0	0
% Current Smoker	England	Men	2012	22.20	21.77	NA	-2.1965*	0	0
% Current Smoker	England	Men	2013	23.98	21.29	NA	-2.1965*	0	0
% Current Smoker	England	Men	2014	21.14	20.83	NA	-2.1965*	0	0
% Current Smoker	England	Men	2015	19.11	20.37	NA	-2.1965*	0	0
% Current Smoker	England	Men	2016	20.04	19.92	NA	-2.1965*	0	0
% Current Smoker	England	Men	2017	19.20	19.48	NA	-2.1965*	0	0
% Current Smoker	England	Men	2018	18.44	19.06	NA	-2.1965*	0	0
% Current Smoker	England	Men	2019	18.41	18.64	NA	-2.1965*	0	0
% Current Smoker	England	Women	2003	24.28	23.73	NA	-3.0648*	0	0
% Current Smoker	England	Women	2004	22.70	23.01	NA	-3.0648*	0	0
% Current Smoker	England	Women	2005	23.58	22.30	NA	-3.0648*	0	0
% Current Smoker	England	Women	2006	21.09	21.62	NA	-3.0648*	0	0
% Current Smoker	England	Women	2007	20.83	20.96	NA	-3.0648*	0	0
% Current Smoker	England	Women	2008	19.86	20.31	NA	-3.0648*	0	0
% Current Smoker	England	Women	2009	20.25	19.69	NA	-3.0648*	0	0
% Current Smoker	England	Women	2010	18.28	19.09	NA	-3.0648*	0	0
% Current Smoker	England	Women	2011	18.53	18.50	NA	-3.0648*	0	0
% Current Smoker	England	Women	2012	17.59	17.94	NA	-3.0648*	0	0
% Current Smoker	England	Women	2013	17.31	17.39	NA	-3.0648*	0	0
% Current Smoker	England	Women	2014	16.54	16.85	NA	-3.0648*	0	0
% Current Smoker	England	Women	2015	16.66	16.34	NA	-3.0648*	0	0
% Current Smoker	England	Women	2016	15.50	15.84	NA	-3.0648*	0	0
% Current Smoker	England	Women	2017	15.50	15.35	NA	-3.0648*	0	0
% Current Smoker	England	Women	2018	15.20	14.88	NA	-3.0648*	0	0
% Current Smoker	England	Women	2019	14.65	14.42	NA	-3.0648*	0	0
% Current Smoker	N. Ireland	Men	2010	24.80	26.59	NA	-3.7090*	0	0
% Current Smoker	N. Ireland	Men	2011	26.80	25.61	NA	-3.7090*	0	0
% Current Smoker	N. Ireland	Men	2012	24.91	24.66	NA	-3.7090*	0	0
% Current Smoker	N. Ireland	Men	2013	22.85	23.74	NA	-3.7090*	0	0
% Current Smoker	N. Ireland	Men	2014	23.13	22.86	NA	-3.7090*	0	0
% Current Smoker	N. Ireland	Men	2015	25.20	22.01	NA	-3.7090*	0	0
% Current Smoker	N. Ireland	Men	2016	20.38	21.20	NA	-3.7090*	0	0
% Current Smoker	N. Ireland	Men	2017	19.83	20.41	NA	-3.7090*	0	0
% Current Smoker	N. Ireland	Men	2018	19.61	19.65	NA	-3.7090*	0	0
% Current Smoker	N. Ireland	Men	2019	18.47	18.93	NA	-3.7090*	0	0
% Current Smoker	N. Ireland	Women	2010	23.47	23.69	NA	-2.7757*	1	1
% Current Smoker	N. Ireland	Women	2011	23.31	23.03	NA	-2.7757*	1	1
% Current Smoker	N. Ireland	Women	2012	22.72	22.39	NA	-2.7757*	1	1
% Current Smoker	N. Ireland	Women	2013	21.20	21.77	NA	-2.7757*	1	1
% Current Smoker	N. Ireland	Women	2014	21.34	21.17	Joinpoint 1	NA	1	1
% Current Smoker	N. Ireland	Women	2015	20.32	20.13	NA	-4.8928*	1	1
% Current Smoker	N. Ireland	Women	2016	19.06	19.15	NA	-4.8928*	1	1
% Current Smoker	N. Ireland	Women	2017	18.03	18.21	NA	-4.8928*	1	1
% Current Smoker	N. Ireland	Women	2018	17.42	17.32	NA	-4.8928*	1	1
% Current Smoker	N. Ireland	Women	2019	16.49	16.47	NA	-4.8928*	1	1
% Current Smoker	Scotland	Men	2008	27.00	26.81	NA	-2.7133*	0	0
% Current Smoker	Scotland	Men	2009	25.00	26.09	NA	-2.7133*	0	0
% Current Smoker	Scotland	Men	2010	26.00	25.38	NA	-2.7133*	0	0
% Current Smoker	Scotland	Men	2011	24.00	24.69	NA	-2.7133*	0	0
% Current Smoker	Scotland	Men	2012	25.00	24.02	NA	-2.7133*	0	0
% Current Smoker	Scotland	Men	2013	23.00	23.37	NA	-2.7133*	0	0
% Current Smoker	Scotland	Men	2014	23.00	22.74	NA	-2.7133*	0	0
% Current Smoker	Scotland	Men	2015	22.00	22.12	NA	-2.7133*	0	0
% Current Smoker	Scotland	Men	2016	23.00	21.52	NA	-2.7133*	0	0
% Current Smoker	Scotland	Men	2017	20.00	20.93	NA	-2.7133*	0	0
% Current Smoker	Scotland	Men	2018	21.00	20.37	NA	-2.7133*	0	0
% Current Smoker	Scotland	Men	2019	19.00	19.81	NA	-2.7133*	0	0
% Current Smoker	Scotland	Women	2008	25.00	26.26	NA	-4.2694*	0	0
% Current Smoker	Scotland	Women	2009	25.00	25.14	NA	-4.2694*	0	0
% Current Smoker	Scotland	Women	2010	25.00	24.06	NA	-4.2694*	0	0
% Current Smoker	Scotland	Women	2011	22.00	23.04	NA	-4.2694*	0	0
% Current Smoker	Scotland	Women	2012	24.00	22.05	NA	-4.2694*	0	0
% Current Smoker	Scotland	Women	2013	20.00	21.11	NA	-4.2694*	0	0
% Current Smoker	Scotland	Women	2014	21.00	20.21	NA	-4.2694*	0	0
% Current Smoker	Scotland	Women	2015	20.00	19.35	NA	-4.2694*	0	0
% Current Smoker	Scotland	Women	2016	20.00	18.52	NA	-4.2694*	0	0
% Current Smoker	Scotland	Women	2017	16.00	17.73	NA	-4.2694*	0	0
% Current Smoker	Scotland	Women	2018	17.00	16.97	NA	-4.2694*	0	0
% Current Smoker	Scotland	Women	2019	16.00	16.25	NA	-4.2694*	0	0
% Current Smoker	Wales	Men	2004	27.34	28.68	NA	-2.7490*	0	0
% Current Smoker	Wales	Men	2005	29.35	27.89	NA	-2.7490*	0	0
% Current Smoker	Wales	Men	2006	26.63	27.13	NA	-2.7490*	0	0
% Current Smoker	Wales	Men	2007	25.15	26.38	NA	-2.7490*	0	0
% Current Smoker	Wales	Men	2008	24.76	25.65	NA	-2.7490*	0	0
% Current Smoker	Wales	Men	2009	25.67	24.95	NA	-2.7490*	0	0
% Current Smoker	Wales	Men	2010	24.64	24.26	NA	-2.7490*	0	0
% Current Smoker	Wales	Men	2011	24.15	23.60	NA	-2.7490*	0	0
% Current Smoker	Wales	Men	2012	24.54	22.95	NA	-2.7490*	0	0
% Current Smoker	Wales	Men	2013	22.55	22.32	NA	-2.7490*	0	0
% Current Smoker	Wales	Men	2014	22.15	21.70	NA	-2.7490*	0	0
% Current Smoker	Wales	Men	2015	20.89	21.11	NA	-2.7490*	0	0
% Current Smoker	Wales	Men	2016	20.37	20.53	NA	-2.7490*	0	0
% Current Smoker	Wales	Men	2017	21.10	19.96	NA	-2.7490*	0	0
% Current Smoker	Wales	Men	2018	17.92	19.41	NA	-2.7490*	0	0
% Current Smoker	Wales	Men	2019	18.45	18.88	NA	-2.7490*	0	0
% Current Smoker	Wales	Women	2004	25.56	25.92	NA	-3.1017*	0	0
% Current Smoker	Wales	Women	2005	25.97	25.12	NA	-3.1017*	0	0
% Current Smoker	Wales	Women	2006	24.34	24.34	NA	-3.1017*	0	0
% Current Smoker	Wales	Women	2007	22.88	23.58	NA	-3.1017*	0	0
% Current Smoker	Wales	Women	2008	22.40	22.85	NA	-3.1017*	0	0
% Current Smoker	Wales	Women	2009	22.19	22.14	NA	-3.1017*	0	0
% Current Smoker	Wales	Women	2010	21.66	21.46	NA	-3.1017*	0	0
% Current Smoker	Wales	Women	2011	21.16	20.79	NA	-3.1017*	0	0
% Current Smoker	Wales	Women	2012	20.83	20.15	NA	-3.1017*	0	0
% Current Smoker	Wales	Women	2013	19.88	19.52	NA	-3.1017*	0	0
% Current Smoker	Wales	Women	2014	18.80	18.91	NA	-3.1017*	0	0
% Current Smoker	Wales	Women	2015	17.90	18.33	NA	-3.1017*	0	0
% Current Smoker	Wales	Women	2016	17.00	17.76	NA	-3.1017*	0	0
% Current Smoker	Wales	Women	2017	17.39	17.21	NA	-3.1017*	0	0
% Current Smoker	Wales	Women	2018	16.24	16.68	NA	-3.1017*	0	0
% Current Smoker	Wales	Women	2019	16.82	16.16	NA	-3.1017*	0	0
% Doctor Diagnosed Diabetes	England	Men	2003	4.30	4.39	NA	6.8843*	2	2
% Doctor Diagnosed Diabetes	England	Men	2006	5.60	5.36	NA	6.8843*	2	2
% Doctor Diagnosed Diabetes	England	Men	2009	6.51	6.55	Joinpoint 1	NA	2	2
% Doctor Diagnosed Diabetes	England	Men	2010	6.32	6.62	NA	1.1532	2	2
% Doctor Diagnosed Diabetes	England	Men	2011	6.97	6.70	NA	1.1532	2	2
% Doctor Diagnosed Diabetes	England	Men	2012	6.68	6.78	NA	1.1532	2	2
% Doctor Diagnosed Diabetes	England	Men	2013	6.88	6.86	NA	1.1532	2	2
% Doctor Diagnosed Diabetes	England	Men	2014	7.15	6.94	NA	1.1532	2	2
% Doctor Diagnosed Diabetes	England	Men	2015	6.72	7.02	Joinpoint 2	NA	2	2
