,,Persons ,Male ,Female 
,,All aged 16+ ,All aged 16+ ,All aged 16+ 
Smoking & e-cigarette use ,,.,.,.
Smoking & e-cigarette use ,Smoker ,19.203521,21.104418,17.391864
,Ex-smoker ,28.890063,30.744017,27.126093
,Never smoked ,51.906416,48.151565,55.482042
,E-cigarette user ,7.161614,8.291399,6.083828
Alcohol ,,.,.,.
Alcohol ,Average weekly alcohol consumption - none (may include some people who do sometimes drink) ,22.077369,18.649463,25.361807
,"Average weekly alcohol consumption - some, up to 14 units (moderate drinkers) ",59.956003,56.762933,63.026934
,"Average weekly alcohol consumption - hazardous (over 14 units, up to 50 (m) / 35 (f)) ",14.983868,20.317849,9.858338
,Average weekly alcohol consumption - harmful (over 50 (m) / 35 (f) units) ,2.98276,4.269755,1.752921
,Average weekly alcohol consumption - above 14 units (over guidelines) ,17.966628,24.587604,11.611259
,Average annual alcohol consumption (units) - drinkers only (1),568.362801,747.576459,381.489946
Fruit & vegetables ,,.,.,.
Fruit & vegetables ,Ate no fruit & veg the previous day ,9.221429,10.809748,7.708315
,Ate some but less than 5 portions fruit & veg the previous day ,67.432932,67.063774,67.775777
,Ate at least 5 portions fruit & veg the previous day ,23.345639,22.126478,24.515908
Physical activity ,,.,.,.
Physical activity ,Active less than 30 minutes in previous week ,33.831463,31.704813,35.876511
,Active 30-149 minutes in previous week ,13.613274,11.60375,15.540363
,Active at least 150 minutes in previous week ,52.555263,56.691437,48.583126
Body mass index ,,.,.,.
Body mass index ,BMI under 18.5 (underweight) ,1.915683,1.077711,2.797887
,BMI 18.5 - under 25 (healthy weight) ,37.932152,33.110572,43.017366
,BMI 25 - under 30 (overweight but not obese) ,37.872126,44.076045,31.324468
,BMI 30+ (obese) ,22.280039,21.735672,22.860279
,BMI 25+ (overweight or obese) ,60.152164,65.811717,54.184747
Combined healthy lifestyles ,,.,.,.
Combined healthy lifestyles ,Fewer than 2 healthy behaviours ,10.281003,12.814423,7.630661
,2 or more healthy behaviours ,89.718997,87.185577,92.369339
