"Year","Geographylevel","Indicator","Categories","Sex","Percent","Mean","LowerCI","UpperCI","Unweightedbases"
"2008","Scotland","Alcohol consumption (guidelines)","Non-drinker","All",12,NA,10.7,12.8,6374
"2008","Scotland","Alcohol consumption (guidelines)","Moderate drinker","All",57,NA,54.9,58.2,6374
"2008","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","All",32,NA,30.2,33.2,6374
"2008","Scotland","Alcohol consumption (guidelines)","Non-drinker","Female",13,NA,11.5,14.3,3578
"2008","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Female",67,NA,65,68.9,3578
"2008","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Female",20,NA,18.5,21.8,3578
"2008","Scotland","Alcohol consumption (guidelines)","Non-drinker","Male",10,NA,9,11.8,2796
"2008","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Male",45,NA,42.9,47.3,2796
"2008","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Male",44,NA,42.4,46.6,2796
"2009","Scotland","Alcohol consumption (guidelines)","Non-drinker","All",13,NA,11.8,13.9,7499
"2009","Scotland","Alcohol consumption (guidelines)","Moderate drinker","All",58,NA,56.2,59.2,7499
"2009","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","All",29,NA,28,30.8,7499
"2009","Scotland","Alcohol consumption (guidelines)","Non-drinker","Female",16,NA,14.2,16.9,4227
"2009","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Female",66,NA,64.3,67.7,4227
"2009","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Female",18,NA,17.1,19.8,4227
"2009","Scotland","Alcohol consumption (guidelines)","Non-drinker","Male",10,NA,8.6,11.2,3272
"2009","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Male",49,NA,46.6,50.8,3272
"2009","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Male",41,NA,39.3,43.5,3272
"2010","Scotland","Alcohol consumption (guidelines)","Non-drinker","All",15,NA,13.5,15.9,7140
"2010","Scotland","Alcohol consumption (guidelines)","Moderate drinker","All",57,NA,55.7,58.6,7140
"2010","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","All",28,NA,26.8,29.6,7140
"2010","Scotland","Alcohol consumption (guidelines)","Non-drinker","Female",17,NA,15.4,18.4,4076
"2010","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Female",65,NA,63.3,66.9,4076
"2010","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Female",18,NA,16.4,19.5,4076
"2010","Scotland","Alcohol consumption (guidelines)","Non-drinker","Male",12,NA,10.7,13.7,3064
"2010","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Male",48,NA,46.4,50.5,3064
"2010","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Male",39,NA,37.2,41.5,3064
"2011","Scotland","Alcohol consumption (guidelines)","Non-drinker","All",14,NA,13.3,15.6,7459
"2011","Scotland","Alcohol consumption (guidelines)","Moderate drinker","All",58,NA,56.4,59.6,7459
"2011","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","All",28,NA,26,29,7459
"2011","Scotland","Alcohol consumption (guidelines)","Non-drinker","Female",17,NA,16,18.7,4220
"2011","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Female",65,NA,62.9,66.4,4220
"2011","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Female",18,NA,16.5,19.5,4220
"2011","Scotland","Alcohol consumption (guidelines)","Non-drinker","Male",11,NA,10,12.7,3239
"2011","Scotland","Alcohol consumption (guidelines)","Moderate drinker","Male",51,NA,48.6,52.8,3239
"2011","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","Male",38,NA,35.9,39.9,3239
"2012","Scotland","Alcohol consumption (guidelines)","Non-drinker","All",15,NA,13.6,16.4,4752
"2012","Scotland","Alcohol consumption (guidelines)","Moderate drinker","All",57,NA,55.4,59.5,4752
"2012","Scotland","Alcohol consumption (guidelines)","Hazardous/Harmful drinker","All",28,NA,25.8,29.3,4752
"2012","Scotland","Alcohol consumption (guidelines)","Non-drinker","Female",17,NA,15.7,19.3,2657
