,,Smoker (1),Currently use an e-cigarette (2),Maximum daily alcohol consumption: above guidelines (3),Maximum daily alcohol consumption: binge (4),Consumption of fruit and vegetables: meets guidelines (5),Exercise or physical activity done (old questions): active on 5 or more days in the previous week (6),Exercise or physical activity done (old questions): 0 active days (7),Exercise or physical activity done (new questions): Active for 150 minutes or more in the previous week (8),Exercise or physical activity done (new questions): Active for less than 30 minutes in the previous week (8),Overweight or obese (9),Obese (10)
Men aged 16 + ,, , , , , , , , , , , 
Men aged 16 + ,2003/04 ,27.34263769,.,.,.,.,36.11128503,31.55675809,.,.,58.85594071,17.24866425
,2004/05 ,29.34837987,.,.,.,.,36.29814616,31.25035446,.,.,59.65649165,18.07642065
,2005/06 ,26.63387305,.,.,.,.,38.07460058,29.86767883,.,.,60.62971938,19.22751553
,2007,25.14846612,.,.,.,.,36.07824653,31.56380151,.,.,62.20638351,20.2767017
,2008,24.76425736,.,52.23754227,35.33912148,34.6670697,38.15359917,31.05972381,.,.,61.82869584,20.66039246
,2009,25.67241445,.,51.821881,34.34007963,34.04496067,35.75474978,31.21740091,.,.,62.20349334,21.32515744
,2010,24.63573264,.,51.27617933,34.01030888,33.3113145,36.77651155,31.09963142,.,.,62.52330917,22.06156304
,2011,24.14574443,.,49.82424858,33.11446588,32.21942364,36.0298073,30.72625743,.,.,61.81217364,22.07506163
,2012,24.53880585,.,48.10511238,31.44447019,31.96453388,35.87617634,30.87263883,.,.,64.01989146,23.25016787
,2013,22.55300449,.,48.15648746,32.22877048,31.0766711,36.54033374,30.62776954,.,.,62.59670811,21.67172107
,2014,22.14603,.,45.83794,28.97151,30.44728,38.28633,30.90116,.,.,61.02866,21.47145
,2015,20.88595,5.66967,45.17293,29.51689,30.67662,37.6789,28.68265,63.62272,26.86735,63.04523,22.94955
Women aged 16 + ,, , , , , , , , , , , 
Women aged 16 + ,2003/04 ,25.56146054,.,.,.,.,21.57350398,37.79395881,.,.,48.86991672,18.12616592
,2004/05 ,25.97190809,.,.,.,.,22.98023189,35.69155392,.,.,49.83682673,18.10780476
,2005/06 ,24.33928966,.,.,.,.,24.90586141,35.54657936,.,.,51.06679532,19.71239296
,2007,22.87862193,.,.,.,.,23.3775384,36.10077548,.,.,51.26111898,20.71870149
,2008,22.39580667,.,37.82439855,21.96072856,37.38775973,22.03796182,36.6769212,.,.,52.94416884,20.86057005
,2009,22.18701413,.,37.85915125,21.0501479,36.51469236,23.0342185,35.8438131,.,.,52.28544833,21.1938355
,2010,21.65915439,.,37.22350109,20.93086434,36.26724218,23.63156158,36.11939059,.,.,52.05658735,21.33412004
,2011,21.1585038,.,37.53307307,21.82059887,33.71512411,22.71823622,37.69085631,.,.,52.95296684,22.07834069
,2012,20.82563477,.,36.30874414,21.26955978,34.27832023,22.76174826,36.9258438,.,.,53.02581758,22.75515148
,2013,19.88046776,.,35.54847944,20.215701,34.01378003,22.71780142,36.77975351,.,.,53.61315165,23.05188103
,2014,18.79607,.,34.93658,19.3374,34.08189,23.47935,36.77251,.,.,54.07504,22.88246
,2015,17.90095,5.39997,34.34103,19.36532,33.02003,24.14258,35.04999,53.04929,33.33395,55.85203,24.0765
All aged 16 + ,, , , , , , , , , , , 
All aged 16 + ,2003/04 ,26.41500741,.,.,.,.,28.52911298,34.80976684,.,.,53.71146682,17.70072449
,2004/05 ,27.59077686,.,.,.,.,29.35631846,33.56528462,.,.,54.58761883,18.092621
,2005/06 ,25.4397176,.,.,.,.,31.21700571,32.82495504,.,.,55.70347212,19.47729542
,2007,23.97079732,.,.,.,.,29.47843763,33.92139929,.,.,56.6469839,20.5012055
,2008,23.53794583,.,44.80007104,28.43560242,36.07887551,29.78636808,33.97616997,.,.,57.31584562,20.76207165
,2009,23.87210626,.,44.63144009,27.49611212,35.32288692,29.16711172,33.61323703,.,.,57.17496566,21.25857617
,2010,23.09624669,.,44.03814293,27.27355066,34.84143757,29.97828466,33.69572055,.,.,57.23641197,21.69412074
,2011,22.60385759,.,43.49474802,27.29854229,32.99186052,29.14913906,34.32621525,.,.,57.32585467,22.07672215
,2012,22.63250903,.,42.07055377,26.23938571,33.15280312,29.141462,33.98116983,.,.,58.50704701,23.00194793
,2013,21.18036651,.,41.70005741,26.07700228,32.5810437,29.44330073,33.78644063,.,.,58.08817215,22.36437557
,2014,20.42704,.,40.25224,24.03513,32.31218,30.68304,33.91606,.,.,57.53275,22.18083
,2015,19.35533,5.53247,39.64195,24.33329,31.87771,30.74301,31.94521,58.18105,30.19542,59.43847,23.51461
