"year","age_group","sex","Oral","Endometrium","Pancreas","Gallbladder","Colorectum","Liver","Kidney","Thyroid","MultipleMyeloma","Breast"
2005,"20-49","Men",0.690699412798193,0,0.231838407743207,0.0839151571947592,0.310331407401118,0.450150073501398,0.233246385163399,0.0368292849821853,0.0873574436196221,0
2005,"20-49","Women",0.576409744033504,0.443091809570531,0.262472515343296,0.189645429369237,0.237685826332055,0.416486568207663,0.250573729098902,0.0251397722620998,0.0749269431535782,0.0764390449489609
2005,"50+","Men",0.61832451061442,0,0.191217337712796,0.101619845684306,0.339392395075972,0.478593449544472,0.264438581149136,0.0413961755515124,0.101382401764218,0
2005,"50+","Women",0.441651964716039,0.513769129258089,0.210073214577412,0.237383440201024,0.25485358366181,0.412485728506027,0.307794171424367,0.0333890640484892,0.0973201626311758,0.135883122147312
2006,"20-49","Men",0.447090822440965,0,0.221881417267982,0.0859833365173555,0.237059145310577,0.377366824927381,0.238449425580338,0.0379486706441964,0.0896977455093752,0
2006,"20-49","Women",0.405312999001133,0.43487936969517,0.23993991738954,0.186069382850472,0.19595317832325,0.376376620781411,0.246036242073746,0.0256668950037434,0.0736529654691854,0
2006,"50+","Men",0.368437879817916,0,0.186811966924165,0.111756406426797,0.286386392330651,0.431913678226909,0.275665936755863,0.0414187652704342,0.10639035895601,0
2006,"50+","Women",0.331221407304011,0.518950959592545,0.213889958881986,0.239794985428459,0.237923800942054,0.408142878628336,0.310771308766302,0.0326908669290029,0.0981603129197762,0.0900941623936425
2007,"20-49","Men",0.439449038726605,0,0.21635990366874,0.0837898807226832,0.229520143160066,0.369753082554517,0.227911660937672,0.0347921943807118,0.0848564218390717,0
2007,"20-49","Women",0.406402628470229,0.440775314309928,0.241209567938877,0.189527570105221,0.197902899934659,0.378706115302526,0.250287312899116,0.0260960233213913,0.0751709839434757,0
2007,"50+","Men",0.375782518165038,0,0.191656497314612,0.114413646842899,0.28870054481894,0.437408824674267,0.275779895557955,0.0401857713692999,0.106280882544794,0
2007,"50+","Women",0.325198853671557,0.517705625047205,0.210485072978559,0.23830263142468,0.235664005108578,0.404663256875349,0.309077854294208,0.031946875166816,0.097293582422412,0.089285494332169
2008,"20-49","Men",0.448308610409484,0,0.221695330413535,0.0837316890199978,0.375427766797035,0.373387995225762,0.232319342426987,0.0365476386983016,0.0869312711909399,0
2008,"20-49","Women",0.397595362841923,0.444479052162884,0.236773705393413,0.190659254376107,0.320912187539759,0.377576620946275,0.251796033578408,0.025411823542274,0.0754180891770276,0
2008,"50+","Men",0.352975413905272,0,0.182500112608978,0.119263785122791,0.404921359028784,0.435073664196383,0.280258299562388,0.0397996333745902,0.108255965150437,0
2008,"50+","Women",0.317582188358082,0.520668980359469,0.207188033558435,0.24102371472375,0.36223141225179,0.405565999960066,0.312217302174146,0.0328807386667283,0.0987506517453747,0.0906405706798278
2009,"20-49","Men",0.429994406085316,0,0.206442991887591,0.0731847710920795,0.35753448018488,0.355043816778119,0.222265563178789,0.0373980464272437,0.082875920989621,0
2009,"20-49","Women",0.398183289873154,0.439300602294699,0.236379259367248,0.187899833150427,0.323075451362042,0.375546581977522,0.248373775465602,0.0253084248109884,0.0742768562208832,0
2009,"50+","Men",0.38247097364598,0,0.195956937097879,0.115874727072029,0.409414581084593,0.439635483238814,0.281066272860653,0.0418117487988532,0.108884052664413,0
2009,"50+","Women",0.327880439086712,0.509734476900558,0.209765050742493,0.235815627609149,0.351835403212823,0.402638685023216,0.305808552209532,0.0342045911292188,0.0968837465409053,0.0889399138408277
2010,"20-49","Men",0.42671461671134,0,0.213644267964662,0.0951283979907962,0.37129001638877,0.38201415781219,0.24471377974947,0.0362411895802209,0.0921312659814651,0
2010,"20-49","Women",0.3749444250925,0.455503597371623,0.225473204106258,0.195948162806008,0.316121185759697,0.37519929092565,0.258420267738598,0.0250027789870803,0.0774348279298072,0
2010,"50+","Men",0.35753112271638,0,0.186354427333814,0.122700916259183,0.408224974941409,0.440430427763729,0.285951272536912,0.0406591456792204,0.110964594760883,0
2010,"50+","Women",0.308310312087217,0.528646532366963,0.204077026464302,0.245531832841352,0.360369851812567,0.406232247312778,0.317644809396256,0.0324900324501602,0.100606919886813,0.0923452602217378
2011,"20-49","Men",0.652197033280149,0,0.216507011880592,0.0809480819472724,0.415163279013219,0.422946259549936,0.226157012882865,0.0354056765984083,0.0842114126225353,0
2011,"20-49","Women",0.543495607497183,0.450955745935391,0.228082461906719,0.195208007349567,0.360123411731866,0.399928691489063,0.257288751061965,0.0264997451405138,0.077588184512107,0.0802320134760715
2011,"50+","Men",0.620876118417523,0,0.182445728128505,0.115951634196463,0.450867917601319,0.493946712582799,0.275942700597659,0.0395097502171696,0.106266236243261,0
2011,"50+","Women",0.47076613113513,0.531930553381283,0.209123193174518,0.247450082136926,0.372545419444461,0.430796643547929,0.319943215724937,0.0323599676107858,0.101412179222314,0.155886939813869
