"Year","Gender","Age_at_Diagnosis","Geography_code","Geography_name","ICD10_code","Site_description","Count","Type_of_rate","Rate","LCI","UCI","Flag"
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C00","Malignant neoplasm of lip","25","Age-specific","0.2","0.2","0.4",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C00-C14","Malignant neoplasm of lip, oral cavity and pharynx","574","Age-specific","5.4","5","5.9",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C00-C97","All malignant cancers","22009","Age-specific","208.9","206.1","211.7",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C00-C97 excl. C44","All maligant cancers excluding non-melanoma skin cancer (NMSC)","18436","Age-specific","175","172.5","177.5",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C00-C97, D00-D48","All registrations","29770","Age-specific","282.6","279.4","285.8",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C01","Malignant neoplasm of base of tongue","45","Age-specific","0.4","0.3","0.6",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C02","Malignant neoplasm of other and unspecified parts of tongue","101","Age-specific","1","0.8","1.2",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C03","Malignant neoplasm of gum","26","Age-specific","0.2","0.2","0.4",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C04","Malignant neoplasm of floor of mouth","48","Age-specific","0.5","0.3","0.6",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C05","Malignant neoplasm of palate","36","Age-specific","0.3","0.2","0.5",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C06","Malignant neoplasm of other and unspecified parts of mouth","29","Age-specific","0.3","0.2","0.4",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C07","Malignant neoplasm of parotid gland","55","Age-specific","0.5","0.4","0.7",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C08","Malignant neoplasm of other and unspecified major salivary glands","16","Age-specific","0.2","0.1","0.2",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C09","Malignant neoplasm of tonsil","103","Age-specific","1","0.8","1.2",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C10","Malignant neoplasm of oropharynx","13","Age-specific","0.1","0.1","0.2",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C11","Malignant neoplasm of nasopharynx","34","Age-specific","0.3","0.2","0.5",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C12","Malignant neoplasm of piriform sinus","13","Age-specific","0.1","0.1","0.2",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C13","Malignant neoplasm of hypopharynx","13","Age-specific","0.1","0.1","0.2",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C14","Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx","17","Age-specific","0.2","0.1","0.3",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C15","Malignant neoplasm of oesophagus","253","Age-specific","2.4","2.1","2.7",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C16","Malignant neoplasm of stomach","296","Age-specific","2.8","2.5","3.1",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C17","Malignant neoplasm of small intestine","49","Age-specific","0.5","0.3","0.6",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C18","Malignant neoplasm of colon","658","Age-specific","6.2","5.8","6.7",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C18-C20","Malignant neoplasm of colon and rectum","1128","Age-specific","10.7","10.1","11.3",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C19","Malignant neoplasm of rectosigmoid junction","98","Age-specific","0.9","0.8","1.1",NA
2001,"Persons","35 to 39, 40 to 44, 45 to 49","E92000001","England","C20","Malignant neoplasm of rectum","372","Age-specific","3.5","3.2","3.9",NA
