"Year","Gender","Age_at_Diagnosis","Geography_code","Geography_name","ICD10_code","Site_description","Count","Type_of_rate","Rate","LCI","UCI","Flag"
2001,"Persons","50 to 54, 55 to 59, 60 to 64, 65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C00","Malignant neoplasm of lip",216,"Age-specific",1.3,1.1,1.5,""
2001,"Persons","50 to 54, 55 to 59, 60 to 64, 65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C00-C14","Malignant neoplasm of lip, oral cavity and pharynx",3563,"Age-specific",21.7,21,22.4,""
2001,"Persons","50 to 54, 55 to 59, 60 to 64, 65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C00-C97","All malignant cancers",256171,"Age-specific",1559.3,1553.3,1565.3,""
2001,"Persons","50 to 54, 55 to 59, 60 to 64, 65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C00-C97 excl. C44","All maligant cancers excluding non-melanoma skin cancer (NMSC)",207876,"Age-specific",1265.3,1259.9,1270.8,""
2001,"Persons","50 to 54, 55 to 59, 60 to 64, 65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C00-C97, D00-D48","All registrations",276432,"Age-specific",1682.6,1676.4,1688.9,""
2001,"Persons","50 to 54, 55 to 59, 60 to 64, 65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C01","Malignant neoplasm of base of tongue",227,"Age-specific",1.4,1.2,1.6,""
2001,"Persons","50 to 54, 55 to 59, 60 to 64, 65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C02","Malignant neoplasm of other and unspecified parts of tongue",640,"Age-specific",3.9,3.6,4.2,""
2001,"Persons","50 to 54, 55 to 59, 60 to 64, 65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C03","Malignant neoplasm of gum",179,"Age-specific",1.1,0.9,1.3,""
2001,"Persons","50 to 54, 55 to 59, 60 to 64, 65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C04","Malignant neoplasm of floor of mouth",315,"Age-specific",1.9,1.7,2.1,""
2001,"Persons","50 to 54, 55 to 59, 60 to 64, 65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C05","Malignant neoplasm of palate",189,"Age-specific",1.2,1,1.3,""
2001,"Persons","50 to 54, 55 to 59, 60 to 64, 65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C06","Malignant neoplasm of other and unspecified parts of mouth",319,"Age-specific",1.9,1.7,2.2,""
2001,"Persons","50 to 54, 55 to 59, 60 to 64, 65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C07","Malignant neoplasm of parotid gland",286,"Age-specific",1.7,1.5,2,""
2001,"Persons","50 to 54, 55 to 59, 60 to 64, 65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C08","Malignant neoplasm of other and unspecified major salivary glands",90,"Age-specific",0.5,0.4,0.7,""
2001,"Persons","50 to 54, 55 to 59, 60 to 64, 65 to 69, 70 to 74, 75 to 79, 80 to 84, 85 to 89, 90 and over","E92000001","England","C09","Malignant neoplasm of tonsil",361,"Age-specific",2.2,2,2.4,""
