"Year","Gender","Age_at_Diagnosis","Geography_code","Geography_name","ICD10_code","Site_description","Count","Type_of_rate","Rate","LCI","UCI","Flag"
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C00","Malignant neoplasm of lip","5","Age-specific","0","0","0.1",NA
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C00-C14","Malignant neoplasm of lip, oral cavity and pharynx","94","Age-specific","0.9","0.7","1.1",NA
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C00-C97","All malignant cancers","5668","Age-specific","55.8","54.4","57.3",NA
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C00-C97 excl. C44","All maligant cancers excluding non-melanoma skin cancer (NMSC)","5095","Age-specific","50.2","48.8","51.6",NA
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C00-C97, D00-D48","All registrations","20355","Age-specific","200.4","197.6","203.2",NA
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C01","Malignant neoplasm of base of tongue","0","Age-specific","[u]","[u]","[u]","[note2]"
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C02","Malignant neoplasm of other and unspecified parts of tongue","33","Age-specific","0.3","0.2","0.5",NA
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C03","Malignant neoplasm of gum","1","Age-specific","[u]","[u]","[u]","[note2]"
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C04","Malignant neoplasm of floor of mouth","3","Age-specific","0","0","0.1",NA
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C05","Malignant neoplasm of palate","8","Age-specific","0.1","0","0.2",NA
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C06","Malignant neoplasm of other and unspecified parts of mouth","4","Age-specific","0","0","0.1",NA
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C07","Malignant neoplasm of parotid gland","19","Age-specific","0.2","0.1","0.3",NA
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C08","Malignant neoplasm of other and unspecified major salivary glands","4","Age-specific","0","0","0.1",NA
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C09","Malignant neoplasm of tonsil","1","Age-specific","[u]","[u]","[u]","[note2]"
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C10","Malignant neoplasm of oropharynx","0","Age-specific","[u]","[u]","[u]","[note2]"
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C11","Malignant neoplasm of nasopharynx","12","Age-specific","0.1","0.1","0.2",NA
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C12","Malignant neoplasm of piriform sinus","1","Age-specific","[u]","[u]","[u]","[note2]"
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C13","Malignant neoplasm of hypopharynx","2","Age-specific","[u]","[u]","[u]","[note2]"
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C14","Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx","1","Age-specific","[u]","[u]","[u]","[note2]"
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C15","Malignant neoplasm of oesophagus","17","Age-specific","0.2","0.1","0.3",NA
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C16","Malignant neoplasm of stomach","38","Age-specific","0.4","0.3","0.5",NA
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C17","Malignant neoplasm of small intestine","7","Age-specific","0.1","0","0.1",NA
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C18","Malignant neoplasm of colon","97","Age-specific","1","0.8","1.2",NA
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C18-C20","Malignant neoplasm of colon and rectum","145","Age-specific","1.4","1.2","1.7",NA
2001,"Persons","20 to 24, 25 to 29, 30 to 34","E92000001","England","C19","Malignant neoplasm of rectosigmoid junction","4","Age-specific","0","0","0.1",NA
