"age_group"	"sex"	"level"	"year"	"value"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
11-15 years	All children	Obese	1995	14.72	14.36	NA	5.2656*	2	2
11-15 years	All children	Obese	1996	15.02	15.11	NA	5.2656*	2	2
11-15 years	All children	Obese	1997	16.13	15.91	NA	5.2656*	2	2
11-15 years	All children	Obese	1998	17.19	16.74	NA	5.2656*	2	2
11-15 years	All children	Obese	1999	16.82	17.63	NA	5.2656*	2	2
11-15 years	All children	Obese	2000	18.72	18.55	NA	5.2656*	2	2
11-15 years	All children	Obese	2001	18.51	19.53	NA	5.2656*	2	2
11-15 years	All children	Obese	2002	20.03	20.56	NA	5.2656*	2	2
11-15 years	All children	Obese	2003	21.31	21.64	NA	5.2656*	2	2
11-15 years	All children	Obese	2004	25.49	22.78	Joinpoint 1	NA	2	2
11-15 years	All children	Obese	2005	20.82	21.00	NA	-7.8268	2	2
11-15 years	All children	Obese	2006	17.60	19.36	NA	-7.8268	2	2
11-15 years	All children	Obese	2007	18.80	17.84	Joinpoint 2	NA	2	2
11-15 years	All children	Obese	2008	19.51	18.12	NA	1.5883*	2	2
11-15 years	All children	Obese	2009	17.65	18.41	NA	1.5883*	2	2
11-15 years	All children	Obese	2010	18.32	18.70	NA	1.5883*	2	2
11-15 years	All children	Obese	2011	20.23	19.00	NA	1.5883*	2	2
11-15 years	All children	Obese	2012	18.71	19.30	NA	1.5883*	2	2
11-15 years	All children	Obese	2013	19.91	19.61	NA	1.5883*	2	2
11-15 years	All children	Obese	2014	20.13	19.92	NA	1.5883*	2	2
11-15 years	All children	Obese	2015	16.35	20.24	NA	1.5883*	2	2
11-15 years	All children	Obese	2016	23.10	20.56	NA	1.5883*	2	2
11-15 years	All children	Obese	2017	23.32	20.89	NA	1.5883*	2	2
11-15 years	All children	Obese	2018	17.86	21.22	NA	1.5883*	2	2
11-15 years	All children	Obese	2019	23.95	21.55	NA	1.5883*	2	2
11-15 years	All children	Overweight	1995	14.08	14.74	NA	0.1939	0	0
11-15 years	All children	Overweight	1996	14.48	14.77	NA	0.1939	0	0
11-15 years	All children	Overweight	1997	14.16	14.79	NA	0.1939	0	0
11-15 years	All children	Overweight	1998	15.36	14.82	NA	0.1939	0	0
11-15 years	All children	Overweight	1999	14.47	14.85	NA	0.1939	0	0
11-15 years	All children	Overweight	2000	12.58	14.88	NA	0.1939	0	0
11-15 years	All children	Overweight	2001	16.15	14.91	NA	0.1939	0	0
11-15 years	All children	Overweight	2002	14.97	14.94	NA	0.1939	0	0
11-15 years	All children	Overweight	2003	15.64	14.97	NA	0.1939	0	0
11-15 years	All children	Overweight	2004	16.23	15.00	NA	0.1939	0	0
11-15 years	All children	Overweight	2005	14.99	15.02	NA	0.1939	0	0
11-15 years	All children	Overweight	2006	15.88	15.05	NA	0.1939	0	0
11-15 years	All children	Overweight	2007	15.38	15.08	NA	0.1939	0	0
11-15 years	All children	Overweight	2008	15.66	15.11	NA	0.1939	0	0
11-15 years	All children	Overweight	2009	14.62	15.14	NA	0.1939	0	0
11-15 years	All children	Overweight	2010	15.53	15.17	NA	0.1939	0	0
11-15 years	All children	Overweight	2011	16.84	15.20	NA	0.1939	0	0
11-15 years	All children	Overweight	2012	16.44	15.23	NA	0.1939	0	0
11-15 years	All children	Overweight	2013	15.98	15.26	NA	0.1939	0	0
11-15 years	All children	Overweight	2014	14.75	15.29	NA	0.1939	0	0
11-15 years	All children	Overweight	2015	16.12	15.32	NA	0.1939	0	0
11-15 years	All children	Overweight	2016	13.17	15.35	NA	0.1939	0	0
11-15 years	All children	Overweight	2017	13.32	15.38	NA	0.1939	0	0
11-15 years	All children	Overweight	2018	15.91	15.41	NA	0.1939	0	0
11-15 years	All children	Overweight	2019	15.30	15.44	NA	0.1939	0	0
11-15 years	All children	Overweight including obese	1995	28.79	28.28	NA	3.4221*	2	2
11-15 years	All children	Overweight including obese	1996	29.50	29.25	NA	3.4221*	2	2
11-15 years	All children	Overweight including obese	1997	30.30	30.25	NA	3.4221*	2	2
11-15 years	All children	Overweight including obese	1998	32.55	31.29	NA	3.4221*	2	2
11-15 years	All children	Overweight including obese	1999	31.29	32.36	NA	3.4221*	2	2
