"sex"	"age_group"	"cancer_site"	"Model"	"Segment"	"Segment Start"	"Segment End"	"APC"	"APC 95% LCL"	"APC 95% UCL"	"APC Significant"	"Test Statistic"	"P-Value"
Men	20-49	Colorectum	1	0	2001	2012	3.6773	2.5173	14.1083	1	NA	0.006799
Men	20-49	Colorectum	1	1	2012	2019	2.0162	-5.1007	3.5362	0	NA	0.202759
Men	20-49	Gallbladder	0	0	2001	2019	2.8922	1.1892	4.7937	1	NA	0.000800
Men	20-49	Kidney	1	0	2001	2016	5.8204	5.2890	7.0206	1	NA	0.000000
Men	20-49	Kidney	1	1	2016	2019	-1.4456	-9.6351	3.2851	0	NA	0.530694
Men	20-49	Liver	1	0	2001	2009	6.7752	3.4566	23.3760	1	NA	0.000400
Men	20-49	Liver	1	1	2009	2019	-0.5375	-8.5357	1.6002	0	NA	0.554689
Men	20-49	MultipleMyeloma	0	0	2001	2019	4.2639	2.9227	5.8378	1	NA	0.000000
Men	20-49	Oral	1	0	2001	2012	3.8619	3.4524	4.3682	1	NA	0.000000
Men	20-49	Oral	1	1	2012	2019	-1.4534	-2.3522	-0.6970	1	NA	0.000000
Men	20-49	Pancreas	0	0	2001	2019	2.1496	1.2076	3.2191	1	NA	0.000000
Men	20-49	Thyroid	1	0	2001	2012	8.1246	7.1948	9.7814	1	NA	0.000000
Men	20-49	Thyroid	1	1	2012	2019	3.4342	1.2140	4.8167	1	NA	0.013997
Men	50+	Colorectum	2	0	2001	2011	2.6990	2.4048	3.0922	1	NA	0.001600
Men	50+	Colorectum	2	1	2011	2014	-0.9619	-1.7279	0.9873	0	NA	0.261548
Men	50+	Colorectum	2	2	2014	2019	1.7443	0.9450	3.6658	1	NA	0.000000
Men	50+	Gallbladder	0	0	2001	2019	4.6127	3.8697	5.4870	1	NA	0.000000
Men	50+	Kidney	3	0	2001	2011	4.9983	2.5624	9.1542	1	NA	0.006399
Men	50+	Kidney	3	1	2011	2014	9.2714	2.6695	10.8586	1	NA	0.000400
Men	50+	Kidney	3	2	2014	2017	-0.7424	-2.9185	9.0532	0	NA	0.537892
Men	50+	Kidney	3	3	2017	2019	5.9105	0.9220	9.5715	1	NA	0.007598
Men	50+	Liver	1	0	2001	2014	7.7861	7.3235	8.5003	1	NA	0.000000
Men	50+	Liver	1	1	2014	2019	3.7926	1.5109	5.1557	1	NA	0.011198
Men	50+	MultipleMyeloma	0	0	2001	2019	4.7386	4.2491	5.2942	1	NA	0.000000
