"sex"	"age_group"	"cancer_site"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
Men	20-49	Colorectum	1	19	4	15	18.825451	1.255030	Uncorrelated	0	NA	NA	NA	-65.695327	7.236971	-9.077737	0.000000	0.036113	0.003607	10.011789	0.000000	NA	NA	NA	NA	52.373756	0.000000	150.959456	1.000000	0.000000	1.000000
Men	20-49	Colorectum	1	19	4	15	18.825451	1.255030	Uncorrelated	1	2012	2003	2017	-33.198326	12.286556	-2.702004	0.017189	0.019961	0.006094	3.275444	0.005526	-0.016152	0.007082	-2.280739	0.038738	0.000013	0.000000	0.000037	1.000000	0.000000	1.000000
Men	20-49	Gallbladder	0	19	2	17	15.713302	0.924312	Uncorrelated	0	NA	NA	NA	-53.951592	15.556214	-3.468170	0.002940	0.028512	0.007736	3.685589	0.001834	NA	NA	NA	NA	241.995802	-0.120343	0.000060	1.000000	-0.999996	1.000000
Men	20-49	Kidney	1	19	4	15	14.430758	0.962051	Uncorrelated	0	NA	NA	NA	-107.592527	5.811521	-18.513660	0.000000	0.056573	0.002893	19.557305	0.000000	NA	NA	NA	NA	33.773779	0.000000	3103.799477	1.000000	0.000000	1.000000
Men	20-49	Kidney	1	19	4	15	14.430758	0.962051	Uncorrelated	1	2016	2011	2017	35.814643	55.711753	0.642856	0.530706	-0.014562	0.027608	-0.527452	0.606138	-0.071135	0.027759	-2.562588	0.022560	0.000008	0.000000	0.000762	1.000000	0.000000	1.000000
Men	20-49	Liver	1	19	4	15	24.451908	1.630127	Uncorrelated	0	NA	NA	NA	-126.705477	37.123400	-3.413089	0.004202	0.065556	0.018517	3.540218	0.003264	NA	NA	NA	NA	1378.146798	0.000000	584.209712	1.000000	0.000000	1.000000
Men	20-49	Liver	1	19	4	15	24.451908	1.630127	Uncorrelated	1	2009	2004	2015	15.822919	24.170431	0.654640	0.523310	-0.005389	0.011998	-0.449156	0.660194	-0.070945	0.022065	-3.215289	0.006228	0.000343	0.000000	0.000144	1.000000	0.000000	1.000000
Men	20-49	MultipleMyeloma	0	19	2	17	37.886715	2.228630	Uncorrelated	0	NA	NA	NA	-78.950551	10.711652	-7.370530	0.000001	0.041755	0.005326	7.840029	0.000000	NA	NA	NA	NA	114.739481	-0.057049	0.000028	1.000000	-0.999997	1.000000
Men	20-49	Oral	1	19	4	15	3.993561	0.266237	Uncorrelated	0	NA	NA	NA	-69.765790	4.203003	-16.599035	0.000000	0.037892	0.002095	18.088454	0.000000	NA	NA	NA	NA	17.665232	0.000000	58.559694	1.000000	0.000000	1.000000
Men	20-49	Oral	1	19	4	15	3.993561	0.266237	Uncorrelated	1	2012	2011	2013	35.930500	7.652431	4.695306	0.000344	-0.014641	0.003796	-3.856901	0.001744	-0.052533	0.004336	-12.116522	0.000000	0.000004	0.000000	0.000014	1.000000	0.000000	1.000000
Men	20-49	Pancreas	0	19	2	17	19.168860	1.127580	Uncorrelated	0	NA	NA	NA	-37.639533	7.011230	-5.368464	0.000051	0.021269	0.003487	6.099338	0.000012	NA	NA	NA	NA	49.157345	-0.024448	0.000012	1.000000	-0.999996	1.000000
