"age_group"	"sex"	"level"	"Model"	"Segment"	"Segment Start"	"Segment End"	"APC"	"APC 95% LCL"	"APC 95% UCL"	"APC Significant"	"Test Statistic"	"P-Value"
20-49	Men	Below Recommendations	0	0	2003	2012	-1.8635	-3.5140	-0.1847	1	-3.5293	0.038658
50+	Men	Below Recommendations	0	0	2003	2012	-0.6809	-1.7717	0.4219	0	-1.9691	0.143576
20-49	Women	Below Recommendations	0	0	2003	2012	-1.4434	-2.4336	-0.4432	1	-4.5822	0.019515
50+	Women	Below Recommendations	0	0	2003	2012	-1.2030	-2.3274	-0.0656	1	-3.3649	0.043574
20-49	Men	Current	0	0	1995	2019	-1.6740	-1.9078	-1.4397	1	-14.6714	0.000000
50+	Men	Current	0	0	1995	2019	-1.9416	-2.3066	-1.5753	1	-10.8771	0.000000
20-49	Women	Current	1	0	1995	2002	-0.8570	-2.4837	0.7968	0	-1.0852	0.290721
20-49	Women	Current	1	1	2002	2019	-3.2003	-3.6189	-2.7798	1	-15.6549	0.000000
50+	Women	Current	0	0	1995	2019	-2.4870	-2.7000	-2.2735	1	-23.8199	0.000000
20-49	Men	Healthy Weight	1	0	1997	2001	-3.5902	-7.4060	0.3828	0	-1.9021	0.073279
20-49	Men	Healthy Weight	1	1	2001	2019	0.1546	-0.2555	0.5663	0	0.7909	0.439275
50+	Men	Healthy Weight	0	0	1997	2019	-1.0111	-1.3926	-0.6282	1	-5.4739	0.000020
20-49	Women	Healthy Weight	0	0	1997	2019	-0.9270	-1.1097	-0.7440	1	-10.4950	0.000000
50+	Women	Healthy Weight	2	0	1997	2011	-0.6620	-0.9511	-0.3721	1	-4.8575	0.000209
50+	Women	Healthy Weight	2	1	2011	2014	2.8409	-3.3579	9.4373	0	0.9604	0.352076
50+	Women	Healthy Weight	2	2	2014	2019	-0.8891	-2.2573	0.4983	0	-1.3693	0.191050
20-49	Men	Heavy Drinker	0	0	2005	2019	-3.8634	-5.1798	-2.5286	1	-6.5894	0.000171
50+	Men	Heavy Drinker	0	0	2005	2019	0.9781	-1.0983	3.0981	0	1.0803	0.311490
20-49	Women	Heavy Drinker	0	0	2005	2019	0.3871	-3.3734	4.2940	0	0.2334	0.821338
50+	Women	Heavy Drinker	1	0	2005	2012	14.9397	8.7736	21.4552	1	6.4913	0.001295
50+	Women	Heavy Drinker	1	1	2012	2019	0.1792	-4.1531	4.7074	0	0.1041	0.921114
20-49	Men	Light Drinker	0	0	2005	2019	1.2978	0.8230	1.7748	1	6.3294	0.000226
50+	Men	Light Drinker	0	0	2005	2019	-0.3930	-1.3404	0.5636	0	-0.9500	0.369944
20-49	Women	Light Drinker	0	0	2005	2019	-0.1898	-0.6872	0.3101	0	-0.8768	0.406147
50+	Women	Light Drinker	1	0	2005	2012	-1.6392	-2.9078	-0.3540	1	-3.2729	0.022128
50+	Women	Light Drinker	1	1	2012	2019	0.4026	-0.6370	1.4531	0	0.9923	0.366602
20-49	Men	Meets Recommendations	0	0	2003	2012	2.0840	0.1714	4.0331	1	3.4706	0.040328
50+	Men	Meets Recommendations	0	0	2003	2012	1.8449	-1.0525	4.8271	0	2.0157	0.137221
20-49	Women	Meets Recommendations	0	0	2003	2012	2.7421	0.5176	5.0159	1	3.9330	0.029272
50+	Women	Meets Recommendations	0	0	2003	2012	4.9085	-0.3937	10.4930	0	2.9404	0.060490
20-49	Men	Moderate Drinker	0	0	2005	2019	-2.2782	-2.6039	-1.9515	1	-15.9200	0.000000
50+	Men	Moderate Drinker	0	0	2005	2019	-0.4050	-1.4206	0.6211	0	-0.9130	0.387907
20-49	Women	Moderate Drinker	0	0	2005	2019	-2.4825	-3.5987	-1.3534	1	-5.0354	0.001007
50+	Women	Moderate Drinker	1	0	2005	2012	4.5961	2.5951	6.6361	1	5.9801	0.001874
50+	Women	Moderate Drinker	1	1	2012	2019	-0.0946	-1.6299	1.4648	0	-0.1570	0.881361
20-49	Men	Never	0	0	1995	2019	0.8975	0.7213	1.0741	1	10.5715	0.000000
50+	Men	Never	0	0	1995	2019	2.2916	2.0903	2.4932	1	23.8021	0.000000
20-49	Women	Never	0	0	1995	2019	1.0487	0.9316	1.1660	1	18.6053	0.000000
50+	Women	Never	0	0	1995	2019	0.6290	0.4992	0.7589	1	10.0510	0.000000
20-49	Men	Non-Drinker	0	0	2005	2019	3.2303	1.8782	4.6003	1	5.5607	0.000534
50+	Men	Non-Drinker	0	0	2005	2019	2.0487	0.5650	3.5542	1	3.1930	0.012745
20-49	Women	Non-Drinker	0	0	2005	2019	3.2264	2.5452	3.9122	1	11.0593	0.000004
50+	Women	Non-Drinker	0	0	2005	2019	-0.3492	-1.0661	0.3730	0	-1.1171	0.296375
20-49	Men	Obese	1	0	1997	2000	10.0743	0.9530	20.0197	1	2.3313	0.031559
20-49	Men	Obese	1	1	2000	2019	0.8340	0.3187	1.3520	1	3.4056	0.003152
50+	Men	Obese	1	0	1997	2007	3.8451	2.9056	4.7931	1	8.7224	0.000000
50+	Men	Obese	1	1	2007	2019	0.5812	-0.1107	1.2779	0	1.7640	0.094705
20-49	Women	Obese	0	0	1997	2019	1.9597	1.5789	2.3418	1	10.7868	0.000000
