"age_group"	"sex"	"exposure"	"year"	"value"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
20-49	Men	BMI_obese_men	1997	0.15	0.15	NA	9.9333*	1	1
20-49	Men	BMI_obese_men	1998	0.16	0.16	NA	9.9333*	1	1
20-49	Men	BMI_obese_men	1999	0.18	0.18	NA	9.9333*	1	1
20-49	Men	BMI_obese_men	2000	0.20	0.20	Joinpoint 1	NA	1	1
20-49	Men	BMI_obese_men	2001	0.20	0.20	NA	0.8902*	1	1
20-49	Men	BMI_obese_men	2002	0.20	0.20	NA	0.8902*	1	1
20-49	Men	BMI_obese_men	2003	0.20	0.20	NA	0.8902*	1	1
20-49	Men	BMI_obese_men	2004	0.21	0.21	NA	0.8902*	1	1
20-49	Men	BMI_obese_men	2005	0.21	0.21	NA	0.8902*	1	1
20-49	Men	BMI_obese_men	2006	0.22	0.21	NA	0.8902*	1	1
20-49	Men	BMI_obese_men	2007	0.21	0.21	NA	0.8902*	1	1
20-49	Men	BMI_obese_men	2008	0.21	0.21	NA	0.8902*	1	1
20-49	Men	BMI_obese_men	2009	0.18	0.22	NA	0.8902*	1	1
20-49	Men	BMI_obese_men	2010	0.24	0.22	NA	0.8902*	1	1
20-49	Men	BMI_obese_men	2011	0.20	0.22	NA	0.8902*	1	1
20-49	Men	BMI_obese_men	2012	0.21	0.22	NA	0.8902*	1	1
20-49	Men	BMI_obese_men	2013	0.23	0.22	NA	0.8902*	1	1
20-49	Men	BMI_obese_men	2014	0.21	0.23	NA	0.8902*	1	1
20-49	Men	BMI_obese_men	2015	0.23	0.23	NA	0.8902*	1	1
20-49	Men	BMI_obese_men	2016	0.23	0.23	NA	0.8902*	1	1
20-49	Men	BMI_obese_men	2017	0.25	0.23	NA	0.8902*	1	1
50+	Men	BMI_obese_men	1997	0.21	0.21	NA	3.8272*	1	1
50+	Men	BMI_obese_men	1998	0.21	0.22	NA	3.8272*	1	1
50+	Men	BMI_obese_men	1999	0.21	0.23	NA	3.8272*	1	1
50+	Men	BMI_obese_men	2000	0.25	0.23	NA	3.8272*	1	1
50+	Men	BMI_obese_men	2001	0.25	0.24	NA	3.8272*	1	1
50+	Men	BMI_obese_men	2002	0.27	0.25	NA	3.8272*	1	1
50+	Men	BMI_obese_men	2003	0.27	0.26	NA	3.8272*	1	1
50+	Men	BMI_obese_men	2004	0.28	0.27	NA	3.8272*	1	1
50+	Men	BMI_obese_men	2005	0.26	0.28	NA	3.8272*	1	1
50+	Men	BMI_obese_men	2006	0.29	0.29	NA	3.8272*	1	1
50+	Men	BMI_obese_men	2007	0.30	0.31	Joinpoint 1	NA	1	1
50+	Men	BMI_obese_men	2008	0.31	0.31	NA	0.6304	1	1
50+	Men	BMI_obese_men	2009	0.30	0.31	NA	0.6304	1	1
50+	Men	BMI_obese_men	2010	0.33	0.31	NA	0.6304	1	1
50+	Men	BMI_obese_men	2011	0.31	0.31	NA	0.6304	1	1
50+	Men	BMI_obese_men	2012	0.31	0.32	NA	0.6304	1	1
50+	Men	BMI_obese_men	2013	0.32	0.32	NA	0.6304	1	1
50+	Men	BMI_obese_men	2014	0.30	0.32	NA	0.6304	1	1
50+	Men	BMI_obese_men	2015	0.33	0.32	NA	0.6304	1	1
50+	Men	BMI_obese_men	2016	0.32	0.32	NA	0.6304	1	1
50+	Men	BMI_obese_men	2017	0.33	0.33	NA	0.6304	1	1
20-49	Women	BMI_obese_women	1997	0.17	0.18	NA	1.9052*	0	0
20-49	Women	BMI_obese_women	1998	0.18	0.18	NA	1.9052*	0	0
20-49	Women	BMI_obese_women	1999	0.18	0.19	NA	1.9052*	0	0
20-49	Women	BMI_obese_women	2000	0.18	0.19	NA	1.9052*	0	0
20-49	Women	BMI_obese_women	2001	0.21	0.19	NA	1.9052*	0	0
20-49	Women	BMI_obese_women	2002	0.21	0.20	NA	1.9052*	0	0
20-49	Women	BMI_obese_women	2003	0.21	0.20	NA	1.9052*	0	0
20-49	Women	BMI_obese_women	2004	0.21	0.20	NA	1.9052*	0	0
20-49	Women	BMI_obese_women	2005	0.22	0.21	NA	1.9052*	0	0
20-49	Women	BMI_obese_women	2006	0.21	0.21	NA	1.9052*	0	0
20-49	Women	BMI_obese_women	2007	0.22	0.22	NA	1.9052*	0	0
20-49	Women	BMI_obese_women	2008	0.22	0.22	NA	1.9052*	0	0
20-49	Women	BMI_obese_women	2009	0.22	0.22	NA	1.9052*	0	0
20-49	Women	BMI_obese_women	2010	0.24	0.23	NA	1.9052*	0	0
20-49	Women	BMI_obese_women	2011	0.23	0.23	NA	1.9052*	0	0
20-49	Women	BMI_obese_women	2012	0.23	0.24	NA	1.9052*	0	0
20-49	Women	BMI_obese_women	2013	0.22	0.24	NA	1.9052*	0	0
20-49	Women	BMI_obese_women	2014	0.24	0.25	NA	1.9052*	0	0
20-49	Women	BMI_obese_women	2015	0.25	0.25	NA	1.9052*	0	0
20-49	Women	BMI_obese_women	2016	0.23	0.26	NA	1.9052*	0	0
20-49	Women	BMI_obese_women	2017	0.29	0.26	NA	1.9052*	0	0
50+	Women	BMI_obese_women	1997	0.26	0.27	NA	0.9700*	0	0
50+	Women	BMI_obese_women	1998	0.27	0.27	NA	0.9700*	0	0
50+	Women	BMI_obese_women	1999	0.27	0.27	NA	0.9700*	0	0
50+	Women	BMI_obese_women	2000	0.28	0.27	NA	0.9700*	0	0
50+	Women	BMI_obese_women	2001	0.28	0.28	NA	0.9700*	0	0
50+	Women	BMI_obese_women	2002	0.27	0.28	NA	0.9700*	0	0
50+	Women	BMI_obese_women	2003	0.28	0.28	NA	0.9700*	0	0
50+	Women	BMI_obese_women	2004	0.28	0.29	NA	0.9700*	0	0
50+	Women	BMI_obese_women	2005	0.29	0.29	NA	0.9700*	0	0
50+	Women	BMI_obese_women	2006	0.30	0.29	NA	0.9700*	0	0
50+	Women	BMI_obese_women	2007	0.30	0.29	NA	0.9700*	0	0
50+	Women	BMI_obese_women	2008	0.31	0.30	NA	0.9700*	0	0
50+	Women	BMI_obese_women	2009	0.29	0.30	NA	0.9700*	0	0
50+	Women	BMI_obese_women	2010	0.32	0.30	NA	0.9700*	0	0
50+	Women	BMI_obese_women	2011	0.33	0.31	NA	0.9700*	0	0
50+	Women	BMI_obese_women	2012	0.30	0.31	NA	0.9700*	0	0
50+	Women	BMI_obese_women	2013	0.28	0.31	NA	0.9700*	0	0
50+	Women	BMI_obese_women	2014	0.32	0.31	NA	0.9700*	0	0
50+	Women	BMI_obese_women	2015	0.31	0.32	NA	0.9700*	0	0
50+	Women	BMI_obese_women	2016	0.32	0.32	NA	0.9700*	0	0
50+	Women	BMI_obese_women	2017	0.33	0.32	NA	0.9700*	0	0
20-49	Men	BMI_overweight_men	1997	0.45	0.44	NA	-0.5502*	0	0
20-49	Men	BMI_overweight_men	1998	0.43	0.44	NA	-0.5502*	0	0
20-49	Men	BMI_overweight_men	1999	0.42	0.44	NA	-0.5502*	0	0
20-49	Men	BMI_overweight_men	2000	0.43	0.43	NA	-0.5502*	0	0
20-49	Men	BMI_overweight_men	2001	0.45	0.43	NA	-0.5502*	0	0
20-49	Men	BMI_overweight_men	2002	0.42	0.43	NA	-0.5502*	0	0
20-49	Men	BMI_overweight_men	2003	0.42	0.43	NA	-0.5502*	0	0
20-49	Men	BMI_overweight_men	2004	0.43	0.43	NA	-0.5502*	0	0
20-49	Men	BMI_overweight_men	2005	0.42	0.42	NA	-0.5502*	0	0
20-49	Men	BMI_overweight_men	2006	0.44	0.42	NA	-0.5502*	0	0
20-49	Men	BMI_overweight_men	2007	0.40	0.42	NA	-0.5502*	0	0
20-49	Men	BMI_overweight_men	2008	0.42	0.42	NA	-0.5502*	0	0
20-49	Men	BMI_overweight_men	2009	0.43	0.41	NA	-0.5502*	0	0
20-49	Men	BMI_overweight_men	2010	0.42	0.41	NA	-0.5502*	0	0
20-49	Men	BMI_overweight_men	2011	0.41	0.41	NA	-0.5502*	0	0
20-49	Men	BMI_overweight_men	2012	0.43	0.41	NA	-0.5502*	0	0
20-49	Men	BMI_overweight_men	2013	0.40	0.40	NA	-0.5502*	0	0
20-49	Men	BMI_overweight_men	2014	0.38	0.40	NA	-0.5502*	0	0
