"age_group"	"sex"	"exposure"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
20-49	Men	BMI_obese_men	1	21	4	17	0.059566	0.003504	Uncorrelated	0	NA	NA	NA	-191.022130	86.149868	-2.217324	0.041429	0.094704	0.043118	2.196380	0.043148	NA	NA	NA	NA	7421.799771	0.000000	36.783282	1.000000	0.000000	1.000000
20-49	Men	BMI_obese_men	1	21	4	17	0.059566	0.003504	Uncorrelated	1	2000	1999	2003	-19.340725	6.064922	-3.188949	0.005709	0.008863	0.003019	2.935835	0.009692	-0.085841	0.043224	-1.985968	0.064446	0.001859	0.000000	0.000009	1.000000	0.000000	1.000000
50+	Men	BMI_obese_men	1	21	4	17	0.028030	0.001649	Uncorrelated	0	NA	NA	NA	-76.563662	9.166022	-8.352987	0.000000	0.037558	0.004580	8.201100	0.000000	NA	NA	NA	NA	84.015951	0.000000	84.941969	1.000000	0.000000	1.000000
50+	Men	BMI_obese_men	1	21	4	17	0.028030	0.001649	Uncorrelated	1	2007	2001	2010	-13.797184	9.216397	-1.497026	0.153853	0.006284	0.004580	1.372124	0.188957	-0.031274	0.006476	-4.828815	0.000185	0.000021	0.000000	0.000021	1.000000	0.000000	1.000000
20-49	Women	BMI_obese_women	0	21	2	19	0.067852	0.003571	Uncorrelated	0	NA	NA	NA	-39.410835	4.322252	-9.118125	0.000000	0.018873	0.002154	8.763394	0.000000	NA	NA	NA	NA	18.681864	-0.009308	0.000005	1.000000	-0.999995	1.000000
50+	Women	BMI_obese_women	0	21	2	19	0.030968	0.001630	Uncorrelated	0	NA	NA	NA	-20.599378	2.919998	-7.054586	0.000001	0.009653	0.001455	6.634793	0.000002	NA	NA	NA	NA	8.526389	-0.004248	0.000002	1.000000	-0.999995	1.000000
20-49	Men	BMI_overweight_men	0	21	2	19	0.016552	0.000871	Uncorrelated	0	NA	NA	NA	10.200497	2.134754	4.778300	0.000131	-0.005517	0.001064	-5.186901	0.000052	NA	NA	NA	NA	4.557176	-0.002271	0.000001	1.000000	-0.999995	1.000000
50+	Men	BMI_overweight_men	0	21	2	19	0.010220	0.000538	Uncorrelated	0	NA	NA	NA	13.182896	1.677448	7.858901	0.000000	-0.006933	0.000836	-8.294755	0.000000	NA	NA	NA	NA	2.813831	-0.001402	0.000001	1.000000	-0.999995	1.000000
20-49	Women	BMI_overweight_women	0	21	2	19	0.015066	0.000793	Uncorrelated	0	NA	NA	NA	0.489855	2.036715	0.240512	0.812509	-0.000858	0.001015	-0.845385	0.408417	NA	NA	NA	NA	4.148207	-0.002067	0.000001	1.000000	-0.999995	1.000000
50+	Women	BMI_overweight_women	0	21	2	19	0.011545	0.000608	Uncorrelated	0	NA	NA	NA	9.910518	1.782891	5.558678	0.000023	-0.005420	0.000888	-6.101520	0.000007	NA	NA	NA	NA	3.178701	-0.001584	0.000001	1.000000	-0.999995	1.000000
