"age_group"	"sex"	"exposure"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
20-49	Men	BMI_obese_men	1	0	21	2	19	       0.1200844	      -4.8741280	      -4.8741280	       0.0000000	      -4.8741280
20-49	Men	BMI_obese_men	2	1	21	4	17	       0.0595660	      -5.2852834	      -5.1403062	       0.5039656	      -5.2122199
20-49	Men	BMI_obese_men	3	2	21	6	15	       0.0545051	      -5.0841198	      -4.7941653	       0.5444840	      -4.9262442
20-49	Men	BMI_obese_men	4	3	21	8	13	       0.0486038	      -4.9087584	      -4.4738266	       0.9045103	      -4.5153581
50+	Men	BMI_obese_men	1	0	21	2	19	       0.0754186	      -5.3392693	      -5.3392693	       0.0000000	      -5.3392693
50+	Men	BMI_obese_men	2	1	21	4	17	       0.0280298	      -6.0391012	      -5.8941240	       0.6283440	      -5.9480057
50+	Men	BMI_obese_men	3	2	21	6	15	       0.0231296	      -5.9413031	      -5.6513486	       0.2775436	      -5.8608281
50+	Men	BMI_obese_men	4	3	21	8	13	       0.0201362	      -5.7899391	      -5.3550073	       0.4370545	      -5.5998502
20-49	Women	BMI_obese_women	1	0	21	2	19	       0.0678525	      -5.4449870	      -5.4449870	       0.0000000	      -5.4449870
20-49	Women	BMI_obese_women	2	1	21	4	17	       0.0523350	      -5.4147031	      -5.2697259	       0.2286944	      -5.3815476
20-49	Women	BMI_obese_women	3	2	21	6	15	       0.0388879	      -5.4217306	      -5.1317761	       0.4662140	      -5.2865498
20-49	Women	BMI_obese_women	4	3	21	8	13	       0.0377805	      -5.1606659	      -4.7257341	       0.3360361	      -5.0145131
50+	Women	BMI_obese_women	1	0	21	2	19	       0.0309678	      -6.2293742	      -6.2293742	       0.0000000	      -6.2293742
50+	Women	BMI_obese_women	2	1	21	4	17	       0.0282066	      -6.0328143	      -5.8878371	       0.0891660	      -6.0198873
50+	Women	BMI_obese_women	3	2	21	6	15	       0.0190952	      -6.1329750	      -5.8430205	       0.6530201	      -5.9436289
