"variable"	"age_group"	"sex"	"cancer_site"	"rate_type"	"Joinpoint Model"	"AAPC Index"	"Start Obs"	"End Obs"	"AAPC"	"AAPC C.I. Low"	"AAPC C.I. High"	"Statistically Significant (0=No  1=Yes)"	"Test Statistic"	"P-Value"
BMI	20-49	Men	Colorectum	Rate	0	Full Range	2005	2019	2.5046	1.9879	3.0238	1	10.5765	0.000000
BMI	20-49	Men	Colorectum	attributable_rate	1	Full Range	2005	2019	3.5108	2.3848	4.6493	1	6.1829	0.000000
BMI	20-49	Men	Colorectum	non_attributable_rate	0	Full Range	2005	2019	2.3117	1.7967	2.8293	1	9.7845	0.000000
BMI	20-49	Men	Gallbladder	Rate	0	Full Range	2005	2019	2.7031	-0.1436	5.6310	0	2.0499	0.061104
BMI	20-49	Men	Gallbladder	attributable_rate	0	Full Range	2005	2019	5.3676	2.0883	8.7522	1	3.5726	0.003406
BMI	20-49	Men	Gallbladder	non_attributable_rate	0	Full Range	2005	2019	2.4369	-0.3764	5.3295	0	1.8678	0.084490
BMI	20-49	Men	Kidney	Rate	1	Full Range	2005	2019	4.2037	3.0633	5.3569	1	7.3336	0.000000
BMI	20-49	Men	Kidney	attributable_rate	1	Full Range	2005	2019	5.7124	4.6799	6.7551	1	11.0926	0.000000
BMI	20-49	Men	Kidney	non_attributable_rate	1	Full Range	2005	2019	3.9922	2.8405	5.1568	1	6.8892	0.000000
BMI	20-49	Men	Liver	Rate	0	Full Range	2005	2019	1.0251	-0.7759	2.8587	0	1.2249	0.242358
BMI	20-49	Men	Liver	attributable_rate	1	Full Range	2005	2019	3.4973	-0.3547	7.4982	0	1.7764	0.075675
BMI	20-49	Men	Liver	non_attributable_rate	0	Full Range	2005	2019	0.6778	-1.0635	2.4498	0	0.8364	0.418028
BMI	20-49	Men	MultipleMyeloma	Rate	0	Full Range	2005	2019	3.9397	2.1946	5.7146	1	4.9302	0.000275
BMI	20-49	Men	MultipleMyeloma	attributable_rate	1	Full Range	2005	2019	4.7531	2.1161	7.4582	1	3.5697	0.000357
BMI	20-49	Men	MultipleMyeloma	non_attributable_rate	0	Full Range	2005	2019	3.8451	2.1104	5.6093	1	4.8385	0.000324
BMI	20-49	Men	Pancreas	Rate	0	Full Range	2005	2019	1.7566	0.9225	2.5976	1	4.5704	0.000525
BMI	20-49	Men	Pancreas	attributable_rate	1	Full Range	2005	2019	3.3485	1.5459	5.1830	1	3.6689	0.000244
BMI	20-49	Men	Pancreas	non_attributable_rate	0	Full Range	2005	2019	1.5479	0.7324	2.3699	1	4.1158	0.001217
BMI	20-49	Men	Thyroid	Rate	1	Full Range	2005	2019	5.8593	4.5672	7.1674	1	9.0873	0.000000
BMI	20-49	Men	Thyroid	attributable_rate	2	Full Range	2005	2019	6.9396	5.2112	8.6964	1	8.0702	0.000000
BMI	20-49	Men	Thyroid	non_attributable_rate	1	Full Range	2005	2019	5.7303	4.4416	7.0348	1	8.9059	0.000000
BMI	20-49	Women	Colorectum	Rate	0	Full Range	2005	2019	3.3716	2.7390	4.0081	1	11.6700	0.000000
BMI	20-49	Women	Colorectum	attributable_rate	2	Full Range	2005	2019	4.2691	2.3411	6.2334	1	4.3901	0.000011
BMI	20-49	Women	Colorectum	non_attributable_rate	0	Full Range	2005	2019	3.1534	2.5443	3.7660	1	11.3264	0.000000
BMI	20-49	Women	Endometrium	Rate	0	Full Range	2005	2019	2.3179	1.6366	3.0038	1	7.4097	0.000005
BMI	20-49	Women	Endometrium	attributable_rate	0	Full Range	2005	2019	3.8491	3.0662	4.6380	1	10.7815	0.000000
BMI	20-49	Women	Endometrium	non_attributable_rate	0	Full Range	2005	2019	1.7251	1.0476	2.4070	1	5.5301	0.000097
BMI	20-49	Women	Gallbladder	Rate	0	Full Range	2005	2019	3.6572	1.4182	5.9457	1	3.5535	0.003532
BMI	20-49	Women	Gallbladder	attributable_rate	0	Full Range	2005	2019	5.3124	2.8635	7.8196	1	4.7527	0.000378
BMI	20-49	Women	Gallbladder	non_attributable_rate	0	Full Range	2005	2019	3.3186	1.1157	5.5696	1	3.2725	0.006060
BMI	20-49	Women	Kidney	Rate	1	Full Range	2005	2019	4.1694	1.6980	6.7008	1	3.3344	0.000855
BMI	20-49	Women	Kidney	attributable_rate	1	Full Range	2005	2019	5.6287	3.2672	8.0441	1	4.7470	0.000002
BMI	20-49	Women	Kidney	non_attributable_rate	0	Full Range	2005	2019	4.2027	3.0512	5.3671	1	8.0037	0.000002
BMI	20-49	Women	Liver	Rate	0	Full Range	2005	2019	2.1388	0.8629	3.4308	1	3.6370	0.003011
BMI	20-49	Women	Liver	attributable_rate	1	Full Range	2005	2019	4.7520	2.0046	7.5735	1	3.4236	0.000618
BMI	20-49	Women	Liver	non_attributable_rate	0	Full Range	2005	2019	1.7715	0.5041	3.0548	1	3.0273	0.009714
BMI	20-49	Women	MultipleMyeloma	Rate	0	Full Range	2005	2019	6.3887	4.8489	7.9512	1	9.1765	0.000000
BMI	20-49	Women	MultipleMyeloma	attributable_rate	1	Full Range	2005	2019	7.6435	5.2909	10.0488	1	6.5326	0.000000
BMI	20-49	Women	MultipleMyeloma	non_attributable_rate	0	Full Range	2005	2019	6.2785	4.7502	7.8292	1	9.0819	0.000001
BMI	20-49	Women	Pancreas	Rate	0	Full Range	2005	2019	2.4491	1.6950	3.2088	1	7.0755	0.000008
