"variable"	"age_group"	"sex"	"cancer_site"	"rate_type"	"Model"	"Segment"	"Segment Start"	"Segment End"	"APC"	"APC 95% LCL"	"APC 95% UCL"	"APC Significant"	"Test Statistic"	"P-Value"
BMI	20-49	Men	Colorectum	Rate	0	0	2005	2019	2.5046	1.9879	3.0238	1	10.5765	0.000000
BMI	20-49	Men	Colorectum	attributable_rate	1	0	2005	2013	4.8423	3.3646	6.3412	1	7.4224	0.000023
BMI	20-49	Men	Colorectum	attributable_rate	1	1	2013	2019	1.7617	-0.4517	4.0244	0	1.7694	0.107252
BMI	20-49	Men	Colorectum	non_attributable_rate	0	0	2005	2019	2.3117	1.7967	2.8293	1	9.7845	0.000000
BMI	20-49	Men	Gallbladder	Rate	0	0	2005	2019	2.7031	-0.1436	5.6310	0	2.0499	0.061104
BMI	20-49	Men	Gallbladder	attributable_rate	0	0	2005	2019	5.3676	2.0883	8.7522	1	3.5726	0.003406
BMI	20-49	Men	Gallbladder	non_attributable_rate	0	0	2005	2019	2.4369	-0.3764	5.3295	0	1.8678	0.084490
BMI	20-49	Men	Kidney	Rate	1	0	2005	2016	5.9811	5.2358	6.7316	1	18.3409	0.000000
BMI	20-49	Men	Kidney	Rate	1	1	2016	2019	-2.0618	-7.0558	3.2004	0	-0.8870	0.395931
BMI	20-49	Men	Kidney	attributable_rate	1	0	2005	2014	8.7508	7.6387	9.8744	1	18.1851	0.000000
BMI	20-49	Men	Kidney	attributable_rate	1	1	2014	2019	0.4556	-2.0420	3.0169	0	0.4023	0.695915
BMI	20-49	Men	Kidney	non_attributable_rate	1	0	2005	2016	5.6070	4.8555	6.3639	1	17.0207	0.000000
BMI	20-49	Men	Kidney	non_attributable_rate	1	1	2016	2019	-1.7203	-6.7901	3.6252	0	-0.7300	0.482133
BMI	20-49	Men	Liver	Rate	0	0	2005	2019	1.0251	-0.7759	2.8587	0	1.2249	0.242358
BMI	20-49	Men	Liver	attributable_rate	1	0	2005	2009	13.2320	-0.4244	28.7614	0	2.1544	0.056643
BMI	20-49	Men	Liver	attributable_rate	1	1	2009	2019	-0.1581	-3.2676	3.0514	0	-0.1114	0.913491
BMI	20-49	Men	Liver	non_attributable_rate	0	0	2005	2019	0.6778	-1.0635	2.4498	0	0.8364	0.418028
BMI	20-49	Men	MultipleMyeloma	Rate	0	0	2005	2019	3.9397	2.1946	5.7146	1	4.9302	0.000275
BMI	20-49	Men	MultipleMyeloma	attributable_rate	1	0	2005	2013	8.5890	5.0549	12.2421	1	5.5488	0.000244
BMI	20-49	Men	MultipleMyeloma	attributable_rate	1	1	2013	2019	-0.1516	-5.1408	5.1001	0	-0.0659	0.948727
BMI	20-49	Men	MultipleMyeloma	non_attributable_rate	0	0	2005	2019	3.8451	2.1104	5.6093	1	4.8385	0.000324
BMI	20-49	Men	Pancreas	Rate	0	0	2005	2019	1.7566	0.9225	2.5976	1	4.5704	0.000525
BMI	20-49	Men	Pancreas	attributable_rate	1	0	2005	2013	5.9041	3.5133	8.3502	1	5.5975	0.000228
BMI	20-49	Men	Pancreas	attributable_rate	1	1	2013	2019	0.0366	-3.4403	3.6387	0	0.0231	0.982061
BMI	20-49	Men	Pancreas	non_attributable_rate	0	0	2005	2019	1.5479	0.7324	2.3699	1	4.1158	0.001217
BMI	20-49	Men	Thyroid	Rate	1	0	2005	2012	8.7472	6.6211	10.9157	1	9.4629	0.000003
BMI	20-49	Men	Thyroid	Rate	1	1	2012	2019	3.0482	1.0335	5.1030	1	3.3884	0.006904
BMI	20-49	Men	Thyroid	attributable_rate	2	0	2005	2007	5.5458	-3.8254	15.8301	0	1.3727	0.212218
BMI	20-49	Men	Thyroid	attributable_rate	2	1	2007	2011	15.2433	10.0083	20.7274	1	7.2162	0.000175
BMI	20-49	Men	Thyroid	attributable_rate	2	2	2011	2019	3.3533	2.3101	4.4072	1	7.6878	0.000117
BMI	20-49	Men	Thyroid	non_attributable_rate	1	0	2005	2012	8.4811	6.3634	10.6411	1	9.2003	0.000003
BMI	20-49	Men	Thyroid	non_attributable_rate	1	1	2012	2019	3.0491	1.0374	5.1009	1	3.3946	0.006833
BMI	20-49	Women	Colorectum	Rate	0	0	2005	2019	3.3716	2.7390	4.0081	1	11.6700	0.000000
BMI	20-49	Women	Colorectum	attributable_rate	2	0	2005	2008	2.2080	-3.6525	8.4250	0	0.8746	0.410805
BMI	20-49	Women	Colorectum	attributable_rate	2	1	2008	2012	9.3454	3.0756	15.9965	1	3.5777	0.009004
BMI	20-49	Women	Colorectum	attributable_rate	2	2	2012	2019	2.3468	0.7443	3.9748	1	3.4757	0.010326
BMI	20-49	Women	Colorectum	non_attributable_rate	0	0	2005	2019	3.1534	2.5443	3.7660	1	11.3264	0.000000
BMI	20-49	Women	Endometrium	Rate	0	0	2005	2019	2.3179	1.6366	3.0038	1	7.4097	0.000005
BMI	20-49	Women	Endometrium	attributable_rate	0	0	2005	2019	3.8491	3.0662	4.6380	1	10.7815	0.000000
BMI	20-49	Women	Endometrium	non_attributable_rate	0	0	2005	2019	1.7251	1.0476	2.4070	1	5.5301	0.000097
BMI	20-49	Women	Gallbladder	Rate	0	0	2005	2019	3.6572	1.4182	5.9457	1	3.5535	0.003532
BMI	20-49	Women	Gallbladder	attributable_rate	0	0	2005	2019	5.3124	2.8635	7.8196	1	4.7527	0.000378
BMI	20-49	Women	Gallbladder	non_attributable_rate	0	0	2005	2019	3.3186	1.1157	5.5696	1	3.2725	0.006060
BMI	20-49	Women	Kidney	Rate	1	0	2005	2015	5.9355	3.8347	8.0787	1	6.4142	0.000077
BMI	20-49	Women	Kidney	Rate	1	1	2015	2019	-0.1181	-7.9228	8.3481	0	-0.0324	0.974819
BMI	20-49	Women	Kidney	attributable_rate	1	0	2005	2014	8.2159	5.6839	10.8086	1	7.4307	0.000022
BMI	20-49	Women	Kidney	attributable_rate	1	1	2014	2019	1.1265	-4.5714	7.1646	0	0.4304	0.676046
BMI	20-49	Women	Kidney	non_attributable_rate	0	0	2005	2019	4.2027	3.0512	5.3671	1	8.0037	0.000002
BMI	20-49	Women	Liver	Rate	0	0	2005	2019	2.1388	0.8629	3.4308	1	3.6370	0.003011
BMI	20-49	Women	Liver	attributable_rate	1	0	2005	2008	13.6009	0.1124	28.9067	1	2.2479	0.048348
BMI	20-49	Women	Liver	attributable_rate	1	1	2008	2019	2.4607	0.7292	4.2219	1	3.1780	0.009853
BMI	20-49	Women	Liver	non_attributable_rate	0	0	2005	2019	1.7715	0.5041	3.0548	1	3.0273	0.009714
BMI	20-49	Women	MultipleMyeloma	Rate	0	0	2005	2019	6.3887	4.8489	7.9512	1	9.1765	0.000000
BMI	20-49	Women	MultipleMyeloma	attributable_rate	1	0	2005	2013	11.1098	7.9686	14.3424	1	8.1849	0.000010
BMI	20-49	Women	MultipleMyeloma	attributable_rate	1	1	2013	2019	3.1895	-1.2948	7.8774	0	1.5746	0.146433
BMI	20-49	Women	MultipleMyeloma	non_attributable_rate	0	0	2005	2019	6.2785	4.7502	7.8292	1	9.0819	0.000001
BMI	20-49	Women	Pancreas	Rate	0	0	2005	2019	2.4491	1.6950	3.2088	1	7.0755	0.000008
BMI	20-49	Women	Pancreas	attributable_rate	0	0	2005	2019	3.8888	3.0501	4.7343	1	10.1685	0.000000
BMI	20-49	Women	Pancreas	non_attributable_rate	0	0	2005	2019	2.3106	1.5596	3.0672	1	6.6981	0.000015
BMI	20-49	Women	Thyroid	Rate	1	0	2005	2013	7.0185	5.7737	8.2780	1	12.9179	0.000000
BMI	20-49	Women	Thyroid	Rate	1	1	2013	2019	3.5403	1.6805	5.4342	1	4.2768	0.001619
BMI	20-49	Women	Thyroid	attributable_rate	1	0	2005	2013	9.7351	8.4662	11.0189	1	17.7968	0.000000
BMI	20-49	Women	Thyroid	attributable_rate	1	1	2013	2019	3.8899	2.0348	5.7788	1	4.7191	0.000818
BMI	20-49	Women	Thyroid	non_attributable_rate	1	0	2005	2013	6.8077	5.5635	8.0666	1	12.5233	0.000000
BMI	20-49	Women	Thyroid	non_attributable_rate	1	1	2013	2019	3.5053	1.6433	5.4014	1	4.2288	0.001747
BMI	50+	Men	Colorectum	Rate	2	0	2005	2011	1.3867	0.6622	2.1163	1	4.5410	0.002665
BMI	50+	Men	Colorectum	Rate	2	1	2011	2014	-3.2831	-7.3004	0.9084	0	-1.8606	0.105122
BMI	50+	Men	Colorectum	Rate	2	2	2014	2019	-0.0284	-0.9723	0.9245	0	-0.0707	0.945611
BMI	50+	Men	Colorectum	attributable_rate	2	0	2005	2011	3.0652	2.5648	3.5679	1	14.6705	0.000002
BMI	50+	Men	Colorectum	attributable_rate	2	1	2011	2015	-1.9406	-3.3421	-0.5189	1	-3.2192	0.014669
BMI	50+	Men	Colorectum	attributable_rate	2	2	2015	2019	1.4425	0.5231	2.3702	1	3.7198	0.007458
