"variable"	"age_group"	"sex"	"cancer_site"	"rate_type"	"year"	"incidence_rate"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
BMI	20-49	Men	Colorectum	Rate	2005	8.10	7.89	NA	2.5046*	0	0
BMI	20-49	Men	Colorectum	Rate	2006	8.30	8.09	NA	2.5046*	0	0
BMI	20-49	Men	Colorectum	Rate	2007	7.80	8.29	NA	2.5046*	0	0
BMI	20-49	Men	Colorectum	Rate	2008	8.40	8.50	NA	2.5046*	0	0
BMI	20-49	Men	Colorectum	Rate	2009	8.80	8.71	NA	2.5046*	0	0
BMI	20-49	Men	Colorectum	Rate	2010	8.30	8.93	NA	2.5046*	0	0
BMI	20-49	Men	Colorectum	Rate	2011	9.30	9.15	NA	2.5046*	0	0
BMI	20-49	Men	Colorectum	Rate	2012	9.90	9.38	NA	2.5046*	0	0
BMI	20-49	Men	Colorectum	Rate	2013	9.80	9.62	NA	2.5046*	0	0
BMI	20-49	Men	Colorectum	Rate	2014	10.20	9.86	NA	2.5046*	0	0
BMI	20-49	Men	Colorectum	Rate	2015	9.80	10.10	NA	2.5046*	0	0
BMI	20-49	Men	Colorectum	Rate	2016	10.80	10.36	NA	2.5046*	0	0
BMI	20-49	Men	Colorectum	Rate	2017	10.20	10.62	NA	2.5046*	0	0
BMI	20-49	Men	Colorectum	Rate	2018	10.70	10.88	NA	2.5046*	0	0
BMI	20-49	Men	Colorectum	Rate	2019	11.20	11.15	NA	2.5046*	0	0
BMI	20-49	Men	Colorectum	attributable_rate	2005	1.12	1.08	NA	4.8423*	1	1
BMI	20-49	Men	Colorectum	attributable_rate	2006	1.16	1.13	NA	4.8423*	1	1
BMI	20-49	Men	Colorectum	attributable_rate	2007	1.12	1.19	NA	4.8423*	1	1
BMI	20-49	Men	Colorectum	attributable_rate	2008	1.23	1.24	NA	4.8423*	1	1
BMI	20-49	Men	Colorectum	attributable_rate	2009	1.32	1.30	NA	4.8423*	1	1
BMI	20-49	Men	Colorectum	attributable_rate	2010	1.29	1.37	NA	4.8423*	1	1
BMI	20-49	Men	Colorectum	attributable_rate	2011	1.47	1.43	NA	4.8423*	1	1
BMI	20-49	Men	Colorectum	attributable_rate	2012	1.57	1.50	NA	4.8423*	1	1
BMI	20-49	Men	Colorectum	attributable_rate	2013	1.56	1.58	Joinpoint 1	NA	1	1
BMI	20-49	Men	Colorectum	attributable_rate	2014	1.63	1.60	NA	1.7617	1	1
BMI	20-49	Men	Colorectum	attributable_rate	2015	1.59	1.63	NA	1.7617	1	1
BMI	20-49	Men	Colorectum	attributable_rate	2016	1.74	1.66	NA	1.7617	1	1
BMI	20-49	Men	Colorectum	attributable_rate	2017	1.64	1.69	NA	1.7617	1	1
BMI	20-49	Men	Colorectum	attributable_rate	2018	1.67	1.72	NA	1.7617	1	1
BMI	20-49	Men	Colorectum	attributable_rate	2019	1.80	1.75	NA	1.7617	1	1
BMI	20-49	Men	Colorectum	non_attributable_rate	2005	6.98	6.76	NA	2.3117*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2006	7.14	6.92	NA	2.3117*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2007	6.68	7.08	NA	2.3117*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2008	7.17	7.24	NA	2.3117*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2009	7.48	7.41	NA	2.3117*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2010	7.01	7.58	NA	2.3117*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2011	7.83	7.76	NA	2.3117*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2012	8.33	7.94	NA	2.3117*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2013	8.24	8.12	NA	2.3117*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2014	8.57	8.31	NA	2.3117*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2015	8.21	8.50	NA	2.3117*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2016	9.06	8.70	NA	2.3117*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2017	8.56	8.90	NA	2.3117*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2018	9.03	9.10	NA	2.3117*	0	0
BMI	20-49	Men	Colorectum	non_attributable_rate	2019	9.40	9.31	NA	2.3117*	0	0
BMI	20-49	Men	Gallbladder	Rate	2005	0.20	0.20	NA	2.7031	0	0
BMI	20-49	Men	Gallbladder	Rate	2006	0.20	0.21	NA	2.7031	0	0
BMI	20-49	Men	Gallbladder	Rate	2007	0.20	0.22	NA	2.7031	0	0
BMI	20-49	Men	Gallbladder	Rate	2008	0.20	0.22	NA	2.7031	0	0
BMI	20-49	Men	Gallbladder	Rate	2009	0.30	0.23	NA	2.7031	0	0
BMI	20-49	Men	Gallbladder	Rate	2010	0.20	0.23	NA	2.7031	0	0
BMI	20-49	Men	Gallbladder	Rate	2011	0.30	0.24	NA	2.7031	0	0
BMI	20-49	Men	Gallbladder	Rate	2012	0.20	0.25	NA	2.7031	0	0
BMI	20-49	Men	Gallbladder	Rate	2013	0.20	0.25	NA	2.7031	0	0
BMI	20-49	Men	Gallbladder	Rate	2014	0.40	0.26	NA	2.7031	0	0
BMI	20-49	Men	Gallbladder	Rate	2015	0.30	0.27	NA	2.7031	0	0
BMI	20-49	Men	Gallbladder	Rate	2016	0.30	0.27	NA	2.7031	0	0
BMI	20-49	Men	Gallbladder	Rate	2017	0.30	0.28	NA	2.7031	0	0
BMI	20-49	Men	Gallbladder	Rate	2018	0.20	0.29	NA	2.7031	0	0
BMI	20-49	Men	Gallbladder	Rate	2019	0.30	0.30	NA	2.7031	0	0
BMI	20-49	Men	Gallbladder	attributable_rate	2005	0.02	0.02	NA	5.3676*	0	0
BMI	20-49	Men	Gallbladder	attributable_rate	2006	0.02	0.02	NA	5.3676*	0	0
BMI	20-49	Men	Gallbladder	attributable_rate	2007	0.02	0.02	NA	5.3676*	0	0
BMI	20-49	Men	Gallbladder	attributable_rate	2008	0.02	0.02	NA	5.3676*	0	0
BMI	20-49	Men	Gallbladder	attributable_rate	2009	0.03	0.02	NA	5.3676*	0	0
BMI	20-49	Men	Gallbladder	attributable_rate	2010	0.02	0.02	NA	5.3676*	0	0
BMI	20-49	Men	Gallbladder	attributable_rate	2011	0.03	0.02	NA	5.3676*	0	0
BMI	20-49	Men	Gallbladder	attributable_rate	2012	0.02	0.02	NA	5.3676*	0	0
BMI	20-49	Men	Gallbladder	attributable_rate	2013	0.02	0.02	NA	5.3676*	0	0
BMI	20-49	Men	Gallbladder	attributable_rate	2014	0.04	0.03	NA	5.3676*	0	0
BMI	20-49	Men	Gallbladder	attributable_rate	2015	0.03	0.03	NA	5.3676*	0	0
BMI	20-49	Men	Gallbladder	attributable_rate	2016	0.03	0.03	NA	5.3676*	0	0
BMI	20-49	Men	Gallbladder	attributable_rate	2017	0.03	0.03	NA	5.3676*	0	0
BMI	20-49	Men	Gallbladder	attributable_rate	2018	0.02	0.03	NA	5.3676*	0	0
BMI	20-49	Men	Gallbladder	attributable_rate	2019	0.03	0.03	NA	5.3676*	0	0
BMI	20-49	Men	Gallbladder	non_attributable_rate	2005	0.18	0.19	NA	2.4369	0	0
BMI	20-49	Men	Gallbladder	non_attributable_rate	2006	0.18	0.19	NA	2.4369	0	0
BMI	20-49	Men	Gallbladder	non_attributable_rate	2007	0.18	0.20	NA	2.4369	0	0
BMI	20-49	Men	Gallbladder	non_attributable_rate	2008	0.18	0.20	NA	2.4369	0	0
BMI	20-49	Men	Gallbladder	non_attributable_rate	2009	0.27	0.21	NA	2.4369	0	0
BMI	20-49	Men	Gallbladder	non_attributable_rate	2010	0.18	0.21	NA	2.4369	0	0
BMI	20-49	Men	Gallbladder	non_attributable_rate	2011	0.27	0.22	NA	2.4369	0	0
BMI	20-49	Men	Gallbladder	non_attributable_rate	2012	0.18	0.22	NA	2.4369	0	0
BMI	20-49	Men	Gallbladder	non_attributable_rate	2013	0.18	0.23	NA	2.4369	0	0
BMI	20-49	Men	Gallbladder	non_attributable_rate	2014	0.36	0.23	NA	2.4369	0	0
BMI	20-49	Men	Gallbladder	non_attributable_rate	2015	0.27	0.24	NA	2.4369	0	0
BMI	20-49	Men	Gallbladder	non_attributable_rate	2016	0.27	0.24	NA	2.4369	0	0
BMI	20-49	Men	Gallbladder	non_attributable_rate	2017	0.27	0.25	NA	2.4369	0	0
BMI	20-49	Men	Gallbladder	non_attributable_rate	2018	0.18	0.26	NA	2.4369	0	0
BMI	20-49	Men	Gallbladder	non_attributable_rate	2019	0.27	0.26	NA	2.4369	0	0
BMI	20-49	Men	Kidney	Rate	2005	3.00	3.08	NA	5.9811*	1	1
BMI	20-49	Men	Kidney	Rate	2006	3.30	3.27	NA	5.9811*	1	1
BMI	20-49	Men	Kidney	Rate	2007	3.60	3.46	NA	5.9811*	1	1
BMI	20-49	Men	Kidney	Rate	2008	3.60	3.67	NA	5.9811*	1	1
BMI	20-49	Men	Kidney	Rate	2009	3.80	3.89	NA	5.9811*	1	1
BMI	20-49	Men	Kidney	Rate	2010	4.30	4.12	NA	5.9811*	1	1
BMI	20-49	Men	Kidney	Rate	2011	4.20	4.37	NA	5.9811*	1	1
BMI	20-49	Men	Kidney	Rate	2012	4.60	4.63	NA	5.9811*	1	1
BMI	20-49	Men	Kidney	Rate	2013	5.00	4.91	NA	5.9811*	1	1
BMI	20-49	Men	Kidney	Rate	2014	5.50	5.20	NA	5.9811*	1	1
BMI	20-49	Men	Kidney	Rate	2015	5.40	5.51	NA	5.9811*	1	1
BMI	20-49	Men	Kidney	Rate	2016	5.60	5.84	Joinpoint 1	NA	1	1
BMI	20-49	Men	Kidney	Rate	2017	5.90	5.72	NA	-2.0618	1	1
BMI	20-49	Men	Kidney	Rate	2018	5.50	5.60	NA	-2.0618	1	1
BMI	20-49	Men	Kidney	Rate	2019	5.50	5.49	NA	-2.0618	1	1
BMI	20-49	Men	Kidney	attributable_rate	2005	0.47	0.48	NA	8.7508*	1	1
BMI	20-49	Men	Kidney	attributable_rate	2006	0.52	0.52	NA	8.7508*	1	1
BMI	20-49	Men	Kidney	attributable_rate	2007	0.58	0.56	NA	8.7508*	1	1
BMI	20-49	Men	Kidney	attributable_rate	2008	0.60	0.61	NA	8.7508*	1	1
BMI	20-49	Men	Kidney	attributable_rate	2009	0.65	0.67	NA	8.7508*	1	1
BMI	20-49	Men	Kidney	attributable_rate	2010	0.77	0.72	NA	8.7508*	1	1
BMI	20-49	Men	Kidney	attributable_rate	2011	0.76	0.79	NA	8.7508*	1	1
BMI	20-49	Men	Kidney	attributable_rate	2012	0.84	0.86	NA	8.7508*	1	1
BMI	20-49	Men	Kidney	attributable_rate	2013	0.92	0.93	NA	8.7508*	1	1
BMI	20-49	Men	Kidney	attributable_rate	2014	1.01	1.01	Joinpoint 1	NA	1	1
BMI	20-49	Men	Kidney	attributable_rate	2015	1.01	1.02	NA	0.4556	1	1
BMI	20-49	Men	Kidney	attributable_rate	2016	1.04	1.02	NA	0.4556	1	1
BMI	20-49	Men	Kidney	attributable_rate	2017	1.09	1.03	NA	0.4556	1	1
BMI	20-49	Men	Kidney	attributable_rate	2018	0.99	1.03	NA	0.4556	1	1
BMI	20-49	Men	Kidney	attributable_rate	2019	1.02	1.03	NA	0.4556	1	1
BMI	20-49	Men	Kidney	non_attributable_rate	2005	2.53	2.60	NA	5.6070*	1	1
BMI	20-49	Men	Kidney	non_attributable_rate	2006	2.78	2.74	NA	5.6070*	1	1
BMI	20-49	Men	Kidney	non_attributable_rate	2007	3.02	2.89	NA	5.6070*	1	1
BMI	20-49	Men	Kidney	non_attributable_rate	2008	3.00	3.06	NA	5.6070*	1	1
BMI	20-49	Men	Kidney	non_attributable_rate	2009	3.15	3.23	NA	5.6070*	1	1
BMI	20-49	Men	Kidney	non_attributable_rate	2010	3.53	3.41	NA	5.6070*	1	1
BMI	20-49	Men	Kidney	non_attributable_rate	2011	3.44	3.60	NA	5.6070*	1	1
BMI	20-49	Men	Kidney	non_attributable_rate	2012	3.76	3.80	NA	5.6070*	1	1
BMI	20-49	Men	Kidney	non_attributable_rate	2013	4.08	4.02	NA	5.6070*	1	1
BMI	20-49	Men	Kidney	non_attributable_rate	2014	4.49	4.24	NA	5.6070*	1	1
BMI	20-49	Men	Kidney	non_attributable_rate	2015	4.39	4.48	NA	5.6070*	1	1
BMI	20-49	Men	Kidney	non_attributable_rate	2016	4.56	4.73	Joinpoint 1	NA	1	1
BMI	20-49	Men	Kidney	non_attributable_rate	2017	4.81	4.65	NA	-1.7203	1	1
BMI	20-49	Men	Kidney	non_attributable_rate	2018	4.51	4.57	NA	-1.7203	1	1
BMI	20-49	Men	Kidney	non_attributable_rate	2019	4.48	4.49	NA	-1.7203	1	1
BMI	20-49	Men	Liver	Rate	2005	1.00	1.15	NA	1.0251	0	0
BMI	20-49	Men	Liver	Rate	2006	1.10	1.16	NA	1.0251	0	0
BMI	20-49	Men	Liver	Rate	2007	1.00	1.17	NA	1.0251	0	0
BMI	20-49	Men	Liver	Rate	2008	1.30	1.19	NA	1.0251	0	0
BMI	20-49	Men	Liver	Rate	2009	1.50	1.20	NA	1.0251	0	0
BMI	20-49	Men	Liver	Rate	2010	1.40	1.21	NA	1.0251	0	0
BMI	20-49	Men	Liver	Rate	2011	1.00	1.22	NA	1.0251	0	0
BMI	20-49	Men	Liver	Rate	2012	1.30	1.24	NA	1.0251	0	0
BMI	20-49	Men	Liver	Rate	2013	1.30	1.25	NA	1.0251	0	0
BMI	20-49	Men	Liver	Rate	2014	1.50	1.26	NA	1.0251	0	0
BMI	20-49	Men	Liver	Rate	2015	1.30	1.27	NA	1.0251	0	0
BMI	20-49	Men	Liver	Rate	2016	1.40	1.29	NA	1.0251	0	0
BMI	20-49	Men	Liver	Rate	2017	1.30	1.30	NA	1.0251	0	0
BMI	20-49	Men	Liver	Rate	2018	1.10	1.31	NA	1.0251	0	0
BMI	20-49	Men	Liver	Rate	2019	1.20	1.33	NA	1.0251	0	0
BMI	20-49	Men	Liver	attributable_rate	2005	0.16	0.16	NA	13.2320	1	1
BMI	20-49	Men	Liver	attributable_rate	2006	0.18	0.18	NA	13.2320	1	1
BMI	20-49	Men	Liver	attributable_rate	2007	0.17	0.20	NA	13.2320	1	1
BMI	20-49	Men	Liver	attributable_rate	2008	0.23	0.23	NA	13.2320	1	1
BMI	20-49	Men	Liver	attributable_rate	2009	0.28	0.26	Joinpoint 1	NA	1	1
BMI	20-49	Men	Liver	attributable_rate	2010	0.27	0.26	NA	-0.1581	1	1
BMI	20-49	Men	Liver	attributable_rate	2011	0.20	0.26	NA	-0.1581	1	1
BMI	20-49	Men	Liver	attributable_rate	2012	0.26	0.25	NA	-0.1581	1	1
BMI	20-49	Men	Liver	attributable_rate	2013	0.26	0.25	NA	-0.1581	1	1
BMI	20-49	Men	Liver	attributable_rate	2014	0.30	0.25	NA	-0.1581	1	1
BMI	20-49	Men	Liver	attributable_rate	2015	0.26	0.25	NA	-0.1581	1	1
BMI	20-49	Men	Liver	attributable_rate	2016	0.28	0.25	NA	-0.1581	1	1
BMI	20-49	Men	Liver	attributable_rate	2017	0.26	0.25	NA	-0.1581	1	1
BMI	20-49	Men	Liver	attributable_rate	2018	0.22	0.25	NA	-0.1581	1	1
BMI	20-49	Men	Liver	attributable_rate	2019	0.24	0.25	NA	-0.1581	1	1
BMI	20-49	Men	Liver	non_attributable_rate	2005	0.84	0.95	NA	0.6778	0	0
BMI	20-49	Men	Liver	non_attributable_rate	2006	0.92	0.96	NA	0.6778	0	0
BMI	20-49	Men	Liver	non_attributable_rate	2007	0.83	0.97	NA	0.6778	0	0
BMI	20-49	Men	Liver	non_attributable_rate	2008	1.07	0.97	NA	0.6778	0	0
BMI	20-49	Men	Liver	non_attributable_rate	2009	1.22	0.98	NA	0.6778	0	0
BMI	20-49	Men	Liver	non_attributable_rate	2010	1.13	0.99	NA	0.6778	0	0
BMI	20-49	Men	Liver	non_attributable_rate	2011	0.80	0.99	NA	0.6778	0	0
BMI	20-49	Men	Liver	non_attributable_rate	2012	1.04	1.00	NA	0.6778	0	0
BMI	20-49	Men	Liver	non_attributable_rate	2013	1.04	1.01	NA	0.6778	0	0
BMI	20-49	Men	Liver	non_attributable_rate	2014	1.20	1.01	NA	0.6778	0	0
BMI	20-49	Men	Liver	non_attributable_rate	2015	1.04	1.02	NA	0.6778	0	0
BMI	20-49	Men	Liver	non_attributable_rate	2016	1.12	1.03	NA	0.6778	0	0
BMI	20-49	Men	Liver	non_attributable_rate	2017	1.04	1.03	NA	0.6778	0	0
BMI	20-49	Men	Liver	non_attributable_rate	2018	0.88	1.04	NA	0.6778	0	0
BMI	20-49	Men	Liver	non_attributable_rate	2019	0.96	1.05	NA	0.6778	0	0
BMI	20-49	Men	MultipleMyeloma	Rate	2005	1.10	1.09	NA	3.9397*	0	0
BMI	20-49	Men	MultipleMyeloma	Rate	2006	1.10	1.13	NA	3.9397*	0	0
BMI	20-49	Men	MultipleMyeloma	Rate	2007	1.00	1.17	NA	3.9397*	0	0
BMI	20-49	Men	MultipleMyeloma	Rate	2008	1.20	1.22	NA	3.9397*	0	0
BMI	20-49	Men	MultipleMyeloma	Rate	2009	1.50	1.27	NA	3.9397*	0	0
BMI	20-49	Men	MultipleMyeloma	Rate	2010	1.10	1.32	NA	3.9397*	0	0
BMI	20-49	Men	MultipleMyeloma	Rate	2011	1.30	1.37	NA	3.9397*	0	0
BMI	20-49	Men	MultipleMyeloma	Rate	2012	1.50	1.42	NA	3.9397*	0	0
BMI	20-49	Men	MultipleMyeloma	Rate	2013	2.00	1.48	NA	3.9397*	0	0
BMI	20-49	Men	MultipleMyeloma	Rate	2014	1.70	1.54	NA	3.9397*	0	0
BMI	20-49	Men	MultipleMyeloma	Rate	2015	1.60	1.60	NA	3.9397*	0	0
BMI	20-49	Men	MultipleMyeloma	Rate	2016	1.60	1.66	NA	3.9397*	0	0
BMI	20-49	Men	MultipleMyeloma	Rate	2017	1.80	1.73	NA	3.9397*	0	0
BMI	20-49	Men	MultipleMyeloma	Rate	2018	1.70	1.79	NA	3.9397*	0	0
BMI	20-49	Men	MultipleMyeloma	Rate	2019	1.60	1.87	NA	3.9397*	0	0
BMI	20-49	Men	MultipleMyeloma	attributable_rate	2005	0.08	0.08	NA	8.5890*	1	1
BMI	20-49	Men	MultipleMyeloma	attributable_rate	2006	0.08	0.08	NA	8.5890*	1	1
BMI	20-49	Men	MultipleMyeloma	attributable_rate	2007	0.08	0.09	NA	8.5890*	1	1
BMI	20-49	Men	MultipleMyeloma	attributable_rate	2008	0.10	0.10	NA	8.5890*	1	1
BMI	20-49	Men	MultipleMyeloma	attributable_rate	2009	0.12	0.10	NA	8.5890*	1	1
BMI	20-49	Men	MultipleMyeloma	attributable_rate	2010	0.09	0.11	NA	8.5890*	1	1
BMI	20-49	Men	MultipleMyeloma	attributable_rate	2011	0.11	0.12	NA	8.5890*	1	1
BMI	20-49	Men	MultipleMyeloma	attributable_rate	2012	0.13	0.13	NA	8.5890*	1	1
BMI	20-49	Men	MultipleMyeloma	attributable_rate	2013	0.17	0.15	Joinpoint 1	NA	1	1
BMI	20-49	Men	MultipleMyeloma	attributable_rate	2014	0.15	0.15	NA	-0.1516	1	1
BMI	20-49	Men	MultipleMyeloma	attributable_rate	2015	0.14	0.14	NA	-0.1516	1	1
BMI	20-49	Men	MultipleMyeloma	attributable_rate	2016	0.14	0.14	NA	-0.1516	1	1
BMI	20-49	Men	MultipleMyeloma	attributable_rate	2017	0.16	0.14	NA	-0.1516	1	1
BMI	20-49	Men	MultipleMyeloma	attributable_rate	2018	0.14	0.14	NA	-0.1516	1	1
BMI	20-49	Men	MultipleMyeloma	attributable_rate	2019	0.14	0.14	NA	-0.1516	1	1
BMI	20-49	Men	MultipleMyeloma	non_attributable_rate	2005	1.02	1.00	NA	3.8451*	0	0
BMI	20-49	Men	MultipleMyeloma	non_attributable_rate	2006	1.02	1.04	NA	3.8451*	0	0
BMI	20-49	Men	MultipleMyeloma	non_attributable_rate	2007	0.92	1.08	NA	3.8451*	0	0
BMI	20-49	Men	MultipleMyeloma	non_attributable_rate	2008	1.10	1.12	NA	3.8451*	0	0
BMI	20-49	Men	MultipleMyeloma	non_attributable_rate	2009	1.38	1.16	NA	3.8451*	0	0
BMI	20-49	Men	MultipleMyeloma	non_attributable_rate	2010	1.01	1.21	NA	3.8451*	0	0
BMI	20-49	Men	MultipleMyeloma	non_attributable_rate	2011	1.19	1.26	NA	3.8451*	0	0
BMI	20-49	Men	MultipleMyeloma	non_attributable_rate	2012	1.37	1.30	NA	3.8451*	0	0
BMI	20-49	Men	MultipleMyeloma	non_attributable_rate	2013	1.83	1.35	NA	3.8451*	0	0
BMI	20-49	Men	MultipleMyeloma	non_attributable_rate	2014	1.55	1.41	NA	3.8451*	0	0
BMI	20-49	Men	MultipleMyeloma	non_attributable_rate	2015	1.46	1.46	NA	3.8451*	0	0
BMI	20-49	Men	MultipleMyeloma	non_attributable_rate	2016	1.46	1.52	NA	3.8451*	0	0
BMI	20-49	Men	MultipleMyeloma	non_attributable_rate	2017	1.64	1.57	NA	3.8451*	0	0
BMI	20-49	Men	MultipleMyeloma	non_attributable_rate	2018	1.56	1.64	NA	3.8451*	0	0
BMI	20-49	Men	MultipleMyeloma	non_attributable_rate	2019	1.46	1.70	NA	3.8451*	0	0
BMI	20-49	Men	Pancreas	Rate	2005	1.40	1.40	NA	1.7566*	0	0
BMI	20-49	Men	Pancreas	Rate	2006	1.30	1.42	NA	1.7566*	0	0
BMI	20-49	Men	Pancreas	Rate	2007	1.40	1.45	NA	1.7566*	0	0
BMI	20-49	Men	Pancreas	Rate	2008	1.50	1.47	NA	1.7566*	0	0
BMI	20-49	Men	Pancreas	Rate	2009	1.60	1.50	NA	1.7566*	0	0
BMI	20-49	Men	Pancreas	Rate	2010	1.60	1.53	NA	1.7566*	0	0
BMI	20-49	Men	Pancreas	Rate	2011	1.50	1.55	NA	1.7566*	0	0
BMI	20-49	Men	Pancreas	Rate	2012	1.60	1.58	NA	1.7566*	0	0
BMI	20-49	Men	Pancreas	Rate	2013	1.70	1.61	NA	1.7566*	0	0
BMI	20-49	Men	Pancreas	Rate	2014	1.80	1.64	NA	1.7566*	0	0
BMI	20-49	Men	Pancreas	Rate	2015	1.50	1.66	NA	1.7566*	0	0
BMI	20-49	Men	Pancreas	Rate	2016	1.80	1.69	NA	1.7566*	0	0
BMI	20-49	Men	Pancreas	Rate	2017	1.60	1.72	NA	1.7566*	0	0
BMI	20-49	Men	Pancreas	Rate	2018	1.80	1.75	NA	1.7566*	0	0
BMI	20-49	Men	Pancreas	Rate	2019	1.70	1.78	NA	1.7566*	0	0
BMI	20-49	Men	Pancreas	attributable_rate	2005	0.13	0.13	NA	5.9041*	1	1
BMI	20-49	Men	Pancreas	attributable_rate	2006	0.12	0.13	NA	5.9041*	1	1
BMI	20-49	Men	Pancreas	attributable_rate	2007	0.14	0.14	NA	5.9041*	1	1
BMI	20-49	Men	Pancreas	attributable_rate	2008	0.15	0.15	NA	5.9041*	1	1
BMI	20-49	Men	Pancreas	attributable_rate	2009	0.17	0.16	NA	5.9041*	1	1
BMI	20-49	Men	Pancreas	attributable_rate	2010	0.18	0.17	NA	5.9041*	1	1
BMI	20-49	Men	Pancreas	attributable_rate	2011	0.17	0.18	NA	5.9041*	1	1
BMI	20-49	Men	Pancreas	attributable_rate	2012	0.18	0.19	NA	5.9041*	1	1
BMI	20-49	Men	Pancreas	attributable_rate	2013	0.20	0.20	Joinpoint 1	NA	1	1
BMI	20-49	Men	Pancreas	attributable_rate	2014	0.21	0.20	NA	0.0366	1	1
BMI	20-49	Men	Pancreas	attributable_rate	2015	0.18	0.20	NA	0.0366	1	1
BMI	20-49	Men	Pancreas	attributable_rate	2016	0.21	0.20	NA	0.0366	1	1
BMI	20-49	Men	Pancreas	attributable_rate	2017	0.19	0.20	NA	0.0366	1	1
BMI	20-49	Men	Pancreas	attributable_rate	2018	0.21	0.20	NA	0.0366	1	1
BMI	20-49	Men	Pancreas	attributable_rate	2019	0.20	0.20	NA	0.0366	1	1
BMI	20-49	Men	Pancreas	non_attributable_rate	2005	1.27	1.26	NA	1.5479*	0	0
BMI	20-49	Men	Pancreas	non_attributable_rate	2006	1.18	1.28	NA	1.5479*	0	0
BMI	20-49	Men	Pancreas	non_attributable_rate	2007	1.26	1.30	NA	1.5479*	0	0
BMI	20-49	Men	Pancreas	non_attributable_rate	2008	1.35	1.32	NA	1.5479*	0	0
BMI	20-49	Men	Pancreas	non_attributable_rate	2009	1.43	1.34	NA	1.5479*	0	0
BMI	20-49	Men	Pancreas	non_attributable_rate	2010	1.42	1.36	NA	1.5479*	0	0
BMI	20-49	Men	Pancreas	non_attributable_rate	2011	1.33	1.38	NA	1.5479*	0	0
BMI	20-49	Men	Pancreas	non_attributable_rate	2012	1.42	1.40	NA	1.5479*	0	0
BMI	20-49	Men	Pancreas	non_attributable_rate	2013	1.50	1.43	NA	1.5479*	0	0
