"variable"	"age_group"	"sex"	"cancer_site"	"rate_type"	"Model"
BMI	20-49	Men	Colorectum	Rate	0
BMI	20-49	Men	Colorectum	attributable_rate	1
BMI	20-49	Men	Colorectum	non_attributable_rate	0
BMI	20-49	Men	Gallbladder	Rate	0
BMI	20-49	Men	Gallbladder	attributable_rate	0
BMI	20-49	Men	Gallbladder	non_attributable_rate	0
BMI	20-49	Men	Kidney	Rate	1
BMI	20-49	Men	Kidney	attributable_rate	1
BMI	20-49	Men	Kidney	non_attributable_rate	1
BMI	20-49	Men	Liver	Rate	0
BMI	20-49	Men	Liver	attributable_rate	1
BMI	20-49	Men	Liver	non_attributable_rate	0
BMI	20-49	Men	MultipleMyeloma	Rate	0
BMI	20-49	Men	MultipleMyeloma	attributable_rate	1
BMI	20-49	Men	MultipleMyeloma	non_attributable_rate	0
BMI	20-49	Men	Pancreas	Rate	0
BMI	20-49	Men	Pancreas	attributable_rate	1
BMI	20-49	Men	Pancreas	non_attributable_rate	0
BMI	20-49	Men	Thyroid	Rate	1
BMI	20-49	Men	Thyroid	attributable_rate	2
BMI	20-49	Men	Thyroid	non_attributable_rate	1
BMI	20-49	Women	Colorectum	Rate	0
BMI	20-49	Women	Colorectum	attributable_rate	2
BMI	20-49	Women	Colorectum	non_attributable_rate	0
BMI	20-49	Women	Endometrium	Rate	0
BMI	20-49	Women	Endometrium	attributable_rate	0
BMI	20-49	Women	Endometrium	non_attributable_rate	0
BMI	20-49	Women	Gallbladder	Rate	0
BMI	20-49	Women	Gallbladder	attributable_rate	0
BMI	20-49	Women	Gallbladder	non_attributable_rate	0
BMI	20-49	Women	Kidney	Rate	1
BMI	20-49	Women	Kidney	attributable_rate	1
BMI	20-49	Women	Kidney	non_attributable_rate	0
BMI	20-49	Women	Liver	Rate	0
BMI	20-49	Women	Liver	attributable_rate	1
BMI	20-49	Women	Liver	non_attributable_rate	0
BMI	20-49	Women	MultipleMyeloma	Rate	0
BMI	20-49	Women	MultipleMyeloma	attributable_rate	1
BMI	20-49	Women	MultipleMyeloma	non_attributable_rate	0
BMI	20-49	Women	Pancreas	Rate	0
BMI	20-49	Women	Pancreas	attributable_rate	0
BMI	20-49	Women	Pancreas	non_attributable_rate	0
BMI	20-49	Women	Thyroid	Rate	1
BMI	20-49	Women	Thyroid	attributable_rate	1
BMI	20-49	Women	Thyroid	non_attributable_rate	1
BMI	50+	Men	Colorectum	Rate	2
BMI	50+	Men	Colorectum	attributable_rate	2
BMI	50+	Men	Colorectum	non_attributable_rate	2
BMI	50+	Men	Gallbladder	Rate	0
BMI	50+	Men	Gallbladder	attributable_rate	0
BMI	50+	Men	Gallbladder	non_attributable_rate	0
BMI	50+	Men	Kidney	Rate	1
BMI	50+	Men	Kidney	attributable_rate	2
BMI	50+	Men	Kidney	non_attributable_rate	1
BMI	50+	Men	Liver	Rate	1
BMI	50+	Men	Liver	attributable_rate	1
BMI	50+	Men	Liver	non_attributable_rate	1
BMI	50+	Men	MultipleMyeloma	Rate	0
BMI	50+	Men	MultipleMyeloma	attributable_rate	0
BMI	50+	Men	MultipleMyeloma	non_attributable_rate	0
BMI	50+	Men	Pancreas	Rate	0
BMI	50+	Men	Pancreas	attributable_rate	1
BMI	50+	Men	Pancreas	non_attributable_rate	0
BMI	50+	Men	Thyroid	Rate	1
BMI	50+	Men	Thyroid	attributable_rate	1
BMI	50+	Men	Thyroid	non_attributable_rate	1
BMI	50+	Women	Breast	Rate	0
BMI	50+	Women	Breast	attributable_rate	1
BMI	50+	Women	Breast	non_attributable_rate	0
BMI	50+	Women	Colorectum	Rate	2
BMI	50+	Women	Colorectum	attributable_rate	2
BMI	50+	Women	Colorectum	non_attributable_rate	2
BMI	50+	Women	Endometrium	Rate	1
BMI	50+	Women	Endometrium	attributable_rate	1
BMI	50+	Women	Endometrium	non_attributable_rate	1
BMI	50+	Women	Gallbladder	Rate	0
BMI	50+	Women	Gallbladder	attributable_rate	1
BMI	50+	Women	Gallbladder	non_attributable_rate	0
BMI	50+	Women	Kidney	Rate	1
BMI	50+	Women	Kidney	attributable_rate	2
BMI	50+	Women	Kidney	non_attributable_rate	1
BMI	50+	Women	Liver	Rate	1
BMI	50+	Women	Liver	attributable_rate	1
BMI	50+	Women	Liver	non_attributable_rate	1
BMI	50+	Women	MultipleMyeloma	Rate	0
BMI	50+	Women	MultipleMyeloma	attributable_rate	0
BMI	50+	Women	MultipleMyeloma	non_attributable_rate	0
BMI	50+	Women	Pancreas	Rate	1
BMI	50+	Women	Pancreas	attributable_rate	1
BMI	50+	Women	Pancreas	non_attributable_rate	1
BMI	50+	Women	Thyroid	Rate	1
BMI	50+	Women	Thyroid	attributable_rate	1
BMI	50+	Women	Thyroid	non_attributable_rate	1
